Scenario Information
Number of IoT Nodes,50
Number of UAVs,3
Number of Ground BS,1

Seed,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,159,117.64,1.0,4469.918960262229,0,92.30938839912415
IoT-Level AoIs for Seed,42
IoT 1,126,t_gen=3
IoT 2,157,t_gen=2
IoT 3,114,t_gen=2
IoT 4,129,t_gen=0
IoT 5,142,t_gen=17
IoT 6,121,t_gen=8
IoT 7,31,t_gen=5
IoT 8,112,t_gen=4
IoT 9,126,t_gen=3
IoT 10,118,t_gen=11
IoT 11,145,t_gen=14
IoT 12,147,t_gen=12
IoT 13,109,t_gen=20
IoT 14,141,t_gen=18
IoT 15,122,t_gen=7
IoT 16,152,t_gen=7
IoT 17,102,t_gen=14
IoT 18,148,t_gen=11
IoT 19,109,t_gen=20
IoT 20,112,t_gen=17
IoT 21,24,t_gen=12
IoT 22,142,t_gen=17
IoT 23,128,t_gen=1
IoT 24,119,t_gen=10
IoT 25,98,t_gen=18
IoT 26,96,t_gen=20
IoT 27,139,t_gen=20
IoT 28,109,t_gen=7
IoT 29,98,t_gen=18
IoT 30,118,t_gen=11
IoT 31,143,t_gen=16
IoT 32,156,t_gen=3
IoT 33,116,t_gen=13
IoT 34,97,t_gen=19
IoT 35,142,t_gen=17
IoT 36,33,t_gen=3
IoT 37,108,t_gen=8
IoT 38,107,t_gen=9
IoT 39,121,t_gen=8
IoT 40,143,t_gen=16
IoT 41,150,t_gen=9
IoT 42,110,t_gen=6
IoT 43,112,t_gen=17
IoT 44,159,t_gen=0
IoT 45,113,t_gen=3
IoT 46,150,t_gen=9
IoT 47,111,t_gen=18
IoT 48,21,t_gen=15
IoT 49,142,t_gen=17
IoT 50,114,t_gen=15

50,176,124.12,1.0,4500.213589955456,0,81.43197870254517
IoT-Level AoIs for Seed,50
IoT 1,39,t_gen=15
IoT 2,151,t_gen=17
IoT 3,119,t_gen=2
IoT 4,165,t_gen=3
IoT 5,162,t_gen=6
IoT 6,102,t_gen=19
IoT 7,166,t_gen=2
IoT 8,149,t_gen=19
IoT 9,148,t_gen=20
IoT 10,137,t_gen=10
IoT 11,118,t_gen=3
IoT 12,129,t_gen=18
IoT 13,176,t_gen=6
IoT 14,35,t_gen=19
IoT 15,165,t_gen=3
IoT 16,151,t_gen=17
IoT 17,130,t_gen=17
IoT 18,36,t_gen=18
IoT 19,157,t_gen=11
IoT 20,43,t_gen=11
IoT 21,108,t_gen=13
IoT 22,148,t_gen=20
IoT 23,161,t_gen=7
IoT 24,117,t_gen=4
IoT 25,111,t_gen=10
IoT 26,119,t_gen=2
IoT 27,139,t_gen=8
IoT 28,155,t_gen=13
IoT 29,166,t_gen=2
IoT 30,175,t_gen=0
IoT 31,103,t_gen=18
IoT 32,110,t_gen=11
IoT 33,132,t_gen=15
IoT 34,115,t_gen=6
IoT 35,52,t_gen=2
IoT 36,117,t_gen=4
IoT 37,110,t_gen=11
IoT 38,114,t_gen=7
IoT 39,138,t_gen=9
IoT 40,39,t_gen=15
IoT 41,175,t_gen=4
IoT 42,128,t_gen=19
IoT 43,109,t_gen=12
IoT 44,132,t_gen=15
IoT 45,111,t_gen=10
IoT 46,160,t_gen=8
IoT 47,165,t_gen=3
IoT 48,45,t_gen=9
IoT 49,160,t_gen=8
IoT 50,114,t_gen=7

55,187,140.36,1.0,4625.897557659843,0,79.46566581726074
IoT-Level AoIs for Seed,55
IoT 1,58,t_gen=2
IoT 2,165,t_gen=11
IoT 3,161,t_gen=15
IoT 4,164,t_gen=12
IoT 5,80,t_gen=17
IoT 6,168,t_gen=8
IoT 7,60,t_gen=0
IoT 8,187,t_gen=1
IoT 9,133,t_gen=20
IoT 10,170,t_gen=6
IoT 11,153,t_gen=0
IoT 12,74,t_gen=9
IoT 13,146,t_gen=7
IoT 14,181,t_gen=7
IoT 15,147,t_gen=6
IoT 16,140,t_gen=13
IoT 17,173,t_gen=3
IoT 18,174,t_gen=2
IoT 19,5,t_gen=8
IoT 20,151,t_gen=2
IoT 21,173,t_gen=15
IoT 22,159,t_gen=17
IoT 23,141,t_gen=12
IoT 24,148,t_gen=5
IoT 25,169,t_gen=7
IoT 26,177,t_gen=11
IoT 27,165,t_gen=11
IoT 28,187,t_gen=1
IoT 29,173,t_gen=15
IoT 30,137,t_gen=16
IoT 31,170,t_gen=6
IoT 32,183,t_gen=5
IoT 33,165,t_gen=11
IoT 34,176,t_gen=0
IoT 35,173,t_gen=3
IoT 36,161,t_gen=15
IoT 37,57,t_gen=3
IoT 38,147,t_gen=6
IoT 39,156,t_gen=20
IoT 40,60,t_gen=15
IoT 41,175,t_gen=13
IoT 42,58,t_gen=2
IoT 43,164,t_gen=12
IoT 44,174,t_gen=2
IoT 45,58,t_gen=13
IoT 46,43,t_gen=17
IoT 47,180,t_gen=8
IoT 48,187,t_gen=1
IoT 49,159,t_gen=17
IoT 50,53,t_gen=7

60,192,147.0,1.0,4843.722764243877,0,69.85881614685059
IoT-Level AoIs for Seed,60
IoT 1,164,t_gen=14
IoT 2,191,t_gen=1
IoT 3,187,t_gen=5
IoT 4,158,t_gen=20
IoT 5,187,t_gen=5
IoT 6,188,t_gen=4
IoT 7,44,t_gen=18
IoT 8,183,t_gen=9
IoT 9,185,t_gen=7
IoT 10,184,t_gen=8
IoT 11,155,t_gen=8
IoT 12,186,t_gen=6
IoT 13,176,t_gen=16
IoT 14,50,t_gen=12
IoT 15,189,t_gen=3
IoT 16,190,t_gen=2
IoT 17,182,t_gen=10
IoT 18,166,t_gen=12
IoT 19,57,t_gen=5
IoT 20,178,t_gen=14
IoT 21,160,t_gen=18
IoT 22,170,t_gen=8
IoT 23,171,t_gen=7
IoT 24,165,t_gen=13
IoT 25,192,t_gen=0
IoT 26,177,t_gen=1
IoT 27,56,t_gen=6
IoT 28,179,t_gen=13
IoT 29,171,t_gen=7
IoT 30,168,t_gen=10
IoT 31,185,t_gen=7
IoT 32,177,t_gen=15
IoT 33,171,t_gen=7
IoT 34,175,t_gen=17
IoT 35,46,t_gen=16
IoT 36,61,t_gen=1
IoT 37,186,t_gen=6
IoT 38,56,t_gen=6
IoT 39,174,t_gen=4
IoT 40,164,t_gen=14
IoT 41,185,t_gen=7
IoT 42,55,t_gen=7
IoT 43,42,t_gen=20
IoT 44,161,t_gen=17
IoT 45,174,t_gen=18
IoT 46,178,t_gen=14
IoT 47,57,t_gen=5
IoT 48,61,t_gen=1
IoT 49,58,t_gen=4
IoT 50,175,t_gen=3

65,171,124.08,1.0,4750.96885502605,0,66.86481165885925
IoT-Level AoIs for Seed,65
IoT 1,124,t_gen=16
IoT 2,148,t_gen=20
IoT 3,50,t_gen=17
IoT 4,59,t_gen=15
IoT 5,165,t_gen=3
IoT 6,167,t_gen=4
IoT 7,136,t_gen=4
IoT 8,148,t_gen=20
IoT 9,42,t_gen=20
IoT 10,170,t_gen=1
IoT 11,130,t_gen=10
IoT 12,163,t_gen=8
IoT 13,166,t_gen=2
IoT 14,171,t_gen=0
IoT 15,153,t_gen=18
IoT 16,136,t_gen=4
IoT 17,158,t_gen=10
IoT 18,160,t_gen=11
IoT 19,151,t_gen=20
IoT 20,138,t_gen=2
IoT 21,166,t_gen=5
IoT 22,138,t_gen=2
IoT 23,153,t_gen=18
IoT 24,151,t_gen=17
IoT 25,148,t_gen=20
IoT 26,166,t_gen=5
IoT 27,125,t_gen=15
IoT 28,124,t_gen=16
IoT 29,164,t_gen=4
IoT 30,123,t_gen=17
IoT 31,46,t_gen=16
IoT 32,139,t_gen=1
IoT 33,134,t_gen=6
IoT 34,162,t_gen=9
IoT 35,167,t_gen=4
IoT 36,124,t_gen=16
IoT 37,43,t_gen=19
IoT 38,132,t_gen=8
IoT 39,43,t_gen=19
IoT 40,132,t_gen=8
IoT 41,52,t_gen=10
IoT 42,57,t_gen=5
IoT 43,63,t_gen=17
IoT 44,54,t_gen=8
IoT 45,122,t_gen=18
IoT 46,127,t_gen=13
IoT 47,51,t_gen=11
IoT 48,160,t_gen=8
IoT 49,47,t_gen=15
IoT 50,156,t_gen=15

85,200,115.62,1.0,5013.0831151521415,0,70.27938270568848
IoT-Level AoIs for Seed,85
IoT 1,193,t_gen=6
IoT 2,112,t_gen=11
IoT 3,88,t_gen=17
IoT 4,87,t_gen=18
IoT 5,90,t_gen=13
IoT 6,132,t_gen=2
IoT 7,52,t_gen=14
IoT 8,98,t_gen=7
IoT 9,92,t_gen=13
IoT 10,100,t_gen=5
IoT 11,184,t_gen=16
IoT 12,193,t_gen=7
IoT 13,189,t_gen=10
IoT 14,199,t_gen=1
IoT 15,100,t_gen=5
IoT 16,50,t_gen=5
IoT 17,195,t_gen=5
IoT 18,91,t_gen=14
IoT 19,38,t_gen=8
IoT 20,179,t_gen=20
IoT 21,88,t_gen=17
IoT 22,101,t_gen=4
IoT 23,190,t_gen=9
IoT 24,192,t_gen=8
IoT 25,197,t_gen=2
IoT 26,196,t_gen=4
IoT 27,84,t_gen=19
IoT 28,35,t_gen=13
IoT 29,181,t_gen=19
IoT 30,187,t_gen=13
IoT 31,96,t_gen=7
IoT 32,92,t_gen=11
IoT 33,90,t_gen=15
IoT 34,100,t_gen=5
IoT 35,36,t_gen=10
IoT 36,40,t_gen=6
IoT 37,86,t_gen=19
IoT 38,196,t_gen=4
IoT 39,198,t_gen=2
IoT 40,38,t_gen=8
IoT 41,200,t_gen=0
IoT 42,103,t_gen=2
IoT 43,104,t_gen=1
IoT 44,34,t_gen=12
IoT 45,42,t_gen=4
IoT 46,101,t_gen=9
IoT 47,192,t_gen=7
IoT 48,36,t_gen=10
IoT 49,45,t_gen=1
IoT 50,39,t_gen=7

90,179,139.14,1.0,5059.619540410795,0,66.0691020488739
IoT-Level AoIs for Seed,90
IoT 1,150,t_gen=20
IoT 2,161,t_gen=18
IoT 3,171,t_gen=8
IoT 4,104,t_gen=17
IoT 5,159,t_gen=20
IoT 6,159,t_gen=11
IoT 7,104,t_gen=17
IoT 8,119,t_gen=2
IoT 9,173,t_gen=6
IoT 10,177,t_gen=2
IoT 11,20,t_gen=20
IoT 12,179,t_gen=0
IoT 13,177,t_gen=2
IoT 14,160,t_gen=10
IoT 15,151,t_gen=19
IoT 16,111,t_gen=10
IoT 17,152,t_gen=18
IoT 18,169,t_gen=1
IoT 19,155,t_gen=15
IoT 20,165,t_gen=5
IoT 21,173,t_gen=6
IoT 22,164,t_gen=15
IoT 23,162,t_gen=17
IoT 24,166,t_gen=4
IoT 25,104,t_gen=17
IoT 26,174,t_gen=5
IoT 27,109,t_gen=12
IoT 28,25,t_gen=15
IoT 29,159,t_gen=20
IoT 30,161,t_gen=18
IoT 31,158,t_gen=12
IoT 32,27,t_gen=13
IoT 33,154,t_gen=16
IoT 34,109,t_gen=12
IoT 35,162,t_gen=17
IoT 36,164,t_gen=6
IoT 37,177,t_gen=2
IoT 38,150,t_gen=20
IoT 39,115,t_gen=6
IoT 40,165,t_gen=14
IoT 41,160,t_gen=19
IoT 42,101,t_gen=20
IoT 43,155,t_gen=15
IoT 44,29,t_gen=11
IoT 45,103,t_gen=18
IoT 46,159,t_gen=20
IoT 47,117,t_gen=4
IoT 48,168,t_gen=11
IoT 49,102,t_gen=19
IoT 50,169,t_gen=1

105,159,111.36,1.0,4808.275629070212,0,68.39224076271057
IoT-Level AoIs for Seed,105
IoT 1,139,t_gen=9
IoT 2,109,t_gen=9
IoT 3,144,t_gen=4
IoT 4,143,t_gen=5
IoT 5,104,t_gen=14
IoT 6,141,t_gen=7
IoT 7,99,t_gen=9
IoT 8,132,t_gen=16
IoT 9,159,t_gen=10
IoT 10,115,t_gen=3
IoT 11,113,t_gen=5
IoT 12,136,t_gen=12
IoT 13,130,t_gen=18
IoT 14,117,t_gen=19
IoT 15,102,t_gen=16
IoT 16,95,t_gen=13
IoT 17,100,t_gen=18
IoT 18,93,t_gen=15
IoT 19,107,t_gen=11
IoT 20,118,t_gen=0
IoT 21,89,t_gen=19
IoT 22,123,t_gen=13
IoT 23,113,t_gen=5
IoT 24,88,t_gen=20
IoT 25,99,t_gen=9
IoT 26,137,t_gen=11
IoT 27,105,t_gen=3
IoT 28,143,t_gen=5
IoT 29,116,t_gen=2
IoT 30,102,t_gen=6
IoT 31,137,t_gen=11
IoT 32,132,t_gen=16
IoT 33,140,t_gen=8
IoT 34,92,t_gen=16
IoT 35,118,t_gen=0
IoT 36,144,t_gen=4
IoT 37,135,t_gen=1
IoT 38,98,t_gen=10
IoT 39,107,t_gen=11
IoT 40,98,t_gen=10
IoT 41,32,t_gen=3
IoT 42,146,t_gen=2
IoT 43,19,t_gen=6
IoT 44,24,t_gen=1
IoT 45,116,t_gen=2
IoT 46,11,t_gen=14
IoT 47,113,t_gen=5
IoT 48,104,t_gen=4
IoT 49,143,t_gen=5
IoT 50,148,t_gen=0

49,151,123.02,1.0,4842.604612784311,0,63.50501084327698
