Scenario Information
Number of IoT Nodes,20
Number of UAVs,2
Number of Ground BS,4

Seed,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,139,121.75,1.0,3090.154889062263,0,33.06863713264465
IoT-Level AoIs for Seed,42
IoT 1,128,t_gen=6
IoT 2,126,t_gen=17
IoT 3,126,t_gen=17
IoT 4,126,t_gen=8
IoT 5,7,t_gen=5
IoT 6,139,t_gen=4
IoT 7,131,t_gen=3
IoT 8,132,t_gen=11
IoT 9,129,t_gen=14
IoT 10,122,t_gen=12
IoT 11,123,t_gen=20
IoT 12,125,t_gen=18
IoT 13,136,t_gen=7
IoT 14,136,t_gen=7
IoT 15,129,t_gen=14
IoT 16,132,t_gen=11
IoT 17,114,t_gen=20
IoT 18,126,t_gen=17
IoT 19,131,t_gen=12
IoT 20,117,t_gen=17

50,145,83.9,1.0,2643.242064771751,0,28.03878402709961
IoT-Level AoIs for Seed,50
IoT 1,31,t_gen=4
IoT 2,81,t_gen=11
IoT 3,82,t_gen=10
IoT 4,95,t_gen=13
IoT 5,90,t_gen=2
IoT 6,72,t_gen=20
IoT 7,25,t_gen=10
IoT 8,145,t_gen=3
IoT 9,130,t_gen=18
IoT 10,29,t_gen=6
IoT 11,73,t_gen=19
IoT 12,105,t_gen=3
IoT 13,91,t_gen=17
IoT 14,77,t_gen=17
IoT 15,74,t_gen=18
IoT 16,81,t_gen=11
IoT 17,81,t_gen=11
IoT 18,135,t_gen=13
IoT 19,80,t_gen=20
IoT 20,101,t_gen=7

55,125,69.9,1.0,2484.9528121677117,0,26.59334683418274
IoT-Level AoIs for Seed,55
IoT 1,125,t_gen=15
IoT 2,54,t_gen=12
IoT 3,92,t_gen=17
IoT 4,39,t_gen=8
IoT 5,26,t_gen=0
IoT 6,108,t_gen=1
IoT 7,27,t_gen=20
IoT 8,65,t_gen=6
IoT 9,47,t_gen=0
IoT 10,108,t_gen=9
IoT 11,79,t_gen=7
IoT 12,102,t_gen=7
IoT 13,41,t_gen=6
IoT 14,34,t_gen=13
IoT 15,68,t_gen=3
IoT 16,84,t_gen=2
IoT 17,101,t_gen=8
IoT 18,24,t_gen=2
IoT 19,125,t_gen=15
IoT 20,49,t_gen=17

60,153,91.15,1.0,2757.9208914845926,0,22.20872735977173
IoT-Level AoIs for Seed,60
IoT 1,83,t_gen=5
IoT 2,37,t_gen=20
IoT 3,55,t_gen=5
IoT 4,151,t_gen=4
IoT 5,42,t_gen=18
IoT 6,146,t_gen=9
IoT 7,147,t_gen=7
IoT 8,49,t_gen=8
IoT 9,49,t_gen=8
IoT 10,54,t_gen=6
IoT 11,138,t_gen=16
IoT 12,48,t_gen=12
IoT 13,152,t_gen=3
IoT 14,153,t_gen=2
IoT 15,144,t_gen=10
IoT 16,45,t_gen=12
IoT 17,150,t_gen=5
IoT 18,58,t_gen=14
IoT 19,70,t_gen=18
IoT 20,52,t_gen=8

65,130,95.35,1.0,2766.5785731091123,0,25.47711968421936
IoT-Level AoIs for Seed,65
IoT 1,46,t_gen=17
IoT 2,124,t_gen=15
IoT 3,60,t_gen=3
IoT 4,126,t_gen=4
IoT 5,126,t_gen=4
IoT 6,43,t_gen=20
IoT 7,110,t_gen=20
IoT 8,129,t_gen=1
IoT 9,120,t_gen=10
IoT 10,122,t_gen=8
IoT 11,128,t_gen=2
IoT 12,130,t_gen=0
IoT 13,112,t_gen=18
IoT 14,19,t_gen=4
IoT 15,120,t_gen=10
IoT 16,119,t_gen=11
IoT 17,110,t_gen=20
IoT 18,19,t_gen=2
IoT 19,125,t_gen=5
IoT 20,19,t_gen=2

85,124,93.3,1.0,2883.7420821591995,0,21.331148386001587
IoT-Level AoIs for Seed,85
IoT 1,112,t_gen=17
IoT 2,98,t_gen=18
IoT 3,116,t_gen=13
IoT 4,45,t_gen=2
IoT 5,102,t_gen=14
IoT 6,109,t_gen=7
IoT 7,103,t_gen=13
IoT 8,111,t_gen=5
IoT 9,31,t_gen=16
IoT 10,109,t_gen=7
IoT 11,55,t_gen=10
IoT 12,115,t_gen=1
IoT 13,111,t_gen=5
IoT 14,124,t_gen=5
IoT 15,111,t_gen=5
IoT 16,102,t_gen=14
IoT 17,39,t_gen=8
IoT 18,62,t_gen=20
IoT 19,99,t_gen=17
IoT 20,112,t_gen=4

90,141,86.95,1.0,3001.07173872799,0,22.380520343780518
IoT-Level AoIs for Seed,90
IoT 1,89,t_gen=8
IoT 2,44,t_gen=4
IoT 3,85,t_gen=12
IoT 4,93,t_gen=4
IoT 5,50,t_gen=1
IoT 6,81,t_gen=16
IoT 7,141,t_gen=3
IoT 8,97,t_gen=0
IoT 9,43,t_gen=5
IoT 10,127,t_gen=17
IoT 11,97,t_gen=2
IoT 12,92,t_gen=10
IoT 13,49,t_gen=19
IoT 14,87,t_gen=10
IoT 15,126,t_gen=18
IoT 16,123,t_gen=1
IoT 17,33,t_gen=15
IoT 18,111,t_gen=5
IoT 19,138,t_gen=6
IoT 20,33,t_gen=15

