Scenario Information
Number of IoT Nodes,20
Number of UAVs,2
Number of Ground BS,4

Seed,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,139,121.75,1.0,3090.154889062263,0,33.06863713264465
IoT-Level AoIs for Seed,42
105,151,77.0,1.0,1949.408397653777,0,22.483985424041748
IoT-Level AoIs for Seed,105
IoT 1,48,t_gen=4
IoT 2,45,t_gen=5
IoT 3,90,t_gen=14
IoT 4,151,t_gen=7
IoT 5,42,t_gen=9
IoT 6,142,t_gen=16
IoT 7,41,t_gen=10
IoT 8,101,t_gen=3
IoT 9,45,t_gen=5
IoT 10,146,t_gen=12
IoT 11,140,t_gen=18
IoT 12,85,t_gen=19
IoT 13,88,t_gen=16
IoT 14,38,t_gen=13
IoT 15,86,t_gen=18
IoT 16,35,t_gen=15
IoT 17,43,t_gen=11
IoT 18,104,t_gen=0
IoT 19,32,t_gen=19
IoT 20,38,t_gen=13

49,132,79.9,1.0,2804.113277682005,0,26.687671422958374
IoT-Level AoIs for Seed,49
IoT 1,82,t_gen=20
IoT 2,102,t_gen=19
IoT 3,86,t_gen=0
IoT 4,89,t_gen=13
IoT 5,60,t_gen=11
IoT 6,59,t_gen=19
IoT 7,54,t_gen=17
IoT 8,69,t_gen=2
IoT 9,85,t_gen=17
IoT 10,64,t_gen=7
IoT 11,52,t_gen=19
IoT 12,59,t_gen=12
IoT 13,85,t_gen=17
IoT 14,132,t_gen=0
IoT 15,112,t_gen=9
IoT 16,96,t_gen=11
IoT 17,92,t_gen=10
IoT 18,58,t_gen=13
IoT 19,63,t_gen=8
IoT 20,99,t_gen=3

110,125,70.05,1.0,2656.3555151378596,0,24.64018225669861
IoT-Level AoIs for Seed,110
IoT 1,58,t_gen=1
IoT 2,57,t_gen=2
IoT 3,43,t_gen=16
IoT 4,125,t_gen=7
IoT 5,116,t_gen=16
IoT 6,42,t_gen=17
IoT 7,97,t_gen=4
IoT 8,125,t_gen=7
IoT 9,57,t_gen=2
IoT 10,57,t_gen=5
IoT 11,124,t_gen=8
IoT 12,22,t_gen=8
IoT 13,18,t_gen=12
IoT 14,45,t_gen=14
IoT 15,116,t_gen=16
IoT 16,47,t_gen=12
IoT 17,122,t_gen=10
IoT 18,75,t_gen=2
IoT 19,25,t_gen=5
IoT 20,30,t_gen=0

Final Averages
avg_peak_aoi,136.5
avg_avg_aoi,86.925
avg_coverage,1.0
avg_total_dist,2703.7540241956262
avg_unserved,0.0
avg_runtime,25.291012287139893
