Scenario Information
Number of IoT Nodes,60
Number of UAVs,3
Number of Ground BS,4

Seed,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,202,111.93333333333334,1.0,5023.2252410431665,0,109.09992361068726
IoT-Level AoIs for Seed,42
IoT 1,71,t_gen=6
IoT 2,188,t_gen=17
IoT 3,188,t_gen=17
IoT 4,84,t_gen=8
IoT 5,39,t_gen=5
IoT 6,201,t_gen=4
IoT 7,202,t_gen=3
IoT 8,24,t_gen=11
IoT 9,62,t_gen=14
IoT 10,64,t_gen=12
IoT 11,15,t_gen=20
IoT 12,130,t_gen=18
IoT 13,70,t_gen=7
IoT 14,157,t_gen=7
IoT 15,191,t_gen=14
IoT 16,194,t_gen=11
IoT 17,185,t_gen=20
IoT 18,188,t_gen=17
IoT 19,152,t_gen=12
IoT 20,59,t_gen=17
IoT 21,34,t_gen=1
IoT 22,67,t_gen=10
IoT 23,59,t_gen=18
IoT 24,40,t_gen=20
IoT 25,56,t_gen=20
IoT 26,70,t_gen=7
IoT 27,187,t_gen=18
IoT 28,194,t_gen=11
IoT 29,60,t_gen=16
IoT 30,73,t_gen=3
IoT 31,22,t_gen=13
IoT 32,129,t_gen=19
IoT 33,147,t_gen=17
IoT 34,175,t_gen=3
IoT 35,68,t_gen=8
IoT 36,196,t_gen=9
IoT 37,197,t_gen=8
IoT 38,148,t_gen=16
IoT 39,155,t_gen=9
IoT 40,142,t_gen=6
IoT 41,188,t_gen=17
IoT 42,148,t_gen=0
IoT 43,202,t_gen=3
IoT 44,155,t_gen=9
IoT 45,21,t_gen=18
IoT 46,6,t_gen=15
IoT 47,147,t_gen=17
IoT 48,31,t_gen=15
IoT 49,12,t_gen=16
IoT 50,142,t_gen=6
IoT 51,158,t_gen=6
IoT 52,185,t_gen=20
IoT 53,62,t_gen=14
IoT 54,25,t_gen=10
IoT 55,187,t_gen=18
IoT 56,57,t_gen=20
IoT 57,34,t_gen=1
IoT 58,27,t_gen=7
IoT 59,188,t_gen=17
IoT 60,58,t_gen=18

Final Averages
avg_peak_aoi,202.0
avg_avg_aoi,111.93333333333334
avg_coverage,1.0
avg_total_dist,5023.2252410431665
avg_unserved,0.0
avg_runtime,109.09992361068726
