Scenario Information
Number of IoT Nodes,50
Number of UAVs,3
Number of Ground BS,2

Seed,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,191,117.36,1.0,5019.421680979232,0,99.00504541397095
IoT-Level AoIs for Seed,42
IoT 1,182,t_gen=17
IoT 2,91,t_gen=0
IoT 3,72,t_gen=19
IoT 4,71,t_gen=20
IoT 5,185,t_gen=14
IoT 6,125,t_gen=0
IoT 7,27,t_gen=13
IoT 8,81,t_gen=10
IoT 9,80,t_gen=11
IoT 10,124,t_gen=1
IoT 11,113,t_gen=12
IoT 12,71,t_gen=20
IoT 13,181,t_gen=18
IoT 14,84,t_gen=7
IoT 15,163,t_gen=7
IoT 16,156,t_gen=14
IoT 17,114,t_gen=11
IoT 18,179,t_gen=20
IoT 19,74,t_gen=17
IoT 20,27,t_gen=12
IoT 21,74,t_gen=17
IoT 22,124,t_gen=1
IoT 23,81,t_gen=10
IoT 24,21,t_gen=18
IoT 25,150,t_gen=20
IoT 26,179,t_gen=20
IoT 27,102,t_gen=7
IoT 28,181,t_gen=18
IoT 29,188,t_gen=11
IoT 30,75,t_gen=16
IoT 31,122,t_gen=3
IoT 32,78,t_gen=13
IoT 33,106,t_gen=19
IoT 34,153,t_gen=17
IoT 35,37,t_gen=3
IoT 36,191,t_gen=8
IoT 37,190,t_gen=9
IoT 38,191,t_gen=8
IoT 39,154,t_gen=16
IoT 40,161,t_gen=9
IoT 41,119,t_gen=6
IoT 42,74,t_gen=17
IoT 43,170,t_gen=0
IoT 44,122,t_gen=3
IoT 45,161,t_gen=9
IoT 46,78,t_gen=18
IoT 47,25,t_gen=15
IoT 48,153,t_gen=17
IoT 49,184,t_gen=15
IoT 50,24,t_gen=16

50,174,126.38,1.0,4868.388391959506,0,124.29842162132263
IoT-Level AoIs for Seed,50
IoT 1,90,t_gen=2
IoT 2,156,t_gen=17
IoT 3,117,t_gen=3
IoT 4,150,t_gen=6
IoT 5,101,t_gen=19
IoT 6,154,t_gen=2
IoT 7,137,t_gen=19
IoT 8,72,t_gen=20
IoT 9,146,t_gen=10
IoT 10,117,t_gen=3
IoT 11,165,t_gen=18
IoT 12,160,t_gen=6
IoT 13,166,t_gen=19
IoT 14,153,t_gen=3
IoT 15,75,t_gen=17
IoT 16,139,t_gen=17
IoT 17,138,t_gen=18
IoT 18,145,t_gen=11
IoT 19,145,t_gen=11
IoT 20,107,t_gen=13
IoT 21,136,t_gen=20
IoT 22,85,t_gen=7
IoT 23,116,t_gen=4
IoT 24,110,t_gen=10
IoT 25,118,t_gen=2
IoT 26,84,t_gen=8
IoT 27,143,t_gen=13
IoT 28,154,t_gen=2
IoT 29,92,t_gen=0
IoT 30,102,t_gen=18
IoT 31,109,t_gen=11
IoT 32,77,t_gen=15
IoT 33,114,t_gen=6
IoT 34,154,t_gen=2
IoT 35,116,t_gen=4
IoT 36,109,t_gen=11
IoT 37,113,t_gen=7
IoT 38,83,t_gen=9
IoT 39,141,t_gen=15
IoT 40,159,t_gen=4
IoT 41,164,t_gen=19
IoT 42,108,t_gen=12
IoT 43,168,t_gen=15
IoT 44,110,t_gen=10
IoT 45,84,t_gen=8
IoT 46,153,t_gen=3
IoT 47,174,t_gen=9
IoT 48,148,t_gen=8
IoT 49,113,t_gen=7
IoT 50,149,t_gen=7

55,178,143.72,1.0,4703.56575362692,0,118.16463136672974
IoT-Level AoIs for Seed,55
IoT 1,169,t_gen=9
IoT 2,163,t_gen=15
IoT 3,152,t_gen=12
IoT 4,147,t_gen=17
IoT 5,170,t_gen=8
IoT 6,51,t_gen=0
IoT 7,163,t_gen=1
IoT 8,132,t_gen=20
IoT 9,172,t_gen=6
IoT 10,178,t_gen=0
IoT 11,165,t_gen=9
IoT 12,53,t_gen=7
IoT 13,157,t_gen=7
IoT 14,146,t_gen=6
IoT 15,139,t_gen=13
IoT 16,175,t_gen=3
