Scenario Information
Number of IoT Nodes,40
Number of UAVs,3
Number of Ground BS,4

Seed,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,140,85.725,1.0,4019.726930974047,0,81.56612849235535
IoT-Level AoIs for Seed,42
IoT 1,43,t_gen=6
IoT 2,107,t_gen=17
IoT 3,107,t_gen=17
IoT 4,109,t_gen=8
IoT 5,138,t_gen=5
IoT 6,45,t_gen=4
IoT 7,121,t_gen=3
IoT 8,38,t_gen=11
IoT 9,103,t_gen=14
IoT 10,131,t_gen=12
IoT 11,104,t_gen=20
IoT 12,125,t_gen=18
IoT 13,42,t_gen=7
IoT 14,136,t_gen=7
IoT 15,35,t_gen=14
IoT 16,38,t_gen=11
IoT 17,104,t_gen=20
IoT 18,107,t_gen=17
IoT 19,4,t_gen=12
IoT 20,126,t_gen=17
IoT 21,123,t_gen=1
IoT 22,39,t_gen=10
IoT 23,31,t_gen=18
IoT 24,29,t_gen=20
IoT 25,123,t_gen=20
IoT 26,42,t_gen=7
IoT 27,54,t_gen=18
IoT 28,113,t_gen=11
IoT 29,127,t_gen=16
IoT 30,140,t_gen=3
IoT 31,36,t_gen=13
IoT 32,124,t_gen=19
IoT 33,126,t_gen=17
IoT 34,7,t_gen=3
IoT 35,69,t_gen=8
IoT 36,40,t_gen=9
IoT 37,116,t_gen=8
IoT 38,127,t_gen=16
IoT 39,134,t_gen=9
IoT 40,66,t_gen=6

50,150,84.575,1.0,4804.461099580294,0,59.227115631103516
IoT-Level AoIs for Seed,50
IoT 1,94,t_gen=4
IoT 2,31,t_gen=11
IoT 3,32,t_gen=10
IoT 4,140,t_gen=13
IoT 5,96,t_gen=2
IoT 6,78,t_gen=20
IoT 7,88,t_gen=10
IoT 8,62,t_gen=3
IoT 9,78,t_gen=18
IoT 10,131,t_gen=6
IoT 11,133,t_gen=19
IoT 12,150,t_gen=3
IoT 13,81,t_gen=17
IoT 14,116,t_gen=17
IoT 15,80,t_gen=18
IoT 16,87,t_gen=11
IoT 17,87,t_gen=11
IoT 18,52,t_gen=13
IoT 19,110,t_gen=20
IoT 20,91,t_gen=7
IoT 21,61,t_gen=4
IoT 22,55,t_gen=10
IoT 23,63,t_gen=2
IoT 24,119,t_gen=8
IoT 25,114,t_gen=13
IoT 26,96,t_gen=2
IoT 27,134,t_gen=0
IoT 28,47,t_gen=18
IoT 29,54,t_gen=11
IoT 30,115,t_gen=15
IoT 31,90,t_gen=6
IoT 32,96,t_gen=2
IoT 33,92,t_gen=4
IoT 34,54,t_gen=11
IoT 35,58,t_gen=7
IoT 36,121,t_gen=9
IoT 37,83,t_gen=15
IoT 38,38,t_gen=4
IoT 39,23,t_gen=19
IoT 40,53,t_gen=12

55,126,84.175,1.0,3925.3276809849076,0,62.74142503738403
IoT-Level AoIs for Seed,55
IoT 1,111,t_gen=15
IoT 2,93,t_gen=12
IoT 3,16,t_gen=17
IoT 4,118,t_gen=8
IoT 5,35,t_gen=0
IoT 6,73,t_gen=1
IoT 7,106,t_gen=20
IoT 8,120,t_gen=6
IoT 9,105,t_gen=0
IoT 10,3,t_gen=9
IoT 11,37,t_gen=7
IoT 12,67,t_gen=7
IoT 13,120,t_gen=6
IoT 14,113,t_gen=13
IoT 15,71,t_gen=3
IoT 16,124,t_gen=2
IoT 17,13,t_gen=8
IoT 18,120,t_gen=2
IoT 19,59,t_gen=15
IoT 20,88,t_gen=17
IoT 21,104,t_gen=12
IoT 22,100,t_gen=5
IoT 23,119,t_gen=7
IoT 24,115,t_gen=11
IoT 25,126,t_gen=11
IoT 26,104,t_gen=1
IoT 27,36,t_gen=15
IoT 28,120,t_gen=16
IoT 29,57,t_gen=6
IoT 30,121,t_gen=5
IoT 31,94,t_gen=11
IoT 32,105,t_gen=0
IoT 33,123,t_gen=3
IoT 34,111,t_gen=15
IoT 35,32,t_gen=3
IoT 36,105,t_gen=6
IoT 37,106,t_gen=20
IoT 38,3,t_gen=15
IoT 39,61,t_gen=13
IoT 40,33,t_gen=2

60,144,94.875,1.0,4259.721728377806,0,63.290359020233154
IoT-Level AoIs for Seed,60
IoT 1,113,t_gen=5
IoT 2,82,t_gen=20
IoT 3,97,t_gen=5
IoT 4,114,t_gen=4
IoT 5,61,t_gen=18
IoT 6,48,t_gen=9
IoT 7,50,t_gen=7
IoT 8,110,t_gen=8
IoT 9,110,t_gen=8
IoT 10,112,t_gen=6
IoT 11,129,t_gen=16
IoT 12,90,t_gen=12
IoT 13,54,t_gen=3
IoT 14,55,t_gen=2
IoT 15,47,t_gen=10
IoT 16,53,t_gen=12
IoT 17,140,t_gen=5
IoT 18,43,t_gen=14
IoT 19,141,t_gen=18
IoT 20,94,t_gen=8
IoT 21,111,t_gen=7
IoT 22,89,t_gen=13
IoT 23,57,t_gen=0
IoT 24,101,t_gen=1
IoT 25,112,t_gen=6
IoT 26,105,t_gen=13
IoT 27,111,t_gen=7
IoT 28,92,t_gen=10
IoT 29,138,t_gen=7
IoT 30,42,t_gen=15
IoT 31,95,t_gen=7
IoT 32,101,t_gen=17
IoT 33,129,t_gen=16
IoT 34,144,t_gen=1
IoT 35,51,t_gen=6
IoT 36,139,t_gen=6
IoT 37,98,t_gen=4
IoT 38,88,t_gen=14
IoT 39,111,t_gen=7
IoT 40,138,t_gen=7

65,139,88.75,1.0,4824.464516901926,0,66.32223725318909
IoT-Level AoIs for Seed,65
IoT 1,90,t_gen=17
IoT 2,137,t_gen=15
IoT 3,104,t_gen=3
IoT 4,113,t_gen=4
IoT 5,125,t_gen=4
IoT 6,15,t_gen=20
IoT 7,26,t_gen=20
IoT 8,128,t_gen=1
IoT 9,58,t_gen=10
IoT 10,38,t_gen=8
IoT 11,127,t_gen=2
IoT 12,117,t_gen=0
IoT 13,99,t_gen=18
IoT 14,125,t_gen=4
IoT 15,119,t_gen=10
IoT 16,35,t_gen=11
IoT 17,97,t_gen=20
IoT 18,105,t_gen=2
IoT 19,125,t_gen=5
IoT 20,105,t_gen=2
IoT 21,61,t_gen=18
IoT 22,51,t_gen=17
IoT 23,109,t_gen=20
IoT 24,139,t_gen=5
IoT 25,114,t_gen=15
IoT 26,116,t_gen=16
IoT 27,125,t_gen=4
IoT 28,7,t_gen=17
IoT 29,30,t_gen=16
IoT 30,116,t_gen=1
IoT 31,18,t_gen=6
IoT 32,120,t_gen=9
IoT 33,113,t_gen=4
IoT 34,52,t_gen=16
IoT 35,88,t_gen=19
IoT 36,115,t_gen=8
IoT 37,27,t_gen=19
IoT 38,101,t_gen=8
IoT 39,36,t_gen=10
IoT 40,124,t_gen=5

85,137,90.75,1.0,4481.499589563038,0,65.54563879966736
IoT-Level AoIs for Seed,85
IoT 1,87,t_gen=17
IoT 2,99,t_gen=18
IoT 3,104,t_gen=13
IoT 4,123,t_gen=2
IoT 5,42,t_gen=14
IoT 6,110,t_gen=7
