Scenario Information
Number of IoT Nodes,30
Number of UAVs,3
Number of Ground BS,4

Seed,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,113,77.83333333333333,1.0,3841.7093004933545,0,62.90822720527649
IoT-Level AoIs for Seed,42
IoT 1,42,t_gen=6
IoT 2,106,t_gen=17
IoT 3,106,t_gen=17
IoT 4,96,t_gen=8
IoT 5,7,t_gen=5
IoT 6,100,t_gen=4
IoT 7,94,t_gen=3
IoT 8,37,t_gen=11
IoT 9,109,t_gen=14
IoT 10,85,t_gen=12
IoT 11,103,t_gen=20
IoT 12,86,t_gen=18
IoT 13,41,t_gen=7
IoT 14,97,t_gen=7
IoT 15,83,t_gen=14
IoT 16,93,t_gen=11
IoT 17,77,t_gen=20
IoT 18,106,t_gen=17
IoT 19,6,t_gen=12
IoT 20,80,t_gen=17
IoT 21,47,t_gen=1
IoT 22,38,t_gen=10
IoT 23,30,t_gen=18
IoT 24,77,t_gen=20
IoT 25,77,t_gen=20
IoT 26,113,t_gen=7
IoT 27,105,t_gen=18
IoT 28,112,t_gen=11
IoT 29,81,t_gen=16
IoT 30,101,t_gen=3

50,125,68.93333333333334,1.0,4036.146779856369,0,44.137513399124146
IoT-Level AoIs for Seed,50
IoT 1,43,t_gen=4
IoT 2,17,t_gen=11
IoT 3,18,t_gen=10
IoT 4,102,t_gen=13
IoT 5,42,t_gen=2
IoT 6,102,t_gen=20
IoT 7,37,t_gen=10
IoT 8,26,t_gen=3
IoT 9,104,t_gen=18
IoT 10,22,t_gen=6
IoT 11,23,t_gen=19
IoT 12,112,t_gen=3
IoT 13,82,t_gen=17
IoT 14,15,t_gen=17
IoT 15,29,t_gen=18
IoT 16,88,t_gen=11
IoT 17,36,t_gen=11
IoT 18,109,t_gen=13
IoT 19,9,t_gen=20
IoT 20,115,t_gen=7
IoT 21,118,t_gen=4
IoT 22,19,t_gen=10
IoT 23,120,t_gen=2
IoT 24,114,t_gen=8
IoT 25,86,t_gen=13
IoT 26,97,t_gen=2
IoT 27,47,t_gen=0
IoT 28,104,t_gen=18
IoT 29,125,t_gen=11
IoT 30,107,t_gen=15

55,103,72.5,1.0,3508.911684255495,0,47.56576943397522
IoT-Level AoIs for Seed,55
IoT 1,93,t_gen=15
IoT 2,28,t_gen=12
IoT 3,9,t_gen=17
IoT 4,92,t_gen=8
IoT 5,100,t_gen=0
IoT 6,61,t_gen=1
IoT 7,80,t_gen=20
IoT 8,94,t_gen=6
IoT 9,40,t_gen=0
IoT 10,3,t_gen=9
IoT 11,93,t_gen=7
IoT 12,101,t_gen=7
IoT 13,94,t_gen=6
IoT 14,87,t_gen=13
IoT 15,101,t_gen=3
IoT 16,60,t_gen=2
IoT 17,102,t_gen=8
IoT 18,50,t_gen=2
IoT 19,93,t_gen=15
IoT 20,83,t_gen=17
IoT 21,33,t_gen=12
IoT 22,95,t_gen=5
IoT 23,93,t_gen=7
IoT 24,97,t_gen=11
IoT 25,29,t_gen=11
IoT 26,99,t_gen=1
IoT 27,47,t_gen=15
IoT 28,59,t_gen=16
IoT 29,56,t_gen=6
IoT 30,103,t_gen=5

60,108,74.6,1.0,3387.26502913868,0,42.71107482910156
IoT-Level AoIs for Seed,60
IoT 1,55,t_gen=5
IoT 2,60,t_gen=20
IoT 3,55,t_gen=5
IoT 4,76,t_gen=4
IoT 5,86,t_gen=18
IoT 6,71,t_gen=9
IoT 7,102,t_gen=7
IoT 8,72,t_gen=8
IoT 9,72,t_gen=8
IoT 10,54,t_gen=6
IoT 11,97,t_gen=16
IoT 12,78,t_gen=12
IoT 13,77,t_gen=3
IoT 14,78,t_gen=2
IoT 15,70,t_gen=10
IoT 16,105,t_gen=12
IoT 17,104,t_gen=5
IoT 18,66,t_gen=14
IoT 19,42,t_gen=18
IoT 20,52,t_gen=8
IoT 21,53,t_gen=7
IoT 22,96,t_gen=13
IoT 23,80,t_gen=0
IoT 24,108,t_gen=1
IoT 25,103,t_gen=6
IoT 26,47,t_gen=13
IoT 27,53,t_gen=7
IoT 28,99,t_gen=10
IoT 29,62,t_gen=7
IoT 30,65,t_gen=15

65,123,75.43333333333334,1.0,3902.893675216169,0,39.29701256752014
IoT-Level AoIs for Seed,65
IoT 1,37,t_gen=17
IoT 2,109,t_gen=15
IoT 3,51,t_gen=3
IoT 4,108,t_gen=4
IoT 5,98,t_gen=4
IoT 6,34,t_gen=20
IoT 7,111,t_gen=20
IoT 8,53,t_gen=1
IoT 9,123,t_gen=10
IoT 10,46,t_gen=8
IoT 11,100,t_gen=2
IoT 12,112,t_gen=0
IoT 13,94,t_gen=18
IoT 14,71,t_gen=4
IoT 15,92,t_gen=10
IoT 16,43,t_gen=11
IoT 17,34,t_gen=20
IoT 18,100,t_gen=2
IoT 19,49,t_gen=5
IoT 20,52,t_gen=2
IoT 21,45,t_gen=18
IoT 22,116,t_gen=17
IoT 23,82,t_gen=20
IoT 24,107,t_gen=5
IoT 25,87,t_gen=15
IoT 26,48,t_gen=16
IoT 27,98,t_gen=4
IoT 28,56,t_gen=17
IoT 29,38,t_gen=16
IoT 30,69,t_gen=1

85,118,79.53333333333333,1.0,4363.5739263230735,0,52.739848375320435
IoT-Level AoIs for Seed,85
IoT 1,83,t_gen=17
IoT 2,99,t_gen=18
IoT 3,102,t_gen=13
IoT 4,34,t_gen=2
IoT 5,44,t_gen=14
IoT 6,110,t_gen=7
IoT 7,87,t_gen=13
IoT 8,95,t_gen=5
IoT 9,99,t_gen=16
IoT 10,93,t_gen=7
IoT 11,15,t_gen=10
IoT 12,114,t_gen=1
IoT 13,31,t_gen=5
IoT 14,42,t_gen=5
IoT 15,95,t_gen=5
IoT 16,86,t_gen=14
IoT 17,28,t_gen=8
IoT 18,118,t_gen=20
IoT 19,83,t_gen=17
IoT 20,96,t_gen=4
IoT 21,6,t_gen=9
IoT 22,28,t_gen=8
IoT 23,118,t_gen=2
IoT 24,96,t_gen=4
