Scenario Information
Number of IoT Nodes,30
Number of UAVs,3
Number of Ground BS,4

Seed,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,113,77.83333333333333,1.0,3841.7093004933545,0,62.90822720527649
IoT-Level AoIs for Seed,42
IoT 25,98,t_gen=19
IoT 26,87,t_gen=13
IoT 27,96,t_gen=19
IoT 28,87,t_gen=13
IoT 29,110,t_gen=7
IoT 30,106,t_gen=11

90,111,70.53333333333333,1.0,3636.5273554126497,0,53.1378607749939
IoT-Level AoIs for Seed,90
IoT 1,106,t_gen=8
IoT 2,71,t_gen=4
IoT 3,26,t_gen=12
IoT 4,34,t_gen=4
IoT 5,76,t_gen=1
IoT 6,98,t_gen=16
IoT 7,35,t_gen=3
IoT 8,75,t_gen=0
IoT 9,70,t_gen=5
IoT 10,97,t_gen=17
IoT 11,37,t_gen=2
IoT 12,32,t_gen=10
IoT 13,31,t_gen=19
IoT 14,65,t_gen=10
IoT 15,96,t_gen=18
IoT 16,61,t_gen=1
IoT 17,60,t_gen=15
IoT 18,109,t_gen=5
IoT 19,108,t_gen=6
IoT 20,60,t_gen=15
IoT 21,58,t_gen=17
IoT 22,110,t_gen=4
IoT 23,97,t_gen=17
IoT 24,33,t_gen=5
IoT 25,79,t_gen=12
IoT 26,60,t_gen=15
IoT 27,94,t_gen=20
IoT 28,65,t_gen=18
IoT 29,111,t_gen=12
IoT 30,62,t_gen=13

105,113,69.16666666666667,1.0,3674.215883339796,0,46.79296350479126
IoT-Level AoIs for Seed,105
IoT 1,13,t_gen=4
IoT 2,54,t_gen=5
IoT 3,45,t_gen=14
IoT 4,99,t_gen=7
IoT 5,92,t_gen=9
IoT 6,90,t_gen=16
IoT 7,16,t_gen=10
IoT 8,103,t_gen=3
IoT 9,14,t_gen=5
IoT 10,94,t_gen=12
IoT 11,88,t_gen=18
IoT 12,40,t_gen=19
IoT 13,43,t_gen=16
IoT 14,88,t_gen=13
IoT 15,88,t_gen=18
IoT 16,44,t_gen=15
IoT 17,48,t_gen=11
IoT 18,106,t_gen=0
IoT 19,82,t_gen=19
IoT 20,13,t_gen=13
IoT 21,64,t_gen=5
IoT 22,81,t_gen=20
IoT 23,50,t_gen=9
IoT 24,113,t_gen=11
IoT 25,98,t_gen=3
IoT 26,34,t_gen=5
IoT 27,57,t_gen=2
IoT 28,113,t_gen=6
IoT 29,108,t_gen=11
IoT 30,97,t_gen=16

49,113,81.93333333333334,1.0,3702.725288502444,0,41.19302201271057
IoT-Level AoIs for Seed,49
IoT 1,93,t_gen=20
IoT 2,66,t_gen=19
IoT 3,30,t_gen=0
IoT 4,17,t_gen=13
IoT 5,74,t_gen=11
IoT 6,17,t_gen=19
IoT 7,96,t_gen=17
IoT 8,111,t_gen=2
IoT 9,96,t_gen=17
IoT 10,48,t_gen=7
IoT 11,94,t_gen=19
IoT 12,101,t_gen=12
IoT 13,96,t_gen=17
IoT 14,85,t_gen=0
IoT 15,21,t_gen=9
IoT 16,102,t_gen=11
IoT 17,103,t_gen=10
IoT 18,100,t_gen=13
IoT 19,37,t_gen=8
IoT 20,110,t_gen=3
IoT 21,71,t_gen=14
IoT 22,66,t_gen=19
IoT 23,78,t_gen=7
IoT 24,113,t_gen=0
IoT 25,110,t_gen=3
IoT 26,108,t_gen=5
IoT 27,100,t_gen=13
IoT 28,108,t_gen=11
IoT 29,97,t_gen=16
IoT 30,110,t_gen=3

110,116,77.73333333333333,1.0,3613.88179411658,0,35.82601022720337
IoT-Level AoIs for Seed,110
IoT 1,59,t_gen=1
IoT 2,113,t_gen=2
IoT 3,99,t_gen=16
IoT 4,110,t_gen=7
IoT 5,99,t_gen=16
IoT 6,43,t_gen=17
IoT 7,111,t_gen=4
IoT 8,108,t_gen=7
IoT 9,58,t_gen=2
IoT 10,58,t_gen=5
IoT 11,107,t_gen=8
IoT 12,19,t_gen=8
IoT 13,15,t_gen=12
IoT 14,101,t_gen=14
IoT 15,99,t_gen=16
IoT 16,48,t_gen=12
IoT 17,107,t_gen=10
IoT 18,77,t_gen=2
IoT 19,65,t_gen=5
IoT 20,27,t_gen=0
IoT 21,56,t_gen=4
IoT 22,10,t_gen=17
IoT 23,116,t_gen=1
IoT 24,101,t_gen=16
IoT 25,85,t_gen=1
IoT 26,114,t_gen=1
IoT 27,58,t_gen=2
IoT 28,114,t_gen=3
IoT 29,50,t_gen=10
IoT 30,105,t_gen=12

Final Averages
avg_peak_aoi,114.3
avg_avg_aoi,74.82000000000001
avg_coverage,1.0
avg_total_dist,3766.7850716654602
avg_unserved,0.0
avg_runtime,46.630930233001706
