Scenario Information
Number of IoT Nodes,50
Number of UAVs,3
Number of Ground BS,4

Seed,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,156,89.12,1.0,4886.128640015578,0,105.90419292449951
IoT-Level AoIs for Seed,42
IoT 1,43,t_gen=6
IoT 2,133,t_gen=17
IoT 3,133,t_gen=17
IoT 4,84,t_gen=8
IoT 5,15,t_gen=5
IoT 6,89,t_gen=4
IoT 7,147,t_gen=3
IoT 8,38,t_gen=11
IoT 9,78,t_gen=14
IoT 10,80,t_gen=12
IoT 11,130,t_gen=20
IoT 12,129,t_gen=18
IoT 13,42,t_gen=7
IoT 14,140,t_gen=7
IoT 15,79,t_gen=14
IoT 16,82,t_gen=11
IoT 17,72,t_gen=20
IoT 18,133,t_gen=17
IoT 19,138,t_gen=12
IoT 20,75,t_gen=17
IoT 21,62,t_gen=1
IoT 22,39,t_gen=10
IoT 23,31,t_gen=18
IoT 24,14,t_gen=20
IoT 25,72,t_gen=20
IoT 26,42,t_gen=7
IoT 27,74,t_gen=18
IoT 28,81,t_gen=11
IoT 29,76,t_gen=16
IoT 30,89,t_gen=3
IoT 31,36,t_gen=13
IoT 32,74,t_gen=19
IoT 33,76,t_gen=17
IoT 34,7,t_gen=3
IoT 35,85,t_gen=8
IoT 36,84,t_gen=9
IoT 37,84,t_gen=8
IoT 38,135,t_gen=16
IoT 39,142,t_gen=9
IoT 40,87,t_gen=6
IoT 41,133,t_gen=17
IoT 42,147,t_gen=0
IoT 43,90,t_gen=3
IoT 44,142,t_gen=9
IoT 45,39,t_gen=18
IoT 46,156,t_gen=15
IoT 47,130,t_gen=17
IoT 48,136,t_gen=15
IoT 49,146,t_gen=16
IoT 50,87,t_gen=6

50,172,87.02,1.0,4813.895465467924,0,87.74660968780518
IoT-Level AoIs for Seed,50
IoT 1,47,t_gen=4
IoT 2,133,t_gen=11
IoT 3,134,t_gen=10
IoT 4,162,t_gen=13
IoT 5,37,t_gen=2
IoT 6,121,t_gen=20
IoT 7,131,t_gen=10
IoT 8,97,t_gen=3
IoT 9,42,t_gen=18
IoT 10,45,t_gen=6
IoT 11,32,t_gen=19
IoT 12,172,t_gen=3
IoT 13,124,t_gen=17
IoT 14,127,t_gen=17
IoT 15,33,t_gen=18
IoT 16,130,t_gen=11
IoT 17,40,t_gen=11
IoT 18,47,t_gen=13
IoT 19,80,t_gen=20
IoT 20,168,t_gen=7
IoT 21,56,t_gen=4
IoT 22,90,t_gen=10
IoT 23,58,t_gen=2
IoT 24,167,t_gen=8
IoT 25,162,t_gen=13
IoT 26,139,t_gen=2
IoT 27,62,t_gen=0
IoT 28,42,t_gen=18
IoT 29,11,t_gen=11
IoT 30,160,t_gen=15
IoT 31,16,t_gen=6
IoT 32,49,t_gen=2
IoT 33,18,t_gen=4
IoT 34,49,t_gen=11
IoT 35,53,t_gen=7
IoT 36,135,t_gen=9
IoT 37,36,t_gen=15
IoT 38,54,t_gen=4
IoT 39,125,t_gen=19
IoT 40,88,t_gen=12
IoT 41,129,t_gen=15
IoT 42,90,t_gen=10
IoT 43,133,t_gen=8
IoT 44,138,t_gen=3
IoT 45,42,t_gen=9
IoT 46,39,t_gen=8
IoT 47,93,t_gen=7
IoT 48,134,t_gen=7
IoT 49,22,t_gen=7
IoT 50,59,t_gen=17

55,143,82.46,1.0,4465.726813981781,0,95.08864045143127
IoT-Level AoIs for Seed,55
IoT 1,66,t_gen=15
IoT 2,57,t_gen=12
IoT 3,115,t_gen=17
IoT 4,61,t_gen=8
IoT 5,52,t_gen=0
IoT 6,80,t_gen=1
IoT 7,119,t_gen=20
IoT 8,63,t_gen=6
IoT 9,76,t_gen=0
IoT 10,134,t_gen=9
