Scenario Information
Number of IoT Nodes,20
Number of UAVs,3
Number of Ground BS,4

Seed,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,110,93.45,1.0,3351.566450668707,0,37.866514921188354
IoT-Level AoIs for Seed,42
IoT 1,109,t_gen=6
IoT 2,96,t_gen=17
IoT 3,96,t_gen=17
IoT 4,105,t_gen=8
IoT 5,7,t_gen=5
IoT 6,109,t_gen=4
IoT 7,110,t_gen=3
IoT 8,102,t_gen=11
IoT 9,101,t_gen=14
IoT 10,103,t_gen=12
IoT 11,93,t_gen=20
IoT 12,97,t_gen=18
IoT 13,106,t_gen=7
IoT 14,76,t_gen=7
IoT 15,69,t_gen=14
IoT 16,102,t_gen=11
IoT 17,93,t_gen=20
IoT 18,96,t_gen=17
IoT 19,101,t_gen=12
IoT 20,98,t_gen=17

50,108,71.15,1.0,3481.920407848796,0,34.11042618751526
IoT-Level AoIs for Seed,50
IoT 1,106,t_gen=4
IoT 2,53,t_gen=11
IoT 3,15,t_gen=10
IoT 4,97,t_gen=13
IoT 5,108,t_gen=2
IoT 6,90,t_gen=20
IoT 7,100,t_gen=10
IoT 8,19,t_gen=3
IoT 9,46,t_gen=18
IoT 10,19,t_gen=6
IoT 11,45,t_gen=19
IoT 12,107,t_gen=3
IoT 13,93,t_gen=17
IoT 14,5,t_gen=17
IoT 15,46,t_gen=18
IoT 16,99,t_gen=11
IoT 17,99,t_gen=11
IoT 18,90,t_gen=13
IoT 19,83,t_gen=20
IoT 20,103,t_gen=7

55,106,57.6,1.0,3003.462450765792,0,37.374165058135986
IoT-Level AoIs for Seed,55
IoT 1,92,t_gen=15
IoT 2,95,t_gen=12
IoT 3,90,t_gen=17
IoT 4,44,t_gen=8
IoT 5,30,t_gen=0
IoT 6,106,t_gen=1
IoT 7,32,t_gen=20
IoT 8,46,t_gen=6
IoT 9,30,t_gen=0
IoT 10,98,t_gen=9
IoT 11,20,t_gen=7
IoT 12,59,t_gen=7
IoT 13,46,t_gen=6
IoT 14,39,t_gen=13
IoT 15,63,t_gen=3
IoT 16,105,t_gen=2
IoT 17,5,t_gen=8
IoT 18,50,t_gen=2
IoT 19,51,t_gen=15
IoT 20,51,t_gen=17

60,95,66.2,1.0,3156.886810415605,0,31.590054512023926
IoT-Level AoIs for Seed,60
IoT 1,46,t_gen=5
IoT 2,59,t_gen=20
IoT 3,46,t_gen=5
IoT 4,75,t_gen=4
IoT 5,83,t_gen=18
IoT 6,70,t_gen=9
IoT 7,72,t_gen=7
IoT 8,71,t_gen=8
IoT 9,71,t_gen=8
IoT 10,45,t_gen=6
IoT 11,84,t_gen=16
IoT 12,88,t_gen=12
IoT 13,76,t_gen=3
IoT 14,58,t_gen=2
IoT 15,69,t_gen=10
IoT 16,75,t_gen=12
IoT 17,95,t_gen=5
IoT 18,65,t_gen=14
IoT 19,33,t_gen=18
IoT 20,43,t_gen=8

65,96,66.45,1.0,3092.204329304661,0,31.96603012084961
IoT-Level AoIs for Seed,65
IoT 1,20,t_gen=17
IoT 2,37,t_gen=15
IoT 3,83,t_gen=3
IoT 4,39,t_gen=4
IoT 5,96,t_gen=4
IoT 6,66,t_gen=20
IoT 7,23,t_gen=20
IoT 8,91,t_gen=1
IoT 9,90,t_gen=10
IoT 10,84,t_gen=8
IoT 11,90,t_gen=2
IoT 12,92,t_gen=0
IoT 13,74,t_gen=18
IoT 14,85,t_gen=4
IoT 15,90,t_gen=10
IoT 16,81,t_gen=11
IoT 17,23,t_gen=20
IoT 18,35,t_gen=2
IoT 19,95,t_gen=5
IoT 20,35,t_gen=2

85,108,77.5,1.0,3611.4507764426694,0,30.499820232391357
IoT-Level AoIs for Seed,85
