Scenario Information
Number of IoT Nodes,60
Number of UAVs,2
Number of Ground BS,4

Seed,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,209,146.48333333333332,1.0,4522.264815696504,0,138.1120843887329
IoT-Level AoIs for Seed,42
IoT 46,131,t_gen=8
IoT 47,84,t_gen=7
IoT 48,231,t_gen=7
IoT 49,148,t_gen=7
IoT 50,13,t_gen=17
IoT 51,93,t_gen=8
IoT 52,130,t_gen=9
IoT 53,154,t_gen=5
IoT 54,226,t_gen=15
IoT 55,90,t_gen=1
IoT 56,86,t_gen=5
IoT 57,86,t_gen=16
IoT 58,4,t_gen=15
IoT 59,71,t_gen=20
IoT 60,74,t_gen=17

55,235,123.83333333333333,1.0,4063.143178901014,0,94.15387678146362
IoT-Level AoIs for Seed,55
IoT 1,217,t_gen=15
IoT 2,64,t_gen=12
IoT 3,163,t_gen=17
IoT 4,79,t_gen=8
IoT 5,161,t_gen=0
IoT 6,231,t_gen=1
IoT 7,67,t_gen=20
IoT 8,81,t_gen=6
IoT 9,91,t_gen=0
IoT 10,205,t_gen=9
IoT 11,75,t_gen=7
IoT 12,225,t_gen=7
IoT 13,81,t_gen=6
IoT 14,74,t_gen=13
IoT 15,123,t_gen=3
IoT 16,74,t_gen=2
IoT 17,172,t_gen=8
IoT 18,109,t_gen=2
IoT 19,217,t_gen=15
IoT 20,59,t_gen=17
IoT 21,93,t_gen=12
IoT 22,71,t_gen=5
IoT 23,80,t_gen=7
IoT 24,221,t_gen=11
IoT 25,65,t_gen=11
IoT 26,75,t_gen=1
IoT 27,61,t_gen=15
IoT 28,79,t_gen=16
IoT 29,70,t_gen=6
IoT 30,227,t_gen=5
IoT 31,65,t_gen=11
IoT 32,76,t_gen=0
IoT 33,84,t_gen=3
IoT 34,72,t_gen=15
IoT 35,189,t_gen=3
IoT 36,81,t_gen=6
IoT 37,67,t_gen=20
IoT 38,167,t_gen=15
IoT 39,131,t_gen=13
IoT 40,159,t_gen=2
IoT 41,85,t_gen=12
IoT 42,230,t_gen=2
IoT 43,193,t_gen=13
IoT 44,70,t_gen=17
IoT 45,121,t_gen=8
IoT 46,235,t_gen=1
IoT 47,215,t_gen=17
IoT 48,154,t_gen=7
IoT 49,124,t_gen=2
IoT 50,161,t_gen=0
IoT 51,119,t_gen=7
IoT 52,69,t_gen=18
IoT 53,114,t_gen=17
IoT 54,160,t_gen=20
IoT 55,177,t_gen=12
IoT 56,84,t_gen=3
IoT 57,57,t_gen=19
IoT 58,152,t_gen=9
IoT 59,147,t_gen=20
IoT 60,62,t_gen=14

60,232,124.41666666666667,1.0,4550.137729008577,0,92.05561661720276
IoT-Level AoIs for Seed,60
IoT 1,64,t_gen=5
IoT 2,210,t_gen=20
IoT 3,64,t_gen=5
IoT 4,63,t_gen=4
IoT 5,178,t_gen=18
IoT 6,58,t_gen=9
IoT 7,90,t_gen=7
IoT 8,232,t_gen=8
IoT 9,59,t_gen=8
IoT 10,63,t_gen=6
IoT 11,180,t_gen=16
IoT 12,228,t_gen=12
IoT 13,64,t_gen=3
IoT 14,65,t_gen=2
IoT 15,57,t_gen=10
IoT 16,102,t_gen=12
IoT 17,191,t_gen=5
IoT 18,192,t_gen=14
IoT 19,51,t_gen=18
IoT 20,61,t_gen=8
IoT 21,62,t_gen=7
IoT 22,217,t_gen=13
IoT 23,67,t_gen=0
IoT 24,229,t_gen=1
IoT 25,190,t_gen=6
IoT 26,56,t_gen=13
IoT 27,62,t_gen=7
IoT 28,220,t_gen=10
IoT 29,72,t_gen=7
IoT 30,52,t_gen=15
IoT 31,62,t_gen=7
IoT 32,223,t_gen=17
IoT 33,180,t_gen=16
IoT 34,96,t_gen=1
IoT 35,61,t_gen=6
IoT 36,190,t_gen=6
IoT 37,226,t_gen=4
IoT 38,216,t_gen=14
IoT 39,62,t_gen=7
IoT 40,189,t_gen=7
IoT 41,91,t_gen=20
IoT 42,179,t_gen=17
IoT 43,200,t_gen=18
IoT 44,97,t_gen=14
IoT 45,100,t_gen=5
IoT 46,195,t_gen=1
IoT 47,93,t_gen=4
IoT 48,193,t_gen=3
IoT 49,51,t_gen=16
IoT 50,86,t_gen=5
IoT 51,104,t_gen=18
IoT 52,225,t_gen=5
IoT 53,190,t_gen=6
IoT 54,59,t_gen=8
IoT 55,51,t_gen=18
IoT 56,50,t_gen=19
IoT 57,183,t_gen=13
IoT 58,67,t_gen=7
IoT 59,64,t_gen=3
IoT 60,183,t_gen=13

65,219,137.18333333333334,1.0,4540.591260422376,0,93.45746779441833
IoT-Level AoIs for Seed,65
IoT 1,74,t_gen=17
IoT 2,205,t_gen=15
IoT 3,88,t_gen=3
IoT 4,117,t_gen=4
IoT 5,216,t_gen=4
IoT 6,8,t_gen=20
IoT 7,19,t_gen=20
IoT 8,76,t_gen=1
IoT 9,210,t_gen=10
IoT 10,212,t_gen=8
IoT 11,218,t_gen=2
IoT 12,121,t_gen=0
IoT 13,103,t_gen=18
IoT 14,91,t_gen=4
IoT 15,210,t_gen=10
IoT 16,209,t_gen=11
IoT 17,57,t_gen=20
IoT 18,89,t_gen=2
IoT 19,72,t_gen=5
IoT 20,89,t_gen=2
IoT 21,103,t_gen=18
IoT 22,203,t_gen=17
IoT 23,200,t_gen=20
IoT 24,36,t_gen=5
IoT 25,205,t_gen=15
IoT 26,107,t_gen=16
IoT 27,216,t_gen=4
IoT 28,81,t_gen=17
IoT 29,23,t_gen=16
IoT 30,102,t_gen=1
IoT 31,22,t_gen=6
IoT 32,112,t_gen=9
IoT 33,117,t_gen=4
IoT 34,204,t_gen=16
IoT 35,201,t_gen=19
IoT 36,106,t_gen=8
IoT 37,201,t_gen=19
IoT 38,85,t_gen=8
IoT 39,210,t_gen=10
IoT 40,215,t_gen=5
IoT 41,37,t_gen=17
IoT 42,212,t_gen=8
IoT 43,202,t_gen=18
IoT 44,96,t_gen=13
IoT 45,209,t_gen=11
IoT 46,212,t_gen=8
IoT 47,205,t_gen=15
IoT 48,106,t_gen=15
IoT 49,113,t_gen=15
IoT 50,212,t_gen=8
IoT 51,214,t_gen=6
IoT 52,35,t_gen=4
IoT 53,45,t_gen=4
IoT 54,205,t_gen=15
IoT 55,219,t_gen=1
IoT 56,70,t_gen=7
IoT 57,200,t_gen=20
IoT 58,118,t_gen=3
IoT 59,202,t_gen=18
IoT 60,86,t_gen=5

85,226,130.26666666666668,1.0,4327.3508317331125,0,95.4385621547699
IoT-Level AoIs for Seed,85
IoT 1,202,t_gen=17
IoT 2,158,t_gen=18
IoT 3,163,t_gen=13
IoT 4,224,t_gen=2
IoT 5,47,t_gen=14
IoT 6,212,t_gen=7
IoT 7,163,t_gen=13
IoT 8,64,t_gen=5
IoT 9,78,t_gen=16
IoT 10,212,t_gen=7
IoT 11,93,t_gen=10
IoT 12,175,t_gen=1
IoT 13,32,t_gen=5
IoT 14,45,t_gen=5
IoT 15,171,t_gen=5
IoT 16,162,t_gen=14
IoT 17,28,t_gen=8
IoT 18,195,t_gen=20
IoT 19,159,t_gen=17
IoT 20,172,t_gen=4
IoT 21,106,t_gen=9
IoT 22,61,t_gen=8
IoT 23,92,t_gen=2
IoT 24,215,t_gen=4
IoT 25,200,t_gen=19
IoT 26,31,t_gen=13
IoT 27,157,t_gen=19
IoT 28,163,t_gen=13
IoT 29,212,t_gen=7
IoT 30,130,t_gen=11
IoT 31,161,t_gen=15
IoT 32,171,t_gen=5
IoT 33,26,t_gen=10
IoT 34,30,t_gen=6
IoT 35,50,t_gen=19
IoT 36,172,t_gen=4
IoT 37,174,t_gen=2
IoT 38,28,t_gen=8
IoT 39,219,t_gen=0
IoT 40,174,t_gen=2
IoT 41,175,t_gen=1
IoT 42,57,t_gen=12
IoT 43,32,t_gen=4
IoT 44,206,t_gen=9
IoT 45,226,t_gen=7
IoT 46,26,t_gen=10
IoT 47,68,t_gen=1
IoT 48,29,t_gen=7
IoT 49,28,t_gen=8
IoT 50,204,t_gen=15
IoT 51,57,t_gen=12
IoT 52,69,t_gen=0
IoT 53,157,t_gen=19
IoT 54,201,t_gen=18
IoT 55,202,t_gen=17
IoT 56,202,t_gen=17
IoT 57,205,t_gen=10
IoT 58,62,t_gen=7
IoT 59,119,t_gen=12
IoT 60,164,t_gen=12

90,226,142.1,1.0,4807.382219233878,0,94.3503532409668
IoT-Level AoIs for Seed,90
IoT 1,67,t_gen=8
IoT 2,180,t_gen=4
IoT 3,80,t_gen=12
IoT 4,90,t_gen=4
IoT 5,226,t_gen=1
IoT 6,195,t_gen=16
IoT 7,89,t_gen=3
IoT 8,184,t_gen=0
IoT 9,87,t_gen=5
IoT 10,194,t_gen=17
IoT 11,90,t_gen=2
IoT 12,69,t_gen=10
IoT 13,56,t_gen=19
IoT 14,174,t_gen=10
IoT 15,193,t_gen=18
IoT 16,108,t_gen=1
IoT 17,219,t_gen=15
IoT 18,112,t_gen=5
IoT 19,69,t_gen=6
IoT 20,169,t_gen=15
IoT 21,75,t_gen=17
IoT 22,83,t_gen=4
IoT 23,58,t_gen=17
IoT 24,87,t_gen=5
IoT 25,203,t_gen=12
IoT 26,77,t_gen=15
IoT 27,191,t_gen=20
IoT 28,221,t_gen=18
IoT 29,85,t_gen=12
IoT 30,79,t_gen=13
IoT 31,59,t_gen=16
IoT 32,80,t_gen=12
IoT 33,194,t_gen=17
IoT 34,69,t_gen=6
IoT 35,90,t_gen=2
IoT 36,79,t_gen=20
IoT 37,86,t_gen=6
IoT 38,188,t_gen=14
IoT 39,192,t_gen=19
IoT 40,191,t_gen=20
IoT 41,196,t_gen=15
IoT 42,173,t_gen=11
IoT 43,212,t_gen=18
IoT 44,182,t_gen=20
IoT 45,180,t_gen=4
IoT 46,200,t_gen=11
IoT 47,195,t_gen=19
IoT 48,183,t_gen=1
IoT 49,75,t_gen=0
IoT 50,209,t_gen=2
IoT 51,88,t_gen=4
IoT 52,221,t_gen=9
IoT 53,226,t_gen=11
IoT 54,92,t_gen=0
IoT 55,173,t_gen=11
IoT 56,204,t_gen=7
IoT 57,81,t_gen=19
IoT 58,196,t_gen=15
IoT 59,201,t_gen=10
IoT 60,201,t_gen=10

105,257,130.88333333333333,1.0,4709.200760230313,0,98.06251335144043
IoT-Level AoIs for Seed,105
IoT 1,213,t_gen=4
IoT 2,142,t_gen=5
IoT 3,105,t_gen=14
IoT 4,210,t_gen=7
IoT 5,47,t_gen=9
IoT 6,249,t_gen=16
IoT 7,46,t_gen=10
IoT 8,116,t_gen=3
IoT 9,213,t_gen=5
IoT 10,253,t_gen=12
IoT 11,247,t_gen=18
IoT 12,201,t_gen=19
IoT 13,160,t_gen=16
IoT 14,163,t_gen=13
IoT 15,164,t_gen=18
IoT 16,14,t_gen=15
IoT 17,108,t_gen=11
IoT 18,119,t_gen=0
IoT 19,37,t_gen=19
IoT 20,207,t_gen=13
IoT 21,171,t_gen=5
IoT 22,156,t_gen=20
IoT 23,138,t_gen=9
IoT 24,71,t_gen=11
IoT 25,53,t_gen=3
IoT 26,114,t_gen=5
IoT 27,174,t_gen=2
IoT 28,76,t_gen=6
IoT 29,18,t_gen=11
IoT 30,257,t_gen=16
IoT 31,224,t_gen=8
IoT 32,13,t_gen=16
IoT 33,176,t_gen=0
IoT 34,213,t_gen=4
IoT 35,219,t_gen=1
IoT 36,63,t_gen=10
IoT 37,209,t_gen=11
IoT 38,72,t_gen=10
IoT 39,59,t_gen=3
IoT 40,88,t_gen=2
IoT 41,50,t_gen=6
IoT 42,55,t_gen=1
IoT 43,60,t_gen=2
IoT 44,48,t_gen=14
IoT 45,175,t_gen=5
IoT 46,52,t_gen=4
IoT 47,142,t_gen=5
IoT 48,102,t_gen=0
IoT 49,128,t_gen=19
IoT 50,174,t_gen=2
IoT 51,203,t_gen=14
IoT 52,216,t_gen=1
IoT 53,246,t_gen=19
IoT 54,101,t_gen=18
IoT 55,163,t_gen=17
IoT 56,51,t_gen=5
IoT 57,40,t_gen=16
IoT 58,174,t_gen=2
IoT 59,70,t_gen=13
IoT 60,25,t_gen=17

49,233,140.73333333333332,1.0,4210.622658542046,0,83.26101922988892
IoT-Level AoIs for Seed,49
IoT 1,191,t_gen=20
IoT 2,18,t_gen=19
IoT 3,48,t_gen=0
IoT 4,35,t_gen=13
IoT 5,198,t_gen=11
IoT 6,34,t_gen=19
IoT 7,192,t_gen=17
IoT 8,207,t_gen=2
IoT 9,192,t_gen=17
IoT 10,159,t_gen=7
IoT 11,190,t_gen=19
IoT 12,197,t_gen=12
IoT 13,192,t_gen=17
IoT 14,209,t_gen=0
IoT 15,39,t_gen=9
IoT 16,206,t_gen=11
IoT 17,22,t_gen=10
IoT 18,153,t_gen=13
IoT 19,54,t_gen=8
IoT 20,206,t_gen=3
IoT 21,152,t_gen=14
IoT 22,147,t_gen=19
IoT 23,202,t_gen=7
IoT 24,166,t_gen=0
IoT 25,163,t_gen=3
IoT 26,204,t_gen=5
IoT 27,153,t_gen=13
IoT 28,198,t_gen=11
IoT 29,150,t_gen=16
IoT 30,163,t_gen=3
IoT 31,148,t_gen=18
IoT 32,195,t_gen=19
IoT 33,221,t_gen=10
IoT 34,196,t_gen=13
IoT 35,146,t_gen=20
IoT 36,202,t_gen=7
IoT 37,46,t_gen=2
IoT 38,27,t_gen=17
IoT 39,226,t_gen=16
IoT 40,41,t_gen=7
IoT 41,17,t_gen=15
IoT 42,20,t_gen=12
IoT 43,202,t_gen=7
IoT 44,147,t_gen=19
IoT 45,160,t_gen=6
IoT 46,233,t_gen=3
IoT 47,35,t_gen=13
IoT 48,158,t_gen=8
IoT 49,195,t_gen=14
IoT 50,209,t_gen=0
IoT 51,162,t_gen=4
IoT 52,156,t_gen=10
IoT 53,38,t_gen=10
IoT 54,189,t_gen=20
IoT 55,41,t_gen=7
IoT 56,44,t_gen=4
IoT 57,163,t_gen=3
IoT 58,30,t_gen=2
IoT 59,202,t_gen=7
IoT 60,155,t_gen=11

110,220,154.66666666666666,1.0,4335.297833300913,0,88.76165509223938
IoT-Level AoIs for Seed,110
IoT 1,33,t_gen=1
IoT 2,217,t_gen=2
IoT 3,203,t_gen=16
IoT 4,213,t_gen=7
IoT 5,203,t_gen=16
IoT 6,203,t_gen=17
IoT 7,119,t_gen=4
IoT 8,213,t_gen=7
IoT 9,32,t_gen=2
IoT 10,32,t_gen=5
IoT 11,26,t_gen=8
IoT 12,212,t_gen=8
IoT 13,208,t_gen=12
IoT 14,206,t_gen=14
IoT 15,204,t_gen=16
IoT 16,22,t_gen=12
IoT 17,210,t_gen=10
IoT 18,56,t_gen=2
IoT 19,44,t_gen=5
IoT 20,220,t_gen=0
IoT 21,30,t_gen=4
IoT 22,55,t_gen=17
IoT 23,219,t_gen=1
IoT 24,204,t_gen=16
IoT 25,64,t_gen=1
IoT 26,218,t_gen=1
IoT 27,218,t_gen=2
IoT 28,216,t_gen=3
IoT 29,210,t_gen=10
IoT 30,208,t_gen=12
IoT 31,199,t_gen=20
IoT 32,215,t_gen=5
IoT 33,201,t_gen=19
IoT 34,204,t_gen=15
IoT 35,22,t_gen=12
IoT 36,216,t_gen=3
IoT 37,208,t_gen=12
IoT 38,218,t_gen=1
IoT 39,27,t_gen=7
IoT 40,201,t_gen=19
IoT 41,72,t_gen=12
IoT 42,29,t_gen=5
IoT 43,217,t_gen=2
IoT 44,210,t_gen=10
IoT 45,80,t_gen=16
IoT 46,40,t_gen=6
IoT 47,202,t_gen=17
IoT 48,93,t_gen=11
IoT 49,106,t_gen=5
IoT 50,216,t_gen=4
IoT 51,202,t_gen=18
IoT 52,202,t_gen=18
IoT 53,203,t_gen=17
IoT 54,203,t_gen=17
IoT 55,201,t_gen=19
IoT 56,22,t_gen=12
IoT 57,214,t_gen=5
IoT 58,212,t_gen=8
IoT 59,117,t_gen=0
IoT 60,210,t_gen=10

Final Averages
avg_peak_aoi,229.7
avg_avg_aoi,135.31333333333333
avg_coverage,1.0
avg_total_dist,4499.153169149542
avg_unserved,0.0
avg_runtime,96.8349727153778
