Scenario Information
Number of IoT Nodes,60
Number of UAVs,3
Number of Ground BS,4

Seed,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,180,129.08333333333334,1.0,5801.181165252486,0,126.09160017967224
IoT-Level AoIs for Seed,42
IoT 1,169,t_gen=6
IoT 2,155,t_gen=17
IoT 3,139,t_gen=17
IoT 4,179,t_gen=8
IoT 5,41,t_gen=5
IoT 6,79,t_gen=4
IoT 7,169,t_gen=3
IoT 8,17,t_gen=11
IoT 9,161,t_gen=14
IoT 10,144,t_gen=12
IoT 11,152,t_gen=20
IoT 12,157,t_gen=18
IoT 13,21,t_gen=7
IoT 14,149,t_gen=7
IoT 15,142,t_gen=14
IoT 16,164,t_gen=11
IoT 17,152,t_gen=20
IoT 18,155,t_gen=17
IoT 19,40,t_gen=12
IoT 20,158,t_gen=17
IoT 21,33,t_gen=1
IoT 22,165,t_gen=10
IoT 23,157,t_gen=18
IoT 24,136,t_gen=20
IoT 25,136,t_gen=20
IoT 26,165,t_gen=7
IoT 27,65,t_gen=18
IoT 28,164,t_gen=11
IoT 29,140,t_gen=16
IoT 30,169,t_gen=3
IoT 31,162,t_gen=13
IoT 32,164,t_gen=19
IoT 33,139,t_gen=17
IoT 34,33,t_gen=3
IoT 35,175,t_gen=8
IoT 36,166,t_gen=9
IoT 37,167,t_gen=8
IoT 38,159,t_gen=16
IoT 39,147,t_gen=9
IoT 40,77,t_gen=6
IoT 41,139,t_gen=17
IoT 42,156,t_gen=0
IoT 43,180,t_gen=3
IoT 44,166,t_gen=9
IoT 45,10,t_gen=18
IoT 46,6,t_gen=15
IoT 47,158,t_gen=17
IoT 48,160,t_gen=15
IoT 49,171,t_gen=16
IoT 50,77,t_gen=6
IoT 51,150,t_gen=6
IoT 52,155,t_gen=20
IoT 53,161,t_gen=14
IoT 54,162,t_gen=10
IoT 55,154,t_gen=18
IoT 56,155,t_gen=20
IoT 57,27,t_gen=1
IoT 58,19,t_gen=7
IoT 59,139,t_gen=17
IoT 60,138,t_gen=18

50,193,92.26666666666667,1.0,5346.321649870268,0,93.05557107925415
