Scenario Information
Number of IoT Nodes,40
Number of UAVs,3
Number of Ground BS,4

Seed,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,125,79.625,1.0,3947.0307069842825,0,128.171302318573
IoT-Level AoIs for Seed,42
IoT 1,43,t_gen=6
IoT 2,111,t_gen=17
IoT 3,111,t_gen=17
IoT 4,78,t_gen=8
IoT 5,110,t_gen=5
IoT 6,82,t_gen=4
IoT 7,125,t_gen=3
IoT 8,38,t_gen=11
IoT 9,72,t_gen=14
IoT 10,103,t_gen=12
IoT 11,108,t_gen=20
IoT 12,97,t_gen=18
IoT 13,42,t_gen=7
IoT 14,108,t_gen=7
IoT 15,101,t_gen=14
IoT 16,75,t_gen=11
IoT 17,66,t_gen=20
IoT 18,111,t_gen=17
IoT 19,4,t_gen=12
IoT 20,98,t_gen=17
IoT 21,58,t_gen=1
IoT 22,39,t_gen=10
IoT 23,31,t_gen=18
IoT 24,92,t_gen=20
IoT 25,95,t_gen=20
IoT 26,42,t_gen=7
IoT 27,68,t_gen=18
IoT 28,75,t_gen=11
IoT 29,99,t_gen=16
IoT 30,83,t_gen=3
IoT 31,36,t_gen=13
IoT 32,67,t_gen=19
IoT 33,98,t_gen=17
IoT 34,7,t_gen=3
IoT 35,120,t_gen=8
IoT 36,103,t_gen=9
IoT 37,78,t_gen=8
IoT 38,99,t_gen=16
IoT 39,106,t_gen=9
IoT 40,106,t_gen=6

50,141,78.85,1.0,4561.730315493743,0,116.8857672214508
IoT-Level AoIs for Seed,50
IoT 1,89,t_gen=4
IoT 2,17,t_gen=11
IoT 3,18,t_gen=10
IoT 4,131,t_gen=13
IoT 5,91,t_gen=2
IoT 6,73,t_gen=20
IoT 7,83,t_gen=10
IoT 8,62,t_gen=3
IoT 9,92,t_gen=18
IoT 10,22,t_gen=6
IoT 11,125,t_gen=19
IoT 12,141,t_gen=3
IoT 13,127,t_gen=17
IoT 14,78,t_gen=17
IoT 15,75,t_gen=18
IoT 16,82,t_gen=11
IoT 17,82,t_gen=11
IoT 18,52,t_gen=13
IoT 19,121,t_gen=20
IoT 20,137,t_gen=7
IoT 21,61,t_gen=4
IoT 22,55,t_gen=10
IoT 23,63,t_gen=2
IoT 24,85,t_gen=8
IoT 25,36,t_gen=13
IoT 26,91,t_gen=2
IoT 27,38,t_gen=0
IoT 28,47,t_gen=18
IoT 29,54,t_gen=11
IoT 30,126,t_gen=15
IoT 31,104,t_gen=6
IoT 32,91,t_gen=2
IoT 33,106,t_gen=4
IoT 34,54,t_gen=11
IoT 35,58,t_gen=7
IoT 36,135,t_gen=9
IoT 37,78,t_gen=15
IoT 38,30,t_gen=4
IoT 39,91,t_gen=19
IoT 40,53,t_gen=12

55,129,68.075,1.0,4128.7238866657135,0,129.0248908996582
IoT-Level AoIs for Seed,55
IoT 1,51,t_gen=15
IoT 2,83,t_gen=12
IoT 3,126,t_gen=17
IoT 4,51,t_gen=8
IoT 5,35,t_gen=0
IoT 6,65,t_gen=1
IoT 7,79,t_gen=20
IoT 8,53,t_gen=6
IoT 9,59,t_gen=0
IoT 10,3,t_gen=9
IoT 11,117,t_gen=7
IoT 12,59,t_gen=7
IoT 13,93,t_gen=6
IoT 14,86,t_gen=13
IoT 15,74,t_gen=3
IoT 16,116,t_gen=2
IoT 17,13,t_gen=8
IoT 18,105,t_gen=2
IoT 19,51,t_gen=15
IoT 20,82,t_gen=17
IoT 21,88,t_gen=12
IoT 22,90,t_gen=5
IoT 23,52,t_gen=7
IoT 24,55,t_gen=11
IoT 25,129,t_gen=11
IoT 26,94,t_gen=1
IoT 27,103,t_gen=15
IoT 28,33,t_gen=16
IoT 29,89,t_gen=6
IoT 30,61,t_gen=5
IoT 31,84,t_gen=11
IoT 32,95,t_gen=0
IoT 33,56,t_gen=3
IoT 34,44,t_gen=15
IoT 35,32,t_gen=3
IoT 36,89,t_gen=6
IoT 37,39,t_gen=20
IoT 38,3,t_gen=15
IoT 39,53,t_gen=13
IoT 40,33,t_gen=2

60,133,93.525,1.0,4032.886303537941,0,125.74507236480713
IoT-Level AoIs for Seed,60
IoT 1,105,t_gen=5
IoT 2,102,t_gen=20
IoT 3,117,t_gen=5
IoT 4,103,t_gen=4
IoT 5,89,t_gen=18
IoT 6,98,t_gen=9
IoT 7,100,t_gen=7
IoT 8,49,t_gen=8
IoT 9,114,t_gen=8
IoT 10,51,t_gen=6
IoT 11,91,t_gen=16
IoT 12,120,t_gen=12
IoT 13,104,t_gen=3
IoT 14,105,t_gen=2
IoT 15,97,t_gen=10
IoT 16,108,t_gen=12
IoT 17,98,t_gen=5
IoT 18,43,t_gen=14
IoT 19,133,t_gen=18
IoT 20,114,t_gen=8
IoT 21,50,t_gen=7
IoT 22,109,t_gen=13
IoT 23,107,t_gen=0
IoT 24,121,t_gen=1
IoT 25,97,t_gen=6
IoT 26,44,t_gen=13
IoT 27,50,t_gen=7
IoT 28,112,t_gen=10
IoT 29,96,t_gen=7
IoT 30,92,t_gen=15
IoT 31,115,t_gen=7
IoT 32,40,t_gen=17
IoT 33,91,t_gen=16
IoT 34,106,t_gen=1
IoT 35,101,t_gen=6
IoT 36,97,t_gen=6
IoT 37,118,t_gen=4
IoT 38,108,t_gen=14
IoT 39,50,t_gen=7
IoT 40,96,t_gen=7

65,144,80.35,1.0,4279.366159276989,0,150.83382081985474
IoT-Level AoIs for Seed,65
IoT 1,29,t_gen=17
IoT 2,53,t_gen=15
IoT 3,114,t_gen=3
IoT 4,77,t_gen=4
IoT 5,144,t_gen=4
IoT 6,26,t_gen=20
IoT 7,39,t_gen=20
IoT 8,58,t_gen=1
IoT 9,138,t_gen=10
IoT 10,51,t_gen=8
IoT 11,79,t_gen=2
IoT 12,81,t_gen=0
IoT 13,63,t_gen=18
IoT 14,115,t_gen=4
IoT 15,89,t_gen=10
IoT 16,48,t_gen=11
IoT 17,93,t_gen=20
IoT 18,115,t_gen=2
IoT 19,54,t_gen=5
IoT 20,44,t_gen=2
IoT 21,81,t_gen=18
IoT 22,131,t_gen=17
IoT 23,128,t_gen=20
IoT 24,130,t_gen=5
IoT 25,133,t_gen=15
IoT 26,40,t_gen=16
IoT 27,144,t_gen=4
IoT 28,131,t_gen=17
IoT 29,43,t_gen=16
IoT 30,64,t_gen=1
IoT 31,40,t_gen=6
IoT 32,72,t_gen=9
IoT 33,77,t_gen=4
IoT 34,65,t_gen=16
IoT 35,98,t_gen=19
IoT 36,53,t_gen=8
IoT 37,40,t_gen=19
IoT 38,109,t_gen=8
IoT 39,49,t_gen=10
IoT 40,76,t_gen=5

85,149,91.975,1.0,4737.9414221696825,0,169.7869393825531
IoT-Level AoIs for Seed,85
IoT 1,77,t_gen=17
IoT 2,76,t_gen=18
IoT 3,81,t_gen=13
IoT 4,148,t_gen=2
IoT 5,80,t_gen=14
IoT 6,87,t_gen=7
IoT 7,94,t_gen=13
IoT 8,89,t_gen=5
IoT 9,134,t_gen=16
IoT 10,87,t_gen=7
IoT 11,15,t_gen=10
IoT 12,106,t_gen=1
IoT 13,46,t_gen=5
IoT 14,89,t_gen=5
IoT 15,102,t_gen=5
IoT 16,93,t_gen=14
IoT 17,148,t_gen=8
IoT 18,131,t_gen=20
IoT 19,90,t_gen=17
IoT 20,103,t_gen=4
IoT 21,6,t_gen=9
IoT 22,99,t_gen=8
IoT 23,149,t_gen=2
IoT 24,103,t_gen=4
IoT 25,105,t_gen=19
IoT 26,30,t_gen=13
IoT 27,88,t_gen=19
IoT 28,143,t_gen=13
IoT 29,87,t_gen=7
IoT 30,29,t_gen=11
IoT 31,92,t_gen=15
