Scenario Information
Number of IoT Nodes,40
Number of UAVs,4
Number of Ground BS,4

Seed,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,168,93.05,1.0,5128.2485171063245,0,67.09317541122437
IoT-Level AoIs for Seed,42
IoT 1,43,t_gen=6
IoT 2,118,t_gen=17
IoT 3,118,t_gen=17
IoT 4,159,t_gen=8
IoT 5,168,t_gen=5
IoT 6,66,t_gen=4
IoT 7,132,t_gen=3
IoT 8,38,t_gen=11
IoT 9,121,t_gen=14
IoT 10,155,t_gen=12
IoT 11,147,t_gen=20
IoT 12,117,t_gen=18
IoT 13,42,t_gen=7
IoT 14,128,t_gen=7
IoT 15,159,t_gen=14
IoT 16,59,t_gen=11
IoT 17,50,t_gen=20
IoT 18,150,t_gen=17
IoT 19,58,t_gen=12
IoT 20,150,t_gen=17
IoT 21,166,t_gen=1
IoT 22,39,t_gen=10
IoT 23,31,t_gen=18
IoT 24,27,t_gen=20
IoT 25,147,t_gen=20
IoT 26,42,t_gen=7
IoT 27,117,t_gen=18
IoT 28,156,t_gen=11
IoT 29,54,t_gen=16
IoT 30,132,t_gen=3
IoT 31,36,t_gen=13
IoT 32,51,t_gen=19
IoT 33,30,t_gen=17
IoT 34,81,t_gen=3
IoT 35,23,t_gen=8
IoT 36,49,t_gen=9
IoT 37,127,t_gen=8
IoT 38,31,t_gen=16
IoT 39,38,t_gen=9
IoT 40,167,t_gen=6

50,119,71.975,1.0,4334.296414591478,0,66.20758652687073
IoT-Level AoIs for Seed,50
IoT 1,72,t_gen=4
IoT 2,118,t_gen=11
IoT 3,119,t_gen=10
IoT 4,89,t_gen=13
IoT 5,115,t_gen=2
IoT 6,82,t_gen=20
IoT 7,66,t_gen=10
IoT 8,80,t_gen=3
IoT 9,111,t_gen=18
IoT 10,70,t_gen=6
IoT 11,57,t_gen=19
IoT 12,99,t_gen=3
IoT 13,59,t_gen=17
IoT 14,66,t_gen=17
IoT 15,58,t_gen=18
IoT 16,65,t_gen=11
IoT 17,19,t_gen=11
IoT 18,70,t_gen=13
IoT 19,68,t_gen=20
IoT 20,95,t_gen=7
IoT 21,79,t_gen=4
IoT 22,73,t_gen=10
IoT 23,81,t_gen=2
IoT 24,109,t_gen=8
IoT 25,27,t_gen=13
IoT 26,28,t_gen=2
IoT 27,87,t_gen=0
IoT 28,65,t_gen=18
IoT 29,11,t_gen=11
IoT 30,102,t_gen=15
IoT 31,16,t_gen=6
IoT 32,28,t_gen=2
IoT 33,18,t_gen=4
IoT 34,72,t_gen=11
IoT 35,76,t_gen=7
IoT 36,108,t_gen=9
IoT 37,61,t_gen=15
IoT 38,79,t_gen=4
IoT 39,110,t_gen=19
IoT 40,71,t_gen=12

55,149,82.6,1.0,4928.484175356908,0,73.0573308467865
IoT-Level AoIs for Seed,55
IoT 1,39,t_gen=15
IoT 2,67,t_gen=12
IoT 3,82,t_gen=17
IoT 4,144,t_gen=8
IoT 5,52,t_gen=0
IoT 6,53,t_gen=1
IoT 7,132,t_gen=20
IoT 8,146,t_gen=6
IoT 9,78,t_gen=0
IoT 10,103,t_gen=9
IoT 11,35,t_gen=7
IoT 12,127,t_gen=7
IoT 13,146,t_gen=6
IoT 14,139,t_gen=13
IoT 15,149,t_gen=3
IoT 16,52,t_gen=2
IoT 17,96,t_gen=8
IoT 18,59,t_gen=2
IoT 19,119,t_gen=15
IoT 20,49,t_gen=17
IoT 21,71,t_gen=12
IoT 22,73,t_gen=5
IoT 23,46,t_gen=7
IoT 24,123,t_gen=11
IoT 25,141,t_gen=11
IoT 26,77,t_gen=1
IoT 27,9,t_gen=15
IoT 28,38,t_gen=16
IoT 29,30,t_gen=6
IoT 30,129,t_gen=5
IoT 31,43,t_gen=11
IoT 32,54,t_gen=0
IoT 33,149,t_gen=3
IoT 34,38,t_gen=15
IoT 35,76,t_gen=3
IoT 36,47,t_gen=6
IoT 37,33,t_gen=20
IoT 38,89,t_gen=15
IoT 39,121,t_gen=13
IoT 40,50,t_gen=2

60,137,85.2,1.0,4783.75920409655,0,55.520684003829956
IoT-Level AoIs for Seed,60
IoT 1,99,t_gen=5
IoT 2,84,t_gen=20
IoT 3,99,t_gen=5
IoT 4,97,t_gen=4
IoT 5,124,t_gen=18
IoT 6,42,t_gen=9
IoT 7,44,t_gen=7
IoT 8,129,t_gen=8
IoT 9,93,t_gen=8
IoT 10,98,t_gen=6
IoT 11,93,t_gen=16
IoT 12,39,t_gen=12
IoT 13,48,t_gen=3
IoT 14,49,t_gen=2
IoT 15,41,t_gen=10
IoT 16,28,t_gen=12
IoT 17,137,t_gen=5
IoT 18,49,t_gen=14
IoT 19,86,t_gen=18
IoT 20,96,t_gen=8
IoT 21,130,t_gen=7
IoT 22,91,t_gen=13
IoT 23,101,t_gen=0
IoT 24,103,t_gen=1
IoT 25,136,t_gen=6
IoT 26,27,t_gen=13
IoT 27,97,t_gen=7
IoT 28,94,t_gen=10
IoT 29,102,t_gen=7
IoT 30,36,t_gen=15
IoT 31,33,t_gen=7
IoT 32,120,t_gen=17
IoT 33,85,t_gen=16
IoT 34,108,t_gen=1
IoT 35,45,t_gen=6
IoT 36,136,t_gen=6
IoT 37,100,t_gen=4
IoT 38,90,t_gen=14
IoT 39,97,t_gen=7
IoT 40,102,t_gen=7

65,137,79.85,1.0,5726.579603210728,0,54.630640268325806
IoT-Level AoIs for Seed,65
IoT 1,80,t_gen=17
IoT 2,43,t_gen=15
IoT 3,94,t_gen=3
IoT 4,132,t_gen=4
IoT 5,59,t_gen=4
IoT 6,56,t_gen=20
IoT 7,32,t_gen=20
IoT 8,90,t_gen=1
IoT 9,137,t_gen=10
IoT 10,89,t_gen=8
IoT 11,134,t_gen=2
IoT 12,136,t_gen=0
IoT 13,118,t_gen=18
IoT 14,21,t_gen=4
IoT 15,53,t_gen=10
IoT 16,80,t_gen=11
IoT 17,127,t_gen=20
IoT 18,84,t_gen=2
IoT 19,86,t_gen=5
IoT 20,23,t_gen=2
IoT 21,73,t_gen=18
IoT 22,110,t_gen=17
IoT 23,43,t_gen=20
IoT 24,122,t_gen=5
IoT 25,48,t_gen=15
IoT 26,82,t_gen=16
IoT 27,59,t_gen=4
IoT 28,80,t_gen=17
IoT 29,42,t_gen=16
IoT 30,101,t_gen=1
IoT 31,19,t_gen=6
IoT 32,88,t_gen=9
IoT 33,132,t_gen=4
IoT 34,47,t_gen=16
IoT 35,78,t_gen=19
IoT 36,95,t_gen=8
IoT 37,72,t_gen=19
IoT 38,128,t_gen=8
IoT 39,48,t_gen=10
IoT 40,53,t_gen=5

85,127,81.4,1.0,5307.4399094229475,0,51.57401180267334
IoT-Level AoIs for Seed,85
IoT 1,92,t_gen=17
IoT 2,60,t_gen=18
IoT 3,84,t_gen=13
IoT 4,43,t_gen=2
IoT 5,83,t_gen=14
IoT 6,102,t_gen=7
IoT 7,75,t_gen=13
IoT 8,83,t_gen=5
IoT 9,127,t_gen=16
IoT 10,81,t_gen=7
IoT 11,15,t_gen=10
IoT 12,77,t_gen=1
IoT 13,84,t_gen=5
IoT 14,92,t_gen=5
IoT 15,73,t_gen=5
IoT 16,74,t_gen=14
IoT 17,89,t_gen=8
IoT 18,123,t_gen=20
IoT 19,80,t_gen=17
IoT 20,93,t_gen=4
IoT 21,6,t_gen=9
IoT 22,80,t_gen=8
IoT 23,34,t_gen=2
IoT 24,84,t_gen=4
IoT 25,78,t_gen=19
IoT 26,86,t_gen=13
IoT 27,90,t_gen=19
IoT 28,84,t_gen=13
IoT 29,102,t_gen=7
IoT 30,67,t_gen=11
IoT 31,63,t_gen=15
IoT 32,104,t_gen=5
IoT 33,78,t_gen=10
IoT 34,126,t_gen=6
IoT 35,78,t_gen=19
IoT 36,74,t_gen=4
IoT 37,95,t_gen=2
IoT 38,124,t_gen=8
IoT 39,78,t_gen=0
IoT 40,95,t_gen=2

90,172,83.6,1.0,4907.03097836691,0,44.91236901283264
IoT-Level AoIs for Seed,90
IoT 1,140,t_gen=8
IoT 2,78,t_gen=4
IoT 3,21,t_gen=12
IoT 4,29,t_gen=4
IoT 5,50,t_gen=1
IoT 6,99,t_gen=16
IoT 7,30,t_gen=3
IoT 8,124,t_gen=0
IoT 9,77,t_gen=5
IoT 10,50,t_gen=17
IoT 11,158,t_gen=2
IoT 12,27,t_gen=10
IoT 13,35,t_gen=19
IoT 14,72,t_gen=10
IoT 15,49,t_gen=18
IoT 16,172,t_gen=1
IoT 17,22,t_gen=15
IoT 18,62,t_gen=5
IoT 19,61,t_gen=6
IoT 20,109,t_gen=15
IoT 21,65,t_gen=17
IoT 22,144,t_gen=4
IoT 23,131,t_gen=17
IoT 24,77,t_gen=5
IoT 25,70,t_gen=12
IoT 26,109,t_gen=15
IoT 27,128,t_gen=20
IoT 28,40,t_gen=18
IoT 29,146,t_gen=12
IoT 30,133,t_gen=13
IoT 31,51,t_gen=16
IoT 32,70,t_gen=12
IoT 33,98,t_gen=17
IoT 34,142,t_gen=6
IoT 35,80,t_gen=2
IoT 36,43,t_gen=20
IoT 37,118,t_gen=6
IoT 38,68,t_gen=14
IoT 39,96,t_gen=19
IoT 40,70,t_gen=20

105,144,76.025,1.0,4857.914956641564,0,53.0692241191864
IoT-Level AoIs for Seed,105
IoT 1,96,t_gen=4
IoT 2,93,t_gen=5
IoT 3,42,t_gen=14
IoT 4,41,t_gen=7
IoT 5,76,t_gen=9
IoT 6,138,t_gen=16
IoT 7,41,t_gen=10
IoT 8,141,t_gen=3
IoT 9,139,t_gen=5
IoT 10,142,t_gen=12
IoT 11,136,t_gen=18
IoT 12,135,t_gen=19
IoT 13,112,t_gen=16
IoT 14,38,t_gen=13
IoT 15,80,t_gen=18
IoT 16,25,t_gen=15
IoT 17,77,t_gen=11
IoT 18,144,t_gen=0
IoT 19,32,t_gen=19
IoT 20,72,t_gen=13
IoT 21,53,t_gen=5
IoT 22,31,t_gen=20
IoT 23,89,t_gen=9
IoT 24,37,t_gen=11
IoT 25,37,t_gen=3
IoT 26,95,t_gen=5
IoT 27,46,t_gen=2
IoT 28,34,t_gen=6
IoT 29,29,t_gen=11
IoT 30,32,t_gen=16
IoT 31,90,t_gen=8
IoT 32,35,t_gen=16
IoT 33,128,t_gen=0
IoT 34,18,t_gen=4
IoT 35,127,t_gen=1
IoT 36,46,t_gen=10
IoT 37,143,t_gen=11
IoT 38,30,t_gen=10
IoT 39,82,t_gen=3
IoT 40,59,t_gen=2

49,125,68.15,1.0,5338.0800892748875,0,51.482643365859985
IoT-Level AoIs for Seed,49
IoT 1,1,t_gen=20
IoT 2,92,t_gen=19
IoT 3,32,t_gen=0
IoT 4,19,t_gen=13
IoT 5,100,t_gen=11
IoT 6,19,t_gen=19
IoT 7,51,t_gen=17
IoT 8,66,t_gen=2
IoT 9,101,t_gen=17
IoT 10,61,t_gen=7
IoT 11,99,t_gen=19
IoT 12,120,t_gen=12
IoT 13,115,t_gen=17
IoT 14,21,t_gen=0
IoT 15,23,t_gen=9
IoT 16,107,t_gen=11
IoT 17,122,t_gen=10
IoT 18,105,t_gen=13
IoT 19,60,t_gen=8
