Scenario Information
Number of IoT Nodes,40
Number of UAVs,4
Number of Ground BS,4

Seed,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,168,93.05,1.0,5128.2485171063245,0,67.09317541122437
IoT-Level AoIs for Seed,42
IoT 20,108,t_gen=3
IoT 21,54,t_gen=14
IoT 22,92,t_gen=19
IoT 23,14,t_gen=7
IoT 24,118,t_gen=0
IoT 25,51,t_gen=3
IoT 26,63,t_gen=5
IoT 27,55,t_gen=13
IoT 28,113,t_gen=11
IoT 29,38,t_gen=16
IoT 30,65,t_gen=3
IoT 31,36,t_gen=18
IoT 32,113,t_gen=19
IoT 33,71,t_gen=10
IoT 34,41,t_gen=13
IoT 35,91,t_gen=20
IoT 36,125,t_gen=7
IoT 37,30,t_gen=2
IoT 38,37,t_gen=17
IoT 39,72,t_gen=16
IoT 40,25,t_gen=7

110,139,86.45,1.0,5029.226487903388,0,71.63108468055725
IoT-Level AoIs for Seed,110
IoT 1,39,t_gen=1
IoT 2,113,t_gen=2
IoT 3,122,t_gen=16
IoT 4,108,t_gen=7
IoT 5,124,t_gen=16
IoT 6,123,t_gen=17
IoT 7,136,t_gen=4
IoT 8,133,t_gen=7
IoT 9,38,t_gen=2
IoT 10,38,t_gen=5
IoT 11,132,t_gen=8
IoT 12,19,t_gen=8
IoT 13,15,t_gen=12
IoT 14,124,t_gen=14
IoT 15,124,t_gen=16
IoT 16,28,t_gen=12
IoT 17,128,t_gen=10
IoT 18,36,t_gen=2
IoT 19,57,t_gen=5
IoT 20,27,t_gen=0
IoT 21,36,t_gen=4
IoT 22,10,t_gen=17
IoT 23,137,t_gen=1
IoT 24,124,t_gen=16
IoT 25,70,t_gen=1
IoT 26,139,t_gen=1
IoT 27,136,t_gen=2
IoT 28,137,t_gen=3
IoT 29,30,t_gen=10
IoT 30,103,t_gen=12
IoT 31,120,t_gen=20
IoT 32,135,t_gen=5
IoT 33,121,t_gen=19
IoT 34,125,t_gen=15
IoT 35,28,t_gen=12
IoT 36,49,t_gen=3
IoT 37,28,t_gen=12
IoT 38,114,t_gen=1
IoT 39,33,t_gen=7
IoT 40,119,t_gen=19

Final Averages
avg_peak_aoi,141.7
avg_avg_aoi,80.83
avg_coverage,1.0
avg_total_dist,5034.106033597169
avg_unserved,0.0
avg_runtime,58.9178750038147
