Scenario Information
Number of IoT Nodes,40
Number of UAVs,3
Number of Ground BS,4

Seed,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,139,87.2,1.0,4146.15207972831,0,145.76316332817078
IoT-Level AoIs for Seed,42
IoT 1,43,t_gen=6
IoT 2,122,t_gen=17
IoT 3,122,t_gen=17
IoT 4,137,t_gen=8
IoT 5,125,t_gen=5
IoT 6,40,t_gen=4
IoT 7,136,t_gen=3
IoT 8,38,t_gen=11
IoT 9,100,t_gen=14
IoT 10,102,t_gen=12
IoT 11,119,t_gen=20
IoT 12,127,t_gen=18
IoT 13,42,t_gen=7
IoT 14,138,t_gen=7
IoT 15,131,t_gen=14
IoT 16,33,t_gen=11
IoT 17,119,t_gen=20
IoT 18,122,t_gen=17
IoT 19,4,t_gen=12
IoT 20,97,t_gen=17
IoT 21,138,t_gen=1
IoT 22,39,t_gen=10
IoT 23,31,t_gen=18
IoT 24,94,t_gen=20
IoT 25,94,t_gen=20
IoT 26,42,t_gen=7
IoT 27,31,t_gen=18
IoT 28,128,t_gen=11
IoT 29,98,t_gen=16
IoT 30,111,t_gen=3
IoT 31,36,t_gen=13
IoT 32,25,t_gen=19
IoT 33,97,t_gen=17
IoT 34,7,t_gen=3
IoT 35,36,t_gen=8
IoT 36,105,t_gen=9
IoT 37,137,t_gen=8
IoT 38,98,t_gen=16
IoT 39,105,t_gen=9
IoT 40,139,t_gen=6

50,150,85.25,1.0,4196.237329292035,0,157.57983660697937
IoT-Level AoIs for Seed,50
IoT 1,118,t_gen=4
IoT 2,28,t_gen=11
IoT 3,29,t_gen=10
IoT 4,122,t_gen=13
IoT 5,133,t_gen=2
IoT 6,102,t_gen=20
IoT 7,112,t_gen=10
IoT 8,58,t_gen=3
IoT 9,43,t_gen=18
IoT 10,33,t_gen=6
IoT 11,47,t_gen=19
IoT 12,132,t_gen=3
IoT 13,105,t_gen=17
IoT 14,118,t_gen=17
IoT 15,150,t_gen=18
IoT 16,111,t_gen=11
IoT 17,111,t_gen=11
IoT 18,48,t_gen=13
IoT 19,121,t_gen=20
IoT 20,128,t_gen=7
IoT 21,57,t_gen=4
IoT 22,51,t_gen=10
IoT 23,59,t_gen=2
IoT 24,114,t_gen=8
IoT 25,109,t_gen=13
IoT 26,120,t_gen=2
IoT 27,49,t_gen=0
IoT 28,43,t_gen=18
IoT 29,64,t_gen=11
IoT 30,107,t_gen=15
IoT 31,116,t_gen=6
IoT 32,120,t_gen=2
IoT 33,118,t_gen=4
IoT 34,50,t_gen=11
IoT 35,54,t_gen=7
IoT 36,113,t_gen=9
IoT 37,107,t_gen=15
IoT 38,41,t_gen=4
IoT 39,20,t_gen=19
IoT 40,49,t_gen=12

55,145,68.825,1.0,4257.704764182168,0,186.0329782962799
IoT-Level AoIs for Seed,55
IoT 1,120,t_gen=15
IoT 2,66,t_gen=12
IoT 3,16,t_gen=17
IoT 4,140,t_gen=8
IoT 5,135,t_gen=0
IoT 6,66,t_gen=1
IoT 7,35,t_gen=20
IoT 8,49,t_gen=6
IoT 9,30,t_gen=0
IoT 10,3,t_gen=9
IoT 11,82,t_gen=7
IoT 12,60,t_gen=7
IoT 13,19,t_gen=6
IoT 14,12,t_gen=13
IoT 15,143,t_gen=3
IoT 16,76,t_gen=2
IoT 17,13,t_gen=8
IoT 18,53,t_gen=2
IoT 19,52,t_gen=15
IoT 20,61,t_gen=17
IoT 21,13,t_gen=12
IoT 22,73,t_gen=5
IoT 23,48,t_gen=7
IoT 24,56,t_gen=11
IoT 25,137,t_gen=11
IoT 26,77,t_gen=1
IoT 27,63,t_gen=15
IoT 28,85,t_gen=16
IoT 29,72,t_gen=6
IoT 30,62,t_gen=5
IoT 31,67,t_gen=11
IoT 32,78,t_gen=0
IoT 33,145,t_gen=3
IoT 34,40,t_gen=15
IoT 35,78,t_gen=3
IoT 36,30,t_gen=6
IoT 37,128,t_gen=20
IoT 38,3,t_gen=15
IoT 39,122,t_gen=13
IoT 40,145,t_gen=2

60,128,86.45,1.0,3839.39551651068,0,205.78162598609924
IoT-Level AoIs for Seed,60
IoT 1,42,t_gen=5
IoT 2,109,t_gen=20
IoT 3,124,t_gen=5
IoT 4,56,t_gen=4
IoT 5,64,t_gen=18
IoT 6,51,t_gen=9
IoT 7,53,t_gen=7
IoT 8,121,t_gen=8
IoT 9,121,t_gen=8
IoT 10,41,t_gen=6
IoT 11,109,t_gen=16
IoT 12,117,t_gen=12
IoT 13,57,t_gen=3
IoT 14,58,t_gen=2
IoT 15,50,t_gen=10
IoT 16,56,t_gen=12
IoT 17,120,t_gen=5
IoT 18,46,t_gen=14
IoT 19,29,t_gen=18
IoT 20,121,t_gen=8
IoT 21,40,t_gen=7
IoT 22,116,t_gen=13
IoT 23,60,t_gen=0
IoT 24,128,t_gen=1
IoT 25,119,t_gen=6
IoT 26,34,t_gen=13
IoT 27,40,t_gen=7
IoT 28,119,t_gen=10
IoT 29,105,t_gen=7
IoT 30,45,t_gen=15
IoT 31,122,t_gen=7
IoT 32,112,t_gen=17
IoT 33,96,t_gen=16
IoT 34,124,t_gen=1
IoT 35,54,t_gen=6
IoT 36,119,t_gen=6
IoT 37,125,t_gen=4
IoT 38,115,t_gen=14
IoT 39,122,t_gen=7
IoT 40,118,t_gen=7

65,175,92.95,1.0,4408.651046454024,0,262.82758688926697
IoT-Level AoIs for Seed,65
IoT 1,26,t_gen=17
IoT 2,30,t_gen=15
IoT 3,83,t_gen=3
IoT 4,88,t_gen=4
IoT 5,175,t_gen=4
IoT 6,58,t_gen=20
IoT 7,66,t_gen=20
IoT 8,91,t_gen=1
IoT 9,169,t_gen=10
IoT 10,167,t_gen=8
IoT 11,90,t_gen=2
IoT 12,92,t_gen=0
IoT 13,74,t_gen=18
IoT 14,43,t_gen=4
IoT 15,169,t_gen=10
IoT 16,164,t_gen=11
IoT 17,72,t_gen=20
IoT 18,41,t_gen=2
IoT 19,170,t_gen=5
IoT 20,41,t_gen=2
IoT 21,82,t_gen=18
IoT 22,162,t_gen=17
IoT 23,159,t_gen=20
IoT 24,86,t_gen=5
IoT 25,164,t_gen=15
IoT 26,54,t_gen=16
IoT 27,175,t_gen=4
IoT 28,33,t_gen=17
IoT 29,29,t_gen=16
IoT 30,54,t_gen=1
IoT 31,37,t_gen=6
IoT 32,83,t_gen=9
IoT 33,88,t_gen=4
IoT 34,85,t_gen=16
IoT 35,67,t_gen=19
IoT 36,53,t_gen=8
IoT 37,26,t_gen=19
IoT 38,37,t_gen=8
IoT 39,165,t_gen=10
IoT 40,170,t_gen=5

85,152,93.2,1.0,4373.912546809139,0,150.08510899543762
IoT-Level AoIs for Seed,85
IoT 1,105,t_gen=17
IoT 2,85,t_gen=18
IoT 3,109,t_gen=13
IoT 4,120,t_gen=2
IoT 5,49,t_gen=14
IoT 6,96,t_gen=7
IoT 7,90,t_gen=13
IoT 8,98,t_gen=5
IoT 9,136,t_gen=16
IoT 10,145,t_gen=7
IoT 11,142,t_gen=10
IoT 12,151,t_gen=1
IoT 13,27,t_gen=5
IoT 14,40,t_gen=5
IoT 15,147,t_gen=5
IoT 16,89,t_gen=14
IoT 17,23,t_gen=8
IoT 18,149,t_gen=20
IoT 19,86,t_gen=17
IoT 20,99,t_gen=4
IoT 21,6,t_gen=9
IoT 22,144,t_gen=8
IoT 23,27,t_gen=2
IoT 24,148,t_gen=4
IoT 25,103,t_gen=19
IoT 26,26,t_gen=13
IoT 27,133,t_gen=19
IoT 28,90,t_gen=13
IoT 29,115,t_gen=7
IoT 30,41,t_gen=11
IoT 31,137,t_gen=15
IoT 32,117,t_gen=5
IoT 33,21,t_gen=10
IoT 34,25,t_gen=6
IoT 35,84,t_gen=19
IoT 36,148,t_gen=4
IoT 37,101,t_gen=2
IoT 38,23,t_gen=8
IoT 39,152,t_gen=0
IoT 40,101,t_gen=2

90,138,80.375,1.0,3872.1790919124883,0,196.77454614639282
IoT-Level AoIs for Seed,90
IoT 1,23,t_gen=8
IoT 2,88,t_gen=4
IoT 3,73,t_gen=12
IoT 4,81,t_gen=4
IoT 5,43,t_gen=1
IoT 6,125,t_gen=16
IoT 7,82,t_gen=3
IoT 8,85,t_gen=0
IoT 9,80,t_gen=5
IoT 10,137,t_gen=17
IoT 11,84,t_gen=2
IoT 12,79,t_gen=10
IoT 13,87,t_gen=19
IoT 14,82,t_gen=10
IoT 15,123,t_gen=18
IoT 16,33,t_gen=1
IoT 17,36,t_gen=15
IoT 18,113,t_gen=5
IoT 19,135,t_gen=6
IoT 20,77,t_gen=15
IoT 21,68,t_gen=17
IoT 22,95,t_gen=4
IoT 23,14,t_gen=17
IoT 24,80,t_gen=5
IoT 25,19,t_gen=12
IoT 26,70,t_gen=15
IoT 27,134,t_gen=20
IoT 28,17,t_gen=18
IoT 29,79,t_gen=12
IoT 30,72,t_gen=13
IoT 31,138,t_gen=16
IoT 32,73,t_gen=12
IoT 33,124,t_gen=17
IoT 34,135,t_gen=6
IoT 35,83,t_gen=2
IoT 36,4,t_gen=20
IoT 37,79,t_gen=6
IoT 38,71,t_gen=14
IoT 39,122,t_gen=19
IoT 40,72,t_gen=20

105,155,87.05,1.0,5076.852595717762,0,198.02013301849365
IoT-Level AoIs for Seed,105
IoT 1,58,t_gen=4
IoT 2,57,t_gen=5
IoT 3,130,t_gen=14
IoT 4,73,t_gen=7
IoT 5,43,t_gen=9
IoT 6,128,t_gen=16
IoT 7,42,t_gen=10
IoT 8,141,t_gen=3
IoT 9,75,t_gen=5
IoT 10,132,t_gen=12
IoT 11,126,t_gen=18
IoT 12,125,t_gen=19
IoT 13,82,t_gen=16
IoT 14,39,t_gen=13
IoT 15,80,t_gen=18
IoT 16,47,t_gen=15
IoT 17,46,t_gen=11
IoT 18,144,t_gen=0
IoT 19,33,t_gen=19
IoT 20,48,t_gen=13
IoT 21,104,t_gen=5
IoT 22,32,t_gen=20
IoT 23,136,t_gen=9
IoT 24,51,t_gen=11
IoT 25,72,t_gen=3
IoT 26,69,t_gen=5
IoT 27,143,t_gen=2
IoT 28,16,t_gen=6
IoT 29,76,t_gen=11
IoT 30,46,t_gen=16
IoT 31,150,t_gen=8
