Scenario Information
Number of IoT Nodes,40
Number of UAVs,2
Number of Ground BS,4

Seed,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,188,120.275,1.0,3629.06519766961,0,74.03628253936768
IoT-Level AoIs for Seed,42
IoT 1,72,t_gen=6
IoT 2,174,t_gen=17
IoT 3,167,t_gen=17
IoT 4,183,t_gen=8
IoT 5,15,t_gen=5
IoT 6,74,t_gen=4
IoT 7,188,t_gen=3
IoT 8,67,t_gen=11
IoT 9,170,t_gen=14
IoT 10,172,t_gen=12
IoT 11,164,t_gen=20
IoT 12,166,t_gen=18
IoT 13,71,t_gen=7
IoT 14,177,t_gen=7
IoT 15,64,t_gen=14
IoT 16,67,t_gen=11
IoT 17,164,t_gen=20
IoT 18,167,t_gen=17
IoT 19,14,t_gen=12
IoT 20,174,t_gen=17
IoT 21,55,t_gen=1
IoT 22,68,t_gen=10
IoT 23,60,t_gen=18
IoT 24,58,t_gen=20
IoT 25,164,t_gen=20
IoT 26,39,t_gen=7
IoT 27,166,t_gen=18
IoT 28,173,t_gen=11
IoT 29,175,t_gen=16
IoT 30,181,t_gen=3
IoT 31,65,t_gen=13
IoT 32,59,t_gen=19
IoT 33,167,t_gen=17
IoT 34,7,t_gen=3
IoT 35,91,t_gen=8
IoT 36,69,t_gen=9
IoT 37,183,t_gen=8
IoT 38,168,t_gen=16
IoT 39,175,t_gen=9
IoT 40,178,t_gen=6

50,172,95.625,1.0,3613.7953338894176,0,65.88817238807678
IoT-Level AoIs for Seed,50
IoT 1,57,t_gen=4
IoT 2,100,t_gen=11
IoT 3,101,t_gen=10
IoT 4,156,t_gen=13
IoT 5,159,t_gen=2
IoT 6,149,t_gen=20
IoT 7,51,t_gen=10
IoT 8,69,t_gen=3
IoT 9,93,t_gen=18
IoT 10,55,t_gen=6
IoT 11,42,t_gen=19
IoT 12,166,t_gen=3
IoT 13,152,t_gen=17
IoT 14,55,t_gen=17
IoT 15,43,t_gen=18
IoT 16,158,t_gen=11
IoT 17,50,t_gen=11
IoT 18,59,t_gen=13
IoT 19,57,t_gen=20
IoT 20,162,t_gen=7
IoT 21,157,t_gen=4
IoT 22,62,t_gen=10
IoT 23,70,t_gen=2
IoT 24,153,t_gen=8
IoT 25,156,t_gen=13
IoT 26,167,t_gen=2
IoT 27,69,t_gen=0
IoT 28,54,t_gen=18
IoT 29,11,t_gen=11
IoT 30,154,t_gen=15
IoT 31,16,t_gen=6
IoT 32,59,t_gen=2
IoT 33,18,t_gen=4
IoT 34,61,t_gen=11
IoT 35,65,t_gen=7
IoT 36,160,t_gen=9
IoT 37,46,t_gen=15
IoT 38,172,t_gen=4
IoT 39,92,t_gen=19
IoT 40,149,t_gen=12

55,155,104.175,1.0,3501.7645865194163,0,65.56872296333313
IoT-Level AoIs for Seed,55
IoT 1,104,t_gen=15
IoT 2,69,t_gen=12
IoT 3,137,t_gen=17
IoT 4,38,t_gen=8
IoT 5,137,t_gen=0
IoT 6,118,t_gen=1
IoT 7,99,t_gen=20
IoT 8,40,t_gen=6
IoT 9,81,t_gen=0
IoT 10,155,t_gen=9
IoT 11,139,t_gen=7
IoT 12,147,t_gen=7
IoT 13,113,t_gen=6
IoT 14,106,t_gen=13
IoT 15,43,t_gen=3
IoT 16,117,t_gen=2
IoT 17,146,t_gen=8
IoT 18,96,t_gen=2
IoT 19,104,t_gen=15
IoT 20,64,t_gen=17
IoT 21,80,t_gen=12
IoT 22,114,t_gen=5
IoT 23,112,t_gen=7
IoT 24,108,t_gen=11
IoT 25,35,t_gen=11
IoT 26,80,t_gen=1
IoT 27,138,t_gen=15
IoT 28,150,t_gen=16
IoT 29,113,t_gen=6
IoT 30,114,t_gen=5
IoT 31,108,t_gen=11
IoT 32,119,t_gen=0
IoT 33,43,t_gen=3
IoT 34,104,t_gen=15
IoT 35,134,t_gen=3
IoT 36,81,t_gen=6
IoT 37,99,t_gen=20
IoT 38,141,t_gen=15
IoT 39,106,t_gen=13
IoT 40,135,t_gen=2

60,173,115.9,1.0,3275.4423458744423,0,69.2335741519928
IoT-Level AoIs for Seed,60
IoT 1,103,t_gen=5
IoT 2,105,t_gen=20
IoT 3,120,t_gen=5
IoT 4,121,t_gen=4
IoT 5,122,t_gen=18
IoT 6,116,t_gen=9
IoT 7,167,t_gen=7
IoT 8,28,t_gen=8
IoT 9,117,t_gen=8
IoT 10,102,t_gen=6
IoT 11,158,t_gen=16
IoT 12,113,t_gen=12
IoT 13,122,t_gen=3
IoT 14,123,t_gen=2
IoT 15,164,t_gen=10
IoT 16,32,t_gen=12
IoT 17,173,t_gen=5
IoT 18,22,t_gen=14
IoT 19,90,t_gen=18
IoT 20,100,t_gen=8
IoT 21,118,t_gen=7
IoT 22,112,t_gen=13
IoT 23,125,t_gen=0
IoT 24,124,t_gen=1
IoT 25,172,t_gen=6
IoT 26,95,t_gen=13
IoT 27,118,t_gen=7
IoT 28,115,t_gen=10
IoT 29,171,t_gen=7
IoT 30,110,t_gen=15
IoT 31,118,t_gen=7
IoT 32,19,t_gen=17
IoT 33,162,t_gen=16
IoT 34,173,t_gen=1
IoT 35,119,t_gen=6
IoT 36,172,t_gen=6
IoT 37,121,t_gen=4
IoT 38,22,t_gen=14
IoT 39,101,t_gen=7
IoT 40,171,t_gen=7

65,235,132.325,1.0,4021.235528438646,0,51.40056371688843
IoT-Level AoIs for Seed,65
IoT 1,24,t_gen=17
IoT 2,34,t_gen=15
IoT 3,80,t_gen=3
IoT 4,224,t_gen=4
IoT 5,162,t_gen=4
IoT 6,70,t_gen=20
IoT 7,20,t_gen=20
IoT 8,234,t_gen=1
IoT 9,156,t_gen=10
IoT 10,227,t_gen=8
IoT 11,226,t_gen=2
IoT 12,235,t_gen=0
IoT 13,217,t_gen=18
IoT 14,37,t_gen=4
IoT 15,156,t_gen=10
IoT 16,224,t_gen=11
IoT 17,208,t_gen=20
IoT 18,81,t_gen=2
IoT 19,97,t_gen=5
IoT 20,39,t_gen=2
IoT 21,148,t_gen=18
IoT 22,58,t_gen=17
IoT 23,215,t_gen=20
IoT 24,70,t_gen=5
IoT 25,220,t_gen=15
IoT 26,84,t_gen=16
IoT 27,162,t_gen=4
IoT 28,92,t_gen=17
IoT 29,24,t_gen=16
IoT 30,105,t_gen=1
IoT 31,35,t_gen=6
IoT 32,219,t_gen=9
IoT 33,231,t_gen=4
IoT 34,69,t_gen=16
IoT 35,21,t_gen=19
IoT 36,43,t_gen=8
IoT 37,216,t_gen=19
IoT 38,75,t_gen=8
IoT 39,225,t_gen=10
IoT 40,230,t_gen=5

85,171,123.85,1.0,3707.3199758166693,0,65.11231589317322
IoT-Level AoIs for Seed,85
IoT 1,65,t_gen=17
IoT 2,128,t_gen=18
IoT 3,133,t_gen=13
IoT 4,166,t_gen=2
IoT 5,132,t_gen=14
IoT 6,75,t_gen=7
IoT 7,133,t_gen=13
IoT 8,141,t_gen=5
IoT 9,128,t_gen=16
IoT 10,139,t_gen=7
IoT 11,134,t_gen=10
IoT 12,145,t_gen=1
IoT 13,77,t_gen=5
IoT 14,141,t_gen=5
IoT 15,141,t_gen=5
IoT 16,132,t_gen=14
IoT 17,138,t_gen=8
IoT 18,171,t_gen=20
IoT 19,129,t_gen=17
IoT 20,78,t_gen=4
IoT 21,148,t_gen=9
IoT 22,138,t_gen=8
IoT 23,142,t_gen=2
IoT 24,142,t_gen=4
IoT 25,63,t_gen=19
IoT 26,135,t_gen=13
IoT 27,169,t_gen=19
IoT 28,69,t_gen=13
IoT 29,139,t_gen=7
IoT 30,144,t_gen=11
IoT 31,131,t_gen=15
IoT 32,141,t_gen=5
IoT 33,82,t_gen=10
IoT 34,138,t_gen=6
IoT 35,63,t_gen=19
IoT 36,142,t_gen=4
IoT 37,80,t_gen=2
IoT 38,136,t_gen=8
IoT 39,146,t_gen=0
IoT 40,80,t_gen=2

90,193,121.425,1.0,3924.475423171185,0,65.89564990997314
IoT-Level AoIs for Seed,90
IoT 1,170,t_gen=8
IoT 2,70,t_gen=4
IoT 3,62,t_gen=12
IoT 4,183,t_gen=4
IoT 5,76,t_gen=1
IoT 6,162,t_gen=16
IoT 7,122,t_gen=3
IoT 8,74,t_gen=0
IoT 9,120,t_gen=5
IoT 10,191,t_gen=17
IoT 11,180,t_gen=2
IoT 12,131,t_gen=10
IoT 13,159,t_gen=19
IoT 14,115,t_gen=10
IoT 15,190,t_gen=18
IoT 16,134,t_gen=1
IoT 17,59,t_gen=15
IoT 18,193,t_gen=5
IoT 19,172,t_gen=6
IoT 20,59,t_gen=15
IoT 21,108,t_gen=17
IoT 22,146,t_gen=4
IoT 23,161,t_gen=17
IoT 24,69,t_gen=5
IoT 25,17,t_gen=12
IoT 26,110,t_gen=15
IoT 27,158,t_gen=20
IoT 28,65,t_gen=18
IoT 29,130,t_gen=12
IoT 30,112,t_gen=13
IoT 31,192,t_gen=16
IoT 32,113,t_gen=12
IoT 33,161,t_gen=17
IoT 34,172,t_gen=6
IoT 35,72,t_gen=2
IoT 36,105,t_gen=20
IoT 37,119,t_gen=6
IoT 38,60,t_gen=14
IoT 39,159,t_gen=19
IoT 40,6,t_gen=20

105,199,103.9,1.0,3516.7968291129773,0,69.56600332260132
IoT-Level AoIs for Seed,105
IoT 1,117,t_gen=4
IoT 2,113,t_gen=5
IoT 3,135,t_gen=14
IoT 4,142,t_gen=7
IoT 5,43,t_gen=9
IoT 6,183,t_gen=16
IoT 7,42,t_gen=10
IoT 8,196,t_gen=3
IoT 9,114,t_gen=5
IoT 10,187,t_gen=12
IoT 11,181,t_gen=18
IoT 12,180,t_gen=19
IoT 13,68,t_gen=16
IoT 14,39,t_gen=13
IoT 15,100,t_gen=18
IoT 16,17,t_gen=15
IoT 17,78,t_gen=11
IoT 18,199,t_gen=0
IoT 19,33,t_gen=19
IoT 20,80,t_gen=13
IoT 21,51,t_gen=5
IoT 22,32,t_gen=20
IoT 23,109,t_gen=9
IoT 24,69,t_gen=11
IoT 25,49,t_gen=3
IoT 26,101,t_gen=5
IoT 27,128,t_gen=2
IoT 28,68,t_gen=6
IoT 29,21,t_gen=11
IoT 30,184,t_gen=16
IoT 31,110,t_gen=8
IoT 32,58,t_gen=16
IoT 33,199,t_gen=0
IoT 34,145,t_gen=4
IoT 35,198,t_gen=1
IoT 36,74,t_gen=10
IoT 37,138,t_gen=11
IoT 38,64,t_gen=10
IoT 39,81,t_gen=3
IoT 40,30,t_gen=2

49,149,97.9,1.0,3716.4778949637603,0,51.08154249191284
IoT-Level AoIs for Seed,49
IoT 1,131,t_gen=20
IoT 2,17,t_gen=19
IoT 3,32,t_gen=0
IoT 4,19,t_gen=13
IoT 5,25,t_gen=11
IoT 6,19,t_gen=19
IoT 7,124,t_gen=17
IoT 8,34,t_gen=2
IoT 9,124,t_gen=17
IoT 10,50,t_gen=7
IoT 11,122,t_gen=19
IoT 12,129,t_gen=12
IoT 13,134,t_gen=17
IoT 14,141,t_gen=0
IoT 15,23,t_gen=9
IoT 16,147,t_gen=11
IoT 17,141,t_gen=10
IoT 18,138,t_gen=13
IoT 19,39,t_gen=8
IoT 20,138,t_gen=3
IoT 21,137,t_gen=14
IoT 22,132,t_gen=19
IoT 23,134,t_gen=7
IoT 24,141,t_gen=0
IoT 25,33,t_gen=3
IoT 26,136,t_gen=5
IoT 27,128,t_gen=13
IoT 28,130,t_gen=11
IoT 29,135,t_gen=16
IoT 30,148,t_gen=3
IoT 31,133,t_gen=18
IoT 32,136,t_gen=19
IoT 33,148,t_gen=10
IoT 34,23,t_gen=13
IoT 35,131,t_gen=20
IoT 36,134,t_gen=7
IoT 37,30,t_gen=2
IoT 38,26,t_gen=17
IoT 39,149,t_gen=16
IoT 40,25,t_gen=7

110,172,110.475,1.0,3676.656723068827,0,50.12287402153015
IoT-Level AoIs for Seed,110
IoT 1,37,t_gen=1
IoT 2,162,t_gen=2
IoT 3,148,t_gen=16
IoT 4,157,t_gen=7
IoT 5,148,t_gen=16
IoT 6,156,t_gen=17
IoT 7,62,t_gen=4
IoT 8,157,t_gen=7
IoT 9,162,t_gen=2
IoT 10,36,t_gen=5
IoT 11,156,t_gen=8
IoT 12,19,t_gen=8
IoT 13,15,t_gen=12
IoT 14,150,t_gen=14
IoT 15,148,t_gen=16
IoT 16,26,t_gen=12
IoT 17,154,t_gen=10
IoT 18,171,t_gen=2
IoT 19,26,t_gen=5
IoT 20,27,t_gen=0
IoT 21,34,t_gen=4
IoT 22,167,t_gen=17
IoT 23,163,t_gen=1
IoT 24,157,t_gen=16
IoT 25,26,t_gen=1
IoT 26,172,t_gen=1
IoT 27,162,t_gen=2
IoT 28,170,t_gen=3
IoT 29,28,t_gen=10
IoT 30,161,t_gen=12
IoT 31,153,t_gen=20
IoT 32,159,t_gen=5
IoT 33,145,t_gen=19
IoT 34,158,t_gen=15
IoT 35,26,t_gen=12
IoT 36,47,t_gen=3
IoT 37,26,t_gen=12
IoT 38,172,t_gen=1
IoT 39,31,t_gen=7
IoT 40,145,t_gen=19

Final Averages
avg_peak_aoi,180.7
avg_avg_aoi,112.585
avg_coverage,1.0
avg_total_dist,3658.302983852495
avg_unserved,0.0
avg_runtime,62.79057013988495
