Scenario Information
Number of IoT Nodes,50
Number of UAVs,3
Number of Ground BS,3

Seed,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,175,94.4,1.0,4777.126252988455,0,88.27343893051147
IoT-Level AoIs for Seed,42
IoT 1,53,t_gen=13
IoT 2,26,t_gen=7
IoT 3,107,t_gen=6
IoT 4,127,t_gen=13
IoT 5,140,t_gen=0
IoT 6,120,t_gen=13
IoT 7,23,t_gen=10
IoT 8,129,t_gen=11
IoT 9,152,t_gen=1
IoT 10,173,t_gen=12
IoT 11,120,t_gen=20
IoT 12,122,t_gen=18
IoT 13,26,t_gen=7
IoT 14,105,t_gen=7
IoT 15,167,t_gen=14
IoT 16,55,t_gen=11
IoT 17,92,t_gen=20
IoT 18,123,t_gen=17
IoT 19,113,t_gen=12
IoT 20,123,t_gen=17
IoT 21,43,t_gen=1
IoT 22,23,t_gen=10
IoT 23,95,t_gen=18
IoT 24,46,t_gen=20
IoT 25,120,t_gen=20
IoT 26,85,t_gen=7
IoT 27,163,t_gen=18
IoT 28,101,t_gen=11
IoT 29,124,t_gen=16
IoT 30,137,t_gen=3
IoT 31,20,t_gen=13
IoT 32,47,t_gen=19
IoT 33,95,t_gen=17
IoT 34,63,t_gen=3
IoT 35,58,t_gen=8
IoT 36,57,t_gen=9
IoT 37,84,t_gen=8
IoT 38,96,t_gen=16
IoT 39,103,t_gen=9
IoT 40,175,t_gen=6
IoT 41,123,t_gen=17
IoT 42,112,t_gen=0
IoT 43,63,t_gen=3
IoT 44,103,t_gen=9
IoT 45,20,t_gen=18
IoT 46,51,t_gen=15
IoT 47,95,t_gen=17
IoT 48,97,t_gen=15
IoT 49,50,t_gen=16
IoT 50,175,t_gen=6

50,187,109.26,1.0,4600.204814105773,0,97.46351838111877
IoT-Level AoIs for Seed,50
IoT 1,85,t_gen=17
IoT 2,99,t_gen=3
IoT 3,183,t_gen=6
IoT 4,83,t_gen=19
IoT 5,187,t_gen=2
IoT 6,170,t_gen=19
IoT 7,169,t_gen=20
IoT 8,52,t_gen=10
IoT 9,99,t_gen=3
IoT 10,87,t_gen=18
IoT 11,56,t_gen=6
IoT 12,43,t_gen=19
IoT 13,186,t_gen=3
IoT 14,172,t_gen=17
IoT 15,88,t_gen=17
IoT 16,44,t_gen=18
IoT 17,178,t_gen=11
IoT 18,51,t_gen=11
IoT 19,89,t_gen=13
IoT 20,82,t_gen=20
IoT 21,182,t_gen=7
IoT 22,98,t_gen=4
IoT 23,92,t_gen=10
IoT 24,100,t_gen=2
IoT 25,163,t_gen=8
IoT 26,68,t_gen=13
IoT 27,98,t_gen=2
IoT 28,171,t_gen=0
IoT 29,84,t_gen=18
IoT 30,91,t_gen=11
IoT 31,156,t_gen=15
IoT 32,96,t_gen=6
IoT 33,60,t_gen=2
IoT 34,98,t_gen=4
IoT 35,91,t_gen=11
IoT 36,95,t_gen=7
IoT 37,128,t_gen=9
IoT 38,47,t_gen=15
IoT 39,65,t_gen=4
IoT 40,86,t_gen=19
IoT 41,90,t_gen=12
IoT 42,90,t_gen=15
IoT 43,92,t_gen=10
IoT 44,181,t_gen=8
IoT 45,186,t_gen=3
IoT 46,53,t_gen=9
IoT 47,115,t_gen=8
IoT 48,95,t_gen=7
IoT 49,182,t_gen=7
IoT 50,107,t_gen=7

55,184,112.48,1.0,4916.211000282712,0,101.99097752571106
IoT-Level AoIs for Seed,55
IoT 1,105,t_gen=15
IoT 2,109,t_gen=12
IoT 3,168,t_gen=17
IoT 4,113,t_gen=8
IoT 5,52,t_gen=0
IoT 6,184,t_gen=1
IoT 7,100,t_gen=20
IoT 8,114,t_gen=6
IoT 9,121,t_gen=0
IoT 10,173,t_gen=9
IoT 11,54,t_gen=7
IoT 12,118,t_gen=7
IoT 13,115,t_gen=6
IoT 14,107,t_gen=13
IoT 15,133,t_gen=3
IoT 16,78,t_gen=2
IoT 17,177,t_gen=8
IoT 18,119,t_gen=2
IoT 19,110,t_gen=15
IoT 20,104,t_gen=17
IoT 21,109,t_gen=12
IoT 22,116,t_gen=5
IoT 23,114,t_gen=7
IoT 24,114,t_gen=11
IoT 25,109,t_gen=11
IoT 26,120,t_gen=1
IoT 27,53,t_gen=15
IoT 28,105,t_gen=16
IoT 29,86,t_gen=6
IoT 30,120,t_gen=5
IoT 31,110,t_gen=11
IoT 32,121,t_gen=0
IoT 33,118,t_gen=3
IoT 34,106,t_gen=15
IoT 35,49,t_gen=3
IoT 36,115,t_gen=6
IoT 37,101,t_gen=20
IoT 38,159,t_gen=15
IoT 39,112,t_gen=13
IoT 40,50,t_gen=2
IoT 41,109,t_gen=12
IoT 42,183,t_gen=2
IoT 43,182,t_gen=13
IoT 44,35,t_gen=17
IoT 45,113,t_gen=8
IoT 46,124,t_gen=1
IoT 47,168,t_gen=17
IoT 48,45,t_gen=7
IoT 49,172,t_gen=2
IoT 50,52,t_gen=0

60,181,104.58,1.0,5311.19853173796,0,87.30890989303589
IoT-Level AoIs for Seed,60
IoT 1,181,t_gen=2
IoT 2,44,t_gen=12
IoT 3,117,t_gen=0
IoT 4,31,t_gen=4
IoT 5,39,t_gen=4
IoT 6,39,t_gen=18
IoT 7,169,t_gen=9
IoT 8,21,t_gen=7
IoT 9,59,t_gen=8
IoT 10,59,t_gen=8
IoT 11,172,t_gen=6
IoT 12,162,t_gen=16
IoT 13,54,t_gen=12
IoT 14,114,t_gen=3
IoT 15,176,t_gen=2
IoT 16,168,t_gen=10
IoT 17,55,t_gen=12
IoT 18,173,t_gen=5
IoT 19,42,t_gen=14
IoT 20,160,t_gen=18
IoT 21,48,t_gen=8
IoT 22,49,t_gen=7
IoT 23,54,t_gen=13
IoT 24,178,t_gen=0
IoT 25,66,t_gen=1
IoT 26,102,t_gen=6
IoT 27,43,t_gen=13
IoT 28,171,t_gen=7
IoT 29,168,t_gen=10
IoT 30,171,t_gen=7
IoT 31,102,t_gen=15
IoT 32,171,t_gen=7
IoT 33,50,t_gen=17
IoT 34,162,t_gen=16
IoT 35,27,t_gen=1
IoT 36,111,t_gen=6
IoT 37,102,t_gen=6
