Scenario Information
Number of IoT Nodes,20
Number of UAVs,3
Number of Ground BS,4

Seed,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,107,91.2,1.0,3715.489594797741,0,62.956011056900024
IoT 19,67,t_gen=8
IoT 20,72,t_gen=3

110,122,64.0,1.0,2961.320358323411,0,17.322824239730835
IoT-Level AoIs for Seed,110
IoT 1,32,t_gen=1
IoT 2,55,t_gen=2
IoT 3,41,t_gen=16
IoT 4,122,t_gen=7
IoT 5,113,t_gen=16
IoT 6,40,t_gen=17
IoT 7,74,t_gen=4
IoT 8,50,t_gen=7
IoT 9,55,t_gen=2
IoT 10,55,t_gen=5
IoT 11,49,t_gen=8
IoT 12,23,t_gen=8
IoT 13,19,t_gen=12
IoT 14,115,t_gen=14
IoT 15,113,t_gen=16
IoT 16,45,t_gen=12
IoT 17,119,t_gen=10
IoT 18,21,t_gen=2
IoT 19,26,t_gen=5
IoT 20,113,t_gen=0

Final Averages
avg_peak_aoi,108.0
avg_avg_aoi,71.045
avg_coverage,1.0
avg_total_dist,3309.593363381581
avg_unserved,0.0
avg_runtime,34.53617408275604
