Scenario Information
Number of IoT Nodes,80
Number of UAVs,4
Number of Ground BS,4

Seed,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,207,125.2625,1.0,6385.889954208572,0,182.14270424842834
IoT-Level AoIs for Seed,42
IoT 1,71,t_gen=6
IoT 2,190,t_gen=17
IoT 3,78,t_gen=17
IoT 4,199,t_gen=8
IoT 5,42,t_gen=5
IoT 6,203,t_gen=4
IoT 7,92,t_gen=3
IoT 8,23,t_gen=11
IoT 9,138,t_gen=14
IoT 10,195,t_gen=12
IoT 11,14,t_gen=20
IoT 12,134,t_gen=18
IoT 13,70,t_gen=7
IoT 14,200,t_gen=7
IoT 15,170,t_gen=14
IoT 16,196,t_gen=11
IoT 17,132,t_gen=20
IoT 18,72,t_gen=17
IoT 19,41,t_gen=12
IoT 20,190,t_gen=17
IoT 21,88,t_gen=1
IoT 22,67,t_gen=10
IoT 23,59,t_gen=18
IoT 24,164,t_gen=20
IoT 25,132,t_gen=20
IoT 26,70,t_gen=7
IoT 27,144,t_gen=18
IoT 28,141,t_gen=11
IoT 29,79,t_gen=16
IoT 30,149,t_gen=3
IoT 31,21,t_gen=13
IoT 32,76,t_gen=19
IoT 33,190,t_gen=17
IoT 34,34,t_gen=3
IoT 35,203,t_gen=8
IoT 36,198,t_gen=9
IoT 37,144,t_gen=8
IoT 38,191,t_gen=16
IoT 39,198,t_gen=9
IoT 40,201,t_gen=6
IoT 41,78,t_gen=17
IoT 42,207,t_gen=0
IoT 43,204,t_gen=3
IoT 44,198,t_gen=9
IoT 45,16,t_gen=18
IoT 46,194,t_gen=15
IoT 47,190,t_gen=17
IoT 48,34,t_gen=15
IoT 49,5,t_gen=16
IoT 50,201,t_gen=6
IoT 51,201,t_gen=6
IoT 52,187,t_gen=20
IoT 53,138,t_gen=14
IoT 54,24,t_gen=10
IoT 55,77,t_gen=18
IoT 56,57,t_gen=20
IoT 57,33,t_gen=1
IoT 58,20,t_gen=7
IoT 59,72,t_gen=17
IoT 60,77,t_gen=18
IoT 61,80,t_gen=15
IoT 62,183,t_gen=3
IoT 63,194,t_gen=13
IoT 64,132,t_gen=20
IoT 65,9,t_gen=12
IoT 66,149,t_gen=3
IoT 67,25,t_gen=14
IoT 68,20,t_gen=14
IoT 69,193,t_gen=14
IoT 70,204,t_gen=3
IoT 71,89,t_gen=0
IoT 72,200,t_gen=7
IoT 73,83,t_gen=6
IoT 74,202,t_gen=5
IoT 75,81,t_gen=8
IoT 76,198,t_gen=9
IoT 77,190,t_gen=17
IoT 78,201,t_gen=6
IoT 79,189,t_gen=18
IoT 80,187,t_gen=10

50,205,107.1,1.0,7042.736686563037,0,129.7841305732727
IoT-Level AoIs for Seed,50
IoT 1,193,t_gen=4
IoT 2,174,t_gen=11
IoT 3,175,t_gen=10
IoT 4,145,t_gen=13
IoT 5,96,t_gen=2
IoT 6,177,t_gen=20
IoT 7,187,t_gen=10
IoT 8,75,t_gen=3
IoT 9,205,t_gen=18
IoT 10,43,t_gen=6
IoT 11,46,t_gen=19
IoT 12,22,t_gen=3
IoT 13,180,t_gen=17
IoT 14,68,t_gen=17
IoT 15,179,t_gen=18
IoT 16,40,t_gen=11
IoT 17,186,t_gen=11
IoT 18,65,t_gen=13
IoT 19,177,t_gen=20
IoT 20,190,t_gen=7
IoT 21,74,t_gen=4
IoT 22,68,t_gen=10
IoT 23,126,t_gen=2
IoT 24,120,t_gen=8
IoT 25,38,t_gen=13
