Scenario Information
Number of IoT Nodes,100
Number of UAVs,3
Number of Ground BS,4

Seed,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,236,119.02,1.0,5920.150282910796,0,301.00447511672974
IoT-Level AoIs for Seed,42
IoT 1,70,t_gen=6
IoT 2,119,t_gen=17
IoT 3,119,t_gen=17
IoT 4,128,t_gen=8
IoT 5,188,t_gen=5
IoT 6,110,t_gen=4
IoT 7,133,t_gen=3
IoT 8,23,t_gen=11
IoT 9,81,t_gen=14
IoT 10,124,t_gen=12
IoT 11,14,t_gen=20
IoT 12,196,t_gen=18
IoT 13,69,t_gen=7
IoT 14,207,t_gen=7
IoT 15,68,t_gen=14
IoT 16,103,t_gen=11
IoT 17,194,t_gen=20
IoT 18,119,t_gen=17
IoT 19,163,t_gen=12
IoT 20,119,t_gen=17
IoT 21,33,t_gen=1
IoT 22,66,t_gen=10
IoT 23,58,t_gen=18
IoT 24,146,t_gen=20
IoT 25,194,t_gen=20
IoT 26,129,t_gen=7
IoT 27,105,t_gen=18
IoT 28,203,t_gen=11
IoT 29,198,t_gen=16
IoT 30,133,t_gen=3
IoT 31,21,t_gen=13
IoT 32,95,t_gen=19
IoT 33,65,t_gen=17
IoT 34,200,t_gen=3
IoT 35,110,t_gen=8
IoT 36,157,t_gen=9
IoT 37,128,t_gen=8
IoT 38,66,t_gen=16
IoT 39,73,t_gen=9
IoT 40,76,t_gen=6
IoT 41,197,t_gen=17
IoT 42,214,t_gen=0
IoT 43,111,t_gen=3
IoT 44,73,t_gen=9
IoT 45,20,t_gen=18
IoT 46,201,t_gen=15
IoT 47,197,t_gen=17
IoT 48,157,t_gen=15
IoT 49,226,t_gen=16
IoT 50,76,t_gen=6
IoT 51,76,t_gen=6
IoT 52,146,t_gen=20
IoT 53,122,t_gen=14
IoT 54,24,t_gen=10
IoT 55,118,t_gen=18
IoT 56,56,t_gen=20
IoT 57,33,t_gen=1
IoT 58,200,t_gen=7
IoT 59,119,t_gen=17
IoT 60,118,t_gen=18
IoT 61,70,t_gen=15
IoT 62,165,t_gen=3
IoT 63,101,t_gen=13
IoT 64,116,t_gen=20
IoT 65,70,t_gen=12
IoT 66,79,t_gen=3
IoT 67,29,t_gen=14
IoT 68,20,t_gen=14
IoT 69,122,t_gen=14
IoT 70,79,t_gen=3
IoT 71,136,t_gen=0
IoT 72,207,t_gen=7
IoT 73,130,t_gen=6
IoT 74,77,t_gen=5
IoT 75,206,t_gen=8
IoT 76,73,t_gen=9
IoT 77,119,t_gen=17
IoT 78,108,t_gen=6
IoT 79,118,t_gen=18
IoT 80,172,t_gen=10
IoT 81,120,t_gen=16
IoT 82,81,t_gen=1
IoT 83,221,t_gen=5
IoT 84,27,t_gen=7
IoT 85,196,t_gen=18
IoT 86,117,t_gen=19
IoT 87,118,t_gen=18
IoT 88,208,t_gen=6
IoT 89,106,t_gen=8
IoT 90,205,t_gen=9
IoT 91,134,t_gen=2
IoT 92,118,t_gen=18
IoT 93,236,t_gen=6
IoT 94,65,t_gen=11
IoT 95,71,t_gen=11
IoT 96,119,t_gen=17
IoT 97,104,t_gen=20
IoT 98,121,t_gen=17
IoT 99,132,t_gen=4
IoT 100,119,t_gen=17

50,243,120.64,1.0,6331.6572442570705,0,252.28965377807617
IoT-Level AoIs for Seed,50
IoT 1,87,t_gen=4
IoT 2,242,t_gen=11
IoT 3,243,t_gen=10
IoT 4,227,t_gen=13
IoT 5,113,t_gen=2
IoT 6,220,t_gen=20
IoT 7,243,t_gen=10
IoT 8,79,t_gen=3
IoT 9,175,t_gen=18
IoT 10,87,t_gen=6
IoT 11,72,t_gen=19
IoT 12,160,t_gen=3
IoT 13,223,t_gen=17
IoT 14,76,t_gen=17
IoT 15,73,t_gen=18
IoT 16,80,t_gen=11
IoT 17,80,t_gen=11
IoT 18,69,t_gen=13
IoT 19,70,t_gen=20
IoT 20,170,t_gen=7
IoT 21,159,t_gen=4
IoT 22,72,t_gen=10
IoT 23,80,t_gen=2
IoT 24,232,t_gen=8
IoT 25,135,t_gen=13
IoT 26,89,t_gen=2
IoT 27,108,t_gen=0
IoT 28,64,t_gen=18
IoT 29,12,t_gen=11
IoT 30,162,t_gen=15
IoT 31,17,t_gen=6
IoT 32,89,t_gen=2
IoT 33,19,t_gen=4
IoT 34,71,t_gen=11
IoT 35,75,t_gen=7
IoT 36,231,t_gen=9
IoT 37,76,t_gen=15
IoT 38,100,t_gen=4
IoT 39,234,t_gen=19
IoT 40,151,t_gen=12
IoT 41,238,t_gen=15
IoT 42,72,t_gen=10
IoT 43,232,t_gen=8
IoT 44,160,t_gen=3
IoT 45,82,t_gen=9
IoT 46,97,t_gen=8
IoT 47,156,t_gen=7
IoT 48,84,t_gen=7
IoT 49,114,t_gen=7
IoT 50,157,t_gen=17
IoT 51,83,t_gen=8
IoT 52,168,t_gen=9
IoT 53,86,t_gen=5
IoT 54,148,t_gen=15
IoT 55,162,t_gen=1
IoT 56,135,t_gen=5
IoT 57,66,t_gen=16
IoT 58,148,t_gen=15
IoT 59,143,t_gen=20
IoT 60,146,t_gen=17
IoT 61,90,t_gen=1
IoT 62,45,t_gen=2
IoT 63,239,t_gen=14
IoT 64,76,t_gen=6
IoT 65,63,t_gen=19
IoT 66,36,t_gen=11
IoT 67,84,t_gen=1
IoT 68,150,t_gen=13
IoT 69,149,t_gen=14
IoT 70,146,t_gen=17
IoT 71,88,t_gen=3
IoT 72,87,t_gen=4
IoT 73,131,t_gen=9
IoT 74,146,t_gen=17
IoT 75,87,t_gen=4
IoT 76,85,t_gen=6
IoT 77,88,t_gen=11
IoT 78,103,t_gen=15
IoT 79,175,t_gen=2
IoT 80,223,t_gen=17
IoT 81,69,t_gen=13
IoT 82,127,t_gen=13
IoT 83,154,t_gen=9
IoT 84,81,t_gen=10
IoT 85,16,t_gen=7
IoT 86,80,t_gen=11
IoT 87,66,t_gen=16
IoT 88,153,t_gen=10
IoT 89,167,t_gen=10
IoT 90,157,t_gen=20
IoT 91,42,t_gen=5
IoT 92,85,t_gen=12
IoT 93,153,t_gen=10
IoT 94,69,t_gen=13
IoT 95,151,t_gen=7
IoT 96,63,t_gen=19
IoT 97,163,t_gen=14
IoT 98,67,t_gen=15
IoT 99,186,t_gen=8
IoT 100,82,t_gen=9

55,240,108.11,1.0,6194.942584524824,0,227.28572583198547
IoT-Level AoIs for Seed,55
IoT 1,165,t_gen=15
IoT 2,90,t_gen=12
IoT 3,159,t_gen=17
IoT 4,69,t_gen=8
IoT 5,203,t_gen=0
IoT 6,101,t_gen=1
IoT 7,54,t_gen=20
IoT 8,71,t_gen=6
IoT 9,78,t_gen=0
IoT 10,175,t_gen=9
IoT 11,95,t_gen=7
IoT 12,95,t_gen=7
IoT 13,68,t_gen=6
IoT 14,61,t_gen=13
IoT 15,92,t_gen=3
IoT 16,100,t_gen=2
IoT 17,139,t_gen=8
IoT 18,89,t_gen=2
IoT 19,87,t_gen=15
IoT 20,240,t_gen=17
IoT 21,71,t_gen=12
IoT 22,97,t_gen=5
IoT 23,70,t_gen=7
IoT 24,75,t_gen=11
IoT 25,66,t_gen=11
IoT 26,101,t_gen=1
IoT 27,165,t_gen=15
IoT 28,225,t_gen=16
IoT 29,96,t_gen=6
IoT 30,97,t_gen=5
IoT 31,91,t_gen=11
IoT 32,102,t_gen=0
IoT 33,74,t_gen=3
IoT 34,59,t_gen=15
IoT 35,124,t_gen=3
IoT 36,68,t_gen=6
IoT 37,57,t_gen=20
IoT 38,132,t_gen=15
IoT 39,89,t_gen=13
IoT 40,123,t_gen=2
IoT 41,235,t_gen=12
IoT 42,178,t_gen=2
IoT 43,197,t_gen=13
IoT 44,57,t_gen=17
IoT 45,72,t_gen=8
IoT 46,81,t_gen=1
IoT 47,163,t_gen=17
IoT 48,118,t_gen=7
IoT 49,75,t_gen=2
IoT 50,125,t_gen=0
IoT 51,173,t_gen=7
IoT 52,56,t_gen=18
IoT 53,66,t_gen=17
IoT 54,82,t_gen=20
IoT 55,119,t_gen=12
IoT 56,71,t_gen=3
IoT 57,83,t_gen=19
IoT 58,188,t_gen=9
IoT 59,169,t_gen=20
IoT 60,63,t_gen=14
IoT 61,62,t_gen=12
IoT 62,110,t_gen=15
IoT 63,65,t_gen=13
IoT 64,75,t_gen=2
IoT 65,84,t_gen=18
IoT 66,194,t_gen=9
IoT 67,132,t_gen=19
IoT 68,69,t_gen=5
IoT 69,114,t_gen=11
IoT 70,94,t_gen=8
IoT 71,67,t_gen=10
IoT 72,76,t_gen=1
IoT 73,92,t_gen=10
IoT 74,69,t_gen=8
IoT 75,59,t_gen=15
IoT 76,173,t_gen=7
IoT 77,121,t_gen=4
IoT 78,225,t_gen=16
IoT 79,61,t_gen=13
IoT 80,192,t_gen=8
IoT 81,178,t_gen=2
IoT 82,101,t_gen=1
IoT 83,59,t_gen=18
IoT 84,71,t_gen=6
IoT 85,217,t_gen=11
IoT 86,92,t_gen=10
IoT 87,91,t_gen=11
IoT 88,58,t_gen=19
IoT 89,149,t_gen=9
IoT 90,87,t_gen=0
IoT 91,55,t_gen=19
IoT 92,76,t_gen=4
IoT 93,157,t_gen=9
IoT 94,74,t_gen=0
IoT 95,113,t_gen=12
IoT 96,126,t_gen=11
IoT 97,54,t_gen=20
IoT 98,99,t_gen=8
IoT 99,127,t_gen=13
IoT 100,109,t_gen=16

60,219,126.52,1.0,5930.4679135049555,0,241.17791199684143
IoT-Level AoIs for Seed,60
IoT 1,88,t_gen=5
IoT 2,107,t_gen=20
IoT 3,122,t_gen=5
IoT 4,208,t_gen=4
IoT 5,109,t_gen=18
IoT 6,152,t_gen=9
IoT 7,207,t_gen=7
IoT 8,204,t_gen=8
IoT 9,204,t_gen=8
IoT 10,76,t_gen=6
IoT 11,57,t_gen=16
IoT 12,149,t_gen=12
IoT 13,209,t_gen=3
IoT 14,159,t_gen=2
IoT 15,63,t_gen=10
IoT 16,213,t_gen=12
IoT 17,77,t_gen=5
IoT 18,198,t_gen=14
IoT 19,125,t_gen=18
IoT 20,119,t_gen=8
IoT 21,75,t_gen=7
IoT 22,114,t_gen=13
IoT 23,212,t_gen=0
IoT 24,126,t_gen=1
IoT 25,76,t_gen=6
IoT 26,114,t_gen=13
IoT 27,120,t_gen=7
IoT 28,117,t_gen=10
IoT 29,196,t_gen=7
IoT 30,199,t_gen=15
IoT 31,120,t_gen=7
IoT 32,195,t_gen=17
IoT 33,66,t_gen=16
IoT 34,72,t_gen=1
IoT 35,155,t_gen=6
IoT 36,76,t_gen=6
IoT 37,123,t_gen=4
IoT 38,113,t_gen=14
IoT 39,120,t_gen=7
IoT 40,75,t_gen=7
IoT 41,62,t_gen=20
IoT 42,197,t_gen=17
IoT 43,194,t_gen=18
IoT 44,85,t_gen=14
IoT 45,85,t_gen=5
IoT 46,142,t_gen=1
IoT 47,94,t_gen=4
IoT 48,124,t_gen=3
IoT 49,196,t_gen=16
IoT 50,184,t_gen=5
IoT 51,64,t_gen=18
IoT 52,122,t_gen=5
IoT 53,67,t_gen=6
IoT 54,105,t_gen=8
IoT 55,109,t_gen=18
IoT 56,124,t_gen=19
IoT 57,69,t_gen=13
IoT 58,125,t_gen=7
IoT 59,209,t_gen=3
IoT 60,69,t_gen=13
IoT 61,145,t_gen=16
IoT 62,162,t_gen=5
IoT 63,141,t_gen=2
IoT 64,67,t_gen=6
