Scenario Information
Number of IoT Nodes,100
Number of UAVs,2
Number of Ground BS,4

Seed,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,282,161.73,1.0,5809.089748000288,0,346.95641255378723
IoT-Level AoIs for Seed,42
IoT 1,70,t_gen=6
IoT 2,246,t_gen=17
IoT 3,246,t_gen=17
IoT 4,255,t_gen=8
IoT 5,249,t_gen=5
IoT 6,110,t_gen=4
IoT 7,225,t_gen=3
IoT 8,23,t_gen=11
IoT 9,214,t_gen=14
IoT 10,251,t_gen=12
IoT 11,14,t_gen=20
IoT 12,210,t_gen=18
IoT 13,69,t_gen=7
IoT 14,256,t_gen=7
IoT 15,75,t_gen=14
IoT 16,103,t_gen=11
IoT 17,243,t_gen=20
IoT 18,246,t_gen=17
IoT 19,222,t_gen=12
IoT 20,211,t_gen=17
IoT 21,33,t_gen=1
IoT 22,66,t_gen=10
IoT 23,58,t_gen=18
IoT 24,208,t_gen=20
IoT 25,208,t_gen=20
IoT 26,256,t_gen=7
IoT 27,271,t_gen=18
IoT 28,217,t_gen=11
IoT 29,247,t_gen=16
IoT 30,225,t_gen=3
IoT 31,21,t_gen=13
IoT 32,95,t_gen=19
IoT 33,72,t_gen=17
IoT 34,261,t_gen=3
IoT 35,110,t_gen=8
IoT 36,219,t_gen=9
IoT 37,255,t_gen=8
IoT 38,73,t_gen=16
IoT 39,80,t_gen=9
IoT 40,83,t_gen=6
IoT 41,246,t_gen=17
IoT 42,263,t_gen=0
IoT 43,111,t_gen=3
IoT 44,80,t_gen=9
IoT 45,20,t_gen=18
IoT 46,262,t_gen=15
IoT 47,246,t_gen=17
IoT 48,221,t_gen=15
IoT 49,5,t_gen=16
IoT 50,83,t_gen=6
IoT 51,83,t_gen=6
IoT 52,208,t_gen=20
IoT 53,249,t_gen=14
IoT 54,24,t_gen=10
IoT 55,245,t_gen=18
IoT 56,56,t_gen=20
IoT 57,33,t_gen=1
IoT 58,261,t_gen=7
IoT 59,246,t_gen=17
IoT 60,245,t_gen=18
IoT 61,70,t_gen=15
IoT 62,21,t_gen=3
IoT 63,101,t_gen=13
IoT 64,208,t_gen=20
IoT 65,9,t_gen=12
IoT 66,86,t_gen=3
IoT 67,29,t_gen=14
IoT 68,20,t_gen=14
IoT 69,249,t_gen=14
IoT 70,86,t_gen=3
IoT 71,263,t_gen=0
IoT 72,256,t_gen=7
IoT 73,257,t_gen=6
IoT 74,84,t_gen=5
IoT 75,255,t_gen=8
IoT 76,80,t_gen=9
IoT 77,246,t_gen=17
IoT 78,108,t_gen=6
IoT 79,210,t_gen=18
IoT 80,233,t_gen=10
IoT 81,247,t_gen=16
IoT 82,88,t_gen=1
IoT 83,282,t_gen=5
IoT 84,27,t_gen=7
IoT 85,245,t_gen=18
IoT 86,244,t_gen=19
IoT 87,245,t_gen=18
IoT 88,257,t_gen=6
IoT 89,106,t_gen=8
IoT 90,219,t_gen=9
IoT 91,261,t_gen=2
IoT 92,245,t_gen=18
IoT 93,15,t_gen=6
IoT 94,65,t_gen=11
IoT 95,78,t_gen=11
IoT 96,246,t_gen=17
IoT 97,99,t_gen=20
IoT 98,115,t_gen=17
IoT 99,224,t_gen=4
IoT 100,211,t_gen=17

50,336,159.64,1.0,6084.412946884266,0,307.8987820148468
IoT-Level AoIs for Seed,50
IoT 1,186,t_gen=4
IoT 2,220,t_gen=11
IoT 3,221,t_gen=10
IoT 4,325,t_gen=13
IoT 5,99,t_gen=2
IoT 6,81,t_gen=20
IoT 7,180,t_gen=10
IoT 8,190,t_gen=3
IoT 9,175,t_gen=18
IoT 10,124,t_gen=6
IoT 11,319,t_gen=19
IoT 12,335,t_gen=3
IoT 13,80,t_gen=17
IoT 14,272,t_gen=17
IoT 15,320,t_gen=18
IoT 16,86,t_gen=11
IoT 17,327,t_gen=11
IoT 18,180,t_gen=13
IoT 19,107,t_gen=20
IoT 20,331,t_gen=7
IoT 21,97,t_gen=4
IoT 22,183,t_gen=10
IoT 23,99,t_gen=2
IoT 24,93,t_gen=8
IoT 25,84,t_gen=13
IoT 26,95,t_gen=2
IoT 27,110,t_gen=0
IoT 28,175,t_gen=18
IoT 29,12,t_gen=11
IoT 30,86,t_gen=15
IoT 31,17,t_gen=6
IoT 32,95,t_gen=2
IoT 33,19,t_gen=4
IoT 34,182,t_gen=11
IoT 35,94,t_gen=7
IoT 36,92,t_gen=9
IoT 37,175,t_gen=15
IoT 38,110,t_gen=4
IoT 39,319,t_gen=19
IoT 40,89,t_gen=12
IoT 41,323,t_gen=15
IoT 42,183,t_gen=10
IoT 43,330,t_gen=8
IoT 44,94,t_gen=3
IoT 45,181,t_gen=9
IoT 46,292,t_gen=8
IoT 47,94,t_gen=7
IoT 48,331,t_gen=7
IoT 49,110,t_gen=7
IoT 50,214,t_gen=17
IoT 51,125,t_gen=8
IoT 52,92,t_gen=9
IoT 53,185,t_gen=5
IoT 54,102,t_gen=15
IoT 55,100,t_gen=1
IoT 56,92,t_gen=5
IoT 57,269,t_gen=16
IoT 58,216,t_gen=15
IoT 59,81,t_gen=20
IoT 60,80,t_gen=17
IoT 61,96,t_gen=1
IoT 62,336,t_gen=2
IoT 63,217,t_gen=14
IoT 64,187,t_gen=6
IoT 65,174,t_gen=19
IoT 66,274,t_gen=11
IoT 67,284,t_gen=1
IoT 68,88,t_gen=13
IoT 69,83,t_gen=14
IoT 70,84,t_gen=17
IoT 71,335,t_gen=3
IoT 72,93,t_gen=4
IoT 73,88,t_gen=9
IoT 74,80,t_gen=17
IoT 75,93,t_gen=4
IoT 76,184,t_gen=6
IoT 77,118,t_gen=11
IoT 78,109,t_gen=15
IoT 79,336,t_gen=2
IoT 80,321,t_gen=17
IoT 81,126,t_gen=13
IoT 82,88,t_gen=13
IoT 83,276,t_gen=9
IoT 84,87,t_gen=10
IoT 85,16,t_gen=7
IoT 86,179,t_gen=11
IoT 87,177,t_gen=16
IoT 88,91,t_gen=10
IoT 89,91,t_gen=10
IoT 90,85,t_gen=20
IoT 91,112,t_gen=5
IoT 92,108,t_gen=12
IoT 93,87,t_gen=10
IoT 94,180,t_gen=13
IoT 95,183,t_gen=7
IoT 96,82,t_gen=19
IoT 97,87,t_gen=14
IoT 98,178,t_gen=15
IoT 99,185,t_gen=8
IoT 100,88,t_gen=9

55,298,154.65,1.0,5347.490288503582,0,221.43491649627686
IoT-Level AoIs for Seed,55
IoT 1,193,t_gen=15
IoT 2,287,t_gen=12
IoT 3,165,t_gen=17
IoT 4,89,t_gen=8
IoT 5,141,t_gen=0
IoT 6,207,t_gen=1
IoT 7,121,t_gen=20
IoT 8,91,t_gen=6
IoT 9,43,t_gen=0
IoT 10,181,t_gen=9
IoT 11,226,t_gen=7
IoT 12,201,t_gen=7
IoT 13,135,t_gen=6
IoT 14,128,t_gen=13
IoT 15,108,t_gen=3
IoT 16,206,t_gen=2
IoT 17,153,t_gen=8
IoT 18,54,t_gen=2
IoT 19,193,t_gen=15
IoT 20,245,t_gen=17
IoT 21,36,t_gen=12
IoT 22,294,t_gen=5
IoT 23,90,t_gen=7
IoT 24,291,t_gen=11
IoT 25,86,t_gen=11
IoT 26,271,t_gen=1
IoT 27,193,t_gen=15
IoT 28,230,t_gen=16
IoT 29,202,t_gen=6
IoT 30,203,t_gen=5
IoT 31,288,t_gen=11
IoT 32,208,t_gen=0
IoT 33,94,t_gen=3
IoT 34,24,t_gen=15
IoT 35,140,t_gen=3
IoT 36,33,t_gen=6
IoT 37,77,t_gen=20
IoT 38,146,t_gen=15
IoT 39,195,t_gen=13
IoT 40,139,t_gen=2
IoT 41,240,t_gen=12
IoT 42,206,t_gen=2
IoT 43,203,t_gen=13
IoT 44,124,t_gen=17
IoT 45,92,t_gen=8
IoT 46,101,t_gen=1
IoT 47,191,t_gen=17
IoT 48,134,t_gen=7
IoT 49,95,t_gen=2
IoT 50,141,t_gen=0
IoT 51,201,t_gen=7
IoT 52,123,t_gen=18
IoT 53,282,t_gen=17
IoT 54,252,t_gen=20
IoT 55,196,t_gen=12
IoT 56,138,t_gen=3
IoT 57,253,t_gen=19
IoT 58,194,t_gen=9
IoT 59,175,t_gen=20
IoT 60,83,t_gen=14
IoT 61,129,t_gen=12
IoT 62,126,t_gen=15
IoT 63,30,t_gen=13
IoT 64,95,t_gen=2
IoT 65,190,t_gen=18
IoT 66,132,t_gen=9
IoT 67,146,t_gen=19
IoT 68,92,t_gen=5
IoT 69,130,t_gen=11
IoT 70,200,t_gen=8
IoT 71,87,t_gen=10
IoT 72,96,t_gen=1
IoT 73,262,t_gen=10
IoT 74,89,t_gen=8
IoT 75,24,t_gen=15
IoT 76,201,t_gen=7
IoT 77,137,t_gen=4
IoT 78,230,t_gen=16
IoT 79,26,t_gen=13
IoT 80,198,t_gen=8
IoT 81,206,t_gen=2
IoT 82,298,t_gen=1
IoT 83,79,t_gen=18
IoT 84,91,t_gen=6
IoT 85,207,t_gen=11
IoT 86,262,t_gen=10
IoT 87,288,t_gen=11
IoT 88,78,t_gen=19
IoT 89,163,t_gen=9
IoT 90,52,t_gen=0
IoT 91,122,t_gen=19
IoT 92,96,t_gen=4
IoT 93,263,t_gen=9
IoT 94,141,t_gen=0
IoT 95,129,t_gen=12
IoT 96,143,t_gen=11
IoT 97,19,t_gen=20
IoT 98,115,t_gen=8
IoT 99,137,t_gen=13
IoT 100,125,t_gen=16

60,317,169.18,1.0,6023.023521767007,0,241.7257788181305
IoT-Level AoIs for Seed,60
IoT 1,153,t_gen=5
IoT 2,91,t_gen=20
IoT 3,106,t_gen=5
IoT 4,260,t_gen=4
IoT 5,188,t_gen=18
IoT 6,255,t_gen=9
IoT 7,139,t_gen=7
IoT 8,112,t_gen=8
IoT 9,112,t_gen=8
IoT 10,105,t_gen=6
IoT 11,244,t_gen=16
IoT 12,200,t_gen=12
IoT 13,117,t_gen=3
IoT 14,118,t_gen=2
IoT 15,110,t_gen=10
IoT 16,107,t_gen=12
IoT 17,255,t_gen=5
IoT 18,210,t_gen=14
IoT 19,140,t_gen=18
IoT 20,103,t_gen=8
IoT 21,104,t_gen=7
IoT 22,98,t_gen=13
IoT 23,264,t_gen=0
IoT 24,119,t_gen=1
IoT 25,181,t_gen=6
IoT 26,98,t_gen=13
IoT 27,113,t_gen=7
IoT 28,101,t_gen=10
IoT 29,161,t_gen=7
IoT 30,105,t_gen=15
IoT 31,104,t_gen=7
IoT 32,103,t_gen=17
IoT 33,190,t_gen=16
IoT 34,298,t_gen=1
IoT 35,114,t_gen=6
IoT 36,254,t_gen=6
IoT 37,107,t_gen=4
IoT 38,97,t_gen=14
IoT 39,113,t_gen=7
IoT 40,253,t_gen=7
IoT 41,133,t_gen=20
IoT 42,285,t_gen=17
IoT 43,102,t_gen=18
IoT 44,139,t_gen=14
IoT 45,294,t_gen=5
IoT 46,259,t_gen=1
IoT 47,142,t_gen=4
IoT 48,155,t_gen=3
IoT 49,104,t_gen=16
IoT 50,175,t_gen=5
IoT 51,146,t_gen=18
IoT 52,106,t_gen=5
IoT 53,181,t_gen=6
IoT 54,112,t_gen=8
IoT 55,93,t_gen=18
IoT 56,283,t_gen=19
IoT 57,247,t_gen=13
IoT 58,156,t_gen=7
IoT 59,117,t_gen=3
IoT 60,174,t_gen=13
IoT 61,104,t_gen=16
IoT 62,317,t_gen=5
IoT 63,204,t_gen=2
IoT 64,181,t_gen=6
IoT 65,266,t_gen=4
IoT 66,108,t_gen=3
IoT 67,190,t_gen=5
IoT 68,293,t_gen=6
IoT 69,109,t_gen=6
IoT 70,296,t_gen=3
IoT 71,141,t_gen=17
IoT 72,147,t_gen=11
IoT 73,249,t_gen=11
IoT 74,263,t_gen=1
IoT 75,120,t_gen=0
IoT 76,292,t_gen=10
IoT 77,108,t_gen=12
IoT 78,106,t_gen=14
IoT 79,290,t_gen=12
IoT 80,95,t_gen=16
IoT 81,100,t_gen=11
IoT 82,110,t_gen=10
IoT 83,307,t_gen=4
IoT 84,257,t_gen=3
IoT 85,257,t_gen=3
IoT 86,97,t_gen=14
IoT 87,105,t_gen=15
IoT 88,101,t_gen=19
IoT 89,311,t_gen=3
IoT 90,246,t_gen=18
IoT 91,188,t_gen=19
IoT 92,168,t_gen=19
IoT 93,109,t_gen=2
IoT 94,144,t_gen=14
IoT 95,206,t_gen=0
IoT 96,95,t_gen=16
IoT 97,102,t_gen=10
IoT 98,115,t_gen=5
IoT 99,258,t_gen=2
IoT 100,258,t_gen=2

65,296,180.58,1.0,5789.560455814908,0,232.57689261436462
IoT-Level AoIs for Seed,65
IoT 1,163,t_gen=17
IoT 2,103,t_gen=15
IoT 3,177,t_gen=3
IoT 4,258,t_gen=4
IoT 5,277,t_gen=4
IoT 6,23,t_gen=20
IoT 7,85,t_gen=20
IoT 8,104,t_gen=1
IoT 9,271,t_gen=10
IoT 10,97,t_gen=8
IoT 11,260,t_gen=2
IoT 12,262,t_gen=0
IoT 13,244,t_gen=18
IoT 14,296,t_gen=4
IoT 15,252,t_gen=10
IoT 16,94,t_gen=11
IoT 17,242,t_gen=20
IoT 18,178,t_gen=2
IoT 19,100,t_gen=5
IoT 20,178,t_gen=2
IoT 21,88,t_gen=18
IoT 22,282,t_gen=17
IoT 23,261,t_gen=20
IoT 24,51,t_gen=5
IoT 25,266,t_gen=15
IoT 26,186,t_gen=16
IoT 27,277,t_gen=4
IoT 28,202,t_gen=17
IoT 29,89,t_gen=16
IoT 30,215,t_gen=1
IoT 31,174,t_gen=6
IoT 32,253,t_gen=9
IoT 33,258,t_gen=4
IoT 34,64,t_gen=16
IoT 35,86,t_gen=19
IoT 36,199,t_gen=8
IoT 37,86,t_gen=19
IoT 38,174,t_gen=8
IoT 39,95,t_gen=10
IoT 40,100,t_gen=5
IoT 41,284,t_gen=17
IoT 42,97,t_gen=8
IoT 43,244,t_gen=18
IoT 44,201,t_gen=13
IoT 45,94,t_gen=11
IoT 46,254,t_gen=8
IoT 47,90,t_gen=15
IoT 48,247,t_gen=15
IoT 49,98,t_gen=15
IoT 50,273,t_gen=8
IoT 51,293,t_gen=6
IoT 52,101,t_gen=4
IoT 53,62,t_gen=4
IoT 54,266,t_gen=15
IoT 55,261,t_gen=1
IoT 56,98,t_gen=7
IoT 57,261,t_gen=20
IoT 58,259,t_gen=3
IoT 59,87,t_gen=18
IoT 60,175,t_gen=5
IoT 61,244,t_gen=18
IoT 62,104,t_gen=1
IoT 63,41,t_gen=2
IoT 64,268,t_gen=13
IoT 65,86,t_gen=0
IoT 66,283,t_gen=16
IoT 67,255,t_gen=7
IoT 68,249,t_gen=13
IoT 69,259,t_gen=3
IoT 70,87,t_gen=18
IoT 71,249,t_gen=13
IoT 72,91,t_gen=9
IoT 73,60,t_gen=17
IoT 74,163,t_gen=17
IoT 75,56,t_gen=2
IoT 76,293,t_gen=6
IoT 77,279,t_gen=2
IoT 78,254,t_gen=8
IoT 79,111,t_gen=14
IoT 80,89,t_gen=16
IoT 81,257,t_gen=5
