Scenario Information
Number of IoT Nodes,20
Number of UAVs,4
Number of Ground BS,4

Seed,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,104,73.4,1.0,3637.3920863583635,0,35.024842500686646
IoT-Level AoIs for Seed,42
IoT 1,78,t_gen=6
IoT 2,67,t_gen=17
IoT 3,67,t_gen=17
IoT 4,25,t_gen=8
IoT 5,92,t_gen=5
IoT 6,53,t_gen=4
IoT 7,81,t_gen=3
IoT 8,93,t_gen=11
IoT 9,43,t_gen=14
IoT 10,99,t_gen=12
IoT 11,84,t_gen=20
IoT 12,86,t_gen=18
IoT 13,97,t_gen=7
IoT 14,104,t_gen=7
IoT 15,43,t_gen=14
IoT 16,46,t_gen=11
IoT 17,84,t_gen=20
IoT 18,87,t_gen=17
IoT 19,72,t_gen=12
IoT 20,67,t_gen=17

50,95,60.5,1.0,3571.097821989933,0,43.96296787261963
IoT-Level AoIs for Seed,50
IoT 1,93,t_gen=4
IoT 2,94,t_gen=11
IoT 3,95,t_gen=10
IoT 4,84,t_gen=13
IoT 5,29,t_gen=2
IoT 6,11,t_gen=20
IoT 7,87,t_gen=10
IoT 8,19,t_gen=3
IoT 9,4,t_gen=18
IoT 10,56,t_gen=6
IoT 11,69,t_gen=19
IoT 12,94,t_gen=3
IoT 13,80,t_gen=17
IoT 14,5,t_gen=17
IoT 15,70,t_gen=18
IoT 16,77,t_gen=11
IoT 17,86,t_gen=11
IoT 18,59,t_gen=13
IoT 19,8,t_gen=20
IoT 20,90,t_gen=7

55,77,46.25,1.0,3140.9417157904845,0,31.430402278900146
IoT-Level AoIs for Seed,55
IoT 1,50,t_gen=15
IoT 2,66,t_gen=12
IoT 3,5,t_gen=17
IoT 4,33,t_gen=8
IoT 5,41,t_gen=0
IoT 6,64,t_gen=1
IoT 7,21,t_gen=20
IoT 8,35,t_gen=6
IoT 9,41,t_gen=0
IoT 10,77,t_gen=9
IoT 11,32,t_gen=7
IoT 12,58,t_gen=7
IoT 13,35,t_gen=6
IoT 14,28,t_gen=13
IoT 15,38,t_gen=3
IoT 16,76,t_gen=2
IoT 17,70,t_gen=8
IoT 18,63,t_gen=2
IoT 19,44,t_gen=15
IoT 20,48,t_gen=17

60,82,52.95,1.0,3499.737174369211,0,35.337915658950806
IoT-Level AoIs for Seed,60
IoT 1,46,t_gen=5
