Scenario Information
Number of IoT Nodes,50
Number of UAVs,3
Number of Ground BS,4

Seed,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,142,93.28,1.0,4845.010359629215,0,250.15914702415466
IoT-Level AoIs for Seed,42
IoT 1,43,t_gen=6
IoT 2,126,t_gen=17
IoT 3,124,t_gen=17
IoT 4,133,t_gen=8
IoT 5,15,t_gen=5
IoT 6,79,t_gen=4
IoT 7,140,t_gen=3
IoT 8,38,t_gen=11
IoT 9,127,t_gen=14
IoT 10,134,t_gen=12
IoT 11,123,t_gen=20
IoT 12,123,t_gen=18
IoT 13,42,t_gen=7
IoT 14,139,t_gen=7
IoT 15,69,t_gen=14
IoT 16,72,t_gen=11
IoT 17,121,t_gen=20
IoT 18,126,t_gen=17
IoT 19,131,t_gen=12
IoT 20,124,t_gen=17
IoT 21,62,t_gen=1
IoT 22,39,t_gen=10
IoT 23,31,t_gen=18
IoT 24,24,t_gen=20
IoT 25,126,t_gen=20
IoT 26,42,t_gen=7
IoT 27,123,t_gen=18
IoT 28,130,t_gen=11
IoT 29,125,t_gen=16
IoT 30,138,t_gen=3
IoT 31,36,t_gen=13
IoT 32,64,t_gen=19
IoT 33,124,t_gen=17
IoT 34,7,t_gen=3
IoT 35,75,t_gen=8
IoT 36,74,t_gen=9
IoT 37,133,t_gen=8
IoT 38,125,t_gen=16
IoT 39,132,t_gen=9
IoT 40,135,t_gen=6
IoT 41,126,t_gen=17
IoT 42,141,t_gen=0
IoT 43,80,t_gen=3
IoT 44,132,t_gen=9
IoT 45,39,t_gen=18
IoT 46,142,t_gen=15
IoT 47,129,t_gen=17
IoT 48,7,t_gen=15
IoT 49,17,t_gen=16
IoT 50,77,t_gen=6

50,168,89.16,1.0,4879.354259492464,0,225.8998465538025
IoT-Level AoIs for Seed,50
IoT 1,47,t_gen=4
IoT 2,112,t_gen=11
IoT 3,113,t_gen=10
IoT 4,154,t_gen=13
IoT 5,167,t_gen=2
IoT 6,109,t_gen=20
IoT 7,119,t_gen=10
IoT 8,96,t_gen=3
IoT 9,42,t_gen=18
IoT 10,45,t_gen=6
IoT 11,32,t_gen=19
IoT 12,164,t_gen=3
IoT 13,112,t_gen=17
IoT 14,82,t_gen=17
IoT 15,33,t_gen=18
IoT 16,118,t_gen=11
IoT 17,40,t_gen=11
IoT 18,47,t_gen=13
IoT 19,128,t_gen=20
IoT 20,122,t_gen=7
IoT 21,56,t_gen=4
IoT 22,89,t_gen=10
IoT 23,58,t_gen=2
IoT 24,121,t_gen=8
IoT 25,110,t_gen=13
IoT 26,127,t_gen=2
IoT 27,59,t_gen=0
IoT 28,42,t_gen=18
IoT 29,11,t_gen=11
IoT 30,133,t_gen=15
IoT 31,16,t_gen=6
IoT 32,49,t_gen=2
IoT 33,18,t_gen=4
IoT 34,49,t_gen=11
IoT 35,53,t_gen=7
IoT 36,120,t_gen=9
IoT 37,36,t_gen=15
IoT 38,163,t_gen=4
IoT 39,104,t_gen=19
IoT 40,87,t_gen=12
IoT 41,108,t_gen=15
IoT 42,89,t_gen=10
IoT 43,121,t_gen=8
IoT 44,126,t_gen=3
IoT 45,42,t_gen=9
IoT 46,151,t_gen=8
IoT 47,92,t_gen=7
IoT 48,122,t_gen=7
IoT 49,168,t_gen=7
IoT 50,56,t_gen=17

55,138,83.72,1.0,4434.032299407811,0,253.31573820114136
IoT-Level AoIs for Seed,55
IoT 1,68,t_gen=15
IoT 2,57,t_gen=12
IoT 3,102,t_gen=17
IoT 4,61,t_gen=8
IoT 5,52,t_gen=0
IoT 6,82,t_gen=1
IoT 7,124,t_gen=20
IoT 8,63,t_gen=6
IoT 9,136,t_gen=0
IoT 10,124,t_gen=9
IoT 11,54,t_gen=7
IoT 12,112,t_gen=7
IoT 13,138,t_gen=6
IoT 14,131,t_gen=13
IoT 15,92,t_gen=3
IoT 16,78,t_gen=2
IoT 17,115,t_gen=8
IoT 18,87,t_gen=2
IoT 19,68,t_gen=15
IoT 20,52,t_gen=17
IoT 21,71,t_gen=12
IoT 22,64,t_gen=5
IoT 23,62,t_gen=7
IoT 24,137,t_gen=11
IoT 25,125,t_gen=11
IoT 26,82,t_gen=1
IoT 27,53,t_gen=15
IoT 28,133,t_gen=16
IoT 29,86,t_gen=6
