Scenario Information
Number of IoT Nodes,100
Number of UAVs,3
Number of Ground BS,4

Seed,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,243,202.89,1.0,7806.403195540139,0,44.57706117630005
Individual AoIs for Seed,42
IoT 1,235,t_gen=6
IoT 2,224,t_gen=17
IoT 3,224,t_gen=17
IoT 4,233,t_gen=8
IoT 5,73,t_gen=5
IoT 6,216,t_gen=4
IoT 7,238,t_gen=3
IoT 8,230,t_gen=11
IoT 9,213,t_gen=14
IoT 10,215,t_gen=12
IoT 11,221,t_gen=20
IoT 12,209,t_gen=18
IoT 13,234,t_gen=7
IoT 14,220,t_gen=7
IoT 15,206,t_gen=14
IoT 16,209,t_gen=11
IoT 17,221,t_gen=20
IoT 18,224,t_gen=17
IoT 19,66,t_gen=12
IoT 20,224,t_gen=17
IoT 21,240,t_gen=1
IoT 22,231,t_gen=10
IoT 23,223,t_gen=18
IoT 24,210,t_gen=20
IoT 25,207,t_gen=20
IoT 26,234,t_gen=7
IoT 27,209,t_gen=18
IoT 28,216,t_gen=11
IoT 29,211,t_gen=16
IoT 30,224,t_gen=3
IoT 31,228,t_gen=13
IoT 32,208,t_gen=19
IoT 33,203,t_gen=17
IoT 34,75,t_gen=3
IoT 35,219,t_gen=8
IoT 36,211,t_gen=9
IoT 37,233,t_gen=8
IoT 38,211,t_gen=16
IoT 39,218,t_gen=9
IoT 40,221,t_gen=6
IoT 41,224,t_gen=17
IoT 42,220,t_gen=0
IoT 43,224,t_gen=3
IoT 44,218,t_gen=9
IoT 45,223,t_gen=18
IoT 46,63,t_gen=15
IoT 47,210,t_gen=17
IoT 48,63,t_gen=15
IoT 49,62,t_gen=16
IoT 50,214,t_gen=6
IoT 51,221,t_gen=6
IoT 52,200,t_gen=20
IoT 53,213,t_gen=14
IoT 54,231,t_gen=10
IoT 55,223,t_gen=18
IoT 56,221,t_gen=20
IoT 57,240,t_gen=1
IoT 58,71,t_gen=7
IoT 59,243,t_gen=17
IoT 60,209,t_gen=18
IoT 61,226,t_gen=15
IoT 62,75,t_gen=3
IoT 63,207,t_gen=13
IoT 64,231,t_gen=20
IoT 65,66,t_gen=12
IoT 66,224,t_gen=3
IoT 67,227,t_gen=14
IoT 68,227,t_gen=14
IoT 69,213,t_gen=14
IoT 70,224,t_gen=3
IoT 71,241,t_gen=0
IoT 72,220,t_gen=7
IoT 73,235,t_gen=6
IoT 74,222,t_gen=5
IoT 75,219,t_gen=8
IoT 76,218,t_gen=9
IoT 77,210,t_gen=17
IoT 78,221,t_gen=6
IoT 79,209,t_gen=18
IoT 80,68,t_gen=10
IoT 81,225,t_gen=16
IoT 82,226,t_gen=1
IoT 83,73,t_gen=5
IoT 84,234,t_gen=7
IoT 85,202,t_gen=18
IoT 86,222,t_gen=19
IoT 87,223,t_gen=18
IoT 88,221,t_gen=6
IoT 89,212,t_gen=8
IoT 90,218,t_gen=9
IoT 91,225,t_gen=2
IoT 92,223,t_gen=18
IoT 93,72,t_gen=6
IoT 94,230,t_gen=11
IoT 95,209,t_gen=11
IoT 96,243,t_gen=17
IoT 97,231,t_gen=20
IoT 98,210,t_gen=17
IoT 99,237,t_gen=4
IoT 100,210,t_gen=17

50,214,187.87,1.0,7419.447462274273,0,35.81556797027588
Individual AoIs for Seed,50
IoT 1,175,t_gen=4
IoT 2,179,t_gen=11
IoT 3,202,t_gen=10
IoT 4,202,t_gen=13
IoT 5,213,t_gen=2
IoT 6,195,t_gen=20
IoT 7,180,t_gen=10
IoT 8,212,t_gen=3
IoT 9,211,t_gen=18
IoT 10,173,t_gen=6
IoT 11,193,t_gen=19
IoT 12,212,t_gen=3
IoT 13,162,t_gen=17
IoT 14,205,t_gen=17
IoT 15,161,t_gen=18
IoT 16,168,t_gen=11
IoT 17,168,t_gen=11
IoT 18,177,t_gen=13
IoT 19,195,t_gen=20
IoT 20,208,t_gen=7
IoT 21,186,t_gen=4
IoT 22,205,t_gen=10
IoT 23,188,t_gen=2
IoT 24,207,t_gen=8
IoT 25,166,t_gen=13
IoT 26,177,t_gen=2
IoT 27,212,t_gen=0
IoT 28,172,t_gen=18
IoT 29,179,t_gen=11
IoT 30,200,t_gen=15
IoT 31,184,t_gen=6
IoT 32,177,t_gen=2
IoT 33,186,t_gen=4
IoT 34,179,t_gen=11
IoT 35,183,t_gen=7
IoT 36,206,t_gen=9
IoT 37,164,t_gen=15
IoT 38,212,t_gen=4
IoT 39,171,t_gen=19
IoT 40,178,t_gen=12
IoT 41,175,t_gen=15
IoT 42,205,t_gen=10
IoT 43,207,t_gen=8
IoT 44,212,t_gen=3
IoT 45,181,t_gen=9
IoT 46,207,t_gen=8
IoT 47,183,t_gen=7
IoT 48,172,t_gen=7
IoT 49,208,t_gen=7
IoT 50,194,t_gen=17
IoT 51,204,t_gen=8
IoT 52,206,t_gen=9
IoT 53,174,t_gen=5
IoT 54,200,t_gen=15
IoT 55,189,t_gen=1
IoT 56,174,t_gen=5
IoT 57,174,t_gen=16
IoT 58,175,t_gen=15
IoT 59,170,t_gen=20
IoT 60,162,t_gen=17
IoT 61,178,t_gen=1
IoT 62,213,t_gen=2
IoT 63,176,t_gen=14
IoT 64,184,t_gen=6
IoT 65,196,t_gen=19
IoT 66,179,t_gen=11
IoT 67,214,t_gen=1
IoT 68,177,t_gen=13
IoT 69,165,t_gen=14
IoT 70,173,t_gen=17
IoT 71,176,t_gen=3
IoT 72,175,t_gen=4
IoT 73,170,t_gen=9
IoT 74,162,t_gen=17
IoT 75,175,t_gen=4
IoT 76,173,t_gen=6
IoT 77,211,t_gen=11
IoT 78,196,t_gen=15
IoT 79,213,t_gen=2
IoT 80,198,t_gen=17
IoT 81,202,t_gen=13
IoT 82,166,t_gen=13
IoT 83,181,t_gen=9
IoT 84,169,t_gen=10
IoT 85,183,t_gen=7
IoT 86,168,t_gen=11
IoT 87,199,t_gen=16
IoT 88,205,t_gen=10
IoT 89,205,t_gen=10
IoT 90,214,t_gen=20
IoT 91,210,t_gen=5
IoT 92,203,t_gen=12
IoT 93,169,t_gen=10
IoT 94,202,t_gen=13
IoT 95,172,t_gen=7
IoT 96,210,t_gen=19
IoT 97,201,t_gen=14
IoT 98,175,t_gen=15
IoT 99,184,t_gen=8
IoT 100,170,t_gen=9

55,247,183.34,1.0,7158.3963660223235,0,34.509527921676636
Individual AoIs for Seed,55
IoT 1,234,t_gen=15
IoT 2,222,t_gen=12
IoT 3,166,t_gen=17
IoT 4,99,t_gen=8
IoT 5,234,t_gen=0
IoT 6,185,t_gen=1
IoT 7,214,t_gen=20
IoT 8,101,t_gen=6
IoT 9,234,t_gen=0
IoT 10,174,t_gen=9
IoT 11,227,t_gen=7
IoT 12,179,t_gen=7
IoT 13,228,t_gen=6
IoT 14,221,t_gen=13
IoT 15,104,t_gen=3
IoT 16,184,t_gen=2
IoT 17,175,t_gen=8
IoT 18,232,t_gen=2
IoT 19,171,t_gen=15
IoT 20,217,t_gen=17
IoT 21,222,t_gen=12
IoT 22,102,t_gen=5
IoT 23,100,t_gen=7
IoT 24,241,t_gen=11
IoT 25,96,t_gen=11
IoT 26,185,t_gen=1
