Scenario Information
Number of IoT Nodes,80
Number of UAVs,4
Number of Ground BS,4

Seed,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,195,167.4125,1.0,8693.709078173222,0,20.33988046646118
Individual AoIs for Seed,42
IoT 1,175,t_gen=6
IoT 2,178,t_gen=17
IoT 3,178,t_gen=17
IoT 4,187,t_gen=8
IoT 5,176,t_gen=5
IoT 6,157,t_gen=4
IoT 7,158,t_gen=3
IoT 8,184,t_gen=11
IoT 9,147,t_gen=14
IoT 10,149,t_gen=12
IoT 11,193,t_gen=20
IoT 12,156,t_gen=18
IoT 13,188,t_gen=7
IoT 14,167,t_gen=7
IoT 15,167,t_gen=14
IoT 16,150,t_gen=11
IoT 17,141,t_gen=20
IoT 18,164,t_gen=17
IoT 19,169,t_gen=12
IoT 20,144,t_gen=17
IoT 21,194,t_gen=1
IoT 22,185,t_gen=10
IoT 23,177,t_gen=18
IoT 24,187,t_gen=20
IoT 25,154,t_gen=20
IoT 26,188,t_gen=7
IoT 27,156,t_gen=18
IoT 28,163,t_gen=11
IoT 29,158,t_gen=16
IoT 30,158,t_gen=3
IoT 31,182,t_gen=13
IoT 32,142,t_gen=19
IoT 33,144,t_gen=17
IoT 34,178,t_gen=3
IoT 35,184,t_gen=8
IoT 36,188,t_gen=9
IoT 37,153,t_gen=8
IoT 38,158,t_gen=16
IoT 39,165,t_gen=9
IoT 40,155,t_gen=6
IoT 41,144,t_gen=17
IoT 42,174,t_gen=0
IoT 43,158,t_gen=3
IoT 44,165,t_gen=9
IoT 45,177,t_gen=18
IoT 46,166,t_gen=15
IoT 47,157,t_gen=17
IoT 48,166,t_gen=15
IoT 49,165,t_gen=16
IoT 50,155,t_gen=6
IoT 51,168,t_gen=6
IoT 52,141,t_gen=20
IoT 53,160,t_gen=14
IoT 54,185,t_gen=10
IoT 55,177,t_gen=18
IoT 56,175,t_gen=20
IoT 57,194,t_gen=1
IoT 58,174,t_gen=7
IoT 59,178,t_gen=17
IoT 60,143,t_gen=18
IoT 61,166,t_gen=15
IoT 62,178,t_gen=3
IoT 63,148,t_gen=13
IoT 64,172,t_gen=20
IoT 65,169,t_gen=12
IoT 66,171,t_gen=3
IoT 67,181,t_gen=14
IoT 68,181,t_gen=14
IoT 69,160,t_gen=14
IoT 70,171,t_gen=3
IoT 71,195,t_gen=0
IoT 72,167,t_gen=7
IoT 73,189,t_gen=6
IoT 74,169,t_gen=5
IoT 75,166,t_gen=8
IoT 76,165,t_gen=9
IoT 77,144,t_gen=17
IoT 78,155,t_gen=6
IoT 79,156,t_gen=18
IoT 80,171,t_gen=10

50,191,147.325,1.0,8190.808881042618,0,15.992892026901245
Individual AoIs for Seed,50
IoT 1,122,t_gen=4
IoT 2,115,t_gen=11
IoT 3,149,t_gen=10
IoT 4,164,t_gen=13
IoT 5,175,t_gen=2
IoT 6,157,t_gen=20
IoT 7,116,t_gen=10
IoT 8,109,t_gen=3
IoT 9,191,t_gen=18
IoT 10,153,t_gen=6
IoT 11,107,t_gen=19
IoT 12,109,t_gen=3
IoT 13,160,t_gen=17
IoT 14,136,t_gen=17
IoT 15,108,t_gen=18
IoT 16,115,t_gen=11
IoT 17,115,t_gen=11
IoT 18,176,t_gen=13
IoT 19,163,t_gen=20
IoT 20,170,t_gen=7
IoT 21,185,t_gen=4
IoT 22,102,t_gen=10
IoT 23,187,t_gen=2
IoT 24,169,t_gen=8
IoT 25,113,t_gen=13
IoT 26,124,t_gen=2
IoT 27,189,t_gen=0
IoT 28,171,t_gen=18
IoT 29,178,t_gen=11
IoT 30,162,t_gen=15
IoT 31,183,t_gen=6
IoT 32,124,t_gen=2
IoT 33,185,t_gen=4
IoT 34,178,t_gen=11
IoT 35,182,t_gen=7
IoT 36,168,t_gen=9
IoT 37,111,t_gen=15
IoT 38,155,t_gen=4
IoT 39,170,t_gen=19
IoT 40,100,t_gen=12
IoT 41,144,t_gen=15
IoT 42,102,t_gen=10
IoT 43,169,t_gen=8
IoT 44,174,t_gen=3
IoT 45,117,t_gen=9
IoT 46,169,t_gen=8
IoT 47,170,t_gen=7
IoT 48,182,t_gen=7
IoT 49,170,t_gen=7
IoT 50,172,t_gen=17
IoT 51,151,t_gen=8
IoT 52,168,t_gen=9
IoT 53,121,t_gen=5
IoT 54,97,t_gen=15
IoT 55,188,t_gen=1
IoT 56,121,t_gen=5
IoT 57,96,t_gen=16
IoT 58,174,t_gen=15
IoT 59,92,t_gen=20
IoT 60,136,t_gen=17
IoT 61,125,t_gen=1
IoT 62,110,t_gen=2
IoT 63,175,t_gen=14
IoT 64,183,t_gen=6
IoT 65,93,t_gen=19
IoT 66,178,t_gen=11
IoT 67,111,t_gen=1
IoT 68,176,t_gen=13
IoT 69,163,t_gen=14
IoT 70,172,t_gen=17
IoT 71,123,t_gen=3
IoT 72,122,t_gen=4
IoT 73,117,t_gen=9
IoT 74,160,t_gen=17
IoT 75,122,t_gen=4
IoT 76,120,t_gen=6
IoT 77,154,t_gen=11
IoT 78,188,t_gen=15
IoT 79,175,t_gen=2
IoT 80,160,t_gen=17

55,226,183.0875,1.0,10067.52032959019,0,14.871948480606079
Individual AoIs for Seed,55
IoT 1,195,t_gen=15
IoT 2,214,t_gen=12
IoT 3,140,t_gen=17
IoT 4,202,t_gen=8
IoT 5,226,t_gen=0
IoT 6,209,t_gen=1
IoT 7,206,t_gen=20
IoT 8,204,t_gen=6
IoT 9,226,t_gen=0
IoT 10,209,t_gen=9
IoT 11,219,t_gen=7
IoT 12,150,t_gen=7
IoT 13,220,t_gen=6
IoT 14,213,t_gen=13
IoT 15,99,t_gen=3
IoT 16,100,t_gen=2
IoT 17,210,t_gen=8
IoT 18,224,t_gen=2
IoT 19,195,t_gen=15
IoT 20,209,t_gen=17
IoT 21,214,t_gen=12
IoT 22,205,t_gen=5
IoT 23,95,t_gen=7
IoT 24,199,t_gen=11
IoT 25,91,t_gen=11
IoT 26,209,t_gen=1
IoT 27,191,t_gen=15
IoT 28,210,t_gen=16
IoT 29,96,t_gen=6
IoT 30,205,t_gen=5
IoT 31,91,t_gen=11
IoT 32,210,t_gen=0
IoT 33,223,t_gen=3
IoT 34,211,t_gen=15
IoT 35,154,t_gen=3
IoT 36,220,t_gen=6
IoT 37,82,t_gen=20
IoT 38,203,t_gen=15
IoT 39,197,t_gen=13
IoT 40,204,t_gen=2
IoT 41,214,t_gen=12
IoT 42,143,t_gen=2
IoT 43,144,t_gen=13
IoT 44,209,t_gen=17
IoT 45,137,t_gen=8
