Scenario Information
Number of IoT Nodes,20
Number of UAVs,3
Number of Ground BS,4

Seed,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,105,79.9,1.0,3802.145259436479,0,1.2971210479736328
Individual AoIs for Seed,42
IoT 1,90,t_gen=6
IoT 2,83,t_gen=17
IoT 3,83,t_gen=17
IoT 4,92,t_gen=8
IoT 5,37,t_gen=5
IoT 6,38,t_gen=4
IoT 7,97,t_gen=3
IoT 8,85,t_gen=11
IoT 9,86,t_gen=14
IoT 10,100,t_gen=12
IoT 11,76,t_gen=20
IoT 12,94,t_gen=18
IoT 13,89,t_gen=7
IoT 14,105,t_gen=7
IoT 15,86,t_gen=14
IoT 16,89,t_gen=11
IoT 17,76,t_gen=20
IoT 18,79,t_gen=17
IoT 19,30,t_gen=12
IoT 20,83,t_gen=17

50,126,69.9,1.0,4123.580067318377,0,1.168285608291626
Individual AoIs for Seed,50
IoT 1,77,t_gen=4
IoT 2,18,t_gen=11
IoT 3,19,t_gen=10
IoT 4,68,t_gen=13
IoT 5,79,t_gen=2
IoT 6,61,t_gen=20
IoT 7,71,t_gen=10
IoT 8,78,t_gen=3
IoT 9,111,t_gen=18
IoT 10,23,t_gen=6
IoT 11,78,t_gen=19
IoT 12,126,t_gen=3
IoT 13,64,t_gen=17
IoT 14,71,t_gen=17
IoT 15,63,t_gen=18
IoT 16,70,t_gen=11
IoT 17,70,t_gen=11
IoT 18,116,t_gen=13
IoT 19,61,t_gen=20
IoT 20,74,t_gen=7

55,111,94.7,1.0,4235.089081359614,0,2.016674757003784
Individual AoIs for Seed,55
IoT 1,75,t_gen=15
IoT 2,97,t_gen=12
IoT 3,85,t_gen=17
IoT 4,101,t_gen=8
IoT 5,102,t_gen=0
IoT 6,89,t_gen=1
IoT 7,89,t_gen=20
IoT 8,84,t_gen=6
IoT 9,109,t_gen=0
IoT 10,93,t_gen=9
IoT 11,102,t_gen=7
IoT 12,95,t_gen=7
IoT 13,103,t_gen=6
IoT 14,96,t_gen=13
IoT 15,87,t_gen=3
IoT 16,88,t_gen=2
IoT 17,94,t_gen=8
IoT 18,107,t_gen=2
IoT 19,87,t_gen=15
IoT 20,111,t_gen=17

60,113,105.85,1.0,3360.278722256324,0,3.406999111175537
Individual AoIs for Seed,60
IoT 1,112,t_gen=5
