Scenario Information
Number of IoT Nodes,50
Number of UAVs,3
Number of Ground BS,2

Seed,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,192,175.24,1.0,6482.296013520157,0,3.9736499786376953
Individual AoIs for Seed,42
IoT 1,173,t_gen=17
IoT 2,190,t_gen=0
IoT 3,171,t_gen=19
IoT 4,170,t_gen=20
IoT 5,178,t_gen=14
IoT 6,176,t_gen=0
IoT 7,179,t_gen=13
IoT 8,166,t_gen=10
IoT 9,183,t_gen=11
IoT 10,191,t_gen=1
IoT 11,180,t_gen=12
IoT 12,170,t_gen=20
IoT 13,174,t_gen=18
IoT 14,183,t_gen=7
IoT 15,183,t_gen=7
IoT 16,178,t_gen=14
IoT 17,181,t_gen=11
IoT 18,156,t_gen=20
IoT 19,159,t_gen=17
IoT 20,180,t_gen=12
IoT 21,159,t_gen=17
IoT 22,175,t_gen=1
IoT 23,180,t_gen=10
IoT 24,172,t_gen=18
IoT 25,172,t_gen=20
IoT 26,170,t_gen=20
IoT 27,185,t_gen=7
IoT 28,158,t_gen=18
IoT 29,179,t_gen=11
IoT 30,174,t_gen=16
IoT 31,173,t_gen=3
IoT 32,177,t_gen=13
IoT 33,173,t_gen=19
IoT 34,175,t_gen=17
IoT 35,189,t_gen=3
IoT 36,182,t_gen=8
IoT 37,183,t_gen=9
IoT 38,168,t_gen=8
IoT 39,176,t_gen=16
IoT 40,167,t_gen=9
IoT 41,186,t_gen=6
IoT 42,173,t_gen=17
IoT 43,192,t_gen=0
IoT 44,173,t_gen=3
IoT 45,183,t_gen=9
IoT 46,158,t_gen=18
IoT 47,177,t_gen=15
IoT 48,159,t_gen=17
IoT 49,177,t_gen=15
IoT 50,176,t_gen=16

50,211,162.94,1.0,6829.953924015508,0,4.582796335220337
Individual AoIs for Seed,50
IoT 1,84,t_gen=2
IoT 2,181,t_gen=17
IoT 3,182,t_gen=3
IoT 4,207,t_gen=6
IoT 5,166,t_gen=19
IoT 6,211,t_gen=2
IoT 7,194,t_gen=19
IoT 8,149,t_gen=20
IoT 9,159,t_gen=10
IoT 10,83,t_gen=3
IoT 11,167,t_gen=18
IoT 12,179,t_gen=6
IoT 13,180,t_gen=19
IoT 14,166,t_gen=3
IoT 15,196,t_gen=17
IoT 16,69,t_gen=17
IoT 17,195,t_gen=18
IoT 18,202,t_gen=11
IoT 19,187,t_gen=11
IoT 20,172,t_gen=13
IoT 21,193,t_gen=20
IoT 22,206,t_gen=7
IoT 23,181,t_gen=4
IoT 24,76,t_gen=10
IoT 25,183,t_gen=2
IoT 26,161,t_gen=8
IoT 27,200,t_gen=13
IoT 28,167,t_gen=2
IoT 29,185,t_gen=0
IoT 30,167,t_gen=18
IoT 31,174,t_gen=11
IoT 32,198,t_gen=15
IoT 33,179,t_gen=6
IoT 34,167,t_gen=2
IoT 35,165,t_gen=4
IoT 36,174,t_gen=11
IoT 37,79,t_gen=7
IoT 38,204,t_gen=9
IoT 39,154,t_gen=15
IoT 40,82,t_gen=4
IoT 41,166,t_gen=19
IoT 42,74,t_gen=12
IoT 43,170,t_gen=15
IoT 44,76,t_gen=10
IoT 45,205,t_gen=8
IoT 46,210,t_gen=3
IoT 47,176,t_gen=9
IoT 48,205,t_gen=8
IoT 49,79,t_gen=7
IoT 50,162,t_gen=7

55,220,200.84,1.0,6980.153611061187,0,4.373255491256714
Individual AoIs for Seed,55
IoT 1,166,t_gen=9
IoT 2,160,t_gen=15
IoT 3,203,t_gen=12
IoT 4,158,t_gen=17
IoT 5,212,t_gen=8
IoT 6,220,t_gen=0
IoT 7,214,t_gen=1
IoT 8,200,t_gen=20
IoT 9,169,t_gen=6
IoT 10,220,t_gen=0
IoT 11,166,t_gen=9
IoT 12,213,t_gen=7
IoT 13,208,t_gen=7
IoT 14,214,t_gen=6
IoT 15,207,t_gen=13
IoT 16,212,t_gen=3
IoT 17,218,t_gen=2
IoT 18,212,t_gen=8
IoT 19,213,t_gen=2
IoT 20,200,t_gen=15
IoT 21,198,t_gen=17
IoT 22,208,t_gen=12
IoT 23,210,t_gen=5
IoT 24,208,t_gen=7
IoT 25,164,t_gen=11
IoT 26,209,t_gen=11
IoT 27,219,t_gen=1
IoT 28,205,t_gen=15
IoT 29,204,t_gen=16
IoT 30,214,t_gen=6
IoT 31,170,t_gen=5
IoT 32,164,t_gen=11
IoT 33,215,t_gen=0
IoT 34,217,t_gen=3
IoT 35,200,t_gen=15
IoT 36,217,t_gen=3
IoT 37,214,t_gen=6
IoT 38,200,t_gen=20
IoT 39,205,t_gen=15
IoT 40,202,t_gen=13
IoT 41,218,t_gen=2
IoT 42,208,t_gen=12
IoT 43,213,t_gen=2
IoT 44,162,t_gen=13
IoT 45,203,t_gen=17
IoT 46,207,t_gen=8
IoT 47,219,t_gen=1
IoT 48,158,t_gen=17
IoT 49,213,t_gen=7
IoT 50,213,t_gen=2

60,212,178.24,1.0,7089.728375460684,0,4.613804578781128
Individual AoIs for Seed,60
IoT 1,178,t_gen=1
IoT 2,212,t_gen=5
IoT 3,159,t_gen=20
IoT 4,205,t_gen=5
IoT 5,206,t_gen=4
IoT 6,142,t_gen=18
IoT 7,151,t_gen=9
IoT 8,203,t_gen=7
IoT 9,171,t_gen=8
IoT 10,202,t_gen=8
IoT 11,154,t_gen=6
IoT 12,201,t_gen=16
IoT 13,148,t_gen=12
IoT 14,207,t_gen=3
IoT 15,208,t_gen=2
IoT 16,200,t_gen=10
IoT 17,167,t_gen=12
IoT 18,205,t_gen=5
IoT 19,146,t_gen=14
IoT 20,142,t_gen=18
IoT 21,171,t_gen=8
IoT 22,172,t_gen=7
IoT 23,166,t_gen=13
IoT 24,210,t_gen=0
IoT 25,178,t_gen=1
IoT 26,173,t_gen=6
IoT 27,166,t_gen=13
IoT 28,172,t_gen=7
IoT 29,169,t_gen=10
IoT 30,210,t_gen=7
IoT 31,195,t_gen=15
IoT 32,172,t_gen=7
IoT 33,162,t_gen=17
IoT 34,163,t_gen=16
IoT 35,159,t_gen=1
IoT 36,197,t_gen=6
IoT 37,211,t_gen=6
IoT 38,175,t_gen=4
IoT 39,196,t_gen=14
IoT 40,172,t_gen=7
IoT 41,210,t_gen=7
IoT 42,140,t_gen=20
IoT 43,143,t_gen=17
IoT 44,161,t_gen=18
IoT 45,203,t_gen=14
IoT 46,155,t_gen=5
IoT 47,178,t_gen=1
IoT 48,175,t_gen=4
IoT 49,157,t_gen=3
IoT 50,194,t_gen=16

65,185,131.82,1.0,5672.422169472593,0,4.324237585067749
Individual AoIs for Seed,65
IoT 1,109,t_gen=10
IoT 2,67,t_gen=7
IoT 3,162,t_gen=8
IoT 4,169,t_gen=1
IoT 5,166,t_gen=4
IoT 6,181,t_gen=4
IoT 7,54,t_gen=20
IoT 8,150,t_gen=20
IoT 9,118,t_gen=1
IoT 10,175,t_gen=10
IoT 11,162,t_gen=8
IoT 12,168,t_gen=2
IoT 13,185,t_gen=0
IoT 14,101,t_gen=18
IoT 15,70,t_gen=4
IoT 16,109,t_gen=10
IoT 17,108,t_gen=11
IoT 18,150,t_gen=20
IoT 19,72,t_gen=2
IoT 20,114,t_gen=5
IoT 21,72,t_gen=2
IoT 22,152,t_gen=18
IoT 23,168,t_gen=17
IoT 24,165,t_gen=20
IoT 25,165,t_gen=5
IoT 26,170,t_gen=15
IoT 27,148,t_gen=16
IoT 28,181,t_gen=4
IoT 29,57,t_gen=17
IoT 30,154,t_gen=16
IoT 31,73,t_gen=1
IoT 32,158,t_gen=6
IoT 33,110,t_gen=9
IoT 34,115,t_gen=4
IoT 35,154,t_gen=16
IoT 36,151,t_gen=19
IoT 37,66,t_gen=8
IoT 38,100,t_gen=19
IoT 39,66,t_gen=8
IoT 40,109,t_gen=10
IoT 41,165,t_gen=5
IoT 42,102,t_gen=17
IoT 43,162,t_gen=8
IoT 44,167,t_gen=18
IoT 45,172,t_gen=13
IoT 46,159,t_gen=11
IoT 47,177,t_gen=8
IoT 48,155,t_gen=15
IoT 49,104,t_gen=15
IoT 50,104,t_gen=15

85,182,159.72,1.0,5185.505013311384,0,4.710080146789551
Individual AoIs for Seed,85
IoT 1,159,t_gen=11
IoT 2,165,t_gen=17
IoT 3,164,t_gen=18
IoT 4,169,t_gen=13
IoT 5,119,t_gen=2
IoT 6,156,t_gen=14
IoT 7,175,t_gen=7
IoT 8,169,t_gen=13
IoT 9,165,t_gen=5
IoT 10,154,t_gen=16
IoT 11,175,t_gen=7
IoT 12,111,t_gen=10
IoT 13,181,t_gen=1
IoT 14,165,t_gen=5
IoT 15,165,t_gen=5
IoT 16,177,t_gen=5
IoT 17,168,t_gen=14
IoT 18,162,t_gen=8
IoT 19,101,t_gen=20
IoT 20,165,t_gen=17
IoT 21,178,t_gen=4
IoT 22,112,t_gen=9
IoT 23,162,t_gen=8
IoT 24,119,t_gen=2
IoT 25,178,t_gen=4
