Scenario Information
Number of IoT Nodes,60
Number of UAVs,3
Number of Ground BS,4

Seed,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,233,191.0,1.0,7562.8171972572645,0,5.315058469772339
Individual AoIs for Seed,42
IoT 16,156,t_gen=12
IoT 17,163,t_gen=5
IoT 18,187,t_gen=14
IoT 19,156,t_gen=18
IoT 20,160,t_gen=8
IoT 21,194,t_gen=7
IoT 22,188,t_gen=13
IoT 23,201,t_gen=0
IoT 24,200,t_gen=1
IoT 25,162,t_gen=6
IoT 26,188,t_gen=13
IoT 27,161,t_gen=7
IoT 28,191,t_gen=10
IoT 29,161,t_gen=7
IoT 30,159,t_gen=15
IoT 31,194,t_gen=7
IoT 32,184,t_gen=17
IoT 33,152,t_gen=16
IoT 34,173,t_gen=1
IoT 35,195,t_gen=6
IoT 36,162,t_gen=6
IoT 37,197,t_gen=4
IoT 38,187,t_gen=14
IoT 39,194,t_gen=7
IoT 40,161,t_gen=7
IoT 41,154,t_gen=20
IoT 42,184,t_gen=17
IoT 43,183,t_gen=18
IoT 44,160,t_gen=14
IoT 45,169,t_gen=5
IoT 46,200,t_gen=1
IoT 47,170,t_gen=4
IoT 48,198,t_gen=3
IoT 49,158,t_gen=16
IoT 50,163,t_gen=5
IoT 51,174,t_gen=18
IoT 52,196,t_gen=5
IoT 53,162,t_gen=6
IoT 54,166,t_gen=8
IoT 55,183,t_gen=18
IoT 56,149,t_gen=19
IoT 57,188,t_gen=13
IoT 58,161,t_gen=7
IoT 59,198,t_gen=3
IoT 60,155,t_gen=13

65,184,138.98333333333332,1.0,5662.332739116823,0,5.924568176269531
Individual AoIs for Seed,65
IoT 1,76,t_gen=17
IoT 2,138,t_gen=15
IoT 3,150,t_gen=3
IoT 4,152,t_gen=4
IoT 5,184,t_gen=4
IoT 6,73,t_gen=20
IoT 7,156,t_gen=20
IoT 8,152,t_gen=1
IoT 9,178,t_gen=10
IoT 10,145,t_gen=8
IoT 11,154,t_gen=2
IoT 12,156,t_gen=0
IoT 13,138,t_gen=18
IoT 14,105,t_gen=4
IoT 15,146,t_gen=10
IoT 16,142,t_gen=11
IoT 17,136,t_gen=20
IoT 18,91,t_gen=2
IoT 19,151,t_gen=5
IoT 20,91,t_gen=2
IoT 21,138,t_gen=18
IoT 22,171,t_gen=17
IoT 23,168,t_gen=20
IoT 24,148,t_gen=5
IoT 25,173,t_gen=15
IoT 26,77,t_gen=16
IoT 27,184,t_gen=4
IoT 28,92,t_gen=17
IoT 29,137,t_gen=16
IoT 30,92,t_gen=1
IoT 31,87,t_gen=6
IoT 32,147,t_gen=9
IoT 33,152,t_gen=4
IoT 34,140,t_gen=16
IoT 35,134,t_gen=19
IoT 36,85,t_gen=8
IoT 37,134,t_gen=19
IoT 38,101,t_gen=8
IoT 39,166,t_gen=10
IoT 40,148,t_gen=5
IoT 41,136,t_gen=17
IoT 42,145,t_gen=8
IoT 43,170,t_gen=18
IoT 44,175,t_gen=13
IoT 45,142,t_gen=11
IoT 46,180,t_gen=8
IoT 47,138,t_gen=15
IoT 48,141,t_gen=15
IoT 49,141,t_gen=15
IoT 50,180,t_gen=8
IoT 51,87,t_gen=6
IoT 52,149,t_gen=4
IoT 53,149,t_gen=4
IoT 54,173,t_gen=15
IoT 55,155,t_gen=1
IoT 56,146,t_gen=7
IoT 57,168,t_gen=20
IoT 58,153,t_gen=3
IoT 59,135,t_gen=18
IoT 60,88,t_gen=5

85,180,137.95,1.0,6082.078924089644,0,6.241405248641968
Individual AoIs for Seed,85
IoT 1,168,t_gen=17
IoT 2,83,t_gen=18
IoT 3,144,t_gen=13
IoT 4,155,t_gen=2
IoT 5,143,t_gen=14
IoT 6,94,t_gen=7
IoT 7,144,t_gen=13
IoT 8,96,t_gen=5
IoT 9,174,t_gen=16
IoT 10,94,t_gen=7
IoT 11,147,t_gen=10
IoT 12,100,t_gen=1
IoT 13,152,t_gen=5
IoT 14,152,t_gen=5
IoT 15,96,t_gen=5
