Scenario Information
Number of IoT Nodes,20
Number of UAVs,2
Number of Ground BS,4

Seed,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,160,112.35,1.0,3601.096508576502,0,0.7786080837249756
Individual AoIs for Seed,42
IoT 1,125,t_gen=6
IoT 2,114,t_gen=17
IoT 3,114,t_gen=17
IoT 4,123,t_gen=8
IoT 5,50,t_gen=5
IoT 6,51,t_gen=4
IoT 7,160,t_gen=3
IoT 8,120,t_gen=11
IoT 9,149,t_gen=14
IoT 10,151,t_gen=12
IoT 11,134,t_gen=20
IoT 12,145,t_gen=18
IoT 13,124,t_gen=7
IoT 14,156,t_gen=7
IoT 15,41,t_gen=14
IoT 16,44,t_gen=11
IoT 17,143,t_gen=20
IoT 18,114,t_gen=17
IoT 19,43,t_gen=12
IoT 20,146,t_gen=17

50,151,118.15,1.0,3461.74047991546,0,2.1088907718658447
Individual AoIs for Seed,50
IoT 1,118,t_gen=4
IoT 2,111,t_gen=11
IoT 3,15,t_gen=10
IoT 4,140,t_gen=13
IoT 5,151,t_gen=2
IoT 6,133,t_gen=20
IoT 7,112,t_gen=10
IoT 8,150,t_gen=3
IoT 9,135,t_gen=18
IoT 10,19,t_gen=6
IoT 11,119,t_gen=19
IoT 12,150,t_gen=3
IoT 13,105,t_gen=17
IoT 14,148,t_gen=17
IoT 15,104,t_gen=18
IoT 16,111,t_gen=11
IoT 17,111,t_gen=11
IoT 18,140,t_gen=13
IoT 19,145,t_gen=20
IoT 20,146,t_gen=7

55,126,116.3,1.0,3139.689375094007,0,2.2732415199279785
Individual AoIs for Seed,55
IoT 1,112,t_gen=15
IoT 2,108,t_gen=12
IoT 3,110,t_gen=17
IoT 4,119,t_gen=8
IoT 5,120,t_gen=0
IoT 6,126,t_gen=1
IoT 7,100,t_gen=20
IoT 8,114,t_gen=6
IoT 9,120,t_gen=0
IoT 10,118,t_gen=9
IoT 11,113,t_gen=7
IoT 12,120,t_gen=7
IoT 13,114,t_gen=6
IoT 14,107,t_gen=13
IoT 15,124,t_gen=3
IoT 16,125,t_gen=2
IoT 17,112,t_gen=8
IoT 18,118,t_gen=2
IoT 19,124,t_gen=15
IoT 20,122,t_gen=17

60,126,112.6,1.0,2992.947272273799,0,1.1609337329864502
Individual AoIs for Seed,60
IoT 1,121,t_gen=5
IoT 2,96,t_gen=20
IoT 3,121,t_gen=5
IoT 4,112,t_gen=4
IoT 5,112,t_gen=18
IoT 6,107,t_gen=9
IoT 7,119,t_gen=7
IoT 8,108,t_gen=8
IoT 9,108,t_gen=8
IoT 10,120,t_gen=6
IoT 11,110,t_gen=16
IoT 12,104,t_gen=12
IoT 13,113,t_gen=3
IoT 14,114,t_gen=2
IoT 15,106,t_gen=10
IoT 16,114,t_gen=12
IoT 17,121,t_gen=5
IoT 18,102,t_gen=14
IoT 19,126,t_gen=18
IoT 20,118,t_gen=8

65,115,78.65,1.0,2901.2110336035394,0,0.9146645069122314
Individual AoIs for Seed,65
IoT 1,21,t_gen=17
IoT 2,103,t_gen=15
IoT 3,115,t_gen=3
IoT 4,82,t_gen=4
IoT 5,102,t_gen=4
IoT 6,104,t_gen=20
IoT 7,105,t_gen=20
IoT 8,85,t_gen=1
IoT 9,96,t_gen=10
IoT 10,78,t_gen=8
IoT 11,84,t_gen=2
IoT 12,106,t_gen=0
