Scenario Information
Number of IoT Nodes,50
Number of UAVs,3
Number of Ground BS,4

Seed,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,196,177.1,1.0,6525.472009651077,0,9.077853202819824
Individual AoIs for Seed,42
IoT 1,193,t_gen=6
IoT 2,179,t_gen=17
IoT 3,179,t_gen=17
IoT 4,191,t_gen=8
IoT 5,170,t_gen=5
IoT 6,171,t_gen=4
IoT 7,196,t_gen=3
IoT 8,185,t_gen=11
IoT 9,185,t_gen=14
IoT 10,184,t_gen=12
IoT 11,179,t_gen=20
IoT 12,178,t_gen=18
IoT 13,192,t_gen=7
IoT 14,192,t_gen=7
IoT 15,161,t_gen=14
IoT 16,164,t_gen=11
IoT 17,176,t_gen=20
IoT 18,179,t_gen=17
IoT 19,163,t_gen=12
IoT 20,179,t_gen=17
IoT 21,195,t_gen=1
IoT 22,189,t_gen=10
IoT 23,181,t_gen=18
IoT 24,155,t_gen=20
IoT 25,176,t_gen=20
IoT 26,192,t_gen=7
IoT 27,157,t_gen=18
IoT 28,185,t_gen=11
IoT 29,183,t_gen=16
IoT 30,193,t_gen=3
IoT 31,186,t_gen=13
IoT 32,180,t_gen=19
IoT 33,158,t_gen=17
IoT 34,172,t_gen=3
IoT 35,191,t_gen=8
IoT 36,166,t_gen=9
IoT 37,188,t_gen=8
IoT 38,159,t_gen=16
IoT 39,166,t_gen=9
IoT 40,169,t_gen=6
IoT 41,179,t_gen=17
IoT 42,175,t_gen=0
IoT 43,193,t_gen=3
IoT 44,166,t_gen=9
IoT 45,178,t_gen=18
IoT 46,160,t_gen=15
IoT 47,179,t_gen=17
IoT 48,160,t_gen=15
IoT 49,159,t_gen=16
IoT 50,169,t_gen=6

50,158,131.82,1.0,5663.141667629298,0,5.669284343719482
Individual AoIs for Seed,50
IoT 1,116,t_gen=4
IoT 2,146,t_gen=11
IoT 3,126,t_gen=10
IoT 4,144,t_gen=13
IoT 5,137,t_gen=2
IoT 6,119,t_gen=20
IoT 7,110,t_gen=10
IoT 8,136,t_gen=3
IoT 9,158,t_gen=18
IoT 10,114,t_gen=6
IoT 11,131,t_gen=19
IoT 12,136,t_gen=3
IoT 13,140,t_gen=17
IoT 14,133,t_gen=17
IoT 15,102,t_gen=18
IoT 16,109,t_gen=11
IoT 17,109,t_gen=11
IoT 18,144,t_gen=13
IoT 19,130,t_gen=20
IoT 20,132,t_gen=7
IoT 21,153,t_gen=4
IoT 22,129,t_gen=10
IoT 23,155,t_gen=2
IoT 24,131,t_gen=8
IoT 25,107,t_gen=13
IoT 26,118,t_gen=2
IoT 27,157,t_gen=0
IoT 28,139,t_gen=18
IoT 29,158,t_gen=11
IoT 30,124,t_gen=15
IoT 31,151,t_gen=6
IoT 32,118,t_gen=2
IoT 33,153,t_gen=4
IoT 34,146,t_gen=11
IoT 35,150,t_gen=7
IoT 36,130,t_gen=9
IoT 37,105,t_gen=15
IoT 38,116,t_gen=4
IoT 39,138,t_gen=19
IoT 40,145,t_gen=12
IoT 41,142,t_gen=15
IoT 42,129,t_gen=10
IoT 43,131,t_gen=8
IoT 44,117,t_gen=3
IoT 45,111,t_gen=9
IoT 46,131,t_gen=8
IoT 47,150,t_gen=7
IoT 48,113,t_gen=7
IoT 49,132,t_gen=7
IoT 50,140,t_gen=17

55,173,132.24,1.0,5545.820668301402,0,6.040613412857056
Individual AoIs for Seed,55
IoT 1,144,t_gen=15
IoT 2,132,t_gen=12
IoT 3,139,t_gen=17
IoT 4,136,t_gen=8
IoT 5,144,t_gen=0
IoT 6,158,t_gen=1
IoT 7,124,t_gen=20
IoT 8,57,t_gen=6
IoT 9,144,t_gen=0
IoT 10,147,t_gen=9
IoT 11,137,t_gen=7
IoT 12,149,t_gen=7
IoT 13,138,t_gen=6
IoT 14,131,t_gen=13
IoT 15,156,t_gen=3
IoT 16,154,t_gen=2
IoT 17,148,t_gen=8
IoT 18,142,t_gen=2
IoT 19,158,t_gen=15
IoT 20,127,t_gen=17
IoT 21,132,t_gen=12
IoT 22,139,t_gen=5
IoT 23,149,t_gen=7
IoT 24,148,t_gen=11
IoT 25,52,t_gen=11
IoT 26,158,t_gen=1
IoT 27,129,t_gen=15
IoT 28,128,t_gen=16
IoT 29,138,t_gen=6
IoT 30,154,t_gen=5
IoT 31,148,t_gen=11
IoT 32,159,t_gen=0
IoT 33,60,t_gen=3
IoT 34,129,t_gen=15
IoT 35,153,t_gen=3
IoT 36,138,t_gen=6
IoT 37,43,t_gen=20
IoT 38,141,t_gen=15
IoT 39,160,t_gen=13
IoT 40,171,t_gen=2
IoT 41,132,t_gen=12
IoT 42,157,t_gen=2
IoT 43,143,t_gen=13
IoT 44,127,t_gen=17
IoT 45,55,t_gen=8
IoT 46,62,t_gen=1
IoT 47,142,t_gen=17
IoT 48,166,t_gen=7
IoT 49,61,t_gen=2
IoT 50,173,t_gen=0

60,199,139.2,1.0,6544.757111507604,0,6.373283624649048
Individual AoIs for Seed,60
IoT 1,125,t_gen=5
IoT 2,110,t_gen=20
IoT 3,125,t_gen=5
IoT 4,153,t_gen=4
IoT 5,173,t_gen=18
IoT 6,148,t_gen=9
IoT 7,74,t_gen=7
IoT 8,149,t_gen=8
IoT 9,122,t_gen=8
IoT 10,191,t_gen=6
IoT 11,189,t_gen=16
IoT 12,145,t_gen=12
IoT 13,154,t_gen=3
IoT 14,155,t_gen=2
IoT 15,71,t_gen=10
IoT 16,179,t_gen=12
IoT 17,76,t_gen=5
IoT 18,143,t_gen=14
IoT 19,179,t_gen=18
IoT 20,149,t_gen=8
IoT 21,190,t_gen=7
IoT 22,144,t_gen=13
IoT 23,157,t_gen=0
IoT 24,156,t_gen=1
IoT 25,199,t_gen=6
IoT 26,184,t_gen=13
IoT 27,123,t_gen=7
IoT 28,147,t_gen=10
IoT 29,104,t_gen=7
IoT 30,142,t_gen=15
IoT 31,150,t_gen=7
IoT 32,140,t_gen=17
IoT 33,189,t_gen=16
IoT 34,80,t_gen=1
IoT 35,151,t_gen=6
IoT 36,105,t_gen=6
IoT 37,126,t_gen=4
IoT 38,143,t_gen=14
IoT 39,190,t_gen=7
IoT 40,74,t_gen=7
IoT 41,91,t_gen=20
IoT 42,174,t_gen=17
IoT 43,139,t_gen=18
IoT 44,177,t_gen=14
IoT 45,76,t_gen=5
IoT 46,129,t_gen=1
IoT 47,77,t_gen=4
IoT 48,127,t_gen=3
IoT 49,141,t_gen=16
IoT 50,125,t_gen=5

65,178,132.64,1.0,5719.292210714026,0,6.134057998657227
Individual AoIs for Seed,65
IoT 1,79,t_gen=17
IoT 2,146,t_gen=15
IoT 3,114,t_gen=3
IoT 4,174,t_gen=4
IoT 5,164,t_gen=4
IoT 6,76,t_gen=20
IoT 7,141,t_gen=20
IoT 8,116,t_gen=1
IoT 9,158,t_gen=10
IoT 10,109,t_gen=8
IoT 11,176,t_gen=2
IoT 12,178,t_gen=0
IoT 13,160,t_gen=18
IoT 14,92,t_gen=4
IoT 15,168,t_gen=10
IoT 16,106,t_gen=11
IoT 17,158,t_gen=20
IoT 18,94,t_gen=2
IoT 19,173,t_gen=5
