Scenario Information
Number of IoT Nodes,10
Number of UAVs,3
Number of Ground BS,4

Seed,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,89,65.6,1.0,2969.09362109247,0,0.15849852561950684
Individual AoIs for Seed,42
IoT 1,62,t_gen=6
IoT 2,56,t_gen=17
IoT 3,56,t_gen=17
IoT 4,65,t_gen=8
IoT 5,63,t_gen=5
IoT 6,64,t_gen=4
IoT 7,89,t_gen=3
IoT 8,81,t_gen=11
IoT 9,59,t_gen=14
IoT 10,61,t_gen=12

50,101,40.9,1.0,3172.725051571211,0,0.4552483558654785
Individual AoIs for Seed,50
IoT 1,24,t_gen=4
IoT 2,16,t_gen=11
IoT 3,40,t_gen=10
IoT 4,101,t_gen=13
IoT 5,32,t_gen=2
IoT 6,30,t_gen=20
IoT 7,18,t_gen=10
IoT 8,31,t_gen=3
IoT 9,96,t_gen=18
IoT 10,21,t_gen=6

55,93,74.5,1.0,3370.8317035690657,0,0.8827338218688965
Individual AoIs for Seed,55
IoT 1,53,t_gen=15
IoT 2,71,t_gen=12
IoT 3,51,t_gen=17
IoT 4,91,t_gen=8
IoT 5,83,t_gen=0
IoT 6,82,t_gen=1
IoT 7,79,t_gen=20
IoT 8,93,t_gen=6
IoT 9,83,t_gen=0
IoT 10,59,t_gen=9

60,88,80.1,1.0,2585.5196999690497,0,0.3335235118865967
Individual AoIs for Seed,60
IoT 1,84,t_gen=5
IoT 2,68,t_gen=20
IoT 3,84,t_gen=5
IoT 4,84,t_gen=4
IoT 5,71,t_gen=18
IoT 6,79,t_gen=9
IoT 7,88,t_gen=7
IoT 8,80,t_gen=8
IoT 9,80,t_gen=8
IoT 10,83,t_gen=6

65,100,81.1,1.0,2932.4609836212203,0,0.1819477081298828
Individual AoIs for Seed,65
IoT 1,94,t_gen=17
IoT 2,96,t_gen=15
IoT 3,64,t_gen=3
IoT 4,100,t_gen=4
IoT 5,100,t_gen=4
IoT 6,91,t_gen=20
IoT 7,47,t_gen=20
IoT 8,66,t_gen=1
IoT 9,94,t_gen=10
IoT 10,59,t_gen=8

85,94,56.8,1.0,3192.856458403758,0,0.1739969253540039
Individual AoIs for Seed,85
IoT 1,50,t_gen=17
IoT 2,34,t_gen=18
IoT 3,58,t_gen=13
IoT 4,94,t_gen=2
IoT 5,57,t_gen=14
IoT 6,45,t_gen=7
IoT 7,39,t_gen=13
IoT 8,91,t_gen=5
IoT 9,55,t_gen=16
IoT 10,45,t_gen=7

90,85,71.4,1.0,2702.989104347401,0,0.14263582229614258
Individual AoIs for Seed,90
IoT 1,82,t_gen=8
IoT 2,81,t_gen=4
IoT 3,73,t_gen=12
IoT 4,54,t_gen=4
IoT 5,57,t_gen=1
IoT 6,74,t_gen=16
IoT 7,55,t_gen=3
IoT 8,85,t_gen=0
IoT 9,80,t_gen=5
IoT 10,73,t_gen=17

105,78,70.1,1.0,3349.029329940683,0,0.15816020965576172
Individual AoIs for Seed,105
IoT 1,78,t_gen=4
IoT 2,68,t_gen=5
IoT 3,64,t_gen=14
IoT 4,75,t_gen=7
IoT 5,69,t_gen=9
IoT 6,57,t_gen=16
IoT 7,68,t_gen=10
IoT 8,75,t_gen=3
IoT 9,77,t_gen=5
IoT 10,70,t_gen=12

49,60,30.7,1.0,2673.7648787467806,0,0.13003063201904297
Individual AoIs for Seed,49
IoT 1,36,t_gen=20
IoT 2,13,t_gen=19
IoT 3,30,t_gen=0
IoT 4,17,t_gen=13
IoT 5,21,t_gen=11
IoT 6,11,t_gen=19
IoT 7,39,t_gen=17
IoT 8,30,t_gen=2
IoT 9,50,t_gen=17
IoT 10,60,t_gen=7

110,102,67.3,1.0,2919.9574058069807,0,0.15806031227111816
Individual AoIs for Seed,110
IoT 1,41,t_gen=1
IoT 2,86,t_gen=2
IoT 3,72,t_gen=16
IoT 4,99,t_gen=7
IoT 5,90,t_gen=16
IoT 6,71,t_gen=17
IoT 7,102,t_gen=4
IoT 8,35,t_gen=7
IoT 9,40,t_gen=2
IoT 10,37,t_gen=5

Final Averages
avg_peak_aoi,89.0
avg_avg_aoi,63.85000000000001
avg_coverage,1.0
avg_total_dist,2986.9228237068623
avg_unserved,0.0
avg_runtime,0.27748358249664307
