Scenario Information
Number of IoT Nodes,40
Number of UAVs,4
Number of Ground BS,4

Seed,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,146,109.125,1.0,6516.088964411017,0,7.767942667007446
Individual AoIs for Seed,42
IoT 1,124,t_gen=6
IoT 2,114,t_gen=17
IoT 3,114,t_gen=17
IoT 4,122,t_gen=8
IoT 5,105,t_gen=5
IoT 6,106,t_gen=4
IoT 7,127,t_gen=3
IoT 8,120,t_gen=11
IoT 9,138,t_gen=14
IoT 10,64,t_gen=12
IoT 11,110,t_gen=20
IoT 12,58,t_gen=18
IoT 13,123,t_gen=7
IoT 14,69,t_gen=7
IoT 15,96,t_gen=14
IoT 16,99,t_gen=11
IoT 17,111,t_gen=20
IoT 18,114,t_gen=17
IoT 19,98,t_gen=12
IoT 20,114,t_gen=17
IoT 21,130,t_gen=1
IoT 22,120,t_gen=10
IoT 23,112,t_gen=18
IoT 24,90,t_gen=20
IoT 25,56,t_gen=20
IoT 26,124,t_gen=7
IoT 27,134,t_gen=18
IoT 28,119,t_gen=11
IoT 29,60,t_gen=16
IoT 30,73,t_gen=3
IoT 31,117,t_gen=13
IoT 32,111,t_gen=19
IoT 33,93,t_gen=17
IoT 34,107,t_gen=3
IoT 35,144,t_gen=8
IoT 36,101,t_gen=9
IoT 37,123,t_gen=8
IoT 38,136,t_gen=16
IoT 39,143,t_gen=9
IoT 40,146,t_gen=6

50,153,86.55,1.0,6456.190760789804,0,6.095614433288574
Individual AoIs for Seed,50
IoT 1,83,t_gen=4
IoT 2,144,t_gen=11
IoT 3,93,t_gen=10
IoT 4,95,t_gen=13
IoT 5,88,t_gen=2
IoT 6,70,t_gen=20
IoT 7,77,t_gen=10
IoT 8,105,t_gen=3
IoT 9,137,t_gen=18
IoT 10,81,t_gen=6
IoT 11,98,t_gen=19
IoT 12,105,t_gen=3
IoT 13,73,t_gen=17
IoT 14,98,t_gen=17
IoT 15,69,t_gen=18
IoT 16,76,t_gen=11
IoT 17,76,t_gen=11
IoT 18,60,t_gen=13
IoT 19,101,t_gen=20
IoT 20,83,t_gen=7
IoT 21,69,t_gen=4
IoT 22,98,t_gen=10
IoT 23,71,t_gen=2
IoT 24,82,t_gen=8
IoT 25,74,t_gen=13
IoT 26,88,t_gen=2
IoT 27,73,t_gen=0
IoT 28,90,t_gen=18
IoT 29,62,t_gen=11
IoT 30,93,t_gen=15
IoT 31,67,t_gen=6
IoT 32,153,t_gen=2
IoT 33,69,t_gen=4
IoT 34,62,t_gen=11
IoT 35,66,t_gen=7
IoT 36,81,t_gen=9
IoT 37,72,t_gen=15
IoT 38,83,t_gen=4
IoT 39,136,t_gen=19
IoT 40,61,t_gen=12

55,108,95.575,1.0,5761.419540418851,0,3.1726455688476562
Individual AoIs for Seed,55
IoT 1,94,t_gen=15
IoT 2,93,t_gen=12
IoT 3,68,t_gen=17
IoT 4,97,t_gen=8
IoT 5,107,t_gen=0
IoT 6,104,t_gen=1
IoT 7,87,t_gen=20
IoT 8,103,t_gen=6
IoT 9,107,t_gen=0
IoT 10,76,t_gen=9
IoT 11,98,t_gen=7
IoT 12,78,t_gen=7
IoT 13,101,t_gen=6
IoT 14,94,t_gen=13
IoT 15,106,t_gen=3
IoT 16,103,t_gen=2
IoT 17,77,t_gen=8
IoT 18,105,t_gen=2
IoT 19,94,t_gen=15
IoT 20,88,t_gen=17
IoT 21,95,t_gen=12
IoT 22,102,t_gen=5
IoT 23,100,t_gen=7
IoT 24,98,t_gen=11
IoT 25,94,t_gen=11
IoT 26,108,t_gen=1
IoT 27,97,t_gen=15
IoT 28,108,t_gen=16
IoT 29,101,t_gen=6
