Scenario Information
Number of IoT Nodes,50
Number of UAVs,3
Number of Ground BS,1

Seed,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,231,189.08,1.0,6274.2486637965485,0,5.306501865386963
Individual AoIs for Seed,42
IoT 1,228,t_gen=3
IoT 2,229,t_gen=2
IoT 3,171,t_gen=2
IoT 4,231,t_gen=0
IoT 5,214,t_gen=17
IoT 6,164,t_gen=8
IoT 7,168,t_gen=5
IoT 8,169,t_gen=4
IoT 9,169,t_gen=3
IoT 10,220,t_gen=11
IoT 11,217,t_gen=14
IoT 12,219,t_gen=12
IoT 13,211,t_gen=20
IoT 14,155,t_gen=18
IoT 15,224,t_gen=7
IoT 16,224,t_gen=7
IoT 17,158,t_gen=14
IoT 18,161,t_gen=11
IoT 19,211,t_gen=20
IoT 20,214,t_gen=17
IoT 21,161,t_gen=12
IoT 22,214,t_gen=17
IoT 23,230,t_gen=1
IoT 24,221,t_gen=10
IoT 25,154,t_gen=18
IoT 26,153,t_gen=20
IoT 27,211,t_gen=20
IoT 28,165,t_gen=7
IoT 29,155,t_gen=18
IoT 30,220,t_gen=11
IoT 31,215,t_gen=16
IoT 32,228,t_gen=3
IoT 33,218,t_gen=13
IoT 34,153,t_gen=19
IoT 35,156,t_gen=17
IoT 36,170,t_gen=3
IoT 37,164,t_gen=8
IoT 38,163,t_gen=9
IoT 39,164,t_gen=8
IoT 40,156,t_gen=16
IoT 41,163,t_gen=9
IoT 42,166,t_gen=6
IoT 43,214,t_gen=17
IoT 44,172,t_gen=0
IoT 45,228,t_gen=3
IoT 46,163,t_gen=9
IoT 47,213,t_gen=18
IoT 48,194,t_gen=15
IoT 49,155,t_gen=17
IoT 50,158,t_gen=15

50,206,175.04,1.0,6975.726700267916,0,4.247327089309692
Individual AoIs for Seed,50
IoT 1,193,t_gen=15
IoT 2,191,t_gen=17
IoT 3,206,t_gen=2
IoT 4,205,t_gen=3
IoT 5,202,t_gen=6
