Scenario Information
Number of IoT Nodes,40
Number of UAVs,3
Number of Ground BS,4

Seed,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,169,149.75,1.0,5728.330792691195,0,5.8928234577178955
Individual AoIs for Seed,42
IoT 1,155,t_gen=6
IoT 2,153,t_gen=17
IoT 3,153,t_gen=17
IoT 4,153,t_gen=8
IoT 5,148,t_gen=5
IoT 6,149,t_gen=4
IoT 7,167,t_gen=3
IoT 8,159,t_gen=11
IoT 9,147,t_gen=14
IoT 10,149,t_gen=12
IoT 11,141,t_gen=20
IoT 12,152,t_gen=18
IoT 13,154,t_gen=7
IoT 14,154,t_gen=7
IoT 15,139,t_gen=14
IoT 16,142,t_gen=11
IoT 17,150,t_gen=20
IoT 18,153,t_gen=17
IoT 19,141,t_gen=12
IoT 20,153,t_gen=17
IoT 21,169,t_gen=1
IoT 22,151,t_gen=10
IoT 23,143,t_gen=18
IoT 24,133,t_gen=20
IoT 25,141,t_gen=20
IoT 26,163,t_gen=7
IoT 27,135,t_gen=18
IoT 28,159,t_gen=11
IoT 29,154,t_gen=16
IoT 30,167,t_gen=3
IoT 31,148,t_gen=13
IoT 32,142,t_gen=19
IoT 33,136,t_gen=17
IoT 34,150,t_gen=3
IoT 35,153,t_gen=8
IoT 36,144,t_gen=9
IoT 37,162,t_gen=8
IoT 38,137,t_gen=16
IoT 39,144,t_gen=9
IoT 40,147,t_gen=6

50,134,102.575,1.0,5261.7084702180655,0,5.885523557662964
Individual AoIs for Seed,50
IoT 1,113,t_gen=4
IoT 2,134,t_gen=11
IoT 3,123,t_gen=10
IoT 4,115,t_gen=13
IoT 5,126,t_gen=2
IoT 6,108,t_gen=20
IoT 7,107,t_gen=10
IoT 8,125,t_gen=3
IoT 9,127,t_gen=18
IoT 10,111,t_gen=6
IoT 11,128,t_gen=19
IoT 12,125,t_gen=3
IoT 13,100,t_gen=17
IoT 14,122,t_gen=17
IoT 15,127,t_gen=18
IoT 16,106,t_gen=11
IoT 17,106,t_gen=11
IoT 18,60,t_gen=13
IoT 19,119,t_gen=20
IoT 20,121,t_gen=7
IoT 21,69,t_gen=4
IoT 22,118,t_gen=10
IoT 23,71,t_gen=2
IoT 24,120,t_gen=8
IoT 25,104,t_gen=13
IoT 26,115,t_gen=2
IoT 27,73,t_gen=0
IoT 28,55,t_gen=18
IoT 29,62,t_gen=11
IoT 30,113,t_gen=15
IoT 31,67,t_gen=6
IoT 32,115,t_gen=2
IoT 33,69,t_gen=4
IoT 34,62,t_gen=11
IoT 35,66,t_gen=7
IoT 36,119,t_gen=9
IoT 37,102,t_gen=15
IoT 38,113,t_gen=4
IoT 39,126,t_gen=19
IoT 40,61,t_gen=12

55,146,113.6,1.0,4532.9099954038575,0,3.5439703464508057
Individual AoIs for Seed,55
IoT 1,123,t_gen=15
IoT 2,86,t_gen=12
IoT 3,74,t_gen=17
IoT 4,130,t_gen=8
IoT 5,98,t_gen=0
IoT 6,137,t_gen=1
IoT 7,78,t_gen=20
IoT 8,132,t_gen=6
IoT 9,98,t_gen=0
IoT 10,82,t_gen=9
IoT 11,139,t_gen=7
IoT 12,139,t_gen=7
IoT 13,92,t_gen=6
IoT 14,85,t_gen=13
IoT 15,135,t_gen=3
IoT 16,144,t_gen=2
IoT 17,83,t_gen=8
IoT 18,96,t_gen=2
IoT 19,137,t_gen=15
IoT 20,81,t_gen=17
IoT 21,86,t_gen=12
IoT 22,133,t_gen=5
IoT 23,131,t_gen=7
IoT 24,127,t_gen=11
IoT 25,127,t_gen=11
IoT 26,137,t_gen=1
IoT 27,138,t_gen=15
IoT 28,130,t_gen=16
IoT 29,140,t_gen=6
IoT 30,133,t_gen=5
IoT 31,127,t_gen=11
IoT 32,146,t_gen=0
IoT 33,95,t_gen=3
IoT 34,123,t_gen=15
IoT 35,88,t_gen=3
IoT 36,92,t_gen=6
IoT 37,118,t_gen=20
IoT 38,76,t_gen=15
IoT 39,139,t_gen=13
IoT 40,89,t_gen=2

60,170,140.4,1.0,4759.033914018369,0,2.9948692321777344
Individual AoIs for Seed,60
IoT 1,148,t_gen=5
IoT 2,151,t_gen=20
IoT 3,148,t_gen=5
IoT 4,107,t_gen=4
IoT 5,135,t_gen=18
IoT 6,102,t_gen=9
IoT 7,104,t_gen=7
IoT 8,163,t_gen=8
IoT 9,163,t_gen=8
IoT 10,147,t_gen=6
IoT 11,137,t_gen=16
IoT 12,159,t_gen=12
IoT 13,108,t_gen=3
