Scenario Information
Number of IoT Nodes,60
Number of UAVs,3
Number of Ground BS,4

Seed,Fitness,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,1001.19634,371,131.28333333333333,1.0,8123.626702134112,0,876.5211176872253
Individual AoIs for Seed,42
IoT 1,94,t_gen=6
IoT 2,132,t_gen=17
IoT 3,62,t_gen=17
IoT 4,141,t_gen=8
IoT 5,7,t_gen=5
IoT 6,61,t_gen=4
IoT 7,76,t_gen=3
IoT 8,138,t_gen=11
IoT 9,155,t_gen=14
IoT 10,157,t_gen=12
IoT 11,59,t_gen=20
IoT 12,151,t_gen=18
IoT 13,142,t_gen=7
IoT 14,162,t_gen=7
IoT 15,51,t_gen=14
IoT 16,111,t_gen=11
IoT 17,129,t_gen=20
IoT 18,62,t_gen=17
IoT 19,7,t_gen=12
IoT 20,62,t_gen=17
IoT 21,154,t_gen=1
IoT 22,139,t_gen=10
IoT 23,123,t_gen=18
IoT 24,145,t_gen=20
IoT 25,149,t_gen=20
IoT 26,160,t_gen=7
IoT 27,52,t_gen=18
IoT 28,138,t_gen=11
IoT 29,63,t_gen=16
IoT 30,146,t_gen=3
IoT 31,173,t_gen=13
IoT 32,170,t_gen=19
IoT 33,182,t_gen=17
IoT 34,206,t_gen=3
IoT 35,57,t_gen=8
IoT 36,56,t_gen=9
IoT 37,161,t_gen=8
IoT 38,208,t_gen=16
IoT 39,140,t_gen=9
IoT 40,59,t_gen=6
IoT 41,62,t_gen=17
IoT 42,256,t_gen=0
IoT 43,79,t_gen=3
IoT 44,140,t_gen=9
IoT 45,61,t_gen=18
IoT 46,204,t_gen=15
IoT 47,268,t_gen=17
IoT 48,0,t_gen=15
IoT 49,210,t_gen=16
IoT 50,59,t_gen=6
IoT 51,300,t_gen=6
IoT 52,308,t_gen=20
IoT 53,155,t_gen=14
IoT 54,69,t_gen=10
IoT 55,61,t_gen=18
IoT 56,129,t_gen=20
IoT 57,148,t_gen=1
IoT 58,225,t_gen=7
IoT 59,132,t_gen=17
IoT 60,371,t_gen=18

50,1000.74398,223,99.65,1.0,6629.804544212429,0,608.857340335846
Individual AoIs for Seed,50
IoT 1,95,t_gen=4
IoT 2,33,t_gen=11
IoT 3,34,t_gen=10
IoT 4,147,t_gen=13
IoT 5,52,t_gen=2
IoT 6,140,t_gen=20
IoT 7,89,t_gen=10
IoT 8,21,t_gen=3
IoT 9,34,t_gen=18
IoT 10,98,t_gen=6
IoT 11,80,t_gen=19
IoT 12,157,t_gen=3
IoT 13,143,t_gen=17
IoT 14,10,t_gen=17
IoT 15,81,t_gen=18
IoT 16,88,t_gen=11
IoT 17,88,t_gen=11
IoT 18,97,t_gen=13
IoT 19,4,t_gen=20
IoT 20,153,t_gen=7
IoT 21,106,t_gen=4
IoT 22,100,t_gen=10
IoT 23,108,t_gen=2
IoT 24,152,t_gen=8
IoT 25,86,t_gen=13
IoT 26,97,t_gen=2
IoT 27,114,t_gen=0
IoT 28,92,t_gen=18
IoT 29,133,t_gen=11
IoT 30,112,t_gen=15
IoT 31,38,t_gen=6
IoT 32,97,t_gen=2
IoT 33,40,t_gen=4
IoT 34,99,t_gen=11
IoT 35,103,t_gen=7
IoT 36,151,t_gen=9
IoT 37,84,t_gen=15
IoT 38,114,t_gen=4
IoT 39,25,t_gen=19
IoT 40,98,t_gen=12
IoT 41,29,t_gen=15
IoT 42,134,t_gen=10
IoT 43,152,t_gen=8
IoT 44,196,t_gen=3
IoT 45,90,t_gen=9
IoT 46,29,t_gen=8
IoT 47,159,t_gen=7
IoT 48,223,t_gen=7
IoT 49,37,t_gen=7
IoT 50,27,t_gen=17
IoT 51,98,t_gen=8
IoT 52,151,t_gen=9
IoT 53,94,t_gen=5
IoT 54,171,t_gen=15
IoT 55,170,t_gen=1
IoT 56,94,t_gen=5
IoT 57,202,t_gen=16
IoT 58,29,t_gen=15
IoT 59,219,t_gen=20
IoT 60,82,t_gen=17

55,1000.72604,218,96.36666666666666,1.0,6538.824790838047,0,493.08713459968567
Individual AoIs for Seed,55
IoT 1,119,t_gen=15
IoT 2,60,t_gen=12
IoT 3,48,t_gen=17
IoT 4,51,t_gen=8
IoT 5,176,t_gen=0
IoT 6,133,t_gen=1
IoT 7,180,t_gen=20
IoT 8,170,t_gen=6
IoT 9,53,t_gen=0
IoT 10,18,t_gen=9
IoT 11,110,t_gen=7
IoT 12,127,t_gen=7
IoT 13,32,t_gen=6
IoT 14,25,t_gen=13
IoT 15,56,t_gen=3
IoT 16,159,t_gen=2
IoT 17,44,t_gen=8
IoT 18,36,t_gen=2
IoT 19,119,t_gen=15
IoT 20,55,t_gen=17
IoT 21,30,t_gen=12
IoT 22,171,t_gen=5
IoT 23,169,t_gen=7
IoT 24,57,t_gen=11
IoT 25,159,t_gen=11
IoT 26,133,t_gen=1
IoT 27,109,t_gen=15
IoT 28,73,t_gen=16
IoT 29,130,t_gen=6
IoT 30,183,t_gen=5
IoT 31,150,t_gen=11
IoT 32,161,t_gen=0
IoT 33,173,t_gen=3
IoT 34,161,t_gen=15
IoT 35,104,t_gen=3
IoT 36,43,t_gen=6
IoT 37,39,t_gen=20
IoT 38,34,t_gen=15
IoT 39,68,t_gen=13
IoT 40,105,t_gen=2
IoT 41,62,t_gen=12
IoT 42,208,t_gen=2
IoT 43,32,t_gen=13
IoT 44,21,t_gen=17
IoT 45,54,t_gen=8
IoT 46,64,t_gen=1
IoT 47,218,t_gen=17
IoT 48,100,t_gen=7
IoT 49,57,t_gen=2
IoT 50,107,t_gen=0
IoT 51,52,t_gen=7
IoT 52,20,t_gen=18
IoT 53,47,t_gen=17
IoT 54,174,t_gen=20
IoT 55,98,t_gen=12
IoT 56,173,t_gen=3
IoT 57,197,t_gen=19
IoT 58,26,t_gen=9
IoT 59,4,t_gen=20
IoT 60,45,t_gen=14

60,1000.84552,260,97.93333333333334,1.0,7268.784568250492,0,468.14338278770447
Individual AoIs for Seed,60
IoT 1,164,t_gen=5
IoT 2,110,t_gen=20
IoT 3,65,t_gen=5
IoT 4,126,t_gen=4
IoT 5,69,t_gen=18
IoT 6,121,t_gen=9
IoT 7,12,t_gen=7
IoT 8,20,t_gen=8
IoT 9,122,t_gen=8
IoT 10,64,t_gen=6
IoT 11,71,t_gen=16
IoT 12,37,t_gen=12
IoT 13,127,t_gen=3
IoT 14,128,t_gen=2
IoT 15,160,t_gen=10
IoT 16,25,t_gen=12
IoT 17,82,t_gen=5
IoT 18,14,t_gen=14
IoT 19,169,t_gen=18
IoT 20,62,t_gen=8
IoT 21,63,t_gen=7
IoT 22,57,t_gen=13
IoT 23,130,t_gen=0
IoT 24,89,t_gen=1
IoT 25,81,t_gen=6
IoT 26,57,t_gen=13
IoT 27,63,t_gen=7
IoT 28,60,t_gen=10
IoT 29,86,t_gen=7
IoT 30,178,t_gen=15
IoT 31,63,t_gen=7
IoT 32,11,t_gen=17
IoT 33,71,t_gen=16
IoT 34,210,t_gen=1
IoT 35,124,t_gen=6
IoT 36,81,t_gen=6
IoT 37,105,t_gen=4
IoT 38,130,t_gen=14
IoT 39,63,t_gen=7
IoT 40,225,t_gen=7
IoT 41,106,t_gen=20
IoT 42,13,t_gen=17
IoT 43,10,t_gen=18
IoT 44,112,t_gen=14
IoT 45,129,t_gen=5
IoT 46,86,t_gen=1
IoT 47,138,t_gen=4
IoT 48,208,t_gen=3
IoT 49,114,t_gen=16
IoT 50,99,t_gen=5
IoT 51,69,t_gen=18
IoT 52,171,t_gen=5
IoT 53,248,t_gen=6
IoT 54,11,t_gen=8
IoT 55,52,t_gen=18
IoT 56,260,t_gen=19
IoT 57,74,t_gen=13
IoT 58,80,t_gen=7
IoT 59,127,t_gen=3
IoT 60,74,t_gen=13

65,1000.75024,228,93.2,1.0,6169.831190413987,0,485.90928506851196
Individual AoIs for Seed,65
IoT 1,27,t_gen=17
IoT 2,78,t_gen=15
IoT 3,118,t_gen=3
IoT 4,53,t_gen=4
IoT 5,139,t_gen=4
IoT 6,33,t_gen=20
IoT 7,46,t_gen=20
IoT 8,142,t_gen=1
IoT 9,133,t_gen=10
IoT 10,58,t_gen=8
IoT 11,175,t_gen=2
IoT 12,91,t_gen=0
IoT 13,39,t_gen=18
IoT 14,78,t_gen=4
IoT 15,47,t_gen=10
IoT 16,55,t_gen=11
IoT 17,169,t_gen=20
IoT 18,42,t_gen=2
IoT 19,197,t_gen=5
IoT 20,42,t_gen=2
IoT 21,73,t_gen=18
IoT 22,140,t_gen=17
IoT 23,137,t_gen=20
IoT 24,166,t_gen=5
IoT 25,128,t_gen=15
IoT 26,47,t_gen=16
IoT 27,187,t_gen=4
IoT 28,63,t_gen=17
IoT 29,50,t_gen=16
IoT 30,76,t_gen=1
IoT 31,38,t_gen=6
IoT 32,48,t_gen=9
IoT 33,87,t_gen=4
IoT 34,41,t_gen=16
IoT 35,74,t_gen=19
IoT 36,60,t_gen=8
IoT 37,47,t_gen=19
IoT 38,38,t_gen=8
IoT 39,56,t_gen=10
IoT 40,61,t_gen=5
IoT 41,195,t_gen=17
IoT 42,58,t_gen=8
IoT 43,139,t_gen=18
IoT 44,62,t_gen=13
IoT 45,55,t_gen=11
IoT 46,149,t_gen=8
IoT 47,78,t_gen=15
IoT 48,42,t_gen=15
IoT 49,51,t_gen=15
IoT 50,135,t_gen=8
IoT 51,198,t_gen=6
IoT 52,62,t_gen=4
IoT 53,213,t_gen=4
IoT 54,128,t_gen=15
IoT 55,156,t_gen=1
IoT 56,228,t_gen=7
IoT 57,123,t_gen=20
IoT 58,54,t_gen=3
IoT 59,48,t_gen=18
IoT 60,39,t_gen=5

85,1001.00606,309,117.38333333333334,1.0,7932.22104127803,0,460.4085030555725
Individual AoIs for Seed,85
IoT 1,114,t_gen=17
IoT 2,89,t_gen=18
IoT 3,109,t_gen=13
IoT 4,120,t_gen=2
IoT 5,50,t_gen=14
IoT 6,100,t_gen=7
IoT 7,118,t_gen=13
IoT 8,102,t_gen=5
IoT 9,125,t_gen=16
IoT 10,100,t_gen=7
IoT 11,5,t_gen=10
IoT 12,175,t_gen=1
IoT 13,33,t_gen=5
IoT 14,66,t_gen=5
IoT 15,126,t_gen=5
IoT 16,93,t_gen=14
IoT 17,29,t_gen=8
IoT 18,147,t_gen=20
IoT 19,114,t_gen=17
IoT 20,103,t_gen=4
IoT 21,170,t_gen=9
IoT 22,124,t_gen=8
IoT 23,191,t_gen=2
IoT 24,103,t_gen=4
IoT 25,103,t_gen=19
IoT 26,53,t_gen=13
IoT 27,165,t_gen=19
IoT 28,118,t_gen=13
IoT 29,115,t_gen=7
IoT 30,23,t_gen=11
IoT 31,92,t_gen=15
IoT 32,126,t_gen=5
IoT 33,27,t_gen=10
IoT 34,31,t_gen=6
IoT 35,155,t_gen=19
IoT 36,197,t_gen=4
IoT 37,105,t_gen=2
IoT 38,29,t_gen=8
IoT 39,107,t_gen=0
IoT 40,105,t_gen=2
IoT 41,130,t_gen=1
IoT 42,25,t_gen=12
IoT 43,183,t_gen=4
IoT 44,21,t_gen=9
IoT 45,190,t_gen=7
IoT 46,27,t_gen=10
IoT 47,45,t_gen=1
IoT 48,30,t_gen=7
IoT 49,29,t_gen=8
IoT 50,192,t_gen=15
IoT 51,225,t_gen=12
IoT 52,263,t_gen=0
IoT 53,103,t_gen=19
IoT 54,264,t_gen=18
IoT 55,277,t_gen=17
IoT 56,114,t_gen=17
IoT 57,215,t_gen=10
IoT 58,309,t_gen=7
IoT 59,225,t_gen=12
IoT 60,119,t_gen=12

90,0.7120799999999999,210,103.4,1.0,6465.750302372398,0,494.60237169265747
Individual AoIs for Seed,90
IoT 1,105,t_gen=8
IoT 2,62,t_gen=4
IoT 3,123,t_gen=12
IoT 4,124,t_gen=4
IoT 5,67,t_gen=1
IoT 6,40,t_gen=16
IoT 7,123,t_gen=3
IoT 8,135,t_gen=0
IoT 9,61,t_gen=5
IoT 10,118,t_gen=17
IoT 11,127,t_gen=2
IoT 12,127,t_gen=10
IoT 13,127,t_gen=19
IoT 14,56,t_gen=10
IoT 15,168,t_gen=18
IoT 16,157,t_gen=1
IoT 17,51,t_gen=15
IoT 18,161,t_gen=5
IoT 19,129,t_gen=6
IoT 20,51,t_gen=15
IoT 21,118,t_gen=17
IoT 22,75,t_gen=4
IoT 23,96,t_gen=17
IoT 24,121,t_gen=5
IoT 25,74,t_gen=12
IoT 26,134,t_gen=15
IoT 27,115,t_gen=20
IoT 28,71,t_gen=18
IoT 29,126,t_gen=12
IoT 30,150,t_gen=13
IoT 31,153,t_gen=16
IoT 32,170,t_gen=12
IoT 33,39,t_gen=17
IoT 34,193,t_gen=6
IoT 35,133,t_gen=2
IoT 36,175,t_gen=20
IoT 37,129,t_gen=6
IoT 38,52,t_gen=14
IoT 39,37,t_gen=19
IoT 40,62,t_gen=20
IoT 41,98,t_gen=15
IoT 42,55,t_gen=11
IoT 43,54,t_gen=18
IoT 44,172,t_gen=20
IoT 45,62,t_gen=4
IoT 46,45,t_gen=11
IoT 47,37,t_gen=19
IoT 48,134,t_gen=1
IoT 49,113,t_gen=0
IoT 50,54,t_gen=2
IoT 51,131,t_gen=4
IoT 52,63,t_gen=9
IoT 53,86,t_gen=11
IoT 54,135,t_gen=0
IoT 55,55,t_gen=11
IoT 56,106,t_gen=7
IoT 57,115,t_gen=19
IoT 58,98,t_gen=15
IoT 59,46,t_gen=10
IoT 60,210,t_gen=10

105,0.64824,194,87.53333333333333,1.0,6329.015647831154,0,501.76931500434875
Individual AoIs for Seed,105
IoT 1,70,t_gen=4
IoT 2,145,t_gen=5
IoT 3,95,t_gen=14
IoT 4,57,t_gen=7
IoT 5,41,t_gen=9
IoT 6,150,t_gen=16
IoT 7,40,t_gen=10
IoT 8,163,t_gen=3
IoT 9,69,t_gen=5
IoT 10,154,t_gen=12
IoT 11,148,t_gen=18
IoT 12,90,t_gen=19
IoT 13,95,t_gen=16
IoT 14,37,t_gen=13
IoT 15,57,t_gen=18
IoT 16,135,t_gen=15
IoT 17,67,t_gen=11
IoT 18,194,t_gen=0
IoT 19,31,t_gen=19
IoT 20,105,t_gen=13
IoT 21,59,t_gen=5
IoT 22,30,t_gen=20
IoT 23,184,t_gen=9
IoT 24,75,t_gen=11
IoT 25,38,t_gen=3
IoT 26,126,t_gen=5
IoT 27,68,t_gen=2
IoT 28,144,t_gen=6
IoT 29,98,t_gen=11
IoT 30,48,t_gen=16
IoT 31,161,t_gen=8
IoT 32,6,t_gen=16
IoT 33,169,t_gen=0
IoT 34,60,t_gen=4
IoT 35,108,t_gen=1
IoT 36,101,t_gen=10
IoT 37,98,t_gen=11
IoT 38,159,t_gen=10
IoT 39,70,t_gen=3
IoT 40,80,t_gen=2
IoT 41,44,t_gen=6
IoT 42,49,t_gen=1
IoT 43,71,t_gen=2
IoT 44,97,t_gen=14
IoT 45,77,t_gen=5
IoT 46,37,t_gen=4
IoT 47,77,t_gen=5
IoT 48,98,t_gen=0
IoT 49,42,t_gen=19
IoT 50,107,t_gen=2
IoT 51,50,t_gen=14
IoT 52,63,t_gen=1
IoT 53,147,t_gen=19
IoT 54,91,t_gen=18
IoT 55,96,t_gen=17
IoT 56,45,t_gen=5
IoT 57,34,t_gen=16
IoT 58,109,t_gen=2
IoT 59,60,t_gen=13
IoT 60,33,t_gen=17

49,1001.59882,512,137.68333333333334,1.0,9640.681218782905,0,466.6289851665497
Individual AoIs for Seed,49
IoT 1,16,t_gen=20
IoT 2,23,t_gen=19
IoT 3,94,t_gen=0
IoT 4,146,t_gen=13
IoT 5,114,t_gen=11
IoT 6,79,t_gen=19
IoT 7,105,t_gen=17
IoT 8,123,t_gen=2
IoT 9,139,t_gen=17
IoT 10,110,t_gen=7
IoT 11,149,t_gen=19
IoT 12,110,t_gen=12
IoT 13,171,t_gen=17
IoT 14,34,t_gen=0
IoT 15,150,t_gen=9
IoT 16,31,t_gen=11
IoT 17,208,t_gen=10
IoT 18,112,t_gen=13
IoT 19,99,t_gen=8
IoT 20,119,t_gen=3
IoT 21,111,t_gen=14
IoT 22,216,t_gen=19
IoT 23,27,t_gen=7
IoT 24,259,t_gen=0
IoT 25,122,t_gen=3
IoT 26,117,t_gen=5
IoT 27,109,t_gen=13
IoT 28,23,t_gen=11
IoT 29,173,t_gen=16
IoT 30,122,t_gen=3
IoT 31,107,t_gen=18
