Scenario Information
Number of IoT Nodes,50
Number of UAVs,3
Number of Ground BS,3

Seed,Fitness,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,0.34268,190,127.8,1.0,4743.489081438477,0,748.4863765239716
Individual AoIs for Seed,42
IoT 1,76,t_gen=13
IoT 2,28,t_gen=7
IoT 3,110,t_gen=6
IoT 4,180,t_gen=13
IoT 5,190,t_gen=0
IoT 6,90,t_gen=13
IoT 7,37,t_gen=10
IoT 8,181,t_gen=11
IoT 9,189,t_gen=1
IoT 10,190,t_gen=12
IoT 11,172,t_gen=20
IoT 12,172,t_gen=18
IoT 13,28,t_gen=7
IoT 14,183,t_gen=7
IoT 15,75,t_gen=14
IoT 16,181,t_gen=11
IoT 17,170,t_gen=20
IoT 18,173,t_gen=17
IoT 19,83,t_gen=12
IoT 20,173,t_gen=17
IoT 21,34,t_gen=1
IoT 22,25,t_gen=10
IoT 23,174,t_gen=18
IoT 24,69,t_gen=20
IoT 25,170,t_gen=20
IoT 26,51,t_gen=7
IoT 27,179,t_gen=18
IoT 28,179,t_gen=11
IoT 29,174,t_gen=16
IoT 30,187,t_gen=3
IoT 31,22,t_gen=13
IoT 32,173,t_gen=19
IoT 33,72,t_gen=17
IoT 34,86,t_gen=3
IoT 35,184,t_gen=8
IoT 36,80,t_gen=9
IoT 37,182,t_gen=8
IoT 38,174,t_gen=16
IoT 39,181,t_gen=9
IoT 40,83,t_gen=6
IoT 41,173,t_gen=17
IoT 42,190,t_gen=0
IoT 43,189,t_gen=3
IoT 44,181,t_gen=9
IoT 45,20,t_gen=18
IoT 46,74,t_gen=15
IoT 47,173,t_gen=17
IoT 48,74,t_gen=15
IoT 49,73,t_gen=16
IoT 50,83,t_gen=6

50,0.33875599999999995,181,142.26,1.0,4770.927897535968,0,560.2791986465454
Individual AoIs for Seed,50
IoT 1,161,t_gen=17
IoT 2,34,t_gen=3
IoT 3,173,t_gen=6
IoT 4,159,t_gen=19
IoT 5,177,t_gen=2
IoT 6,160,t_gen=19
IoT 7,159,t_gen=20
IoT 8,169,t_gen=10
IoT 9,175,t_gen=3
IoT 10,160,t_gen=18
IoT 11,31,t_gen=6
IoT 12,159,t_gen=19
IoT 13,176,t_gen=3
IoT 14,162,t_gen=17
IoT 15,163,t_gen=17
IoT 16,160,t_gen=18
IoT 17,168,t_gen=11
IoT 18,168,t_gen=11
IoT 19,165,t_gen=13
IoT 20,158,t_gen=20
IoT 21,172,t_gen=7
IoT 22,174,t_gen=4
IoT 23,168,t_gen=10
IoT 24,176,t_gen=2
IoT 25,170,t_gen=8
IoT 26,45,t_gen=13
IoT 27,177,t_gen=2
IoT 28,47,t_gen=0
IoT 29,160,t_gen=18
IoT 30,88,t_gen=11
IoT 31,163,t_gen=15
IoT 32,31,t_gen=6
IoT 33,176,t_gen=2
IoT 34,33,t_gen=4
IoT 35,167,t_gen=11
IoT 36,171,t_gen=7
IoT 37,169,t_gen=9
IoT 38,164,t_gen=15
IoT 39,39,t_gen=4
IoT 40,18,t_gen=19
IoT 41,166,t_gen=12
IoT 42,22,t_gen=15
IoT 43,168,t_gen=10
IoT 44,171,t_gen=8
IoT 45,176,t_gen=3
IoT 46,169,t_gen=9
IoT 47,181,t_gen=8
IoT 48,171,t_gen=7
IoT 49,172,t_gen=7
IoT 50,172,t_gen=7

Final Averages
avg_fitness,0.34071799999999997
avg_peak_aoi,185.5
avg_avg_aoi,135.03
avg_coverage,1.0
avg_total_dist,4757.208489487222
avg_unserved,0.0
avg_runtime,654.3827875852585
