Scenario Information
Number of IoT Nodes,30
Number of UAVs,3
Number of Ground BS,4

Seed,Fitness,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,0.47563999999999995,129,95.36666666666666,1.0,4373.903676802132,0,315.98368310928345
Individual AoIs for Seed,42
IoT 1,128,t_gen=6
IoT 2,84,t_gen=17
IoT 3,84,t_gen=17
IoT 4,57,t_gen=8
IoT 5,7,t_gen=5
IoT 6,97,t_gen=4
IoT 7,98,t_gen=3
IoT 8,123,t_gen=11
IoT 9,120,t_gen=14
IoT 10,122,t_gen=12
IoT 11,111,t_gen=20
IoT 12,116,t_gen=18
IoT 13,127,t_gen=7
IoT 14,127,t_gen=7
IoT 15,88,t_gen=14
IoT 16,90,t_gen=11
IoT 17,81,t_gen=20
IoT 18,84,t_gen=17
IoT 19,129,t_gen=12
IoT 20,48,t_gen=17
IoT 21,100,t_gen=1
IoT 22,124,t_gen=10
IoT 23,116,t_gen=18
IoT 24,114,t_gen=20
IoT 25,114,t_gen=20
IoT 26,124,t_gen=7
IoT 27,47,t_gen=18
IoT 28,54,t_gen=11
IoT 29,49,t_gen=16
IoT 30,98,t_gen=3

50,0.46552,128,89.26666666666667,1.0,4037.1969464805575,0,229.06309342384338
Individual AoIs for Seed,50
IoT 1,107,t_gen=4
IoT 2,17,t_gen=11
IoT 3,18,t_gen=10
IoT 4,117,t_gen=13
IoT 5,128,t_gen=2
IoT 6,110,t_gen=20
IoT 7,101,t_gen=10
IoT 8,89,t_gen=3
IoT 9,93,t_gen=18
IoT 10,22,t_gen=6
IoT 11,92,t_gen=19
IoT 12,127,t_gen=3
IoT 13,113,t_gen=17
IoT 14,115,t_gen=17
IoT 15,93,t_gen=18
IoT 16,100,t_gen=11
IoT 17,100,t_gen=11
IoT 18,98,t_gen=13
IoT 19,118,t_gen=20
IoT 20,123,t_gen=7
IoT 21,107,t_gen=4
IoT 22,82,t_gen=10
IoT 23,109,t_gen=2
IoT 24,84,t_gen=8
IoT 25,33,t_gen=13
IoT 26,63,t_gen=2
IoT 27,35,t_gen=0
IoT 28,93,t_gen=18
IoT 29,114,t_gen=11
IoT 30,77,t_gen=15

55,0.39444,110,72.03333333333333,1.0,3247.470197600347,0,191.03218030929565
Individual AoIs for Seed,55
IoT 1,81,t_gen=15
IoT 2,99,t_gen=12
IoT 3,94,t_gen=17
IoT 4,41,t_gen=8
IoT 5,41,t_gen=0
IoT 6,110,t_gen=1
IoT 7,21,t_gen=20
IoT 8,43,t_gen=6
IoT 9,53,t_gen=0
IoT 10,110,t_gen=9
IoT 11,95,t_gen=7
IoT 12,104,t_gen=7
IoT 13,35,t_gen=6
IoT 14,28,t_gen=13
IoT 15,46,t_gen=3
IoT 16,94,t_gen=2
IoT 17,103,t_gen=8
IoT 18,45,t_gen=2
IoT 19,96,t_gen=15
IoT 20,94,t_gen=17
IoT 21,29,t_gen=12
IoT 22,106,t_gen=5
IoT 23,42,t_gen=7
IoT 24,42,t_gen=11
IoT 25,38,t_gen=11
IoT 26,110,t_gen=1
IoT 27,81,t_gen=15
IoT 28,99,t_gen=16
IoT 29,90,t_gen=6
IoT 30,91,t_gen=5

60,0.41347999999999996,111,85.56666666666666,1.0,3851.6119912067825,0,165.7727084159851
Individual AoIs for Seed,60
IoT 1,49,t_gen=5
IoT 2,91,t_gen=20
IoT 3,94,t_gen=5
IoT 4,107,t_gen=4
IoT 5,105,t_gen=18
IoT 6,102,t_gen=9
IoT 7,104,t_gen=7
IoT 8,91,t_gen=8
IoT 9,103,t_gen=8
IoT 10,48,t_gen=6
IoT 11,100,t_gen=16
IoT 12,97,t_gen=12
IoT 13,108,t_gen=3
IoT 14,109,t_gen=2
IoT 15,101,t_gen=10
IoT 16,99,t_gen=12
IoT 17,111,t_gen=5
IoT 18,85,t_gen=14
IoT 19,36,t_gen=18
IoT 20,46,t_gen=8
IoT 21,47,t_gen=7
IoT 22,86,t_gen=13
IoT 23,111,t_gen=0
IoT 24,98,t_gen=1
IoT 25,110,t_gen=6
IoT 26,41,t_gen=13
IoT 27,47,t_gen=7
IoT 28,89,t_gen=10
IoT 29,56,t_gen=7
IoT 30,96,t_gen=15

65,0.45408000000000004,131,72.73333333333333,1.0,3594.4787883342738,0,198.13924884796143
Individual AoIs for Seed,65
IoT 1,20,t_gen=17
IoT 2,38,t_gen=15
IoT 3,101,t_gen=3
IoT 4,123,t_gen=4
IoT 5,131,t_gen=4
IoT 6,38,t_gen=20
IoT 7,24,t_gen=20
IoT 8,52,t_gen=1
IoT 9,117,t_gen=10
IoT 10,45,t_gen=8
IoT 11,42,t_gen=2
IoT 12,127,t_gen=0
IoT 13,109,t_gen=18
IoT 14,35,t_gen=4
IoT 15,117,t_gen=10
IoT 16,42,t_gen=11
IoT 17,33,t_gen=20
IoT 18,35,t_gen=2
IoT 19,48,t_gen=5
IoT 20,35,t_gen=2
IoT 21,44,t_gen=18
IoT 22,110,t_gen=17
IoT 23,115,t_gen=20
IoT 24,131,t_gen=5
IoT 25,120,t_gen=15
IoT 26,111,t_gen=16
IoT 27,131,t_gen=4
IoT 28,25,t_gen=17
IoT 29,37,t_gen=16
IoT 30,46,t_gen=1

85,0.39208,107,77.06666666666666,1.0,4139.948494942057,0,158.6213104724884
Individual AoIs for Seed,85
IoT 1,104,t_gen=17
IoT 2,85,t_gen=18
IoT 3,90,t_gen=13
IoT 4,25,t_gen=2
IoT 5,97,t_gen=14
IoT 6,96,t_gen=7
IoT 7,98,t_gen=13
IoT 8,106,t_gen=5
