Scenario Information
Number of IoT Nodes,60
Number of UAVs,2
Number of Ground BS,4

Seed,Fitness,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,0.38076,213,137.6,1.0,4736.606794956113,0,988.0482261180878
Individual AoIs for Seed,42
IoT 1,207,t_gen=6
IoT 2,196,t_gen=17
IoT 3,196,t_gen=17
IoT 4,162,t_gen=8
IoT 5,201,t_gen=5
IoT 6,62,t_gen=4
IoT 7,210,t_gen=3
IoT 8,24,t_gen=11
IoT 9,156,t_gen=14
IoT 10,158,t_gen=12
IoT 11,15,t_gen=20
IoT 12,152,t_gen=18
IoT 13,206,t_gen=7
IoT 14,163,t_gen=7
IoT 15,156,t_gen=14
IoT 16,55,t_gen=11
IoT 17,150,t_gen=20
IoT 18,196,t_gen=17
IoT 19,182,t_gen=12
IoT 20,196,t_gen=17
IoT 21,34,t_gen=1
IoT 22,203,t_gen=10
IoT 23,195,t_gen=18
IoT 24,150,t_gen=20
IoT 25,150,t_gen=20
IoT 26,44,t_gen=7
IoT 27,54,t_gen=18
IoT 28,159,t_gen=11
IoT 29,197,t_gen=16
IoT 30,167,t_gen=3
IoT 31,22,t_gen=13
IoT 32,47,t_gen=19
IoT 33,153,t_gen=17
IoT 34,213,t_gen=3
IoT 35,58,t_gen=8
IoT 36,28,t_gen=9
IoT 37,162,t_gen=8
IoT 38,154,t_gen=16
IoT 39,161,t_gen=9
IoT 40,164,t_gen=6
IoT 41,196,t_gen=17
IoT 42,170,t_gen=0
IoT 43,63,t_gen=3
IoT 44,161,t_gen=9
IoT 45,21,t_gen=18
IoT 46,6,t_gen=15
IoT 47,153,t_gen=17
IoT 48,175,t_gen=15
IoT 49,163,t_gen=16
IoT 50,164,t_gen=6
IoT 51,164,t_gen=6
IoT 52,46,t_gen=20
IoT 53,199,t_gen=14
IoT 54,25,t_gen=10
IoT 55,195,t_gen=18
IoT 56,193,t_gen=20
IoT 57,34,t_gen=1
IoT 58,179,t_gen=7
IoT 59,196,t_gen=17
IoT 60,195,t_gen=18

50,0.37603,214,127.38333333333334,1.0,4292.6753324300225,0,672.7383184432983
Individual AoIs for Seed,50
IoT 1,205,t_gen=4
IoT 2,198,t_gen=11
IoT 3,199,t_gen=10
IoT 4,204,t_gen=13
IoT 5,63,t_gen=2
IoT 6,45,t_gen=20
IoT 7,199,t_gen=10
IoT 8,127,t_gen=3
IoT 9,19,t_gen=18
IoT 10,138,t_gen=6
IoT 11,190,t_gen=19
IoT 12,214,t_gen=3
IoT 13,48,t_gen=17
IoT 14,195,t_gen=17
IoT 15,191,t_gen=18
IoT 16,198,t_gen=11
IoT 17,198,t_gen=11
IoT 18,66,t_gen=13
IoT 19,189,t_gen=20
IoT 20,58,t_gen=7
IoT 21,75,t_gen=4
IoT 22,120,t_gen=10
IoT 23,77,t_gen=2
IoT 24,201,t_gen=8
IoT 25,117,t_gen=13
IoT 26,207,t_gen=2
IoT 27,137,t_gen=0
IoT 28,61,t_gen=18
IoT 29,68,t_gen=11
IoT 30,194,t_gen=15
IoT 31,13,t_gen=6
IoT 32,63,t_gen=2
IoT 33,15,t_gen=4
IoT 34,68,t_gen=11
IoT 35,72,t_gen=7
IoT 36,200,t_gen=9
IoT 37,194,t_gen=15
IoT 38,137,t_gen=4
IoT 39,190,t_gen=19
IoT 40,118,t_gen=12
IoT 41,194,t_gen=15
IoT 42,120,t_gen=10
IoT 43,57,t_gen=8
IoT 44,62,t_gen=3
IoT 45,200,t_gen=9
IoT 46,214,t_gen=8
IoT 47,123,t_gen=7
IoT 48,202,t_gen=7
IoT 49,64,t_gen=7
IoT 50,13,t_gen=17
IoT 51,139,t_gen=8
IoT 52,56,t_gen=9
IoT 53,204,t_gen=5
IoT 54,50,t_gen=15
IoT 55,129,t_gen=1
IoT 56,125,t_gen=5
IoT 57,114,t_gen=16
IoT 58,4,t_gen=15
IoT 59,110,t_gen=20
IoT 60,192,t_gen=17

Final Averages
avg_fitness,0.378395
avg_peak_aoi,213.5
avg_avg_aoi,132.49166666666667
avg_coverage,1.0
avg_total_dist,4514.641063693068
avg_unserved,0.0
avg_runtime,830.393272280693
