Scenario Information
Number of IoT Nodes,60
Number of UAVs,4
Number of Ground BS,4

Seed,Fitness,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,0.39674,220,147.9,1.0,6220.361559011093,0,1109.0454201698303
Individual AoIs for Seed,42
IoT 1,202,t_gen=6
IoT 2,191,t_gen=17
IoT 3,191,t_gen=17
IoT 4,70,t_gen=8
IoT 5,61,t_gen=5
IoT 6,204,t_gen=4
IoT 7,205,t_gen=3
IoT 8,36,t_gen=11
IoT 9,206,t_gen=14
IoT 10,208,t_gen=12
IoT 11,27,t_gen=20
IoT 12,202,t_gen=18
IoT 13,40,t_gen=7
IoT 14,213,t_gen=7
IoT 15,194,t_gen=14
IoT 16,197,t_gen=11
IoT 17,188,t_gen=20
IoT 18,191,t_gen=17
IoT 19,41,t_gen=12
IoT 20,203,t_gen=17
IoT 21,46,t_gen=1
IoT 22,37,t_gen=10
IoT 23,190,t_gen=18
IoT 24,188,t_gen=20
IoT 25,200,t_gen=20
IoT 26,56,t_gen=7
IoT 27,208,t_gen=18
IoT 28,197,t_gen=11
IoT 29,204,t_gen=16
IoT 30,217,t_gen=3
IoT 31,34,t_gen=13
IoT 32,189,t_gen=19
IoT 33,203,t_gen=17
IoT 34,33,t_gen=3
IoT 35,212,t_gen=8
IoT 36,199,t_gen=9
IoT 37,200,t_gen=8
IoT 38,204,t_gen=16
IoT 39,211,t_gen=9
IoT 40,214,t_gen=6
IoT 41,191,t_gen=17
IoT 42,220,t_gen=0
IoT 43,38,t_gen=3
IoT 44,211,t_gen=9
IoT 45,33,t_gen=18
IoT 46,6,t_gen=15
IoT 47,203,t_gen=17
IoT 48,198,t_gen=15
IoT 49,29,t_gen=16
IoT 50,214,t_gen=6
IoT 51,214,t_gen=6
IoT 52,188,t_gen=20
IoT 53,206,t_gen=14
IoT 54,37,t_gen=10
IoT 55,190,t_gen=18
IoT 56,27,t_gen=20
IoT 57,46,t_gen=1
IoT 58,19,t_gen=7
IoT 59,90,t_gen=17
IoT 60,202,t_gen=18

50,0.38443999999999995,219,129.73333333333332,1.0,5885.073302191543,0,892.0503389835358
Individual AoIs for Seed,50
IoT 1,209,t_gen=4
IoT 2,208,t_gen=11
IoT 3,209,t_gen=10
IoT 4,165,t_gen=13
IoT 5,75,t_gen=2
IoT 6,40,t_gen=20
IoT 7,203,t_gen=10
IoT 8,175,t_gen=3
IoT 9,19,t_gen=18
IoT 10,102,t_gen=6
IoT 11,194,t_gen=19
IoT 12,175,t_gen=3
IoT 13,43,t_gen=17
IoT 14,199,t_gen=17
IoT 15,195,t_gen=18
IoT 16,202,t_gen=11
IoT 17,202,t_gen=11
IoT 18,85,t_gen=13
IoT 19,193,t_gen=20
IoT 20,53,t_gen=7
IoT 21,94,t_gen=4
IoT 22,168,t_gen=10
IoT 23,96,t_gen=2
IoT 24,205,t_gen=8
IoT 25,85,t_gen=13
IoT 26,211,t_gen=2
IoT 27,219,t_gen=0
IoT 28,80,t_gen=18
IoT 29,167,t_gen=11
IoT 30,198,t_gen=15
IoT 31,13,t_gen=6
IoT 32,58,t_gen=2
IoT 33,15,t_gen=4
IoT 34,87,t_gen=11
IoT 35,91,t_gen=7
IoT 36,204,t_gen=9
IoT 37,198,t_gen=15
IoT 38,101,t_gen=4
IoT 39,200,t_gen=19
IoT 40,86,t_gen=12
IoT 41,204,t_gen=15
IoT 42,168,t_gen=10
IoT 43,52,t_gen=8
IoT 44,57,t_gen=3
IoT 45,204,t_gen=9
IoT 46,52,t_gen=8
IoT 47,91,t_gen=7
IoT 48,206,t_gen=7
IoT 49,60,t_gen=7
IoT 50,13,t_gen=17
IoT 51,103,t_gen=8
IoT 52,51,t_gen=9
IoT 53,208,t_gen=5
IoT 54,163,t_gen=15
IoT 55,97,t_gen=1
IoT 56,93,t_gen=5
IoT 57,162,t_gen=16
IoT 58,4,t_gen=15
IoT 59,78,t_gen=20
IoT 60,196,t_gen=17

Final Averages
avg_fitness,0.39059
avg_peak_aoi,219.5
avg_avg_aoi,138.81666666666666
avg_coverage,1.0
avg_total_dist,6052.7174306013185
avg_unserved,0.0
avg_runtime,1000.547879576683
