Scenario Information
Number of IoT Nodes,40
Number of UAVs,4
Number of Ground BS,4

Seed,Fitness,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,0.328315,185,115.525,1.0,5282.617326600715,0,456.9542586803436
Individual AoIs for Seed,42
IoT 1,43,t_gen=6
IoT 2,143,t_gen=17
IoT 3,143,t_gen=17
IoT 4,152,t_gen=8
IoT 5,15,t_gen=5
IoT 6,37,t_gen=4
IoT 7,157,t_gen=3
IoT 8,38,t_gen=11
IoT 9,146,t_gen=14
IoT 10,148,t_gen=12
IoT 11,164,t_gen=20
IoT 12,142,t_gen=18
IoT 13,42,t_gen=7
IoT 14,177,t_gen=7
IoT 15,176,t_gen=14
IoT 16,64,t_gen=11
IoT 17,140,t_gen=20
IoT 18,143,t_gen=17
IoT 19,185,t_gen=12
IoT 20,143,t_gen=17
IoT 21,74,t_gen=1
IoT 22,39,t_gen=10
IoT 23,31,t_gen=18
IoT 24,170,t_gen=20
IoT 25,140,t_gen=20
IoT 26,42,t_gen=7
IoT 27,148,t_gen=18
IoT 28,149,t_gen=11
IoT 29,144,t_gen=16
IoT 30,157,t_gen=3
IoT 31,36,t_gen=13
IoT 32,56,t_gen=19
IoT 33,167,t_gen=17
IoT 34,7,t_gen=3
IoT 35,152,t_gen=8
IoT 36,32,t_gen=9
IoT 37,152,t_gen=8
IoT 38,168,t_gen=16
IoT 39,175,t_gen=9
IoT 40,184,t_gen=6

50,0.36879,216,110.65,1.0,5046.084492316966,0,376.08425211906433
Individual AoIs for Seed,50
IoT 1,214,t_gen=4
IoT 2,54,t_gen=11
IoT 3,55,t_gen=10
IoT 4,205,t_gen=13
IoT 5,117,t_gen=2
IoT 6,99,t_gen=20
IoT 7,55,t_gen=10
IoT 8,80,t_gen=3
IoT 9,79,t_gen=18
IoT 10,212,t_gen=6
IoT 11,199,t_gen=19
IoT 12,215,t_gen=3
IoT 13,201,t_gen=17
IoT 14,66,t_gen=17
IoT 15,200,t_gen=18
IoT 16,207,t_gen=11
IoT 17,207,t_gen=11
IoT 18,70,t_gen=13
IoT 19,68,t_gen=20
IoT 20,211,t_gen=7
IoT 21,79,t_gen=4
IoT 22,73,t_gen=10
IoT 23,81,t_gen=2
IoT 24,111,t_gen=8
IoT 25,67,t_gen=13
IoT 26,216,t_gen=2
IoT 27,65,t_gen=0
IoT 28,65,t_gen=18
IoT 29,11,t_gen=11
IoT 30,104,t_gen=15
IoT 31,16,t_gen=6
IoT 32,63,t_gen=2
IoT 33,18,t_gen=4
IoT 34,72,t_gen=11
IoT 35,76,t_gen=7
IoT 36,110,t_gen=9
IoT 37,203,t_gen=15
IoT 38,65,t_gen=4
IoT 39,46,t_gen=19
IoT 40,71,t_gen=12

Final Averages
avg_fitness,0.34855250000000004
avg_peak_aoi,200.5
avg_avg_aoi,113.0875
avg_coverage,1.0
avg_total_dist,5164.350909458841
avg_unserved,0.0
avg_runtime,416.519255399704
