Scenario Information
Number of IoT Nodes,40
Number of UAVs,3
Number of Ground BS,4

Seed,Fitness,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,0.45792999999999995,127,85.275,1.0,3839.0317394031463,0,524.4275574684143
Individual AoIs for Seed,42
IoT 1,43,t_gen=6
IoT 2,112,t_gen=17
IoT 3,112,t_gen=17
IoT 4,99,t_gen=8
IoT 5,15,t_gen=5
IoT 6,103,t_gen=4
IoT 7,126,t_gen=3
IoT 8,38,t_gen=11
IoT 9,116,t_gen=14
IoT 10,118,t_gen=12
IoT 11,109,t_gen=20
IoT 12,112,t_gen=18
IoT 13,42,t_gen=7
IoT 14,123,t_gen=7
IoT 15,116,t_gen=14
IoT 16,96,t_gen=11
IoT 17,87,t_gen=20
IoT 18,112,t_gen=17
IoT 19,14,t_gen=12
IoT 20,90,t_gen=17
IoT 21,58,t_gen=1
IoT 22,39,t_gen=10
IoT 23,31,t_gen=18
IoT 24,20,t_gen=20
IoT 25,109,t_gen=20
IoT 26,42,t_gen=7
IoT 27,112,t_gen=18
IoT 28,96,t_gen=11
IoT 29,91,t_gen=16
IoT 30,127,t_gen=3
IoT 31,36,t_gen=13
IoT 32,88,t_gen=19
IoT 33,113,t_gen=17
IoT 34,7,t_gen=3
IoT 35,126,t_gen=8
IoT 36,98,t_gen=9
IoT 37,99,t_gen=8
IoT 38,114,t_gen=16
IoT 39,121,t_gen=9
IoT 40,101,t_gen=6

50,0.41011,115,73.425,1.0,3728.963006322938,0,326.561564207077
Individual AoIs for Seed,50
IoT 1,113,t_gen=4
IoT 2,101,t_gen=11
IoT 3,102,t_gen=10
IoT 4,104,t_gen=13
IoT 5,62,t_gen=2
IoT 6,44,t_gen=20
IoT 7,107,t_gen=10
IoT 8,25,t_gen=3
IoT 9,53,t_gen=18
IoT 10,106,t_gen=6
IoT 11,95,t_gen=19
IoT 12,114,t_gen=3
IoT 13,100,t_gen=17
IoT 14,11,t_gen=17
IoT 15,99,t_gen=18
IoT 16,106,t_gen=11
IoT 17,106,t_gen=11
IoT 18,58,t_gen=13
IoT 19,13,t_gen=20
IoT 20,110,t_gen=7
IoT 21,67,t_gen=4
IoT 22,18,t_gen=10
IoT 23,69,t_gen=2
IoT 24,56,t_gen=8
IoT 25,77,t_gen=13
IoT 26,115,t_gen=2
IoT 27,97,t_gen=0
IoT 28,53,t_gen=18
IoT 29,11,t_gen=11
IoT 30,49,t_gen=15
IoT 31,16,t_gen=6
IoT 32,115,t_gen=2
IoT 33,18,t_gen=4
IoT 34,60,t_gen=11
IoT 35,64,t_gen=7
IoT 36,55,t_gen=9
IoT 37,102,t_gen=15
IoT 38,114,t_gen=4
IoT 39,93,t_gen=19
IoT 40,59,t_gen=12

55,0.40789,112,78.575,1.0,4248.915119339044,0,268.9920835494995
Individual AoIs for Seed,55
IoT 1,69,t_gen=15
IoT 2,72,t_gen=12
IoT 3,92,t_gen=17
IoT 4,65,t_gen=8
IoT 5,38,t_gen=0
IoT 6,83,t_gen=1
IoT 7,87,t_gen=20
IoT 8,101,t_gen=6
IoT 9,84,t_gen=0
IoT 10,108,t_gen=9
IoT 11,77,t_gen=7
IoT 12,77,t_gen=7
IoT 13,101,t_gen=6
IoT 14,94,t_gen=13
IoT 15,104,t_gen=3
IoT 16,71,t_gen=2
IoT 17,88,t_gen=8
IoT 18,36,t_gen=2
IoT 19,69,t_gen=15
IoT 20,67,t_gen=17
IoT 21,83,t_gen=12
IoT 22,79,t_gen=5
IoT 23,100,t_gen=7
IoT 24,100,t_gen=11
IoT 25,96,t_gen=11
IoT 26,72,t_gen=1
IoT 27,58,t_gen=15
IoT 28,93,t_gen=16
IoT 29,67,t_gen=6
IoT 30,79,t_gen=5
IoT 31,62,t_gen=11
IoT 32,73,t_gen=0
IoT 33,70,t_gen=3
IoT 34,92,t_gen=15
IoT 35,73,t_gen=3
IoT 36,84,t_gen=6
IoT 37,53,t_gen=20
IoT 38,78,t_gen=15
IoT 39,112,t_gen=13
IoT 40,36,t_gen=2

60,0.37254,102,72.45,1.0,3674.6557849070446,0,243.22742366790771
Individual AoIs for Seed,60
IoT 1,43,t_gen=5
IoT 2,71,t_gen=20
IoT 3,86,t_gen=5
IoT 4,72,t_gen=4
IoT 5,89,t_gen=18
IoT 6,67,t_gen=9
IoT 7,69,t_gen=7
IoT 8,68,t_gen=8
IoT 9,68,t_gen=8
IoT 10,42,t_gen=6
IoT 11,87,t_gen=16
IoT 12,74,t_gen=12
IoT 13,73,t_gen=3
IoT 14,74,t_gen=2
IoT 15,66,t_gen=10
IoT 16,79,t_gen=12
IoT 17,98,t_gen=5
IoT 18,62,t_gen=14
IoT 19,30,t_gen=18
IoT 20,40,t_gen=8
IoT 21,41,t_gen=7
IoT 22,78,t_gen=13
IoT 23,76,t_gen=0
IoT 24,90,t_gen=1
IoT 25,97,t_gen=6
IoT 26,35,t_gen=13
IoT 27,84,t_gen=7
IoT 28,81,t_gen=10
IoT 29,50,t_gen=7
IoT 30,61,t_gen=15
IoT 31,84,t_gen=7
IoT 32,59,t_gen=17
IoT 33,91,t_gen=16
IoT 34,102,t_gen=1
IoT 35,70,t_gen=6
IoT 36,97,t_gen=6
IoT 37,87,t_gen=4
IoT 38,77,t_gen=14
IoT 39,84,t_gen=7
IoT 40,96,t_gen=7

65,0.44275,124,79.625,1.0,4077.7752469603556,0,240.99117183685303
Individual AoIs for Seed,65
IoT 1,26,t_gen=17
IoT 2,95,t_gen=15
IoT 3,107,t_gen=3
IoT 4,27,t_gen=4
IoT 5,124,t_gen=4
IoT 6,95,t_gen=20
IoT 7,118,t_gen=20
IoT 8,109,t_gen=1
IoT 9,118,t_gen=10
IoT 10,102,t_gen=8
IoT 11,29,t_gen=2
IoT 12,115,t_gen=0
IoT 13,97,t_gen=18
IoT 14,43,t_gen=4
IoT 15,105,t_gen=10
IoT 16,99,t_gen=11
IoT 17,24,t_gen=20
IoT 18,41,t_gen=2
IoT 19,105,t_gen=5
IoT 20,41,t_gen=2
IoT 21,13,t_gen=18
IoT 22,111,t_gen=17
IoT 23,108,t_gen=20
IoT 24,117,t_gen=5
IoT 25,113,t_gen=15
IoT 26,118,t_gen=16
IoT 27,124,t_gen=4
IoT 28,33,t_gen=17
IoT 29,94,t_gen=16
IoT 30,54,t_gen=1
IoT 31,37,t_gen=6
IoT 32,22,t_gen=9
IoT 33,111,t_gen=4
