Scenario Information
Number of IoT Nodes,80
Number of UAVs,3
Number of Ground BS,4

Seed,Fitness,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,0.3713875,212,124.3125,1.0,5776.635061639268,0,2130.5609002113342
Individual AoIs for Seed,42
IoT 1,99,t_gen=6
IoT 2,161,t_gen=17
IoT 3,161,t_gen=17
IoT 4,170,t_gen=8
IoT 5,200,t_gen=5
IoT 6,174,t_gen=4
IoT 7,175,t_gen=3
IoT 8,23,t_gen=11
IoT 9,115,t_gen=14
IoT 10,178,t_gen=12
IoT 11,14,t_gen=20
IoT 12,172,t_gen=18
IoT 13,98,t_gen=7
IoT 14,122,t_gen=7
IoT 15,115,t_gen=14
IoT 16,167,t_gen=11
IoT 17,158,t_gen=20
IoT 18,161,t_gen=17
IoT 19,173,t_gen=12
IoT 20,88,t_gen=17
IoT 21,38,t_gen=1
IoT 22,95,t_gen=10
IoT 23,87,t_gen=18
IoT 24,158,t_gen=20
IoT 25,170,t_gen=20
IoT 26,52,t_gen=7
IoT 27,110,t_gen=18
IoT 28,167,t_gen=11
IoT 29,89,t_gen=16
IoT 30,187,t_gen=3
IoT 31,21,t_gen=13
IoT 32,159,t_gen=19
IoT 33,112,t_gen=17
IoT 34,212,t_gen=3
IoT 35,187,t_gen=8
IoT 36,169,t_gen=9
IoT 37,170,t_gen=8
IoT 38,113,t_gen=16
IoT 39,120,t_gen=9
IoT 40,123,t_gen=6
IoT 41,161,t_gen=17
IoT 42,129,t_gen=0
IoT 43,187,t_gen=3
IoT 44,120,t_gen=9
IoT 45,16,t_gen=18
IoT 46,6,t_gen=15
IoT 47,112,t_gen=17
IoT 48,172,t_gen=15
IoT 49,12,t_gen=16
IoT 50,123,t_gen=6
IoT 51,123,t_gen=6
IoT 52,158,t_gen=20
IoT 53,176,t_gen=14
IoT 54,24,t_gen=10
IoT 55,160,t_gen=18
IoT 56,85,t_gen=20
IoT 57,33,t_gen=1
IoT 58,212,t_gen=7
IoT 59,161,t_gen=17
IoT 60,87,t_gen=18
IoT 61,90,t_gen=15
IoT 62,177,t_gen=3
IoT 63,165,t_gen=13
IoT 64,170,t_gen=20
IoT 65,28,t_gen=12
IoT 66,126,t_gen=3
IoT 67,32,t_gen=14
IoT 68,20,t_gen=14
IoT 69,91,t_gen=14
IoT 70,126,t_gen=3
IoT 71,105,t_gen=0
IoT 72,122,t_gen=7
IoT 73,172,t_gen=6
IoT 74,124,t_gen=5
IoT 75,182,t_gen=8
IoT 76,120,t_gen=9
IoT 77,173,t_gen=17
IoT 78,131,t_gen=6
IoT 79,87,t_gen=18
IoT 80,184,t_gen=10

50,0.3437125,194,120.1875,1.0,5220.2699623043,0,1555.5949482917786
Individual AoIs for Seed,50
IoT 1,115,t_gen=4
IoT 2,136,t_gen=11
IoT 3,137,t_gen=10
IoT 4,130,t_gen=13
IoT 5,151,t_gen=2
IoT 6,123,t_gen=20
IoT 7,109,t_gen=10
IoT 8,116,t_gen=3
IoT 9,9,t_gen=18
IoT 10,81,t_gen=6
IoT 11,100,t_gen=19
IoT 12,140,t_gen=3
IoT 13,126,t_gen=17
IoT 14,186,t_gen=17
IoT 15,101,t_gen=18
IoT 16,132,t_gen=11
IoT 17,108,t_gen=11
IoT 18,182,t_gen=13
IoT 19,180,t_gen=20
IoT 20,136,t_gen=7
IoT 21,69,t_gen=4
IoT 22,185,t_gen=10
IoT 23,193,t_gen=2
IoT 24,135,t_gen=8
IoT 25,60,t_gen=13
IoT 26,141,t_gen=2
IoT 27,84,t_gen=0
IoT 28,177,t_gen=18
IoT 29,136,t_gen=11
IoT 30,128,t_gen=15
IoT 31,13,t_gen=6
IoT 32,141,t_gen=2
IoT 33,15,t_gen=4
IoT 34,184,t_gen=11
IoT 35,188,t_gen=7
IoT 36,134,t_gen=9
IoT 37,104,t_gen=15
IoT 38,76,t_gen=4
IoT 39,128,t_gen=19
IoT 40,61,t_gen=12
IoT 41,132,t_gen=15
IoT 42,185,t_gen=10
IoT 43,135,t_gen=8
IoT 44,140,t_gen=3
IoT 45,110,t_gen=9
IoT 46,135,t_gen=8
IoT 47,66,t_gen=7
IoT 48,136,t_gen=7
IoT 49,161,t_gen=7
IoT 50,130,t_gen=17
IoT 51,82,t_gen=8
IoT 52,134,t_gen=9
IoT 53,114,t_gen=5
IoT 54,153,t_gen=15
IoT 55,72,t_gen=1
IoT 56,68,t_gen=5
IoT 57,179,t_gen=16
IoT 58,4,t_gen=15
IoT 59,53,t_gen=20
IoT 60,126,t_gen=17
IoT 61,142,t_gen=1
IoT 62,180,t_gen=2
IoT 63,133,t_gen=14
IoT 64,189,t_gen=6
IoT 65,176,t_gen=19
IoT 66,108,t_gen=11
IoT 67,194,t_gen=1
IoT 68,60,t_gen=13
IoT 69,129,t_gen=14
IoT 70,56,t_gen=17
IoT 71,116,t_gen=3
IoT 72,139,t_gen=4
IoT 73,64,t_gen=9
IoT 74,56,t_gen=17
IoT 75,139,t_gen=4
IoT 76,113,t_gen=6
IoT 77,85,t_gen=11
IoT 78,104,t_gen=15
IoT 79,141,t_gen=2
IoT 80,126,t_gen=17

Final Averages
avg_fitness,0.35755
avg_peak_aoi,203.0
avg_avg_aoi,122.25
avg_coverage,1.0
avg_total_dist,5498.452511971784
avg_unserved,0.0
avg_runtime,1843.0779242515564
