Scenario Information
Number of IoT Nodes,50
Number of UAVs,3
Number of Ground BS,2

Seed,Fitness,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,0.0327,212,109.0,1.0,5935.0699395015245,0,193.14158177375793
Individual AoIs for Seed,42
IoT 1,110,t_gen=17
IoT 2,127,t_gen=0
IoT 3,153,t_gen=19
IoT 4,152,t_gen=20
IoT 5,124,t_gen=14
IoT 6,127,t_gen=0
IoT 7,88,t_gen=13
IoT 8,162,t_gen=10
IoT 9,116,t_gen=11
IoT 10,126,t_gen=1
IoT 11,89,t_gen=12
IoT 12,152,t_gen=20
IoT 13,120,t_gen=18
IoT 14,19,t_gen=7
IoT 15,131,t_gen=7
IoT 16,113,t_gen=14
IoT 17,127,t_gen=11
IoT 18,81,t_gen=20
IoT 19,110,t_gen=17
IoT 20,115,t_gen=12
IoT 21,84,t_gen=17
IoT 22,137,t_gen=1
IoT 23,16,t_gen=10
IoT 24,186,t_gen=18
IoT 25,81,t_gen=20
IoT 26,107,t_gen=20
IoT 27,111,t_gen=7
IoT 28,120,t_gen=18
IoT 29,127,t_gen=11
IoT 30,85,t_gen=16
IoT 31,135,t_gen=3
IoT 32,13,t_gen=13
IoT 33,119,t_gen=19
IoT 34,187,t_gen=17
IoT 35,18,t_gen=3
IoT 36,93,t_gen=8
IoT 37,92,t_gen=9
IoT 38,130,t_gen=8
IoT 39,122,t_gen=16
IoT 40,129,t_gen=9
IoT 41,121,t_gen=6
IoT 42,110,t_gen=17
IoT 43,138,t_gen=0
IoT 44,212,t_gen=3
IoT 45,129,t_gen=9
IoT 46,8,t_gen=18
IoT 47,86,t_gen=15
IoT 48,121,t_gen=17
IoT 49,6,t_gen=15
IoT 50,85,t_gen=16

50,0.035916,219,119.72,1.0,5305.170215354847,0,207.22303676605225
Individual AoIs for Seed,50
IoT 1,149,t_gen=2
IoT 2,28,t_gen=17
IoT 3,85,t_gen=3
IoT 4,145,t_gen=6
IoT 5,69,t_gen=19
IoT 6,147,t_gen=2
IoT 7,145,t_gen=19
IoT 8,131,t_gen=20
IoT 9,139,t_gen=10
IoT 10,148,t_gen=3
IoT 11,133,t_gen=18
IoT 12,82,t_gen=6
IoT 13,26,t_gen=19
IoT 14,161,t_gen=3
IoT 15,134,t_gen=17
IoT 16,134,t_gen=17
IoT 17,27,t_gen=18
IoT 18,140,t_gen=11
IoT 19,138,t_gen=11
IoT 20,75,t_gen=13
IoT 21,144,t_gen=20
IoT 22,144,t_gen=7
IoT 23,147,t_gen=4
IoT 24,141,t_gen=10
IoT 25,86,t_gen=2
IoT 26,219,t_gen=8
IoT 27,138,t_gen=13
IoT 28,147,t_gen=2
IoT 29,57,t_gen=0
IoT 30,70,t_gen=18
IoT 31,77,t_gen=11
IoT 32,149,t_gen=15
IoT 33,145,t_gen=6
IoT 34,147,t_gen=2
IoT 35,147,t_gen=4
IoT 36,77,t_gen=11
IoT 37,81,t_gen=7
IoT 38,155,t_gen=9
IoT 39,30,t_gen=15
IoT 40,154,t_gen=4
IoT 41,69,t_gen=19
IoT 42,139,t_gen=12
IoT 43,73,t_gen=15
IoT 44,154,t_gen=10
IoT 45,219,t_gen=8
IoT 46,148,t_gen=3
IoT 47,36,t_gen=9
IoT 48,156,t_gen=8
IoT 49,157,t_gen=7
IoT 50,144,t_gen=7

55,0.030366,242,101.22,1.0,5013.4977024900545,0,214.81025409698486
Individual AoIs for Seed,55
IoT 1,234,t_gen=9
IoT 2,98,t_gen=15
IoT 3,73,t_gen=12
IoT 4,87,t_gen=17
IoT 5,77,t_gen=8
IoT 6,120,t_gen=0
IoT 7,103,t_gen=1
IoT 8,33,t_gen=20
IoT 9,237,t_gen=6
IoT 10,53,t_gen=0
IoT 11,3,t_gen=9
IoT 12,46,t_gen=7
IoT 13,171,t_gen=7
IoT 14,47,t_gen=6
IoT 15,40,t_gen=13
IoT 16,82,t_gen=3
IoT 17,118,t_gen=2
IoT 18,13,t_gen=8
IoT 19,118,t_gen=2
IoT 20,89,t_gen=15
IoT 21,103,t_gen=17
IoT 22,108,t_gen=12
IoT 23,80,t_gen=5
IoT 24,78,t_gen=7
IoT 25,232,t_gen=11
IoT 26,232,t_gen=11
IoT 27,84,t_gen=1
IoT 28,70,t_gen=15
IoT 29,37,t_gen=16
IoT 30,79,t_gen=6
IoT 31,99,t_gen=5
IoT 32,93,t_gen=11
IoT 33,120,t_gen=0
IoT 34,82,t_gen=3
IoT 35,70,t_gen=15
IoT 36,85,t_gen=3
IoT 37,47,t_gen=6
IoT 38,223,t_gen=20
IoT 39,3,t_gen=15
IoT 40,91,t_gen=13
IoT 41,118,t_gen=2
IoT 42,108,t_gen=12
IoT 43,176,t_gen=2
IoT 44,22,t_gen=13
IoT 45,103,t_gen=17
IoT 46,77,t_gen=8
IoT 47,242,t_gen=1
IoT 48,161,t_gen=17
IoT 49,113,t_gen=7
IoT 50,83,t_gen=2

60,0.030516,211,101.72,1.0,5649.005813358319,0,201.7597758769989
Individual AoIs for Seed,60
IoT 1,110,t_gen=1
IoT 2,179,t_gen=5
IoT 3,63,t_gen=20
IoT 4,206,t_gen=5
IoT 5,79,t_gen=4
IoT 6,93,t_gen=18
IoT 7,74,t_gen=9
IoT 8,43,t_gen=7
IoT 9,75,t_gen=8
IoT 10,211,t_gen=8
IoT 11,105,t_gen=6
IoT 12,195,t_gen=16
IoT 13,38,t_gen=12
IoT 14,47,t_gen=3
IoT 15,81,t_gen=2
IoT 16,40,t_gen=10
IoT 17,91,t_gen=12
IoT 18,106,t_gen=5
IoT 19,69,t_gen=14
IoT 20,201,t_gen=18
IoT 21,203,t_gen=8
IoT 22,104,t_gen=7
IoT 23,98,t_gen=13
IoT 24,50,t_gen=0
IoT 25,110,t_gen=1
IoT 26,97,t_gen=6
IoT 27,98,t_gen=13
IoT 28,104,t_gen=7
IoT 29,101,t_gen=10
IoT 30,177,t_gen=7
IoT 31,35,t_gen=15
IoT 32,104,t_gen=7
IoT 33,94,t_gen=17
IoT 34,95,t_gen=16
IoT 35,183,t_gen=1
IoT 36,77,t_gen=6
IoT 37,97,t_gen=6
IoT 38,107,t_gen=4
IoT 39,69,t_gen=14
IoT 40,104,t_gen=7
IoT 41,104,t_gen=7
IoT 42,83,t_gen=20
IoT 43,94,t_gen=17
IoT 44,93,t_gen=18
IoT 45,69,t_gen=14
IoT 46,106,t_gen=5
IoT 47,102,t_gen=1
IoT 48,88,t_gen=4
IoT 49,100,t_gen=3
IoT 50,34,t_gen=16

65,0.026886,208,89.62,1.0,5330.23619948248,0,249.77489733695984
Individual AoIs for Seed,65
IoT 1,50,t_gen=10
IoT 2,97,t_gen=7
IoT 3,188,t_gen=8
IoT 4,97,t_gen=1
IoT 5,66,t_gen=4
IoT 6,146,t_gen=4
IoT 7,94,t_gen=20
IoT 8,50,t_gen=20
IoT 9,97,t_gen=1
IoT 10,88,t_gen=10
IoT 11,81,t_gen=8
IoT 12,96,t_gen=2
IoT 13,98,t_gen=0
IoT 14,208,t_gen=18
IoT 15,21,t_gen=4
IoT 16,140,t_gen=10
IoT 17,78,t_gen=11
IoT 18,78,t_gen=20
IoT 19,19,t_gen=2
IoT 20,93,t_gen=5
