Scenario Information
Number of IoT Nodes,50
Number of UAVs,3
Number of Ground BS,1

Seed,Fitness,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,0.037794,224,125.98,1.0,6022.9410938172805,0,163.54707598686218
Individual AoIs for Seed,42
IoT 1,66,t_gen=3
IoT 2,134,t_gen=2
IoT 3,67,t_gen=2
IoT 4,203,t_gen=0
IoT 5,119,t_gen=17
IoT 6,61,t_gen=8
IoT 7,31,t_gen=5
IoT 8,132,t_gen=4
IoT 9,133,t_gen=3
IoT 10,224,t_gen=11
IoT 11,122,t_gen=14
IoT 12,191,t_gen=12
IoT 13,215,t_gen=20
IoT 14,118,t_gen=18
IoT 15,62,t_gen=7
IoT 16,129,t_gen=7
IoT 17,192,t_gen=14
IoT 18,125,t_gen=11
IoT 19,186,t_gen=20
IoT 20,186,t_gen=17
IoT 21,24,t_gen=12
IoT 22,189,t_gen=17
IoT 23,68,t_gen=1
IoT 24,59,t_gen=10
IoT 25,217,t_gen=18
IoT 26,116,t_gen=20
IoT 27,183,t_gen=20
IoT 28,62,t_gen=7
IoT 29,118,t_gen=18
IoT 30,192,t_gen=11
IoT 31,190,t_gen=16
IoT 32,133,t_gen=3
IoT 33,56,t_gen=13
IoT 34,117,t_gen=19
IoT 35,186,t_gen=17
IoT 36,33,t_gen=3
IoT 37,128,t_gen=8
IoT 38,127,t_gen=9
IoT 39,61,t_gen=8
IoT 40,120,t_gen=16
IoT 41,127,t_gen=9
IoT 42,200,t_gen=6
IoT 43,189,t_gen=17
IoT 44,136,t_gen=0
IoT 45,133,t_gen=3
IoT 46,127,t_gen=9
IoT 47,51,t_gen=18
IoT 48,21,t_gen=15
IoT 49,119,t_gen=17
IoT 50,121,t_gen=15

50,0.033606,205,112.02,1.0,6061.987328114081,0,141.19403100013733
Individual AoIs for Seed,50
IoT 1,99,t_gen=15
IoT 2,97,t_gen=17
IoT 3,83,t_gen=2
IoT 4,111,t_gen=3
IoT 5,201,t_gen=6
IoT 6,173,t_gen=19
IoT 7,112,t_gen=2
IoT 8,188,t_gen=19
IoT 9,187,t_gen=20
IoT 10,69,t_gen=10
IoT 11,111,t_gen=3
IoT 12,67,t_gen=18
IoT 13,82,t_gen=6
IoT 14,84,t_gen=19
IoT 15,204,t_gen=3
IoT 16,97,t_gen=17
IoT 17,97,t_gen=17
IoT 18,61,t_gen=18
IoT 19,196,t_gen=11
IoT 20,196,t_gen=11
IoT 21,72,t_gen=13
IoT 22,94,t_gen=20
IoT 23,200,t_gen=7
IoT 24,205,t_gen=4
IoT 25,104,t_gen=10
IoT 26,83,t_gen=2
IoT 27,199,t_gen=8
IoT 28,194,t_gen=13
IoT 29,112,t_gen=2
IoT 30,85,t_gen=0
IoT 31,67,t_gen=18
IoT 32,74,t_gen=11
IoT 33,99,t_gen=15
IoT 34,79,t_gen=6
IoT 35,77,t_gen=2
IoT 36,81,t_gen=4
IoT 37,74,t_gen=11
IoT 38,78,t_gen=7
IoT 39,105,t_gen=9
IoT 40,64,t_gen=15
IoT 41,75,t_gen=4
IoT 42,60,t_gen=19
IoT 43,73,t_gen=12
IoT 44,64,t_gen=15
IoT 45,104,t_gen=10
IoT 46,106,t_gen=8
IoT 47,204,t_gen=3
IoT 48,70,t_gen=9
IoT 49,106,t_gen=8
IoT 50,78,t_gen=7

55,0.033894,219,112.98,1.0,6013.887103926316,0,125.7825870513916
Individual AoIs for Seed,55
IoT 1,12,t_gen=2
IoT 2,207,t_gen=11
IoT 3,176,t_gen=15
IoT 4,78,t_gen=12
IoT 5,79,t_gen=17
