Scenario Information
Number of IoT Nodes,40
Number of UAVs,2
Number of Ground BS,4

Seed,Fitness,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,0.031799999999999995,210,106.0,1.0,4442.250866789901,0,147.52703666687012
Individual AoIs for Seed,42
IoT 1,140,t_gen=6
IoT 2,88,t_gen=17
IoT 3,79,t_gen=17
IoT 4,97,t_gen=8
IoT 5,195,t_gen=5
IoT 6,41,t_gen=4
IoT 7,93,t_gen=3
IoT 8,85,t_gen=11
IoT 9,82,t_gen=14
IoT 10,210,t_gen=12
IoT 11,76,t_gen=20
IoT 12,78,t_gen=18
IoT 13,139,t_gen=7
IoT 14,166,t_gen=7
IoT 15,159,t_gen=14
IoT 16,34,t_gen=11
IoT 17,85,t_gen=20
IoT 18,79,t_gen=17
IoT 19,4,t_gen=12
IoT 20,79,t_gen=17
IoT 21,145,t_gen=1
IoT 22,136,t_gen=10
IoT 23,128,t_gen=18
IoT 24,153,t_gen=20
IoT 25,76,t_gen=20
IoT 26,98,t_gen=7
IoT 27,32,t_gen=18
IoT 28,94,t_gen=11
IoT 29,80,t_gen=16
IoT 30,170,t_gen=3
IoT 31,133,t_gen=13
IoT 32,26,t_gen=19
IoT 33,156,t_gen=17
IoT 34,7,t_gen=3
IoT 35,37,t_gen=8
IoT 36,175,t_gen=9
IoT 37,97,t_gen=8
IoT 38,157,t_gen=16
IoT 39,164,t_gen=9
IoT 40,167,t_gen=6

50,0.027435,194,91.45,1.0,3960.68858004031,0,131.77572917938232
Individual AoIs for Seed,50
IoT 1,33,t_gen=4
IoT 2,81,t_gen=11
IoT 3,82,t_gen=10
IoT 4,177,t_gen=13
IoT 5,113,t_gen=2
IoT 6,95,t_gen=20
IoT 7,27,t_gen=10
IoT 8,130,t_gen=3
IoT 9,74,t_gen=18
IoT 10,31,t_gen=6
IoT 11,18,t_gen=19
IoT 12,187,t_gen=3
IoT 13,179,t_gen=17
IoT 14,116,t_gen=17
IoT 15,178,t_gen=18
IoT 16,185,t_gen=11
IoT 17,185,t_gen=11
IoT 18,60,t_gen=13
IoT 19,53,t_gen=20
IoT 20,183,t_gen=7
IoT 21,129,t_gen=4
IoT 22,63,t_gen=10
IoT 23,71,t_gen=2
IoT 24,107,t_gen=8
IoT 25,183,t_gen=13
IoT 26,194,t_gen=2
IoT 27,48,t_gen=0
IoT 28,55,t_gen=18
IoT 29,12,t_gen=11
IoT 30,74,t_gen=15
IoT 31,17,t_gen=6
IoT 32,35,t_gen=2
IoT 33,19,t_gen=4
IoT 34,62,t_gen=11
IoT 35,66,t_gen=7
IoT 36,80,t_gen=9
IoT 37,22,t_gen=15
IoT 38,40,t_gen=4
IoT 39,73,t_gen=19
IoT 40,121,t_gen=12

55,0.02634,224,87.8,1.0,4252.644563864158,0,131.2948203086853
Individual AoIs for Seed,55
IoT 1,115,t_gen=15
IoT 2,60,t_gen=12
IoT 3,153,t_gen=17
IoT 4,40,t_gen=8
IoT 5,106,t_gen=0
IoT 6,129,t_gen=1
IoT 7,86,t_gen=20
IoT 8,42,t_gen=6
IoT 9,31,t_gen=0
IoT 10,169,t_gen=9
IoT 11,107,t_gen=7
IoT 12,123,t_gen=7
IoT 13,19,t_gen=6
IoT 14,12,t_gen=13
IoT 15,137,t_gen=3
IoT 16,70,t_gen=2
IoT 17,74,t_gen=8
IoT 18,23,t_gen=2
IoT 19,115,t_gen=15
IoT 20,121,t_gen=17
IoT 21,41,t_gen=12
IoT 22,67,t_gen=5
IoT 23,41,t_gen=7
IoT 24,119,t_gen=11
IoT 25,224,t_gen=11
IoT 26,71,t_gen=1
IoT 27,57,t_gen=15
IoT 28,110,t_gen=16
IoT 29,66,t_gen=6
IoT 30,125,t_gen=5
IoT 31,61,t_gen=11
IoT 32,72,t_gen=0
IoT 33,45,t_gen=3
IoT 34,33,t_gen=15
IoT 35,103,t_gen=3
IoT 36,42,t_gen=6
IoT 37,215,t_gen=20
IoT 38,67,t_gen=15
IoT 39,117,t_gen=13
IoT 40,104,t_gen=2

60,0.0305475,194,101.825,1.0,3785.014872557752,0,129.5925579071045
Individual AoIs for Seed,60
IoT 1,113,t_gen=5
IoT 2,58,t_gen=20
