Scenario Information
Number of IoT Nodes,20
Number of UAVs,4
Number of Ground BS,4

Seed,Fitness,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,0.018314999999999998,115,61.05,1.0,3891.5592960167414,0,84.42379236221313
Individual AoIs for Seed,42
IoT 1,115,t_gen=6
IoT 2,50,t_gen=17
IoT 3,50,t_gen=17
IoT 4,59,t_gen=8
IoT 5,7,t_gen=5
IoT 6,66,t_gen=4
IoT 7,67,t_gen=3
IoT 8,56,t_gen=11
IoT 9,42,t_gen=14
IoT 10,99,t_gen=12
IoT 11,47,t_gen=20
IoT 12,68,t_gen=18
IoT 13,79,t_gen=7
IoT 14,104,t_gen=7
IoT 15,42,t_gen=14
IoT 16,59,t_gen=11
IoT 17,50,t_gen=20
IoT 18,50,t_gen=17
IoT 19,58,t_gen=12
IoT 20,53,t_gen=17

50,0.013035,98,43.45,1.0,3828.4669453267284,0,65.72620916366577
Individual AoIs for Seed,50
IoT 1,40,t_gen=4
IoT 2,63,t_gen=11
IoT 3,65,t_gen=10
IoT 4,30,t_gen=13
IoT 5,33,t_gen=2
IoT 6,23,t_gen=20
IoT 7,34,t_gen=10
IoT 8,19,t_gen=3
IoT 9,56,t_gen=18
IoT 10,38,t_gen=6
IoT 11,25,t_gen=19
IoT 12,40,t_gen=3
IoT 13,88,t_gen=17
IoT 14,5,t_gen=17
IoT 15,26,t_gen=18
IoT 16,94,t_gen=11
IoT 17,33,t_gen=11
IoT 18,98,t_gen=13
IoT 19,23,t_gen=20
IoT 20,36,t_gen=7

55,0.011655,71,38.85,1.0,3618.9307012907916,0,64.25046443939209
Individual AoIs for Seed,55
IoT 1,34,t_gen=15
IoT 2,49,t_gen=12
IoT 3,9,t_gen=17
IoT 4,35,t_gen=8
IoT 5,43,t_gen=0
IoT 6,48,t_gen=1
IoT 7,23,t_gen=20
IoT 8,37,t_gen=6
IoT 9,43,t_gen=0
IoT 10,3,t_gen=9
IoT 11,54,t_gen=7
IoT 12,42,t_gen=7
IoT 13,37,t_gen=6
IoT 14,30,t_gen=13
IoT 15,59,t_gen=3
