Scenario Information
Number of IoT Nodes,60
Number of UAVs,3
Number of Ground BS,4

Seed,Fitness,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,0.051325,256,102.65,1.0,6677.400695246428,0,198.14353013038635
Individual AoIs for Seed,42
IoT 14,52,t_gen=2
IoT 15,44,t_gen=10
IoT 16,51,t_gen=12
IoT 17,140,t_gen=5
IoT 18,40,t_gen=14
IoT 19,199,t_gen=18
IoT 20,79,t_gen=8
IoT 21,177,t_gen=7
IoT 22,74,t_gen=13
IoT 23,52,t_gen=0
IoT 24,86,t_gen=1
IoT 25,129,t_gen=6
IoT 26,204,t_gen=13
IoT 27,80,t_gen=7
IoT 28,77,t_gen=10
IoT 29,143,t_gen=7
IoT 30,39,t_gen=15
IoT 31,80,t_gen=7
IoT 32,70,t_gen=17
IoT 33,93,t_gen=16
IoT 34,71,t_gen=1
IoT 35,48,t_gen=6
IoT 36,129,t_gen=6
IoT 37,180,t_gen=4
IoT 38,73,t_gen=14
IoT 39,80,t_gen=7
IoT 40,102,t_gen=7
IoT 41,94,t_gen=20
IoT 42,39,t_gen=17
IoT 43,166,t_gen=18
IoT 44,86,t_gen=14
IoT 45,67,t_gen=5
IoT 46,90,t_gen=1
IoT 47,105,t_gen=4
IoT 48,88,t_gen=3
IoT 49,38,t_gen=16
IoT 50,130,t_gen=5
IoT 51,89,t_gen=18
IoT 52,82,t_gen=5
IoT 53,129,t_gen=6
IoT 54,44,t_gen=8
IoT 55,69,t_gen=18
IoT 56,163,t_gen=19
IoT 57,78,t_gen=13
IoT 58,138,t_gen=7
IoT 59,49,t_gen=3
IoT 60,96,t_gen=13

65,0.046308333333333326,204,92.61666666666666,1.0,6097.251369921386,0,167.27742409706116
Individual AoIs for Seed,65
IoT 1,190,t_gen=17
IoT 2,68,t_gen=15
IoT 3,204,t_gen=3
IoT 4,93,t_gen=4
IoT 5,89,t_gen=4
IoT 6,19,t_gen=20
IoT 7,174,t_gen=20
IoT 8,34,t_gen=1
IoT 9,83,t_gen=10
IoT 10,27,t_gen=8
IoT 11,81,t_gen=2
IoT 12,97,t_gen=0
IoT 13,79,t_gen=18
IoT 14,125,t_gen=4
IoT 15,146,t_gen=10
IoT 16,24,t_gen=11
IoT 17,35,t_gen=20
IoT 18,138,t_gen=2
IoT 19,30,t_gen=5
IoT 20,30,t_gen=2
IoT 21,124,t_gen=18
IoT 22,76,t_gen=17
IoT 23,136,t_gen=20
IoT 24,92,t_gen=5
IoT 25,141,t_gen=15
IoT 26,93,t_gen=16
IoT 27,89,t_gen=4
IoT 28,139,t_gen=17
IoT 29,67,t_gen=16
IoT 30,120,t_gen=1
IoT 31,26,t_gen=6
IoT 32,74,t_gen=9
IoT 33,138,t_gen=4
IoT 34,130,t_gen=16
IoT 35,175,t_gen=19
IoT 36,39,t_gen=8
IoT 37,64,t_gen=19
IoT 38,24,t_gen=8
IoT 39,73,t_gen=10
IoT 40,78,t_gen=5
IoT 41,18,t_gen=17
IoT 42,186,t_gen=8
IoT 43,124,t_gen=18
IoT 44,112,t_gen=13
IoT 45,72,t_gen=11
IoT 46,134,t_gen=8
IoT 47,68,t_gen=15
IoT 48,82,t_gen=15
IoT 49,82,t_gen=15
IoT 50,85,t_gen=8
IoT 51,87,t_gen=6
IoT 52,31,t_gen=4
IoT 53,84,t_gen=4
IoT 54,141,t_gen=15
IoT 55,141,t_gen=1
IoT 56,187,t_gen=7
IoT 57,73,t_gen=20
IoT 58,94,t_gen=3
IoT 59,65,t_gen=18
IoT 60,27,t_gen=5

85,0.048391666666666666,206,96.78333333333333,1.0,6096.18960560416,0,130.1766221523285
Individual AoIs for Seed,85
IoT 1,150,t_gen=17
IoT 2,138,t_gen=18
IoT 3,139,t_gen=13
IoT 4,22,t_gen=2
IoT 5,49,t_gen=14
IoT 6,145,t_gen=7
IoT 7,53,t_gen=13
IoT 8,61,t_gen=5
IoT 9,31,t_gen=16
IoT 10,149,t_gen=7
IoT 11,91,t_gen=10
IoT 12,179,t_gen=1
IoT 13,61,t_gen=5
IoT 14,47,t_gen=5
IoT 15,147,t_gen=5
IoT 16,52,t_gen=14
IoT 17,32,t_gen=8
IoT 18,203,t_gen=20
IoT 19,135,t_gen=17
IoT 20,62,t_gen=4
IoT 21,104,t_gen=9
IoT 22,202,t_gen=8
IoT 23,13,t_gen=2
IoT 24,152,t_gen=4
IoT 25,63,t_gen=19
IoT 26,37,t_gen=13
IoT 27,127,t_gen=19
IoT 28,53,t_gen=13
IoT 29,149,t_gen=7
IoT 30,70,t_gen=11
IoT 31,141,t_gen=15
IoT 32,151,t_gen=5
IoT 33,30,t_gen=10
IoT 34,34,t_gen=6
IoT 35,47,t_gen=19
IoT 36,176,t_gen=4
IoT 37,154,t_gen=2
IoT 38,32,t_gen=8
IoT 39,156,t_gen=0
IoT 40,64,t_gen=2
IoT 41,151,t_gen=1
IoT 42,28,t_gen=12
IoT 43,206,t_gen=4
IoT 44,181,t_gen=9
IoT 45,198,t_gen=7
IoT 46,30,t_gen=10
IoT 47,46,t_gen=1
IoT 48,33,t_gen=7
IoT 49,32,t_gen=8
IoT 50,137,t_gen=15
IoT 51,54,t_gen=12
IoT 52,66,t_gen=0
IoT 53,69,t_gen=19
IoT 54,48,t_gen=18
IoT 55,65,t_gen=17
IoT 56,71,t_gen=17
IoT 57,136,t_gen=10
IoT 58,203,t_gen=7
IoT 59,76,t_gen=12
IoT 60,76,t_gen=12

90,0.048375,279,96.75,1.0,6793.294940416357,0,114.99772644042969
Individual AoIs for Seed,90
IoT 1,32,t_gen=8
IoT 2,120,t_gen=4
IoT 3,112,t_gen=12
IoT 4,18,t_gen=4
IoT 5,60,t_gen=1
IoT 6,183,t_gen=16
IoT 7,19,t_gen=3
IoT 8,85,t_gen=0
IoT 9,80,t_gen=5
IoT 10,182,t_gen=17
IoT 11,83,t_gen=2
IoT 12,77,t_gen=10
IoT 13,121,t_gen=19
IoT 14,114,t_gen=10
IoT 15,181,t_gen=18
IoT 16,123,t_gen=1
IoT 17,43,t_gen=15
IoT 18,127,t_gen=5
IoT 19,207,t_gen=6
IoT 20,70,t_gen=15
IoT 21,68,t_gen=17
IoT 22,40,t_gen=4
IoT 23,23,t_gen=17
IoT 24,80,t_gen=5
IoT 25,66,t_gen=12
IoT 26,12,t_gen=15
IoT 27,179,t_gen=20
IoT 28,22,t_gen=18
IoT 29,24,t_gen=12
IoT 30,14,t_gen=13
IoT 31,183,t_gen=16
IoT 32,73,t_gen=12
IoT 33,182,t_gen=17
IoT 34,193,t_gen=6
IoT 35,279,t_gen=2
IoT 36,6,t_gen=20
IoT 37,123,t_gen=6
IoT 38,71,t_gen=14
IoT 39,180,t_gen=19
IoT 40,179,t_gen=20
IoT 41,25,t_gen=15
IoT 42,202,t_gen=11
IoT 43,32,t_gen=18
IoT 44,7,t_gen=20
IoT 45,125,t_gen=4
IoT 46,89,t_gen=11
IoT 47,81,t_gen=19
IoT 48,123,t_gen=1
IoT 49,40,t_gen=0
IoT 50,210,t_gen=2
IoT 51,81,t_gen=4
IoT 52,53,t_gen=9
IoT 53,59,t_gen=11
IoT 54,85,t_gen=0
IoT 55,118,t_gen=11
IoT 56,33,t_gen=7
IoT 57,13,t_gen=19
IoT 58,25,t_gen=15
IoT 59,181,t_gen=10
IoT 60,189,t_gen=10

105,0.044225,251,88.45,1.0,6673.182050625812,0,115.61360883712769
Individual AoIs for Seed,105
IoT 1,13,t_gen=4
IoT 2,132,t_gen=5
IoT 3,69,t_gen=14
IoT 4,156,t_gen=7
IoT 5,92,t_gen=9
IoT 6,111,t_gen=16
IoT 7,39,t_gen=10
IoT 8,124,t_gen=3
IoT 9,14,t_gen=5
IoT 10,251,t_gen=12
IoT 11,109,t_gen=18
IoT 12,144,t_gen=19
IoT 13,67,t_gen=16
IoT 14,36,t_gen=13
IoT 15,2,t_gen=18
IoT 16,86,t_gen=15
IoT 17,54,t_gen=11
IoT 18,127,t_gen=0
IoT 19,30,t_gen=19
IoT 20,57,t_gen=13
IoT 21,145,t_gen=5
IoT 22,29,t_gen=20
IoT 23,194,t_gen=9
IoT 24,12,t_gen=11
IoT 25,98,t_gen=3
IoT 26,122,t_gen=5
IoT 27,31,t_gen=2
IoT 28,72,t_gen=6
IoT 29,192,t_gen=11
IoT 30,247,t_gen=16
IoT 31,129,t_gen=8
IoT 32,62,t_gen=16
IoT 33,83,t_gen=0
IoT 34,159,t_gen=4
IoT 35,82,t_gen=1
IoT 36,50,t_gen=10
IoT 37,72,t_gen=11
IoT 38,68,t_gen=10
IoT 39,57,t_gen=3
IoT 40,17,t_gen=2
IoT 41,43,t_gen=6
IoT 42,48,t_gen=1
IoT 43,58,t_gen=2
IoT 44,125,t_gen=14
IoT 45,22,t_gen=5
IoT 46,74,t_gen=4
IoT 47,198,t_gen=5
IoT 48,101,t_gen=0
IoT 49,15,t_gen=19
IoT 50,179,t_gen=2
IoT 51,149,t_gen=14
IoT 52,162,t_gen=1
IoT 53,108,t_gen=19
IoT 54,65,t_gen=18
IoT 55,66,t_gen=17
IoT 56,44,t_gen=5
IoT 57,33,t_gen=16
IoT 58,81,t_gen=2
IoT 59,70,t_gen=13
IoT 60,32,t_gen=17

49,0.05216666666666666,257,104.33333333333333,1.0,7020.814460629114,0,114.9860110282898
Individual AoIs for Seed,49
IoT 1,78,t_gen=20
IoT 2,17,t_gen=19
IoT 3,39,t_gen=0
IoT 4,26,t_gen=13
IoT 5,125,t_gen=11
IoT 6,75,t_gen=19
IoT 7,81,t_gen=17
IoT 8,246,t_gen=2
IoT 9,81,t_gen=17
IoT 10,193,t_gen=7
IoT 11,53,t_gen=19
IoT 12,86,t_gen=12
IoT 13,81,t_gen=17
IoT 14,72,t_gen=0
IoT 15,140,t_gen=9
IoT 16,91,t_gen=11
IoT 17,26,t_gen=10
IoT 18,123,t_gen=13
IoT 19,182,t_gen=8
IoT 20,69,t_gen=3
IoT 21,122,t_gen=14
IoT 22,117,t_gen=19
IoT 23,65,t_gen=7
IoT 24,98,t_gen=0
IoT 25,133,t_gen=3
IoT 26,67,t_gen=5
IoT 27,59,t_gen=13
IoT 28,138,t_gen=11
IoT 29,120,t_gen=16
IoT 30,133,t_gen=3
IoT 31,118,t_gen=18
IoT 32,122,t_gen=19
IoT 33,106,t_gen=10
IoT 34,146,t_gen=13
IoT 35,243,t_gen=20
IoT 36,65,t_gen=7
IoT 37,37,t_gen=2
IoT 38,129,t_gen=17
IoT 39,90,t_gen=16
IoT 40,32,t_gen=7
IoT 41,21,t_gen=15
IoT 42,137,t_gen=12
IoT 43,183,t_gen=7
IoT 44,117,t_gen=19
IoT 45,257,t_gen=6
IoT 46,118,t_gen=3
IoT 47,136,t_gen=13
IoT 48,128,t_gen=8
IoT 49,234,t_gen=14
IoT 50,136,t_gen=0
IoT 51,132,t_gen=4
