Scenario Information
Number of IoT Nodes,10
Number of UAVs,3
Number of Ground BS,4

Seed,Fitness,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,0.031439999999999996,97,52.4,1.0,2552.9257447751875,0,28.83429479598999
Individual AoIs for Seed,42
IoT 1,49,t_gen=6
IoT 2,58,t_gen=17
IoT 3,58,t_gen=17
IoT 4,47,t_gen=8
IoT 5,7,t_gen=5
IoT 6,51,t_gen=4
IoT 7,72,t_gen=3
IoT 8,44,t_gen=11
IoT 9,41,t_gen=14
IoT 10,97,t_gen=12

50,0.022739999999999996,86,37.9,1.0,2519.953250468804,0,30.5673246383667
Individual AoIs for Seed,50
IoT 1,30,t_gen=4
IoT 2,24,t_gen=11
IoT 3,25,t_gen=10
IoT 4,86,t_gen=13
IoT 5,32,t_gen=2
IoT 6,82,t_gen=20
IoT 7,24,t_gen=10
IoT 8,31,t_gen=3
IoT 9,17,t_gen=18
IoT 10,28,t_gen=6

55,0.029160000000000002,103,48.6,1.0,2489.7529310619016,0,39.750673055648804
Individual AoIs for Seed,55
IoT 1,89,t_gen=15
IoT 2,31,t_gen=12
IoT 3,9,t_gen=17
IoT 4,35,t_gen=8
IoT 5,78,t_gen=0
IoT 6,103,t_gen=1
IoT 7,58,t_gen=20
IoT 8,37,t_gen=6
IoT 9,43,t_gen=0
IoT 10,3,t_gen=9

60,0.033960000000000004,84,56.6,1.0,2286.9242623575865,0,27.451825857162476
Individual AoIs for Seed,60
IoT 1,47,t_gen=5
IoT 2,72,t_gen=20
IoT 3,47,t_gen=5
IoT 4,52,t_gen=4
IoT 5,38,t_gen=18
IoT 6,47,t_gen=9
IoT 7,49,t_gen=7
IoT 8,84,t_gen=8
IoT 9,84,t_gen=8
IoT 10,46,t_gen=6

65,0.02658,90,44.3,1.0,2519.4999362605854,0,27.79915475845337
Individual AoIs for Seed,65
IoT 1,76,t_gen=17
IoT 2,18,t_gen=15
IoT 3,33,t_gen=3
IoT 4,38,t_gen=4
IoT 5,90,t_gen=4
IoT 6,16,t_gen=20
IoT 7,22,t_gen=20
IoT 8,41,t_gen=1
IoT 9,84,t_gen=10
IoT 10,25,t_gen=8

85,0.029579999999999995,65,49.3,1.0,2452.7719484699983,0,35.34857177734375
Individual AoIs for Seed,85
IoT 1,50,t_gen=17
IoT 2,49,t_gen=18
IoT 3,54,t_gen=13
IoT 4,36,t_gen=2
IoT 5,40,t_gen=14
IoT 6,60,t_gen=7
IoT 7,57,t_gen=13
IoT 8,65,t_gen=5
IoT 9,22,t_gen=16
IoT 10,60,t_gen=7

90,0.028560000000000002,94,47.6,1.0,2566.592213396664,0,31.531594276428223
Individual AoIs for Seed,90
IoT 1,65,t_gen=8
IoT 2,43,t_gen=4
IoT 3,22,t_gen=12
IoT 4,30,t_gen=4
IoT 5,46,t_gen=1
IoT 6,94,t_gen=16
IoT 7,31,t_gen=3
IoT 8,47,t_gen=0
IoT 9,42,t_gen=5
IoT 10,56,t_gen=17

105,0.03174,82,52.9,1.0,2286.280159834827,0,40.18184542655945
Individual AoIs for Seed,105
IoT 1,35,t_gen=4
IoT 2,34,t_gen=5
IoT 3,51,t_gen=14
IoT 4,82,t_gen=7
IoT 5,75,t_gen=9
IoT 6,49,t_gen=16
IoT 7,74,t_gen=10
IoT 8,62,t_gen=3
IoT 9,14,t_gen=5
IoT 10,53,t_gen=12

49,0.019739999999999997,80,32.9,1.0,2761.321385794932,0,38.940913438797
Individual AoIs for Seed,49
IoT 1,1,t_gen=20
IoT 2,13,t_gen=19
IoT 3,30,t_gen=0
IoT 4,17,t_gen=13
IoT 5,21,t_gen=11
IoT 6,50,t_gen=19
IoT 7,80,t_gen=17
IoT 8,30,t_gen=2
IoT 9,52,t_gen=17
IoT 10,35,t_gen=7

110,0.02124,71,35.4,1.0,2154.552303444294,0,37.83489012718201
Individual AoIs for Seed,110
IoT 1,47,t_gen=1
IoT 2,46,t_gen=2
IoT 3,32,t_gen=16
IoT 4,71,t_gen=7
IoT 5,14,t_gen=16
IoT 6,31,t_gen=17
IoT 7,19,t_gen=4
IoT 8,41,t_gen=7
IoT 9,28,t_gen=2
IoT 10,25,t_gen=5

Final Averages
avg_fitness,0.027474
avg_peak_aoi,85.2
avg_avg_aoi,45.79
avg_coverage,1.0
avg_total_dist,2459.057413586478
avg_unserved,0.0
avg_runtime,33.82410881519318
