Scenario Information
Number of IoT Nodes,80
Number of UAVs,4
Number of Ground BS,4

Seed,Fitness,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,0.02886,212,96.2,1.0,8323.93205046251,0,239.36133003234863
Individual AoIs for Seed,42
IoT 1,88,t_gen=6
IoT 2,77,t_gen=17
IoT 3,77,t_gen=17
IoT 4,127,t_gen=8
IoT 5,129,t_gen=5
IoT 6,117,t_gen=4
IoT 7,132,t_gen=3
IoT 8,83,t_gen=11
IoT 9,80,t_gen=14
IoT 10,82,t_gen=12
IoT 11,101,t_gen=20
IoT 12,76,t_gen=18
IoT 13,19,t_gen=7
IoT 14,28,t_gen=7
IoT 15,134,t_gen=14
IoT 16,110,t_gen=11
IoT 17,101,t_gen=20
IoT 18,28,t_gen=17
IoT 19,109,t_gen=12
IoT 20,77,t_gen=17
IoT 21,44,t_gen=1
IoT 22,84,t_gen=10
IoT 23,209,t_gen=18
IoT 24,128,t_gen=20
IoT 25,115,t_gen=20
IoT 26,162,t_gen=7
IoT 27,126,t_gen=18
IoT 28,110,t_gen=11
IoT 29,119,t_gen=16
IoT 30,132,t_gen=3
IoT 31,81,t_gen=13
IoT 32,116,t_gen=19
IoT 33,193,t_gen=17
IoT 34,162,t_gen=3
IoT 35,131,t_gen=8
IoT 36,42,t_gen=9
IoT 37,127,t_gen=8
IoT 38,184,t_gen=16
IoT 39,139,t_gen=9
IoT 40,142,t_gen=6
IoT 41,118,t_gen=17
IoT 42,35,t_gen=0
IoT 43,118,t_gen=3
IoT 44,26,t_gen=9
IoT 45,8,t_gen=18
IoT 46,212,t_gen=15
IoT 47,18,t_gen=17
IoT 48,138,t_gen=15
IoT 49,4,t_gen=16
IoT 50,142,t_gen=6
IoT 51,204,t_gen=6
IoT 52,101,t_gen=20
IoT 53,121,t_gen=14
IoT 54,16,t_gen=10
IoT 55,27,t_gen=18
IoT 56,207,t_gen=20
IoT 57,25,t_gen=1
IoT 58,19,t_gen=7
IoT 59,77,t_gen=17
IoT 60,117,t_gen=18
IoT 61,79,t_gen=15
IoT 62,35,t_gen=3
IoT 63,108,t_gen=13
IoT 64,115,t_gen=20
IoT 65,8,t_gen=12
IoT 66,32,t_gen=3
IoT 67,107,t_gen=14
IoT 68,12,t_gen=14
IoT 69,121,t_gen=14
IoT 70,197,t_gen=3
IoT 71,45,t_gen=0
IoT 72,28,t_gen=7
IoT 73,39,t_gen=6
IoT 74,143,t_gen=5
IoT 75,86,t_gen=8
IoT 76,139,t_gen=9
IoT 77,77,t_gen=17
IoT 78,129,t_gen=6
IoT 79,117,t_gen=18
IoT 80,25,t_gen=10

50,0.030258749999999997,223,100.8625,1.0,7970.5370713669545,0,227.33564257621765
Individual AoIs for Seed,50
IoT 1,64,t_gen=4
IoT 2,57,t_gen=11
IoT 3,58,t_gen=10
IoT 4,37,t_gen=13
IoT 5,48,t_gen=2
IoT 6,30,t_gen=20
IoT 7,117,t_gen=10
IoT 8,136,t_gen=3
IoT 9,188,t_gen=18
IoT 10,135,t_gen=6
IoT 11,49,t_gen=19
IoT 12,47,t_gen=3
IoT 13,124,t_gen=17
IoT 14,34,t_gen=17
IoT 15,123,t_gen=18
IoT 16,116,t_gen=11
IoT 17,130,t_gen=11
IoT 18,222,t_gen=13
IoT 19,37,t_gen=20
IoT 20,43,t_gen=7
IoT 21,135,t_gen=4
IoT 22,129,t_gen=10
IoT 23,137,t_gen=2
IoT 24,133,t_gen=8
IoT 25,150,t_gen=13
IoT 26,68,t_gen=2
IoT 27,67,t_gen=0
IoT 28,121,t_gen=18
IoT 29,218,t_gen=11
IoT 30,57,t_gen=15
IoT 31,62,t_gen=6
IoT 32,125,t_gen=2
IoT 33,64,t_gen=4
IoT 34,128,t_gen=11
IoT 35,222,t_gen=7
IoT 36,63,t_gen=9
IoT 37,112,t_gen=15
IoT 38,147,t_gen=4
IoT 39,142,t_gen=19
IoT 40,223,t_gen=12
IoT 41,53,t_gen=15
IoT 42,129,t_gen=10
IoT 43,198,t_gen=8
IoT 44,57,t_gen=3
IoT 45,59,t_gen=9
IoT 46,144,t_gen=8
IoT 47,132,t_gen=7
IoT 48,120,t_gen=7
IoT 49,43,t_gen=7
IoT 50,74,t_gen=17
IoT 51,60,t_gen=8
IoT 52,197,t_gen=9
IoT 53,63,t_gen=5
IoT 54,35,t_gen=15
IoT 55,138,t_gen=1
IoT 56,65,t_gen=5
IoT 57,123,t_gen=16
IoT 58,146,t_gen=15
IoT 59,50,t_gen=20
IoT 60,53,t_gen=17
IoT 61,126,t_gen=1
IoT 62,137,t_gen=2
IoT 63,54,t_gen=14
IoT 64,133,t_gen=6
IoT 65,120,t_gen=19
IoT 66,59,t_gen=11
IoT 67,138,t_gen=1
IoT 68,126,t_gen=13
IoT 69,46,t_gen=14
IoT 70,122,t_gen=17
IoT 71,124,t_gen=3
IoT 72,56,t_gen=4
IoT 73,51,t_gen=9
IoT 74,53,t_gen=17
IoT 75,137,t_gen=4
IoT 76,62,t_gen=6
IoT 77,135,t_gen=11
IoT 78,62,t_gen=15
IoT 79,48,t_gen=2
IoT 80,43,t_gen=17

55,0.027960000000000002,225,93.2,1.0,7744.952069148563,0,239.24637484550476
Individual AoIs for Seed,55
IoT 1,193,t_gen=15
IoT 2,54,t_gen=12
IoT 3,101,t_gen=17
IoT 4,77,t_gen=8
IoT 5,41,t_gen=0
IoT 6,117,t_gen=1
IoT 7,65,t_gen=20
IoT 8,79,t_gen=6
IoT 9,66,t_gen=0
IoT 10,3,t_gen=9
IoT 11,41,t_gen=7
IoT 12,111,t_gen=7
IoT 13,79,t_gen=6
IoT 14,72,t_gen=13
IoT 15,164,t_gen=3
IoT 16,96,t_gen=2
IoT 17,100,t_gen=8
IoT 18,83,t_gen=2
IoT 19,103,t_gen=15
IoT 20,131,t_gen=17
IoT 21,58,t_gen=12
IoT 22,61,t_gen=5
IoT 23,213,t_gen=7
IoT 24,6,t_gen=11
IoT 25,215,t_gen=11
IoT 26,225,t_gen=1
IoT 27,83,t_gen=15
IoT 28,109,t_gen=16
IoT 29,92,t_gen=6
IoT 30,113,t_gen=5
IoT 31,156,t_gen=11
IoT 32,118,t_gen=0
IoT 33,217,t_gen=3
IoT 34,70,t_gen=15
IoT 35,52,t_gen=3
IoT 36,66,t_gen=6
IoT 37,200,t_gen=20
IoT 38,9,t_gen=15
IoT 39,105,t_gen=13
IoT 40,123,t_gen=2
IoT 41,138,t_gen=12
IoT 42,15,t_gen=2
IoT 43,27,t_gen=13
IoT 44,209,t_gen=17
IoT 45,15,t_gen=8
IoT 46,122,t_gen=1
IoT 47,191,t_gen=17
IoT 48,118,t_gen=7
IoT 49,165,t_gen=2
IoT 50,41,t_gen=0
IoT 51,59,t_gen=7
IoT 52,67,t_gen=18
IoT 53,3,t_gen=17
IoT 54,98,t_gen=20
IoT 55,29,t_gen=12
IoT 56,120,t_gen=3
IoT 57,148,t_gen=19
IoT 58,176,t_gen=9
IoT 59,98,t_gen=20
IoT 60,71,t_gen=14
IoT 61,73,t_gen=12
IoT 62,26,t_gen=15
IoT 63,52,t_gen=13
IoT 64,83,t_gen=2
IoT 65,100,t_gen=18
IoT 66,32,t_gen=9
IoT 67,0,t_gen=19
IoT 68,118,t_gen=5
IoT 69,114,t_gen=11
IoT 70,110,t_gen=8
IoT 71,19,t_gen=10
IoT 72,84,t_gen=1
IoT 73,157,t_gen=10
IoT 74,58,t_gen=8
IoT 75,70,t_gen=15
IoT 76,178,t_gen=7
IoT 77,49,t_gen=4
IoT 78,62,t_gen=16
IoT 79,72,t_gen=13
IoT 80,22,t_gen=8

60,0.02938875,298,97.9625,1.0,8340.074525732345,0,193.3542082309723
Individual AoIs for Seed,60
IoT 1,23,t_gen=5
IoT 2,66,t_gen=20
IoT 3,298,t_gen=5
IoT 4,112,t_gen=4
IoT 5,92,t_gen=18
IoT 6,77,t_gen=9
IoT 7,19,t_gen=7
IoT 8,78,t_gen=8
IoT 9,181,t_gen=8
IoT 10,58,t_gen=6
IoT 11,130,t_gen=16
IoT 12,63,t_gen=12
IoT 13,113,t_gen=3
IoT 14,84,t_gen=2
IoT 15,76,t_gen=10
IoT 16,181,t_gen=12
IoT 17,141,t_gen=5
IoT 18,89,t_gen=14
IoT 19,85,t_gen=18
IoT 20,295,t_gen=8
IoT 21,57,t_gen=7
IoT 22,51,t_gen=13
IoT 23,86,t_gen=0
IoT 24,102,t_gen=1
IoT 25,66,t_gen=6
IoT 26,51,t_gen=13
IoT 27,57,t_gen=7
IoT 28,54,t_gen=10
IoT 29,4,t_gen=7
IoT 30,101,t_gen=15
IoT 31,57,t_gen=7
IoT 32,69,t_gen=17
IoT 33,94,t_gen=16
IoT 34,106,t_gen=1
IoT 35,80,t_gen=6
IoT 36,140,t_gen=6
IoT 37,99,t_gen=4
IoT 38,72,t_gen=14
IoT 39,96,t_gen=7
IoT 40,65,t_gen=7
IoT 41,13,t_gen=20
IoT 42,179,t_gen=17
IoT 43,46,t_gen=18
IoT 44,94,t_gen=14
