Scenario Information
Number of IoT Nodes,40
Number of UAVs,3
Number of Ground BS,4

Seed,Fitness,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,0.050159999999999996,169,83.6,1.0,5089.41014582891,0,142.42049288749695
Individual AoIs for Seed,42
IoT 1,41,t_gen=6
IoT 2,43,t_gen=17
IoT 3,43,t_gen=17
IoT 4,51,t_gen=8
IoT 5,7,t_gen=5
IoT 6,55,t_gen=4
IoT 7,57,t_gen=3
IoT 8,96,t_gen=11
IoT 9,162,t_gen=14
IoT 10,169,t_gen=12
IoT 11,87,t_gen=20
IoT 12,158,t_gen=18
IoT 13,40,t_gen=7
IoT 14,150,t_gen=7
IoT 15,64,t_gen=14
IoT 16,48,t_gen=11
IoT 17,40,t_gen=20
IoT 18,159,t_gen=17
IoT 19,6,t_gen=12
IoT 20,164,t_gen=17
IoT 21,106,t_gen=1
IoT 22,37,t_gen=10
IoT 23,89,t_gen=18
IoT 24,41,t_gen=20
IoT 25,156,t_gen=20
IoT 26,52,t_gen=7
IoT 27,83,t_gen=18
IoT 28,49,t_gen=11
IoT 29,160,t_gen=16
IoT 30,57,t_gen=3
IoT 31,94,t_gen=13
IoT 32,40,t_gen=19
IoT 33,140,t_gen=17
IoT 34,44,t_gen=3
IoT 35,52,t_gen=8
IoT 36,69,t_gen=9
IoT 37,51,t_gen=8
IoT 38,141,t_gen=16
IoT 39,148,t_gen=9
IoT 40,95,t_gen=6

50,0.045255,232,75.425,1.0,5237.025245622099,0,124.04942107200623
Individual AoIs for Seed,50
IoT 1,151,t_gen=4
IoT 2,102,t_gen=11
IoT 3,62,t_gen=10
IoT 4,132,t_gen=13
IoT 5,119,t_gen=2
IoT 6,68,t_gen=20
IoT 7,38,t_gen=10
IoT 8,47,t_gen=3
IoT 9,32,t_gen=18
IoT 10,66,t_gen=6
IoT 11,94,t_gen=19
IoT 12,142,t_gen=3
IoT 13,104,t_gen=17
IoT 14,71,t_gen=17
IoT 15,137,t_gen=18
IoT 16,37,t_gen=11
IoT 17,37,t_gen=11
IoT 18,37,t_gen=13
IoT 19,73,t_gen=20
IoT 20,232,t_gen=7
IoT 21,63,t_gen=4
IoT 22,40,t_gen=10
IoT 23,65,t_gen=2
IoT 24,80,t_gen=8
IoT 25,35,t_gen=13
IoT 26,153,t_gen=2
IoT 27,67,t_gen=0
IoT 28,32,t_gen=18
IoT 29,12,t_gen=11
IoT 30,73,t_gen=15
IoT 31,17,t_gen=6
IoT 32,46,t_gen=2
IoT 33,19,t_gen=4
IoT 34,39,t_gen=11
IoT 35,60,t_gen=7
IoT 36,79,t_gen=9
IoT 37,140,t_gen=15
IoT 38,67,t_gen=4
IoT 39,94,t_gen=19
IoT 40,55,t_gen=12

55,0.041984999999999995,214,69.975,1.0,5759.591773098728,0,122.82777333259583
Individual AoIs for Seed,55
IoT 1,113,t_gen=15
IoT 2,79,t_gen=12
IoT 3,102,t_gen=17
IoT 4,44,t_gen=8
IoT 5,43,t_gen=0
IoT 6,60,t_gen=1
IoT 7,23,t_gen=20
IoT 8,46,t_gen=6
IoT 9,43,t_gen=0
IoT 10,3,t_gen=9
IoT 11,90,t_gen=7
IoT 12,54,t_gen=7
IoT 13,37,t_gen=6
IoT 14,30,t_gen=13
IoT 15,49,t_gen=3
IoT 16,126,t_gen=2
IoT 17,13,t_gen=8
IoT 18,100,t_gen=2
IoT 19,46,t_gen=15
IoT 20,57,t_gen=17
IoT 21,84,t_gen=12
IoT 22,69,t_gen=5
IoT 23,45,t_gen=7
IoT 24,122,t_gen=11
