Scenario Information
Number of IoT Nodes,50
Number of UAVs,3
Number of Ground BS,3

Seed,Fitness,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,0.027426,256,91.42,1.0,5696.452697949753,0,170.6330783367157
Individual AoIs for Seed,42
IoT 1,22,t_gen=13
IoT 2,256,t_gen=7
IoT 3,58,t_gen=6
IoT 4,90,t_gen=13
IoT 5,187,t_gen=0
IoT 6,159,t_gen=13
IoT 7,35,t_gen=10
IoT 8,165,t_gen=11
IoT 9,98,t_gen=1
IoT 10,70,t_gen=12
IoT 11,15,t_gen=20
IoT 12,158,t_gen=18
IoT 13,28,t_gen=7
IoT 14,169,t_gen=7
IoT 15,89,t_gen=14
IoT 16,65,t_gen=11
IoT 17,56,t_gen=20
IoT 18,170,t_gen=17
IoT 19,29,t_gen=12
IoT 20,59,t_gen=17
IoT 21,34,t_gen=1
IoT 22,25,t_gen=10
IoT 23,46,t_gen=18
IoT 24,83,t_gen=20
IoT 25,56,t_gen=20
IoT 26,69,t_gen=7
IoT 27,85,t_gen=18
IoT 28,65,t_gen=11
IoT 29,60,t_gen=16
IoT 30,73,t_gen=3
IoT 31,22,t_gen=13
IoT 32,57,t_gen=19
IoT 33,155,t_gen=17
IoT 34,32,t_gen=3
IoT 35,99,t_gen=8
IoT 36,67,t_gen=9
IoT 37,68,t_gen=8
IoT 38,156,t_gen=16
IoT 39,163,t_gen=9
IoT 40,93,t_gen=6
IoT 41,159,t_gen=17
IoT 42,172,t_gen=0
IoT 43,73,t_gen=3
IoT 44,163,t_gen=9
IoT 45,66,t_gen=18
IoT 46,20,t_gen=15
IoT 47,159,t_gen=17
IoT 48,20,t_gen=15
IoT 49,156,t_gen=16
IoT 50,97,t_gen=6

50,0.02502,189,83.4,1.0,5078.853897495799,0,170.54986453056335
Individual AoIs for Seed,50
IoT 1,67,t_gen=17
IoT 2,35,t_gen=3
IoT 3,74,t_gen=6
IoT 4,128,t_gen=19
IoT 5,78,t_gen=2
IoT 6,61,t_gen=19
IoT 7,60,t_gen=20
IoT 8,92,t_gen=10
IoT 9,81,t_gen=3
IoT 10,129,t_gen=18
IoT 11,32,t_gen=6
IoT 12,33,t_gen=19
IoT 13,77,t_gen=3
IoT 14,63,t_gen=17
IoT 15,64,t_gen=17
IoT 16,84,t_gen=18
IoT 17,138,t_gen=11
IoT 18,138,t_gen=11
IoT 19,71,t_gen=13
IoT 20,67,t_gen=20
IoT 21,73,t_gen=7
IoT 22,80,t_gen=4
IoT 23,74,t_gen=10
IoT 24,145,t_gen=2
IoT 25,134,t_gen=8
IoT 26,82,t_gen=13
IoT 27,100,t_gen=2
IoT 28,84,t_gen=0
IoT 29,66,t_gen=18
IoT 30,73,t_gen=11
IoT 31,127,t_gen=15
IoT 32,32,t_gen=6
IoT 33,78,t_gen=2
IoT 34,34,t_gen=4
IoT 35,189,t_gen=11
IoT 36,77,t_gen=7
IoT 37,133,t_gen=9
IoT 38,87,t_gen=15
IoT 39,143,t_gen=4
IoT 40,19,t_gen=19
IoT 41,72,t_gen=12
IoT 42,23,t_gen=15
IoT 43,74,t_gen=10
IoT 44,72,t_gen=8
IoT 45,77,t_gen=3
IoT 46,93,t_gen=9
IoT 47,134,t_gen=8
IoT 48,77,t_gen=7
IoT 49,73,t_gen=7
IoT 50,73,t_gen=7

55,0.02583,200,86.1,1.0,5424.185624447744,0,139.54204273223877
Individual AoIs for Seed,55
IoT 1,46,t_gen=15
IoT 2,188,t_gen=12
IoT 3,87,t_gen=17
IoT 4,92,t_gen=8
IoT 5,100,t_gen=0
IoT 6,53,t_gen=1
IoT 7,80,t_gen=20
IoT 8,194,t_gen=6
IoT 9,100,t_gen=0
IoT 10,3,t_gen=9
IoT 11,60,t_gen=7
IoT 12,47,t_gen=7
IoT 13,94,t_gen=6
IoT 14,48,t_gen=13
IoT 15,137,t_gen=3
IoT 16,59,t_gen=2
IoT 17,83,t_gen=8
IoT 18,59,t_gen=2
IoT 19,39,t_gen=15
IoT 20,44,t_gen=17
IoT 21,88,t_gen=12
IoT 22,56,t_gen=5
IoT 23,93,t_gen=7
IoT 24,49,t_gen=11
IoT 25,200,t_gen=11
IoT 26,121,t_gen=1
IoT 27,94,t_gen=15
IoT 28,64,t_gen=16
IoT 29,55,t_gen=6
IoT 30,49,t_gen=5
IoT 31,111,t_gen=11
IoT 32,61,t_gen=0
IoT 33,97,t_gen=3
IoT 34,85,t_gen=15
IoT 35,97,t_gen=3
IoT 36,94,t_gen=6
IoT 37,180,t_gen=20
IoT 38,76,t_gen=15
IoT 39,41,t_gen=13
IoT 40,98,t_gen=2
IoT 41,49,t_gen=12
IoT 42,120,t_gen=2
IoT 43,112,t_gen=13
IoT 44,83,t_gen=17
IoT 45,48,t_gen=8
IoT 46,53,t_gen=1
IoT 47,105,t_gen=17
IoT 48,93,t_gen=7
IoT 49,120,t_gen=2
IoT 50,100,t_gen=0

60,0.024954,198,83.18,1.0,5302.205485652528,0,141.53645038604736
Individual AoIs for Seed,60
IoT 1,105,t_gen=2
IoT 2,95,t_gen=12
IoT 3,51,t_gen=0
IoT 4,122,t_gen=4
IoT 5,113,t_gen=4
IoT 6,48,t_gen=18
IoT 7,42,t_gen=9
IoT 8,44,t_gen=7
IoT 9,71,t_gen=8
IoT 10,20,t_gen=8
IoT 11,73,t_gen=6
IoT 12,134,t_gen=16
IoT 13,39,t_gen=12
IoT 14,48,t_gen=3
IoT 15,115,t_gen=2
IoT 16,41,t_gen=10
IoT 17,138,t_gen=12
IoT 18,102,t_gen=5
IoT 19,14,t_gen=14
IoT 20,194,t_gen=18
IoT 21,198,t_gen=8
IoT 22,72,t_gen=7
IoT 23,66,t_gen=13
IoT 24,117,t_gen=0
IoT 25,78,t_gen=1
IoT 26,94,t_gen=6
IoT 27,66,t_gen=13
IoT 28,72,t_gen=7
IoT 29,69,t_gen=10
IoT 30,100,t_gen=7
IoT 31,36,t_gen=15
IoT 32,72,t_gen=7
IoT 33,62,t_gen=17
IoT 34,84,t_gen=16
IoT 35,151,t_gen=1
IoT 36,45,t_gen=6
IoT 37,94,t_gen=6
IoT 38,75,t_gen=4
IoT 39,65,t_gen=14
IoT 40,72,t_gen=7
IoT 41,100,t_gen=7
IoT 42,80,t_gen=20
IoT 43,13,t_gen=17
IoT 44,61,t_gen=18
IoT 45,114,t_gen=14
IoT 46,102,t_gen=5
IoT 47,99,t_gen=1
IoT 48,111,t_gen=4
IoT 49,147,t_gen=3
IoT 50,35,t_gen=16

65,0.025337999999999996,221,84.46,1.0,6088.463228132104,0,131.65498399734497
Individual AoIs for Seed,65
IoT 1,108,t_gen=7
IoT 2,53,t_gen=8
IoT 3,60,t_gen=1
IoT 4,99,t_gen=4
IoT 5,100,t_gen=4
IoT 6,83,t_gen=20
IoT 7,41,t_gen=20
IoT 8,114,t_gen=1
IoT 9,94,t_gen=10
IoT 10,45,t_gen=8
IoT 11,210,t_gen=2
IoT 12,61,t_gen=0
IoT 13,194,t_gen=18
IoT 14,26,t_gen=4
IoT 15,105,t_gen=10
IoT 16,42,t_gen=11
IoT 17,95,t_gen=20
IoT 18,26,t_gen=2
IoT 19,110,t_gen=5
IoT 20,26,t_gen=2
IoT 21,43,t_gen=18
IoT 22,87,t_gen=17
IoT 23,84,t_gen=20
IoT 24,126,t_gen=5
IoT 25,182,t_gen=15
IoT 26,100,t_gen=16
IoT 27,100,t_gen=4
IoT 28,16,t_gen=17
IoT 29,221,t_gen=16
IoT 30,114,t_gen=1
IoT 31,22,t_gen=6
IoT 32,52,t_gen=9
IoT 33,57,t_gen=4
IoT 34,88,t_gen=16
IoT 35,84,t_gen=19
IoT 36,106,t_gen=8
IoT 37,34,t_gen=19
IoT 38,98,t_gen=8
IoT 39,43,t_gen=10
IoT 40,48,t_gen=5
IoT 41,36,t_gen=17
IoT 42,45,t_gen=8
IoT 43,97,t_gen=18
IoT 44,29,t_gen=13
IoT 45,42,t_gen=11
IoT 46,96,t_gen=8
IoT 47,88,t_gen=15
IoT 48,197,t_gen=15
IoT 49,100,t_gen=15
IoT 50,96,t_gen=8

85,0.025325999999999998,187,84.42,1.0,5047.827665569166,0,117.99498915672302
Individual AoIs for Seed,85
IoT 1,174,t_gen=18
IoT 2,102,t_gen=17
IoT 3,98,t_gen=19
IoT 4,85,t_gen=3
IoT 5,134,t_gen=13
IoT 6,73,t_gen=15
IoT 7,81,t_gen=7
IoT 8,46,t_gen=3
IoT 9,97,t_gen=12
IoT 10,92,t_gen=17
IoT 11,8,t_gen=14
IoT 12,187,t_gen=5
IoT 13,38,t_gen=5
IoT 14,71,t_gen=17
IoT 15,161,t_gen=7
IoT 16,83,t_gen=5
IoT 17,74,t_gen=14
IoT 18,35,t_gen=8
IoT 19,15,t_gen=20
IoT 20,71,t_gen=17
IoT 21,84,t_gen=4
IoT 22,6,t_gen=9
IoT 23,101,t_gen=8
IoT 24,145,t_gen=2
IoT 25,164,t_gen=4
IoT 26,69,t_gen=19
IoT 27,96,t_gen=13
IoT 28,149,t_gen=19
IoT 29,96,t_gen=13
