Scenario Information
Number of IoT Nodes,60
Number of UAVs,2
Number of Ground BS,4

Seed,Fitness,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,0.037075,272,123.58333333333333,1.0,5610.259912834437,0,220.26542448997498
Individual AoIs for Seed,42
IoT 1,68,t_gen=6
IoT 2,258,t_gen=17
IoT 3,157,t_gen=17
IoT 4,177,t_gen=8
IoT 5,15,t_gen=5
IoT 6,59,t_gen=4
IoT 7,272,t_gen=3
IoT 8,24,t_gen=11
IoT 9,126,t_gen=14
IoT 10,162,t_gen=12
IoT 11,15,t_gen=20
IoT 12,156,t_gen=18
IoT 13,67,t_gen=7
IoT 14,133,t_gen=7
IoT 15,126,t_gen=14
IoT 16,52,t_gen=11
IoT 17,165,t_gen=20
IoT 18,157,t_gen=17
IoT 19,14,t_gen=12
IoT 20,157,t_gen=17
IoT 21,184,t_gen=1
IoT 22,64,t_gen=10
IoT 23,56,t_gen=18
IoT 24,178,t_gen=20
IoT 25,154,t_gen=20
IoT 26,67,t_gen=7
IoT 27,45,t_gen=18
IoT 28,174,t_gen=11
IoT 29,158,t_gen=16
IoT 30,182,t_gen=3
IoT 31,22,t_gen=13
IoT 32,44,t_gen=19
IoT 33,123,t_gen=17
IoT 34,7,t_gen=3
IoT 35,166,t_gen=8
IoT 36,189,t_gen=9
IoT 37,177,t_gen=8
IoT 38,124,t_gen=16
IoT 39,131,t_gen=9
IoT 40,134,t_gen=6
IoT 41,258,t_gen=17
IoT 42,140,t_gen=0
IoT 43,60,t_gen=3
IoT 44,131,t_gen=9
IoT 45,17,t_gen=18
IoT 46,213,t_gen=15
IoT 47,123,t_gen=17
IoT 48,7,t_gen=15
IoT 49,259,t_gen=16
IoT 50,222,t_gen=6
IoT 51,134,t_gen=6
IoT 52,43,t_gen=20
IoT 53,160,t_gen=14
IoT 54,25,t_gen=10
IoT 55,257,t_gen=18
IoT 56,54,t_gen=20
IoT 57,34,t_gen=1
IoT 58,226,t_gen=7
IoT 59,157,t_gen=17
IoT 60,156,t_gen=18

50,0.035315,299,117.71666666666667,1.0,5456.804072393297,0,173.45315027236938
Individual AoIs for Seed,50
IoT 1,48,t_gen=4
IoT 2,31,t_gen=11
IoT 3,32,t_gen=10
IoT 4,277,t_gen=13
IoT 5,146,t_gen=2
IoT 6,118,t_gen=20
IoT 7,42,t_gen=10
IoT 8,99,t_gen=3
IoT 9,31,t_gen=18
IoT 10,48,t_gen=6
IoT 11,33,t_gen=19
IoT 12,287,t_gen=3
IoT 13,225,t_gen=17
IoT 14,85,t_gen=17
IoT 15,34,t_gen=18
IoT 16,231,t_gen=11
IoT 17,41,t_gen=11
IoT 18,89,t_gen=13
IoT 19,87,t_gen=20
IoT 20,191,t_gen=7
IoT 21,98,t_gen=4
IoT 22,119,t_gen=10
IoT 23,100,t_gen=2
IoT 24,130,t_gen=8
IoT 25,185,t_gen=13
IoT 26,171,t_gen=2
IoT 27,65,t_gen=0
IoT 28,111,t_gen=18
IoT 29,118,t_gen=11
IoT 30,123,t_gen=15
IoT 31,36,t_gen=6
IoT 32,299,t_gen=2
IoT 33,38,t_gen=4
IoT 34,91,t_gen=11
IoT 35,122,t_gen=7
IoT 36,233,t_gen=9
IoT 37,37,t_gen=15
