Scenario Information
Number of IoT Nodes,20
Number of UAVs,2
Number of Ground BS,4

Seed,Fitness,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,0.4717628165833245,142,114.45,1.0,3290.773370789326,0,36.65182852745056
Individual AoIs for Seed,42
IoT 1,65,t_gen=6
IoT 2,123,t_gen=17
IoT 3,123,t_gen=17
IoT 4,63,t_gen=8
IoT 5,7,t_gen=5
IoT 6,136,t_gen=4
IoT 7,137,t_gen=3
IoT 8,129,t_gen=11
IoT 9,142,t_gen=14
IoT 10,128,t_gen=12
IoT 11,120,t_gen=20
IoT 12,138,t_gen=18
IoT 13,64,t_gen=7
IoT 14,133,t_gen=7
IoT 15,126,t_gen=14
IoT 16,129,t_gen=11
IoT 17,136,t_gen=20
IoT 18,123,t_gen=17
IoT 19,128,t_gen=12
IoT 20,139,t_gen=17

50,0.39463990810717686,133,73.2,1.0,2702.843660846692,0,22.138166666030884
Individual AoIs for Seed,50
IoT 1,55,t_gen=4
IoT 2,17,t_gen=11
IoT 3,18,t_gen=10
IoT 4,100,t_gen=13
IoT 5,111,t_gen=2
IoT 6,133,t_gen=20
IoT 7,49,t_gen=10
IoT 8,102,t_gen=3
IoT 9,41,t_gen=18
IoT 10,22,t_gen=6
IoT 11,40,t_gen=19
IoT 12,110,t_gen=3
IoT 13,96,t_gen=17
IoT 14,88,t_gen=17
IoT 15,41,t_gen=18
IoT 16,102,t_gen=11
IoT 17,48,t_gen=11
IoT 18,92,t_gen=13
IoT 19,93,t_gen=20
IoT 20,106,t_gen=7

55,0.3782757217823447,124,77.45,1.0,2588.0917373646917,0,22.359915018081665
Individual AoIs for Seed,55
IoT 1,106,t_gen=15
IoT 2,30,t_gen=12
IoT 3,104,t_gen=17
IoT 4,34,t_gen=8
IoT 5,124,t_gen=0
IoT 6,120,t_gen=1
IoT 7,31,t_gen=20
IoT 8,36,t_gen=6
IoT 9,49,t_gen=0
IoT 10,120,t_gen=9
IoT 11,44,t_gen=7
IoT 12,114,t_gen=7
IoT 13,118,t_gen=6
IoT 14,38,t_gen=13
IoT 15,121,t_gen=3
IoT 16,61,t_gen=2
IoT 17,113,t_gen=8
IoT 18,55,t_gen=2
IoT 19,106,t_gen=15
IoT 20,25,t_gen=17

60,0.42171051966433415,138,84.15,1.0,2907.9132761150504,0,21.683597326278687
Individual AoIs for Seed,60
IoT 1,46,t_gen=5
IoT 2,71,t_gen=20
IoT 3,46,t_gen=5
IoT 4,87,t_gen=4
IoT 5,73,t_gen=18
IoT 6,82,t_gen=9
IoT 7,110,t_gen=7
IoT 8,83,t_gen=8
IoT 9,83,t_gen=8
IoT 10,45,t_gen=6
IoT 11,138,t_gen=16
IoT 12,105,t_gen=12
IoT 13,88,t_gen=3
IoT 14,89,t_gen=2
IoT 15,107,t_gen=10
IoT 16,126,t_gen=12
IoT 17,112,t_gen=5
IoT 18,116,t_gen=14
IoT 19,33,t_gen=18
IoT 20,43,t_gen=8

65,0.3984535241173636,125,80.45,1.0,2831.0225477041718,0,21.954669713974
Individual AoIs for Seed,65
IoT 1,65,t_gen=17
IoT 2,18,t_gen=15
IoT 3,79,t_gen=3
IoT 4,121,t_gen=4
IoT 5,121,t_gen=4
IoT 6,62,t_gen=20
IoT 7,105,t_gen=20
IoT 8,124,t_gen=1
IoT 9,115,t_gen=10
IoT 10,25,t_gen=8
IoT 11,123,t_gen=2
IoT 12,125,t_gen=0
IoT 13,107,t_gen=18
IoT 14,19,t_gen=4
IoT 15,115,t_gen=10
IoT 16,22,t_gen=11
IoT 17,105,t_gen=20
IoT 18,19,t_gen=2
IoT 19,120,t_gen=5
IoT 20,19,t_gen=2

85,0.4036407686684138,122,95.0,1.0,2831.832107908843,0,21.36763596534729
Individual AoIs for Seed,85
IoT 1,104,t_gen=17
IoT 2,103,t_gen=18
IoT 3,108,t_gen=13
IoT 4,116,t_gen=2
IoT 5,69,t_gen=14
IoT 6,114,t_gen=7
IoT 7,70,t_gen=13
IoT 8,78,t_gen=5
IoT 9,102,t_gen=16
IoT 10,114,t_gen=7
IoT 11,111,t_gen=10
IoT 12,120,t_gen=1
IoT 13,86,t_gen=5
IoT 14,78,t_gen=5
IoT 15,78,t_gen=5
IoT 16,69,t_gen=14
IoT 17,113,t_gen=8
IoT 18,122,t_gen=20
IoT 19,66,t_gen=17
IoT 20,79,t_gen=4

90,0.39705022090457653,138,70.75,1.0,2672.8667569476306,0,21.930433988571167
Individual AoIs for Seed,90
IoT 1,66,t_gen=8
IoT 2,70,t_gen=4
IoT 3,42,t_gen=12
IoT 4,50,t_gen=4
IoT 5,76,t_gen=1
IoT 6,58,t_gen=16
IoT 7,51,t_gen=3
IoT 8,54,t_gen=0
IoT 9,49,t_gen=5
IoT 10,126,t_gen=17
IoT 11,54,t_gen=2
IoT 12,49,t_gen=10
IoT 13,48,t_gen=19
IoT 14,64,t_gen=10
IoT 15,74,t_gen=18
IoT 16,91,t_gen=1
IoT 17,59,t_gen=15
IoT 18,138,t_gen=5
IoT 19,137,t_gen=6
IoT 20,59,t_gen=15

105,0.31569550189774276,96,74.1,1.0,2206.6752299548066,0,21.113781452178955
Individual AoIs for Seed,105
IoT 1,48,t_gen=4
IoT 2,44,t_gen=5
IoT 3,89,t_gen=14
IoT 4,96,t_gen=7
IoT 5,84,t_gen=9
IoT 6,77,t_gen=16
IoT 7,83,t_gen=10
IoT 8,90,t_gen=3
IoT 9,45,t_gen=5
IoT 10,81,t_gen=12
IoT 11,75,t_gen=18
IoT 12,84,t_gen=19
IoT 13,87,t_gen=16
IoT 14,80,t_gen=13
IoT 15,31,t_gen=18
IoT 16,34,t_gen=15
IoT 17,92,t_gen=11
IoT 18,93,t_gen=0
