Scenario Information
Number of IoT Nodes,40
Number of UAVs,3
Number of Ground BS,4

Seed,Fitness,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,0.7505438288948032,170,96.25,1.0,4816.3269311422055,0,145.9262728691101
Individual AoIs for Seed,42
IoT 1,39,t_gen=6
IoT 2,139,t_gen=17
IoT 3,139,t_gen=17
IoT 4,82,t_gen=8
IoT 5,15,t_gen=5
IoT 6,47,t_gen=4
IoT 7,153,t_gen=3
IoT 8,138,t_gen=11
IoT 9,142,t_gen=14
IoT 10,78,t_gen=12
IoT 11,129,t_gen=20
IoT 12,138,t_gen=18
IoT 13,38,t_gen=7
IoT 14,83,t_gen=7
IoT 15,168,t_gen=14
IoT 16,40,t_gen=11
IoT 17,136,t_gen=20
IoT 18,139,t_gen=17
IoT 19,170,t_gen=12
IoT 20,73,t_gen=17
IoT 21,89,t_gen=1
IoT 22,35,t_gen=10
IoT 23,27,t_gen=18
IoT 24,139,t_gen=20
IoT 25,136,t_gen=20
IoT 26,38,t_gen=7
IoT 27,138,t_gen=18
IoT 28,79,t_gen=11
IoT 29,140,t_gen=16
IoT 30,153,t_gen=3
IoT 31,32,t_gen=13
IoT 32,32,t_gen=19
IoT 33,92,t_gen=17
IoT 34,7,t_gen=3
IoT 35,43,t_gen=8
IoT 36,140,t_gen=9
IoT 37,148,t_gen=8
IoT 38,93,t_gen=16
IoT 39,100,t_gen=9
IoT 40,103,t_gen=6

50,0.7466011872767464,177,95.1,1.0,4405.583275447821,0,144.58662843704224
Individual AoIs for Seed,50
IoT 1,75,t_gen=4
IoT 2,68,t_gen=11
IoT 3,69,t_gen=10
IoT 4,155,t_gen=13
IoT 5,88,t_gen=2
IoT 6,158,t_gen=20
IoT 7,168,t_gen=10
IoT 8,87,t_gen=3
IoT 9,24,t_gen=18
IoT 10,52,t_gen=6
IoT 11,60,t_gen=19
IoT 12,165,t_gen=3
IoT 13,161,t_gen=17
IoT 14,101,t_gen=17
IoT 15,61,t_gen=18
IoT 16,167,t_gen=11
IoT 17,68,t_gen=11
IoT 18,77,t_gen=13
IoT 19,95,t_gen=20
IoT 20,171,t_gen=7
IoT 21,86,t_gen=4
IoT 22,80,t_gen=10
IoT 23,88,t_gen=2
IoT 24,107,t_gen=8
IoT 25,177,t_gen=13
IoT 26,176,t_gen=2
IoT 27,79,t_gen=0
IoT 28,24,t_gen=18
IoT 29,11,t_gen=11
IoT 30,100,t_gen=15
IoT 31,16,t_gen=6
IoT 32,77,t_gen=2
IoT 33,18,t_gen=4
IoT 34,79,t_gen=11
IoT 35,83,t_gen=7
IoT 36,106,t_gen=9
IoT 37,163,t_gen=15
IoT 38,174,t_gen=4
IoT 39,60,t_gen=19
IoT 40,30,t_gen=12

55,0.6290570134035238,138,73.5,1.0,4447.496877028516,0,134.37547540664673
Individual AoIs for Seed,55
IoT 1,125,t_gen=15
IoT 2,64,t_gen=12
IoT 3,16,t_gen=17
IoT 4,43,t_gen=8
IoT 5,138,t_gen=0
IoT 6,127,t_gen=1
IoT 7,118,t_gen=20
IoT 8,91,t_gen=6
IoT 9,51,t_gen=0
IoT 10,3,t_gen=9
IoT 11,70,t_gen=7
IoT 12,70,t_gen=7
IoT 13,19,t_gen=6
IoT 14,12,t_gen=13
IoT 15,137,t_gen=3
IoT 16,95,t_gen=2
IoT 17,13,t_gen=8
IoT 18,23,t_gen=2
IoT 19,62,t_gen=15
IoT 20,59,t_gen=17
IoT 21,44,t_gen=12
IoT 22,92,t_gen=5
IoT 23,44,t_gen=7
IoT 24,117,t_gen=11
IoT 25,86,t_gen=11
IoT 26,76,t_gen=1
IoT 27,82,t_gen=15
IoT 28,70,t_gen=16
IoT 29,71,t_gen=6
IoT 30,123,t_gen=5
IoT 31,86,t_gen=11
IoT 32,77,t_gen=0
IoT 33,48,t_gen=3
IoT 34,82,t_gen=15
IoT 35,77,t_gen=3
IoT 36,132,t_gen=6
IoT 37,31,t_gen=20
IoT 38,3,t_gen=15
IoT 39,127,t_gen=13
IoT 40,136,t_gen=2

60,0.7026406764939386,154,97.775,1.0,4575.914463696046,0,136.61080145835876
Individual AoIs for Seed,60
IoT 1,144,t_gen=5
IoT 2,58,t_gen=20
IoT 3,56,t_gen=5
IoT 4,154,t_gen=4
IoT 5,60,t_gen=18
IoT 6,146,t_gen=9
IoT 7,71,t_gen=7
IoT 8,70,t_gen=8
IoT 9,70,t_gen=8
IoT 10,143,t_gen=6
IoT 11,142,t_gen=16
IoT 12,59,t_gen=12
IoT 13,152,t_gen=3
IoT 14,153,t_gen=2
IoT 15,68,t_gen=10
IoT 16,66,t_gen=12
IoT 17,150,t_gen=5
IoT 18,47,t_gen=14
IoT 19,131,t_gen=18
IoT 20,141,t_gen=8
IoT 21,54,t_gen=7
IoT 22,65,t_gen=13
IoT 23,78,t_gen=0
IoT 24,60,t_gen=1
IoT 25,149,t_gen=6
IoT 26,48,t_gen=13
IoT 27,54,t_gen=7
IoT 28,139,t_gen=10
IoT 29,148,t_gen=7
IoT 30,63,t_gen=15
IoT 31,54,t_gen=7
IoT 32,61,t_gen=17
IoT 33,139,t_gen=16
IoT 34,154,t_gen=1
IoT 35,72,t_gen=6
IoT 36,152,t_gen=6
IoT 37,57,t_gen=4
IoT 38,64,t_gen=14
IoT 39,71,t_gen=7
IoT 40,148,t_gen=7

65,0.7268896390209407,161,85.075,1.0,5057.220041523967,0,137.3359889984131
Individual AoIs for Seed,65
IoT 1,146,t_gen=17
IoT 2,158,t_gen=15
IoT 3,160,t_gen=3
IoT 4,76,t_gen=4
IoT 5,134,t_gen=4
IoT 6,75,t_gen=20
IoT 7,160,t_gen=20
IoT 8,79,t_gen=1
IoT 9,128,t_gen=10
IoT 10,63,t_gen=8
IoT 11,51,t_gen=2
IoT 12,80,t_gen=0
IoT 13,62,t_gen=18
IoT 14,21,t_gen=4
IoT 15,72,t_gen=10
IoT 16,69,t_gen=11
IoT 17,60,t_gen=20
IoT 18,149,t_gen=2
IoT 19,48,t_gen=5
IoT 20,23,t_gen=2
IoT 21,62,t_gen=18
IoT 22,65,t_gen=17
IoT 23,145,t_gen=20
IoT 24,43,t_gen=5
IoT 25,123,t_gen=15
IoT 26,89,t_gen=16
IoT 27,161,t_gen=4
IoT 28,121,t_gen=17
IoT 29,64,t_gen=16
IoT 30,81,t_gen=1
IoT 31,19,t_gen=6
IoT 32,71,t_gen=9
IoT 33,76,t_gen=4
IoT 34,37,t_gen=16
IoT 35,146,t_gen=19
IoT 36,27,t_gen=8
IoT 37,61,t_gen=19
IoT 38,80,t_gen=8
IoT 39,70,t_gen=10
IoT 40,48,t_gen=5

