Scenario Information
Number of IoT Nodes,50
Number of UAVs,3
Number of Ground BS,4

Seed,Fitness,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,0.8922845406454465,202,119.24,1.0,5608.697604379795,0,92.35240292549133
Individual AoIs for Seed,42
IoT 1,194,t_gen=6
IoT 2,183,t_gen=17
IoT 3,73,t_gen=17
IoT 4,192,t_gen=8
IoT 5,147,t_gen=5
IoT 6,196,t_gen=4
IoT 7,202,t_gen=3
IoT 8,17,t_gen=11
IoT 9,191,t_gen=14
IoT 10,86,t_gen=12
IoT 11,180,t_gen=20
IoT 12,80,t_gen=18
IoT 13,193,t_gen=7
IoT 14,198,t_gen=7
IoT 15,124,t_gen=14
IoT 16,68,t_gen=11
IoT 17,70,t_gen=20
IoT 18,188,t_gen=17
IoT 19,26,t_gen=12
IoT 20,81,t_gen=17
IoT 21,27,t_gen=1
IoT 22,190,t_gen=10
IoT 23,182,t_gen=18
IoT 24,78,t_gen=20
IoT 25,185,t_gen=20
IoT 26,72,t_gen=7
IoT 27,78,t_gen=18
IoT 28,79,t_gen=11
IoT 29,189,t_gen=16
IoT 30,87,t_gen=3
IoT 31,192,t_gen=13
IoT 32,60,t_gen=19
IoT 33,121,t_gen=17
IoT 34,29,t_gen=3
IoT 35,82,t_gen=8
IoT 36,43,t_gen=9
IoT 37,82,t_gen=8
IoT 38,82,t_gen=16
IoT 39,196,t_gen=9
IoT 40,92,t_gen=6
IoT 41,188,t_gen=17
IoT 42,98,t_gen=0
IoT 43,197,t_gen=3
IoT 44,89,t_gen=9
IoT 45,69,t_gen=18
IoT 46,6,t_gen=15
IoT 47,81,t_gen=17
IoT 48,185,t_gen=15
IoT 49,122,t_gen=16
IoT 50,92,t_gen=6

50,0.8354483242641986,191,106.6,1.0,5284.809824185679,0,91.38271832466125
Individual AoIs for Seed,50
IoT 1,53,t_gen=4
IoT 2,69,t_gen=11
IoT 3,106,t_gen=10
IoT 4,180,t_gen=13
IoT 5,151,t_gen=2
IoT 6,177,t_gen=20
IoT 7,47,t_gen=10
IoT 8,171,t_gen=3
IoT 9,92,t_gen=18
IoT 10,61,t_gen=6
IoT 11,97,t_gen=19
IoT 12,190,t_gen=3
IoT 13,99,t_gen=17
IoT 14,107,t_gen=17
IoT 15,98,t_gen=18
IoT 16,46,t_gen=11
IoT 17,46,t_gen=11
IoT 18,67,t_gen=13
IoT 19,119,t_gen=20
IoT 20,186,t_gen=7
IoT 21,135,t_gen=4
IoT 22,164,t_gen=10
IoT 23,78,t_gen=2
IoT 24,185,t_gen=8
IoT 25,44,t_gen=13
IoT 26,55,t_gen=2
IoT 27,64,t_gen=0
IoT 28,62,t_gen=18
IoT 29,8,t_gen=11
IoT 30,178,t_gen=15
IoT 31,74,t_gen=6
IoT 32,191,t_gen=2
IoT 33,106,t_gen=4
IoT 34,69,t_gen=11
IoT 35,73,t_gen=7
IoT 36,184,t_gen=9
IoT 37,42,t_gen=15
IoT 38,76,t_gen=4
IoT 39,61,t_gen=19
IoT 40,127,t_gen=12
IoT 41,95,t_gen=15
IoT 42,164,t_gen=10
IoT 43,108,t_gen=8
IoT 44,113,t_gen=3
IoT 45,107,t_gen=9
IoT 46,108,t_gen=8
IoT 47,132,t_gen=7
IoT 48,186,t_gen=7
IoT 49,116,t_gen=7
IoT 50,63,t_gen=17

55,0.9206232999312105,208,101.82,1.0,6347.824145366223,0,99.32605743408203
