Scenario Information
Number of IoT Nodes,80
Number of UAVs,3
Number of Ground BS,4

Seed,Fitness,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,0.7112855093148103,263,148.475,1.0,6503.978977552546,0,335.478155374527
Individual AoIs for Seed,42
IoT 1,243,t_gen=6
IoT 2,199,t_gen=17
IoT 3,205,t_gen=17
IoT 4,208,t_gen=8
IoT 5,257,t_gen=5
IoT 6,121,t_gen=4
IoT 7,219,t_gen=3
IoT 8,205,t_gen=11
IoT 9,208,t_gen=14
IoT 10,110,t_gen=12
IoT 11,202,t_gen=20
IoT 12,107,t_gen=18
IoT 13,215,t_gen=7
IoT 14,118,t_gen=7
IoT 15,65,t_gen=14
IoT 16,68,t_gen=11
IoT 17,102,t_gen=20
IoT 18,205,t_gen=17
IoT 19,19,t_gen=12
IoT 20,108,t_gen=17
IoT 21,18,t_gen=1
IoT 22,212,t_gen=10
IoT 23,231,t_gen=18
IoT 24,26,t_gen=20
IoT 25,102,t_gen=20
IoT 26,85,t_gen=7
IoT 27,116,t_gen=18
IoT 28,111,t_gen=11
IoT 29,206,t_gen=16
IoT 30,219,t_gen=3
IoT 31,203,t_gen=13
IoT 32,60,t_gen=19
IoT 33,105,t_gen=17
IoT 34,21,t_gen=3
IoT 35,121,t_gen=8
IoT 36,116,t_gen=9
IoT 37,114,t_gen=8
IoT 38,109,t_gen=16
IoT 39,113,t_gen=9
IoT 40,119,t_gen=6
IoT 41,205,t_gen=17
IoT 42,125,t_gen=0
IoT 43,143,t_gen=3
IoT 44,116,t_gen=9
IoT 45,82,t_gen=18
IoT 46,261,t_gen=15
IoT 47,108,t_gen=17
IoT 48,12,t_gen=15
IoT 49,106,t_gen=16
IoT 50,119,t_gen=6
IoT 51,119,t_gen=6
IoT 52,105,t_gen=20
IoT 53,111,t_gen=14
IoT 54,206,t_gen=10
IoT 55,204,t_gen=18
IoT 56,202,t_gen=20
IoT 57,215,t_gen=1
IoT 58,260,t_gen=7
IoT 59,199,t_gen=17
IoT 60,107,t_gen=18
IoT 61,64,t_gen=15
IoT 62,31,t_gen=3
IoT 63,112,t_gen=13
IoT 64,202,t_gen=20
IoT 65,12,t_gen=12
IoT 66,219,t_gen=3
IoT 67,202,t_gen=14
IoT 68,208,t_gen=14
IoT 69,208,t_gen=14
IoT 70,263,t_gen=3
IoT 71,125,t_gen=0
IoT 72,259,t_gen=7
IoT 73,216,t_gen=6
IoT 74,117,t_gen=5
IoT 75,117,t_gen=8
IoT 76,257,t_gen=9
IoT 77,108,t_gen=17
IoT 78,119,t_gen=6
IoT 79,204,t_gen=18
IoT 80,239,t_gen=10

50,0.6782342519617846,230,137.0,1.0,6788.95169322426,0,207.67812132835388
Individual AoIs for Seed,50
IoT 1,84,t_gen=4
IoT 2,139,t_gen=11
IoT 3,207,t_gen=10
IoT 4,116,t_gen=13
IoT 5,230,t_gen=2
IoT 6,207,t_gen=20
IoT 7,78,t_gen=10
IoT 8,41,t_gen=3
IoT 9,163,t_gen=18
IoT 10,212,t_gen=6
IoT 11,128,t_gen=19
IoT 12,144,t_gen=3
IoT 13,112,t_gen=17
IoT 14,30,t_gen=17
IoT 15,129,t_gen=18
IoT 16,136,t_gen=11
IoT 17,77,t_gen=11
IoT 18,214,t_gen=13
IoT 19,127,t_gen=20
IoT 20,140,t_gen=7
IoT 21,177,t_gen=4
IoT 22,34,t_gen=10
IoT 23,179,t_gen=2
IoT 24,139,t_gen=8
IoT 25,116,t_gen=13
IoT 26,86,t_gen=2
IoT 27,88,t_gen=0
IoT 28,163,t_gen=18
IoT 29,139,t_gen=11
IoT 30,132,t_gen=15
IoT 31,141,t_gen=6
IoT 32,145,t_gen=2
IoT 33,146,t_gen=4
IoT 34,216,t_gen=11
IoT 35,220,t_gen=7
IoT 36,218,t_gen=9
IoT 37,132,t_gen=15
