Scenario Information
Number of IoT Nodes,20
Number of UAVs,4
Number of Ground BS,4

Seed,Fitness,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,0.3222900116495846,104,89.7,1.0,4063.6015796228617,0,32.20759105682373
Individual AoIs for Seed,42
IoT 1,98,t_gen=6
IoT 2,87,t_gen=17
IoT 3,87,t_gen=17
IoT 4,25,t_gen=8
IoT 5,99,t_gen=5
IoT 6,103,t_gen=4
IoT 7,104,t_gen=3
IoT 8,93,t_gen=11
IoT 9,93,t_gen=14
IoT 10,93,t_gen=12
IoT 11,84,t_gen=20
IoT 12,87,t_gen=18
IoT 13,97,t_gen=7
IoT 14,100,t_gen=7
IoT 15,93,t_gen=14
IoT 16,94,t_gen=11
IoT 17,85,t_gen=20
IoT 18,90,t_gen=17
IoT 19,95,t_gen=12
IoT 20,87,t_gen=17

50,0.3081874149798728,105,78.3,1.0,3824.2431999588653,0,36.339502573013306
Individual AoIs for Seed,50
IoT 1,104,t_gen=4
IoT 2,75,t_gen=11
IoT 3,98,t_gen=10
IoT 4,95,t_gen=13
IoT 5,54,t_gen=2
IoT 6,88,t_gen=20
IoT 7,76,t_gen=10
IoT 8,55,t_gen=3
IoT 9,90,t_gen=18
IoT 10,52,t_gen=6
IoT 11,67,t_gen=19
IoT 12,105,t_gen=3
IoT 13,91,t_gen=17
IoT 14,72,t_gen=17
IoT 15,90,t_gen=18
IoT 16,97,t_gen=11
IoT 17,45,t_gen=11
IoT 18,45,t_gen=13
IoT 19,66,t_gen=20
IoT 20,101,t_gen=7

55,0.30630822264430185,104,63.05,1.0,4063.8338216246566,0,24.316537857055664
Individual AoIs for Seed,55
IoT 1,104,t_gen=15
IoT 2,42,t_gen=12
IoT 3,24,t_gen=17
IoT 4,92,t_gen=8
IoT 5,100,t_gen=0
IoT 6,75,t_gen=1
IoT 7,80,t_gen=20
IoT 8,94,t_gen=6
IoT 9,26,t_gen=0
IoT 10,3,t_gen=9
IoT 11,47,t_gen=7
IoT 12,69,t_gen=7
IoT 13,20,t_gen=6
IoT 14,87,t_gen=13
IoT 15,97,t_gen=3
IoT 16,74,t_gen=2
IoT 17,33,t_gen=8
IoT 18,74,t_gen=2
IoT 19,61,t_gen=15
IoT 20,59,t_gen=17

