Scenario Information
Number of IoT Nodes,50
Number of UAVs,3
Number of Ground BS,2

Seed,Fitness,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,0.624338270353831,224,138.84,1.0,5774.960959156975,0,81.88225364685059
Individual AoIs for Seed,42
IoT 1,92,t_gen=17
IoT 2,186,t_gen=0
IoT 3,167,t_gen=19
IoT 4,166,t_gen=20
IoT 5,125,t_gen=14
IoT 6,139,t_gen=0
IoT 7,126,t_gen=13
IoT 8,12,t_gen=10
IoT 9,128,t_gen=11
IoT 10,212,t_gen=1
IoT 11,127,t_gen=12
IoT 12,119,t_gen=20
IoT 13,195,t_gen=18
IoT 14,15,t_gen=7
IoT 15,102,t_gen=7
IoT 16,199,t_gen=14
IoT 17,202,t_gen=11
IoT 18,193,t_gen=20
IoT 19,196,t_gen=17
IoT 20,174,t_gen=12
IoT 21,92,t_gen=17
IoT 22,118,t_gen=1
IoT 23,12,t_gen=10
IoT 24,24,t_gen=18
IoT 25,193,t_gen=20
IoT 26,89,t_gen=20
IoT 27,102,t_gen=7
IoT 28,121,t_gen=18
IoT 29,128,t_gen=11
IoT 30,93,t_gen=16
IoT 31,136,t_gen=3
IoT 32,173,t_gen=13
IoT 33,90,t_gen=19
IoT 34,196,t_gen=17
IoT 35,224,t_gen=3
IoT 36,205,t_gen=8
IoT 37,130,t_gen=9
IoT 38,101,t_gen=8
IoT 39,197,t_gen=16
IoT 40,100,t_gen=9
IoT 41,133,t_gen=6
IoT 42,196,t_gen=17
IoT 43,213,t_gen=0
IoT 44,210,t_gen=3
IoT 45,100,t_gen=9
IoT 46,24,t_gen=18
IoT 47,198,t_gen=15
IoT 48,92,t_gen=17
IoT 49,180,t_gen=15
IoT 50,197,t_gen=16

50,0.5841660936268913,205,175.86,1.0,4935.2537654178,0,86.40026426315308
Individual AoIs for Seed,50
IoT 1,192,t_gen=2
IoT 2,177,t_gen=17
IoT 3,191,t_gen=3
IoT 4,188,t_gen=6
IoT 5,163,t_gen=19
IoT 6,192,t_gen=2
IoT 7,163,t_gen=19
IoT 8,174,t_gen=20
IoT 9,172,t_gen=10
IoT 10,191,t_gen=3
IoT 11,164,t_gen=18
IoT 12,193,t_gen=6
IoT 13,175,t_gen=19
IoT 14,179,t_gen=3
IoT 15,177,t_gen=17
IoT 16,165,t_gen=17
IoT 17,176,t_gen=18
IoT 18,183,t_gen=11
IoT 19,183,t_gen=11
IoT 20,181,t_gen=13
IoT 21,174,t_gen=20
IoT 22,187,t_gen=7
IoT 23,178,t_gen=4
IoT 24,184,t_gen=10
IoT 25,192,t_gen=2
IoT 26,46,t_gen=8
IoT 27,205,t_gen=13
IoT 28,192,t_gen=2
IoT 29,54,t_gen=0
