Scenario Information
Number of IoT Nodes,50
Number of UAVs,3
Number of Ground BS,3

Seed,Fitness,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,0.6291304417436147,228,130.86,1.0,5876.363707305472,0,73.5581796169281
Individual AoIs for Seed,42
IoT 1,33,t_gen=13
IoT 2,228,t_gen=7
IoT 3,23,t_gen=6
IoT 4,47,t_gen=13
IoT 5,70,t_gen=0
IoT 6,57,t_gen=13
IoT 7,225,t_gen=10
IoT 8,224,t_gen=11
IoT 9,189,t_gen=1
IoT 10,38,t_gen=12
IoT 11,215,t_gen=20
IoT 12,172,t_gen=18
IoT 13,228,t_gen=7
IoT 14,183,t_gen=7
IoT 15,32,t_gen=14
IoT 16,59,t_gen=11
IoT 17,50,t_gen=20
IoT 18,146,t_gen=17
IoT 19,218,t_gen=12
IoT 20,146,t_gen=17
IoT 21,189,t_gen=1
IoT 22,19,t_gen=10
IoT 23,178,t_gen=18
IoT 24,26,t_gen=20
IoT 25,143,t_gen=20
IoT 26,189,t_gen=7
IoT 27,28,t_gen=18
IoT 28,59,t_gen=11
IoT 29,147,t_gen=16
IoT 30,187,t_gen=3
IoT 31,183,t_gen=13
IoT 32,211,t_gen=19
IoT 33,173,t_gen=17
IoT 34,187,t_gen=3
IoT 35,46,t_gen=8
IoT 36,221,t_gen=9
IoT 37,62,t_gen=8
IoT 38,147,t_gen=16
IoT 39,181,t_gen=9
IoT 40,40,t_gen=6
IoT 41,146,t_gen=17
IoT 42,163,t_gen=0
IoT 43,67,t_gen=3
IoT 44,181,t_gen=9
IoT 45,145,t_gen=18
IoT 46,175,t_gen=15
IoT 47,173,t_gen=17
IoT 48,224,t_gen=15
IoT 49,30,t_gen=16
IoT 50,40,t_gen=6

50,0.5735232090849238,202,127.38,1.0,5402.901284390255,0,65.7996678352356
Individual AoIs for Seed,50
IoT 1,81,t_gen=17
IoT 2,179,t_gen=3
IoT 3,199,t_gen=6
IoT 4,163,t_gen=19
IoT 5,84,t_gen=2
IoT 6,186,t_gen=19
IoT 7,66,t_gen=20
IoT 8,195,t_gen=10
IoT 9,179,t_gen=3
IoT 10,164,t_gen=18
IoT 11,179,t_gen=6
IoT 12,41,t_gen=19
IoT 13,202,t_gen=3
IoT 14,69,t_gen=17
IoT 15,71,t_gen=17
IoT 16,187,t_gen=18
IoT 17,75,t_gen=11
IoT 18,194,t_gen=11
IoT 19,85,t_gen=13
IoT 20,40,t_gen=20
IoT 21,198,t_gen=7
IoT 22,94,t_gen=4
IoT 23,88,t_gen=10
IoT 24,96,t_gen=2
IoT 25,78,t_gen=8
IoT 26,185,t_gen=13
IoT 27,84,t_gen=2
IoT 28,182,t_gen=0
IoT 29,80,t_gen=18
IoT 30,171,t_gen=11
IoT 31,71,t_gen=15
IoT 32,176,t_gen=6
IoT 33,84,t_gen=2
IoT 34,94,t_gen=4
IoT 35,171,t_gen=11
IoT 36,175,t_gen=7
IoT 37,77,t_gen=9
IoT 38,190,t_gen=15
IoT 39,94,t_gen=4
IoT 40,79,t_gen=19
IoT 41,86,t_gen=12
IoT 42,83,t_gen=15
IoT 43,172,t_gen=10
IoT 44,197,t_gen=8
IoT 45,83,t_gen=3
IoT 46,196,t_gen=9
IoT 47,78,t_gen=8
IoT 48,91,t_gen=7
IoT 49,79,t_gen=7
IoT 50,198,t_gen=7

55,0.5727219532138832,224,120.7,1.0,4910.89802926403,0,83.1283004283905
Individual AoIs for Seed,55
IoT 1,88,t_gen=15
IoT 2,91,t_gen=12
IoT 3,224,t_gen=17
IoT 4,214,t_gen=8
IoT 5,103,t_gen=0
IoT 6,98,t_gen=1
IoT 7,79,t_gen=20
IoT 8,216,t_gen=6
IoT 9,99,t_gen=0
IoT 10,3,t_gen=9
IoT 11,96,t_gen=7
IoT 12,92,t_gen=7
IoT 13,97,t_gen=6
IoT 14,86,t_gen=13
IoT 15,158,t_gen=3
IoT 16,97,t_gen=2
IoT 17,106,t_gen=8
IoT 18,101,t_gen=2
IoT 19,137,t_gen=15
IoT 20,82,t_gen=17
IoT 21,87,t_gen=12
IoT 22,98,t_gen=5
IoT 23,96,t_gen=7
IoT 24,88,t_gen=11
IoT 25,211,t_gen=11
IoT 26,57,t_gen=1
IoT 27,19,t_gen=15
IoT 28,83,t_gen=16
IoT 29,93,t_gen=6
IoT 30,147,t_gen=5
IoT 31,141,t_gen=11
IoT 32,99,t_gen=0
IoT 33,100,t_gen=3
IoT 34,88,t_gen=15
IoT 35,21,t_gen=3
IoT 36,93,t_gen=6
IoT 37,202,t_gen=20
IoT 38,99,t_gen=15
IoT 39,86,t_gen=13
