Scenario Information
Number of IoT Nodes,50
Number of UAVs,3
Number of Ground BS,1

Seed,Fitness,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,0.6102206420014158,207,173.04,1.0,5472.935252476775,0,77.88044762611389
Individual AoIs for Seed,42
IoT 1,205,t_gen=3
IoT 2,205,t_gen=2
IoT 3,205,t_gen=2
IoT 4,105,t_gen=0
IoT 5,190,t_gen=17
IoT 6,199,t_gen=8
IoT 7,15,t_gen=5
IoT 8,204,t_gen=4
IoT 9,102,t_gen=3
IoT 10,197,t_gen=11
IoT 11,194,t_gen=14
IoT 12,196,t_gen=12
IoT 13,187,t_gen=20
IoT 14,189,t_gen=18
IoT 15,200,t_gen=7
IoT 16,200,t_gen=7
IoT 17,193,t_gen=14
IoT 18,197,t_gen=11
IoT 19,187,t_gen=20
IoT 20,190,t_gen=17
IoT 21,8,t_gen=12
IoT 22,88,t_gen=17
IoT 23,207,t_gen=1
IoT 24,198,t_gen=10
IoT 25,190,t_gen=18
IoT 26,188,t_gen=20
IoT 27,187,t_gen=20
IoT 28,200,t_gen=7
IoT 29,189,t_gen=18
IoT 30,196,t_gen=11
IoT 31,89,t_gen=16
IoT 32,204,t_gen=3
IoT 33,194,t_gen=13
IoT 34,188,t_gen=19
IoT 35,190,t_gen=17
IoT 36,17,t_gen=3
IoT 37,199,t_gen=8
IoT 38,96,t_gen=9
IoT 39,199,t_gen=8
IoT 40,191,t_gen=16
IoT 41,199,t_gen=9
IoT 42,201,t_gen=6
IoT 43,190,t_gen=17
IoT 44,207,t_gen=0
IoT 45,204,t_gen=3
IoT 46,198,t_gen=9
IoT 47,190,t_gen=18
IoT 48,90,t_gen=15
IoT 49,190,t_gen=17
IoT 50,205,t_gen=15

50,0.5815213017940007,206,158.88,1.0,5069.813530701031,0,66.31902194023132
Individual AoIs for Seed,50
IoT 1,58,t_gen=15
IoT 2,183,t_gen=17
IoT 3,106,t_gen=2
IoT 4,197,t_gen=3
IoT 5,194,t_gen=6
IoT 6,54,t_gen=19
IoT 7,198,t_gen=2
IoT 8,181,t_gen=19
IoT 9,180,t_gen=20
IoT 10,98,t_gen=10
IoT 11,197,t_gen=3
IoT 12,182,t_gen=18
IoT 13,194,t_gen=6
IoT 14,181,t_gen=19
IoT 15,197,t_gen=3
IoT 16,184,t_gen=17
IoT 17,183,t_gen=17
IoT 18,182,t_gen=18
IoT 19,189,t_gen=11
IoT 20,189,t_gen=11
IoT 21,187,t_gen=13
IoT 22,53,t_gen=20
IoT 23,193,t_gen=7
IoT 24,104,t_gen=4
IoT 25,190,t_gen=10
IoT 26,198,t_gen=2
IoT 27,192,t_gen=8
IoT 28,206,t_gen=13
IoT 29,199,t_gen=2
IoT 30,108,t_gen=0
IoT 31,182,t_gen=18
IoT 32,97,t_gen=11
IoT 33,185,t_gen=15
IoT 34,102,t_gen=6
IoT 35,106,t_gen=2
IoT 36,196,t_gen=4
IoT 37,189,t_gen=11
IoT 38,193,t_gen=7
IoT 39,191,t_gen=9
IoT 40,93,t_gen=15
IoT 41,203,t_gen=4
IoT 42,89,t_gen=19
IoT 43,96,t_gen=12
IoT 44,93,t_gen=15
IoT 45,190,t_gen=10
IoT 46,192,t_gen=8
IoT 47,198,t_gen=3
IoT 48,99,t_gen=9
IoT 49,192,t_gen=8
IoT 50,101,t_gen=7

55,0.5849613526242314,216,182.9,1.0,4582.504899650534,0,66.01009750366211
Individual AoIs for Seed,55
IoT 1,213,t_gen=2
IoT 2,204,t_gen=11
IoT 3,118,t_gen=15
IoT 4,203,t_gen=12
IoT 5,216,t_gen=17
IoT 6,207,t_gen=8
IoT 7,215,t_gen=0
IoT 8,132,t_gen=1
IoT 9,195,t_gen=20
IoT 10,209,t_gen=6
IoT 11,215,t_gen=0
IoT 12,124,t_gen=9
IoT 13,208,t_gen=7
IoT 14,208,t_gen=7
IoT 15,209,t_gen=6
IoT 16,202,t_gen=13
IoT 17,212,t_gen=3
IoT 18,213,t_gen=2
IoT 19,212,t_gen=8
IoT 20,213,t_gen=2
IoT 21,118,t_gen=15
IoT 22,198,t_gen=17
IoT 23,203,t_gen=12
IoT 24,210,t_gen=5
IoT 25,208,t_gen=7
IoT 26,122,t_gen=11
IoT 27,204,t_gen=11
IoT 28,132,t_gen=1
IoT 29,200,t_gen=15
IoT 30,199,t_gen=16
IoT 31,209,t_gen=6
IoT 32,210,t_gen=5
IoT 33,204,t_gen=11
IoT 34,215,t_gen=0
IoT 35,212,t_gen=3
IoT 36,118,t_gen=15
IoT 37,25,t_gen=3
IoT 38,209,t_gen=6
IoT 39,195,t_gen=20
IoT 40,0,t_gen=15
IoT 41,202,t_gen=13
IoT 42,213,t_gen=2
IoT 43,203,t_gen=12
IoT 44,131,t_gen=2
IoT 45,134,t_gen=13
IoT 46,198,t_gen=17
IoT 47,207,t_gen=8
IoT 48,214,t_gen=1
IoT 49,116,t_gen=17
IoT 50,208,t_gen=7

60,0.586888385238677,185,165.1,1.0,5639.071615024154,0,56.15734004974365
Individual AoIs for Seed,60
IoT 1,134,t_gen=14
IoT 2,185,t_gen=1
IoT 3,181,t_gen=5
IoT 4,166,t_gen=20
IoT 5,143,t_gen=5
IoT 6,182,t_gen=4
IoT 7,168,t_gen=18
IoT 8,177,t_gen=9
IoT 9,141,t_gen=7
IoT 10,178,t_gen=8
IoT 11,140,t_gen=8
IoT 12,180,t_gen=6
IoT 13,170,t_gen=16
IoT 14,136,t_gen=12
