Scenario Information
Number of IoT Nodes,40
Number of UAVs,3
Number of Ground BS,4

Seed,Fitness,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,0.7914513778641936,174,110.725,1.0,5111.986992823473,0,56.34167814254761
Individual AoIs for Seed,42
IoT 1,51,t_gen=6
IoT 2,169,t_gen=17
IoT 3,169,t_gen=17
IoT 4,102,t_gen=8
IoT 5,52,t_gen=5
IoT 6,106,t_gen=4
IoT 7,174,t_gen=3
IoT 8,46,t_gen=11
IoT 9,163,t_gen=14
IoT 10,48,t_gen=12
IoT 11,166,t_gen=20
IoT 12,42,t_gen=18
IoT 13,170,t_gen=7
IoT 14,170,t_gen=7
IoT 15,164,t_gen=14
IoT 16,31,t_gen=11
IoT 17,158,t_gen=20
IoT 18,169,t_gen=17
IoT 19,4,t_gen=12
IoT 20,160,t_gen=17
IoT 21,109,t_gen=1
IoT 22,167,t_gen=10
IoT 23,39,t_gen=18
IoT 24,166,t_gen=20
IoT 25,40,t_gen=20
IoT 26,35,t_gen=7
IoT 27,47,t_gen=18
IoT 28,167,t_gen=11
IoT 29,44,t_gen=16
IoT 30,174,t_gen=3
IoT 31,44,t_gen=13
IoT 32,91,t_gen=19
IoT 33,161,t_gen=17
IoT 34,7,t_gen=3
IoT 35,52,t_gen=8
IoT 36,101,t_gen=9
IoT 37,170,t_gen=8
IoT 38,161,t_gen=16
IoT 39,168,t_gen=9
IoT 40,172,t_gen=6

50,0.7739472986902727,176,100.6,1.0,4896.586445605935,0,50.71786451339722
Individual AoIs for Seed,50
IoT 1,47,t_gen=4
IoT 2,40,t_gen=11
IoT 3,164,t_gen=10
IoT 4,166,t_gen=13
IoT 5,127,t_gen=2
IoT 6,159,t_gen=20
IoT 7,41,t_gen=10
IoT 8,126,t_gen=3
IoT 9,52,t_gen=18
IoT 10,18,t_gen=6
IoT 11,155,t_gen=19
IoT 12,176,t_gen=3
IoT 13,157,t_gen=17
IoT 14,65,t_gen=17
IoT 15,156,t_gen=18
IoT 16,163,t_gen=11
IoT 17,68,t_gen=11
IoT 18,37,t_gen=13
IoT 19,59,t_gen=20
IoT 20,167,t_gen=7
IoT 21,125,t_gen=4
IoT 22,40,t_gen=10
IoT 23,127,t_gen=2
IoT 24,166,t_gen=8
IoT 25,161,t_gen=13
IoT 26,172,t_gen=2
IoT 27,55,t_gen=0
IoT 28,32,t_gen=18
IoT 29,39,t_gen=11
IoT 30,64,t_gen=15
IoT 31,168,t_gen=6
IoT 32,49,t_gen=2
IoT 33,170,t_gen=4
IoT 34,39,t_gen=11
IoT 35,43,t_gen=7
IoT 36,70,t_gen=9
IoT 37,36,t_gen=15
IoT 38,47,t_gen=4
IoT 39,155,t_gen=19
IoT 40,123,t_gen=12

55,0.6048479153272194,125,77.25,1.0,4500.33688627399,0,50.342609882354736
Individual AoIs for Seed,55
IoT 1,91,t_gen=15
IoT 2,31,t_gen=12
IoT 3,89,t_gen=17
IoT 4,35,t_gen=8
IoT 5,38,t_gen=0
IoT 6,121,t_gen=1
IoT 7,108,t_gen=20
IoT 8,37,t_gen=6
IoT 9,61,t_gen=0
IoT 10,3,t_gen=9
IoT 11,114,t_gen=7
IoT 12,115,t_gen=7
IoT 13,51,t_gen=6
IoT 14,115,t_gen=13
IoT 15,119,t_gen=3
IoT 16,120,t_gen=2
IoT 17,98,t_gen=8
IoT 18,36,t_gen=2
IoT 19,91,t_gen=15
IoT 20,26,t_gen=17
IoT 21,46,t_gen=12
IoT 22,117,t_gen=5
IoT 23,121,t_gen=7
IoT 24,117,t_gen=11
IoT 25,117,t_gen=11
IoT 26,105,t_gen=1
IoT 27,20,t_gen=15
IoT 28,32,t_gen=16
IoT 29,116,t_gen=6
IoT 30,101,t_gen=5
IoT 31,95,t_gen=11
IoT 32,122,t_gen=0
IoT 33,125,t_gen=3
IoT 34,28,t_gen=15
IoT 35,22,t_gen=3
IoT 36,51,t_gen=6
IoT 37,108,t_gen=20
IoT 38,3,t_gen=15
IoT 39,109,t_gen=13
IoT 40,36,t_gen=2

60,0.6988343297740436,149,113.625,1.0,4346.252968262612,0,49.69114661216736
Individual AoIs for Seed,60
IoT 1,132,t_gen=5
IoT 2,55,t_gen=20
IoT 3,132,t_gen=5
IoT 4,146,t_gen=4
IoT 5,44,t_gen=18
IoT 6,128,t_gen=9
IoT 7,143,t_gen=7
IoT 8,129,t_gen=8
IoT 9,129,t_gen=8
IoT 10,69,t_gen=6
IoT 11,134,t_gen=16
IoT 12,138,t_gen=12
IoT 13,147,t_gen=3
IoT 14,148,t_gen=2
IoT 15,127,t_gen=10
IoT 16,71,t_gen=12
IoT 17,145,t_gen=5
IoT 18,61,t_gen=14
IoT 19,119,t_gen=18
IoT 20,129,t_gen=8
IoT 21,130,t_gen=7
IoT 22,49,t_gen=13
IoT 23,137,t_gen=0
IoT 24,74,t_gen=1
IoT 25,144,t_gen=6
IoT 26,62,t_gen=13
IoT 27,130,t_gen=7
IoT 28,127,t_gen=10
IoT 29,106,t_gen=7
IoT 30,122,t_gen=15
IoT 31,68,t_gen=7
IoT 32,120,t_gen=17
IoT 33,134,t_gen=16
IoT 34,149,t_gen=1
IoT 35,131,t_gen=6
IoT 36,144,t_gen=6
IoT 37,133,t_gen=4
IoT 38,61,t_gen=14
IoT 39,55,t_gen=7
IoT 40,143,t_gen=7

65,0.8023705747957763,189,96.05,1.0,4953.507327505857,0,50.48734736442566
Individual AoIs for Seed,65
IoT 1,175,t_gen=17
IoT 2,27,t_gen=15
IoT 3,189,t_gen=3
IoT 4,60,t_gen=4
IoT 5,120,t_gen=4
IoT 6,58,t_gen=20
IoT 7,172,t_gen=20
IoT 8,63,t_gen=1
IoT 9,114,t_gen=10
IoT 10,56,t_gen=8
IoT 11,56,t_gen=2
IoT 12,58,t_gen=0
IoT 13,46,t_gen=18
IoT 14,63,t_gen=4
IoT 15,114,t_gen=10
IoT 16,53,t_gen=11
IoT 17,44,t_gen=20
IoT 18,140,t_gen=2
IoT 19,180,t_gen=5
IoT 20,40,t_gen=2
IoT 21,46,t_gen=18
IoT 22,41,t_gen=17
IoT 23,165,t_gen=20
IoT 24,119,t_gen=5
IoT 25,170,t_gen=15
IoT 26,72,t_gen=16
IoT 27,120,t_gen=4
IoT 28,48,t_gen=17
IoT 29,169,t_gen=16
IoT 30,61,t_gen=1
IoT 31,36,t_gen=6
IoT 32,55,t_gen=9
IoT 33,181,t_gen=4
IoT 34,52,t_gen=16
IoT 35,166,t_gen=19
IoT 36,50,t_gen=8
IoT 37,45,t_gen=19
IoT 38,63,t_gen=8
IoT 39,175,t_gen=10
IoT 40,180,t_gen=5

85,0.692941318610065,158,88.875,1.0,4393.070271421226,0,49.94061517715454
Individual AoIs for Seed,85
IoT 1,134,t_gen=17
IoT 2,106,t_gen=18
IoT 3,129,t_gen=13
IoT 4,34,t_gen=2
IoT 5,47,t_gen=14
IoT 6,117,t_gen=7
IoT 7,48,t_gen=13
IoT 8,56,t_gen=5
IoT 9,135,t_gen=16
IoT 10,117,t_gen=7
IoT 11,15,t_gen=10
IoT 12,123,t_gen=1
IoT 13,27,t_gen=5
IoT 14,56,t_gen=5
IoT 15,137,t_gen=5
IoT 16,128,t_gen=14
IoT 17,23,t_gen=8
IoT 18,158,t_gen=20
IoT 19,125,t_gen=17
IoT 20,57,t_gen=4
IoT 21,6,t_gen=9
IoT 22,134,t_gen=8
IoT 23,158,t_gen=2
IoT 24,138,t_gen=4
IoT 25,42,t_gen=19
IoT 26,50,t_gen=13
IoT 27,105,t_gen=19
IoT 28,129,t_gen=13
IoT 29,54,t_gen=7
IoT 30,131,t_gen=11
IoT 31,127,t_gen=15
IoT 32,56,t_gen=5
IoT 33,21,t_gen=10
IoT 34,25,t_gen=6
IoT 35,42,t_gen=19
IoT 36,120,t_gen=4
IoT 37,140,t_gen=2
IoT 38,23,t_gen=8
IoT 39,142,t_gen=0
IoT 40,140,t_gen=2

90,0.8074428298156027,187,94.1,1.0,5212.568377648819,0,50.43406343460083
Individual AoIs for Seed,90
IoT 1,185,t_gen=8
IoT 2,61,t_gen=4
IoT 3,110,t_gen=12
IoT 4,16,t_gen=4
IoT 5,59,t_gen=1
IoT 6,165,t_gen=16
IoT 7,119,t_gen=3
IoT 8,65,t_gen=0
IoT 9,60,t_gen=5
IoT 10,182,t_gen=17
IoT 11,120,t_gen=2
IoT 12,60,t_gen=10
IoT 13,113,t_gen=19
IoT 14,101,t_gen=10
IoT 15,40,t_gen=18
IoT 16,143,t_gen=1
IoT 17,52,t_gen=15
IoT 18,26,t_gen=5
IoT 19,187,t_gen=6
IoT 20,107,t_gen=15
IoT 21,105,t_gen=17
IoT 22,54,t_gen=4
IoT 23,22,t_gen=17
IoT 24,60,t_gen=5
IoT 25,27,t_gen=12
IoT 26,96,t_gen=15
IoT 27,173,t_gen=20
IoT 28,72,t_gen=18
IoT 29,60,t_gen=12
IoT 30,168,t_gen=13
IoT 31,183,t_gen=16
IoT 32,99,t_gen=12
IoT 33,164,t_gen=17
IoT 34,187,t_gen=6
IoT 35,120,t_gen=2
IoT 36,45,t_gen=20
IoT 37,59,t_gen=6
IoT 38,51,t_gen=14
IoT 39,20,t_gen=19
IoT 40,28,t_gen=20

105,0.777220027525037,172,103.575,1.0,5093.92712488398,0,50.27610898017883
Individual AoIs for Seed,105
IoT 1,87,t_gen=4
IoT 2,103,t_gen=5
IoT 3,158,t_gen=14
IoT 4,125,t_gen=7
IoT 5,39,t_gen=9
IoT 6,156,t_gen=16
IoT 7,38,t_gen=10
IoT 8,169,t_gen=3
IoT 9,84,t_gen=5
IoT 10,160,t_gen=12
IoT 11,154,t_gen=18
IoT 12,153,t_gen=19
IoT 13,156,t_gen=16
IoT 14,35,t_gen=13
IoT 15,90,t_gen=18
IoT 16,13,t_gen=15
IoT 17,152,t_gen=11
IoT 18,172,t_gen=0
IoT 19,153,t_gen=19
IoT 20,45,t_gen=13
IoT 21,39,t_gen=5
IoT 22,28,t_gen=20
IoT 23,154,t_gen=9
IoT 24,64,t_gen=11
IoT 25,45,t_gen=3
IoT 26,157,t_gen=5
IoT 27,32,t_gen=2
IoT 28,69,t_gen=6
IoT 29,64,t_gen=11
IoT 30,147,t_gen=16
IoT 31,16,t_gen=8
IoT 32,12,t_gen=16
IoT 33,172,t_gen=0
IoT 34,128,t_gen=4
IoT 35,161,t_gen=1
IoT 36,162,t_gen=10
IoT 37,161,t_gen=11
IoT 38,65,t_gen=10
IoT 39,55,t_gen=3
IoT 40,170,t_gen=2

49,0.7848430540516053,166,106.975,1.0,5474.556196842374,0,50.162195682525635
Individual AoIs for Seed,49
IoT 1,95,t_gen=20
IoT 2,62,t_gen=19
IoT 3,64,t_gen=0
IoT 4,134,t_gen=13
IoT 5,34,t_gen=11
IoT 6,50,t_gen=19
IoT 7,149,t_gen=17
IoT 8,43,t_gen=2
IoT 9,64,t_gen=17
IoT 10,73,t_gen=7
IoT 11,96,t_gen=19
IoT 12,103,t_gen=12
IoT 13,149,t_gen=17
IoT 14,81,t_gen=0
IoT 15,157,t_gen=9
IoT 16,155,t_gen=11
IoT 17,137,t_gen=10
IoT 18,68,t_gen=13
IoT 19,153,t_gen=8
IoT 20,78,t_gen=3
IoT 21,67,t_gen=14
IoT 22,147,t_gen=19
IoT 23,159,t_gen=7
IoT 24,166,t_gen=0
IoT 25,163,t_gen=3
IoT 26,161,t_gen=5
IoT 27,153,t_gen=13
IoT 28,115,t_gen=11
IoT 29,150,t_gen=16
IoT 30,42,t_gen=3
IoT 31,63,t_gen=18
IoT 32,100,t_gen=19
IoT 33,133,t_gen=10
IoT 34,32,t_gen=13
IoT 35,146,t_gen=20
IoT 36,74,t_gen=7
IoT 37,145,t_gen=2
IoT 38,28,t_gen=17
IoT 39,131,t_gen=16
IoT 40,159,t_gen=7

110,0.765549062295013,170,101.675,1.0,4996.538045493729,0,50.22446799278259
Individual AoIs for Seed,110
IoT 1,27,t_gen=1
IoT 2,168,t_gen=2
IoT 3,154,t_gen=16
IoT 4,164,t_gen=7
IoT 5,64,t_gen=16
IoT 6,153,t_gen=17
IoT 7,167,t_gen=4
IoT 8,163,t_gen=7
IoT 9,26,t_gen=2
IoT 10,26,t_gen=5
IoT 11,72,t_gen=8
IoT 12,19,t_gen=8
IoT 13,15,t_gen=12
IoT 14,66,t_gen=14
IoT 15,64,t_gen=16
IoT 16,68,t_gen=12
IoT 17,70,t_gen=10
IoT 18,38,t_gen=2
IoT 19,27,t_gen=5
IoT 20,27,t_gen=0
IoT 21,24,t_gen=4
IoT 22,10,t_gen=17
IoT 23,170,t_gen=1
IoT 24,154,t_gen=16
