Scenario Information
Number of IoT Nodes,40
Number of UAVs,4
Number of Ground BS,4

Seed,Fitness,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,0.4975962946467313,177,100.7,1.0,6357.633687787567,0,38.75152945518494
IoT 30,151,t_gen=1
IoT 31,141,t_gen=6
IoT 32,115,t_gen=9
IoT 33,120,t_gen=4
IoT 34,11,t_gen=16
IoT 35,115,t_gen=19
IoT 36,150,t_gen=8
IoT 37,85,t_gen=19
IoT 38,13,t_gen=8
IoT 39,94,t_gen=10
IoT 40,119,t_gen=5

85,0.41578880719316313,129,87.6,1.0,5895.256918436366,0,52.390422105789185
Individual AoIs for Seed,85
IoT 1,89,t_gen=17
IoT 2,59,t_gen=18
IoT 3,64,t_gen=13
IoT 4,128,t_gen=2
IoT 5,92,t_gen=14
IoT 6,74,t_gen=7
IoT 7,105,t_gen=13
IoT 8,113,t_gen=5
IoT 9,123,t_gen=16
IoT 10,99,t_gen=7
IoT 11,129,t_gen=10
IoT 12,80,t_gen=1
IoT 13,80,t_gen=5
IoT 14,72,t_gen=5
IoT 15,76,t_gen=5
IoT 16,63,t_gen=14
IoT 17,98,t_gen=8
IoT 18,25,t_gen=20
IoT 19,60,t_gen=17
IoT 20,102,t_gen=4
IoT 21,105,t_gen=9
IoT 22,98,t_gen=8
IoT 23,97,t_gen=2
IoT 24,73,t_gen=4
IoT 25,58,t_gen=19
IoT 26,93,t_gen=13
IoT 27,26,t_gen=19
IoT 28,105,t_gen=13
IoT 29,70,t_gen=7
IoT 30,70,t_gen=11
IoT 31,91,t_gen=15
IoT 32,72,t_gen=5
IoT 33,108,t_gen=10
IoT 34,124,t_gen=6
IoT 35,87,t_gen=19
IoT 36,77,t_gen=4
IoT 37,116,t_gen=2
IoT 38,122,t_gen=8
IoT 39,106,t_gen=0
IoT 40,75,t_gen=2

90,0.4048586023635721,151,83.475,1.0,4909.402850650367,0,48.86586809158325
Individual AoIs for Seed,90
IoT 1,149,t_gen=8
IoT 2,74,t_gen=4
IoT 3,93,t_gen=12
IoT 4,74,t_gen=4
IoT 5,46,t_gen=1
IoT 6,89,t_gen=16
IoT 7,75,t_gen=3
IoT 8,105,t_gen=0
IoT 9,73,t_gen=5
IoT 10,24,t_gen=17
IoT 11,26,t_gen=2
IoT 12,72,t_gen=10
IoT 13,22,t_gen=19
IoT 14,68,t_gen=10
IoT 15,139,t_gen=18
IoT 16,23,t_gen=1
IoT 17,29,t_gen=15
IoT 18,110,t_gen=5
IoT 19,151,t_gen=6
IoT 20,63,t_gen=15
IoT 21,88,t_gen=17
