Scenario Information
Number of IoT Nodes,60
Number of UAVs,3
Number of Ground BS,4

Seed,Fitness,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,1.0008754635238257,226,133.86666666666667,1.0,6318.044278066076,0,102.66119623184204
Individual AoIs for Seed,42
IoT 1,198,t_gen=6
IoT 2,56,t_gen=17
IoT 3,113,t_gen=17
IoT 4,66,t_gen=8
IoT 5,212,t_gen=5
IoT 6,70,t_gen=4
IoT 7,71,t_gen=3
IoT 8,62,t_gen=11
IoT 9,190,t_gen=14
IoT 10,214,t_gen=12
IoT 11,53,t_gen=20
IoT 12,186,t_gen=18
IoT 13,219,t_gen=7
IoT 14,219,t_gen=7
IoT 15,212,t_gen=14
IoT 16,119,t_gen=11
IoT 17,54,t_gen=20
IoT 18,56,t_gen=17
IoT 19,192,t_gen=12
IoT 20,113,t_gen=17
IoT 21,129,t_gen=1
IoT 22,194,t_gen=10
IoT 23,186,t_gen=18
IoT 24,23,t_gen=20
IoT 25,184,t_gen=20
IoT 26,66,t_gen=7
IoT 27,56,t_gen=18
IoT 28,119,t_gen=11
IoT 29,210,t_gen=16
IoT 30,127,t_gen=3
IoT 31,213,t_gen=13
IoT 32,79,t_gen=19
IoT 33,209,t_gen=17
IoT 34,224,t_gen=3
IoT 35,90,t_gen=8
IoT 36,65,t_gen=9
IoT 37,66,t_gen=8
IoT 38,188,t_gen=16
IoT 39,217,t_gen=9
IoT 40,220,t_gen=6
IoT 41,113,t_gen=17
IoT 42,226,t_gen=0
IoT 43,95,t_gen=3
IoT 44,195,t_gen=9
IoT 45,116,t_gen=18
IoT 46,6,t_gen=15
IoT 47,209,t_gen=17
IoT 48,14,t_gen=15
IoT 49,220,t_gen=16
IoT 50,68,t_gen=6
IoT 51,198,t_gen=6
IoT 52,54,t_gen=20
IoT 53,190,t_gen=14
IoT 54,194,t_gen=10
IoT 55,55,t_gen=18
IoT 56,184,t_gen=20
IoT 57,72,t_gen=1
IoT 58,19,t_gen=7
IoT 59,56,t_gen=17
IoT 60,208,t_gen=18

50,0.8780130165932365,193,115.75,1.0,5852.9989515214165,0,74.17933917045593
Individual AoIs for Seed,50
IoT 1,25,t_gen=4
IoT 2,172,t_gen=11
IoT 3,44,t_gen=10
IoT 4,182,t_gen=13
IoT 5,144,t_gen=2
IoT 6,107,t_gen=20
IoT 7,173,t_gen=10
IoT 8,171,t_gen=3
IoT 9,156,t_gen=18
IoT 10,47,t_gen=6
IoT 11,34,t_gen=19
IoT 12,192,t_gen=3
IoT 13,166,t_gen=17
IoT 14,43,t_gen=17
IoT 15,165,t_gen=18
IoT 16,172,t_gen=11
IoT 17,172,t_gen=11
IoT 18,44,t_gen=13
IoT 19,37,t_gen=20
IoT 20,176,t_gen=7
IoT 21,142,t_gen=4
IoT 22,136,t_gen=10
IoT 23,144,t_gen=2
IoT 24,138,t_gen=8
IoT 25,59,t_gen=13
IoT 26,125,t_gen=2
IoT 27,183,t_gen=0
IoT 28,39,t_gen=18
IoT 29,178,t_gen=11
IoT 30,131,t_gen=15
IoT 31,140,t_gen=6
IoT 32,27,t_gen=2
IoT 33,142,t_gen=4
IoT 34,46,t_gen=11
IoT 35,139,t_gen=7
IoT 36,137,t_gen=9
IoT 37,168,t_gen=15
IoT 38,56,t_gen=4
IoT 39,34,t_gen=19
IoT 40,162,t_gen=12
IoT 41,39,t_gen=15
IoT 42,136,t_gen=10
IoT 43,119,t_gen=8
IoT 44,180,t_gen=3
IoT 45,44,t_gen=9
IoT 46,119,t_gen=8
IoT 47,50,t_gen=7
IoT 48,176,t_gen=7
IoT 49,62,t_gen=7
IoT 50,37,t_gen=17
IoT 51,21,t_gen=8
IoT 52,174,t_gen=9
IoT 53,178,t_gen=5
IoT 54,180,t_gen=15
IoT 55,173,t_gen=1
IoT 56,193,t_gen=5
IoT 57,41,t_gen=16
IoT 58,39,t_gen=15
IoT 59,126,t_gen=20
IoT 60,110,t_gen=17

55,1000.9738013526791,232,122.21666666666667,1.0,5734.806111434075,0,74.44990801811218
Individual AoIs for Seed,55
IoT 1,185,t_gen=15
IoT 2,78,t_gen=12
IoT 3,135,t_gen=17
IoT 4,82,t_gen=8
IoT 5,109,t_gen=0
IoT 6,61,t_gen=1
IoT 7,70,t_gen=20
